"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,"https://specieslink.net/col/8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","062344","125","Sztutman, M. et al.",,"1999-01-06","1999","1","6",,,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Pteridophyta",,,"phylum",,"SYNONYM",,,"Tracheophyta",,,,"Pteridophyta",,,,,,,,"GBIF","ESA",,"Sztutman, M.","125","1999",,,,"Sztutman",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Pteridophyta sp.",,"indet",,"Pteridophyta sp.",,"phylum","not found",,,,"Pteridophyta sp.",,"Malvaceae",,1769234,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","unknown",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","no_match","ESA_62344","ESA_62338|ESA_62344","4","1","ESA_62344","ESA_62338","ESA_62338","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"https://specieslink.net/col/8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","062338","125","Sztutman, M. et al.",,"1999-01-06","1999","1","6",,,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Pteridophyta",,,"phylum",,"SYNONYM",,,"Tracheophyta",,,,"Pteridophyta",,,,,,,,"GBIF","ESA",,"Sztutman, M.","125","1999",,,,"Sztutman",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Pteridophyta sp.",,"indet",,"Pteridophyta sp.",,"phylum","not found",,,,"Pteridophyta sp.",,"Malvaceae",,1769311,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","unknown",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","no_match","ESA_62338","ESA_62338|ESA_62344","4","1","ESA_62344","ESA_62338","ESA_62338","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,,,"K","K",,"PRESERVED_SPECIMEN","K000447137","1557","Barros","Barros et al.",,"1989","12","29",,,"Barros et al.","Brazil",,,,,"Canan  ia, Parque Estadual da Ilha do Cardoso",,,"-25.17","-48",,"25º 10' 12"""" S","48º 0' 0"""" W","não","Sem determinador",,,"jasminoides","Rubiaceae","Rudgea","species",,,,,,,,,"RUBIACEAE ","jasminoides",,,,,,,"Reflora","K",,"Barros","1557","1989","Determinador, S.",,,"Barros",,"brazil",,"canan ia","parque estadual da ilha do cardoso","canan ia","country","brazil_NA_NA_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",,1765111,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.17,-48,"coord_original","miliseconds","ok_country2locality","ok_county",,FALSE,"no_cannot_check","full_name_match","K_447137",,"0","0",,,,"coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,,,"K","K",,"PRESERVED_SPECIMEN","K000447138","1474","Barros","Barros et al.",,"1988","04","06",,,"Barros et al.","Brazil",,,,,"Canan  ia, Parque Estadual da Ilha do Cardoso, Mo. da Capta    o",,,"-25.17","-48",,"25º 10' 12"""" S","48º 0' 0"""" W","não","Sem determinador",,,"jasminoides","Rubiaceae","Rudgea","species",,,,,,,,,"RUBIACEAE ","jasminoides",,,,,,,"Reflora","K",,"Barros","1474","1988","Determinador, S.",,,"Barros",,"brazil",,"canan ia","parque estadual da ilha do cardoso","canan ia","country","brazil_NA_NA_parque estadual ilha cardoso","brazil_sao paulo_cananeia_pe ilha cardoso",-25.081975,-47.92687,"locality","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",,1765112,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge","high",TRUE,-25.17,-48,"coord_original","miliseconds","ok_country2locality","ok_county",,FALSE,"no_cannot_check","full_name_match","K_447138",,"0","0",,,,"coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6286534",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA00148993","519","Catharino, E.L.M.",,"1985-12-10","1985","12","10","10/12/1985",,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Rubiaceae","Rubiaceae",,"family",,"ACCEPTED",,,"Rubiaceae",,,,,,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/14/89/93/esa00148993.dzi",,,,"GBIF","ESA",,"Catharino, E.L.M.","519","1985",,,,"Catharino",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Rubiaceae","Juss.","family_as_genus","Rubiaceae","Rubiaceae","Juss.","family","name accepted","bfo-210",,,"Rubiaceae Juss.",,"Rubiaceae",,1734396,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","high",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_148993","ESA_148993[virtual]","4","1",,"ESA_148993","ESA_148993","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6287774",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA00004764","380","Catharino, E.L.M.",,"1985-08-18","1985","8","18","8/18/1985",,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Polygalaceae","Polygalaceae",,"family",,"ACCEPTED",,,"Polygalaceae",,,,,,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/0/47/64/esa00004764.dzi",,,,"GBIF","ESA",,"Catharino, E.L.M.","380","1985",,,,"Catharino",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Polygalaceae","Hoffmanns. & Link","family_as_genus","Polygalaceae","Polygalaceae","Hoffmanns. & Link","family","name accepted","bfo-195",,,"Polygalaceae Hoffmanns. & Link",,"Polygalaceae",,1734356,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","high",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_4764","ESA_4764[virtual]","4","1",,"ESA_4764","ESA_4764","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4871395",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA012966","19","Suemitsu, C.",,"1985-09-11","1985","9","11","11/9/1985",,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Poaceae","Poaceae",,"family",,"ACCEPTED",,,"Poaceae",,,,,,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/1/29/66/esa00012966.dzi",,,,"GBIF","ESA",,"Suemitsu, C.","19","1985",,,,"Suemitsu",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",,1730121,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","high",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_12966","ESA_12966[virtual]","4","1",,"ESA_12966","ESA_12966","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4871393",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA012965","26","Suemitsu, C.",,"1985-09-11","1985","9","11","11/9/1985",,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Poaceae","Poaceae",,"family",,"ACCEPTED",,,"Poaceae",,,,,,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/1/29/65/esa00012965.dzi",,,,"GBIF","ESA",,"Suemitsu, C.","26","1985",,,,"Suemitsu",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Poaceae","Barnhart","family_as_genus","Poaceae","Poaceae","Barnhart","family","name accepted","bfo-193",,,"Poaceae Barnhart",,"Poaceae",,1730122,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","high",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_12965","ESA_12965[virtual]","4","1",,"ESA_12965","ESA_12965","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6279272",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA116929","661","Rodrigues, M.E.F.",,"2010-11-28","2010","11","28","28/11/2010",,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,"Rodrigues, M.E.F.",,,"Bacopa monnieri (L.) Pennell","Plantaginaceae","Bacopa","species",,"ACCEPTED",,,"Bacopa monnieri (L.) Pennell",,,,"Bacopa monnieri","Bacopa monnieri",,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/11/69/29/esa00116929.dzi",,,,"GBIF","ESA",,"Rodrigues, M.E.F.","661","2010","Rodrigues, M.E.F.","2010",,"Rodrigues",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Plantaginaceae","Juss.","family_as_genus","Plantaginaceae","Bacopa monnieri","(L.) Pennell","family","name accepted","bfo-191",,,"Plantaginaceae Juss.",,"Plantaginaceae",,681287,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","high",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","ESA_116929","ESA_116929[virtual]","2","0.5","ESA_116929","ESA_116929","ESA_116929","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4878438",,,"ESA","ESA",,"PRESERVED_SPECIMEN","ESA004546","589","Catharino, E.L.M.",,"1986-01-13","1986","1","13","1/13/1986",,,"Brasil","BR","São Paulo",,"Iguape",,,,,,,,,,,,,"Orchidaceae","Orchidaceae",,"family",,"ACCEPTED",,,"Orchidaceae",,,,"oncidium flexuosum",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/0/45/46/esa00004546.dzi",,,,"GBIF","ESA",,"Catharino, E.L.M.","589","1986",,,,"Catharino",,"brazil","sao paulo","iguape",,,"municipality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Orchidaceae","A.Juss.","family_as_genus","Orchidaceae","Orchidaceae","A.Juss.","family","name accepted","bfo-179",,,"Orchidaceae A.Juss.",,"Orchidaceae",,1729518,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge","high",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","ESA_4546","ESA_4546[virtual]","4","1",,"ESA_4546","ESA_4546","coord_original","Low","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
