"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB01461174","193","H.B.Z. Souza; D.F. Silva",,"2022-03-29","2022","3","29",,,,"Brasil","BR","São Paulo",,"Barra do Turvo","Rodovia Régis Bittencourt, borda da rodovia.",,,"-25.001389","-48.509722",,"25º0´5´´","48º30´35´´W",,,,,"Celtis L.","Cannabaceae","Celtis","genus",,"ACCEPTED",,,"Celtis L.",,,,"Celtis",,,,,,,,"GBIF","RB",,"Souza, H.B.Z.","193","2022",,,"Silva, D.F.","Souza",,"brazil","sao paulo","barra do turvo","rodovia regis bittencourt, borda da rodovia","rodovia regis bittencourt","locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county","Celtis","L.","name_w_authors","Cannabaceae","Celtis","L.","genus","name accepted","bfo-106888",,,"Celtis L.","Celtis","Cannabaceae",,1602538,"brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","unknown",TRUE,-25.001389,-48.509722,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","RB_1461174","RB_1461174[virtual]","2","0.5","RB_1461174","RB_1461174","RB_1461174","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL RIO PARDINHO E RIO VERMELHO"
,,"https://specieslink.net/col/1",,"IPA/SP","SP",,"PRESERVED_SPECIMEN","415212","2564","Shirasuna, RT; Filgueiras, TS",,"2009-10-05","2009","10","5",,,,"Brasil","BR","São Paulo",,"Barra do Turvo","Parque Estadual de Jacupiranga",,,"-24.981667","-48.502778",,,,,"Shirasuna, RT","2009-10-01",,"Guadua tagoara (Nees) Kunth","Poaceae","Guadua","species","(Nees) Kunth","ACCEPTED",,,"Guadua tagoara (Nees) Kunth",,,,"Guadua tagoara","Guadua tagoara",,,,,,,"GBIF","SP","code not found","Shirasuna, R.T.","2564","2009","Filgueiras, T.S.",,"Filgueiras, T.S.","Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual de jacupiranga",,"locality","brazil_sao paulo_barra turvo_parque estadual jacupiranga","brazil_sao paulo_barra turvo_parque estadual jacupiranga",-24.930747,-48.416615,"locality","Guadua tagoara","(Nees) Kunth","name_w_authors","Poaceae","Guadua tagoara","(Nees) Kunth","species","name accepted","bfo-13253",,,"Guadua tagoara (Nees) Kunth","Guadua","Poaceae","Guadua tagoara",416408,"brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","high",TRUE,-24.981667,-48.503056,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","SP_415212","FLOR_64012|SP_415212","1","0.25","FLOR_64012","FLOR_64012","SP_415212","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL RIO PARDINHO E RIO VERMELHO"
,,"https://specieslink.net/col/268",,"UFSC","FLOR",,"PRESERVED_SPECIMEN","64012","2564","Shirasuna, R.T.; Filgueiras, T.S.",,"2009-10-05","2009","10","5",,,,"Brasil","BR","São Paulo",,"Barra do Turvo","Parque Estadual de Jacupiranga",,,"-24.981667","-48.503056",,,,,"Filgueiras, T.S.","2009-10-01",,"Guadua tagoara (Nees) Kunth","Poaceae","Guadua","species","(Nees) Kunth","ACCEPTED",,,"Guadua tagoara (Nees) Kunth",,,,"Guadua tagoara","Guadua tagoara",,,"https://images.cria.org.br/viewer/FLOR0064012",,,,"GBIF","FLOR",,"Shirasuna, R.T.","2564","2009","Filgueiras, T.S.",,"Filgueiras, T.S.","Shirasuna",,"brazil","sao paulo","barra do turvo","parque estadual de jacupiranga",,"locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo_parque estadual jacupiranga",-24.930747,-48.416615,"locality","Guadua tagoara","(Nees) Kunth","name_w_authors","Poaceae","Guadua tagoara","(Nees) Kunth","species","name accepted","bfo-13253",,,"Guadua tagoara (Nees) Kunth","Guadua","Poaceae","Guadua tagoara",442033,"brazil_sao paulo_barra turvo","Brazil","São Paulo","Barra do Turvo",,"ibge","high",TRUE,-24.981667,-48.503056,"coord_original","seconds","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","FLOR_64012","FLOR_64012|SP_415212","1","0.25","FLOR_64012","FLOR_64012","SP_415212","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL RIO PARDINHO E RIO VERMELHO"
