"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","class","order","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","recordID","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","species.new","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","selectionCategory","confidenceLocality","Nome_UC"
,,"https://specieslink.net/col/399",,"Cenargen","CEN",,"PRESERVED_SPECIMEN","117630","5089","Giselda Durigan",,"2021-05-06","2021","5","6",,,,"Brasil","BR","São Paulo",,"BROTAS","RPPN Águas Perenes, Horto Santa Fé B, International Paper.",,,"-22.200555","-48.118055",,,,,"G. Durigan","2021-05-01",,"Strophopappus bullatus (Krasch.) Sch.Bip. ex R.Esteves","Magnoliopsida","Asterales","Asteraceae","Stilpnopappus","species","(Krasch.) Sch.Bip. ex R. Esteves","SYNONYM",,,"Stilpnopappus bullatus Krasch.",,,,"Strophopappus bullatus","Stilpnopappus bullatus",,,"https://images.cria.org.br/viewer/CEN00117630",,,,"GBIF","CEN",,"Durigan, G.","5089","2021","Durigan, G.","2021",,"Durigan",,"brazil","sao paulo","brotas","rppn aguas perenes",,"locality","brazil_sao paulo_brotas","brazil_sao paulo_brotas",-22.27281012,-48.08149193,"county",584177,"Strophopappus bullatus","(Krasch.) Sch.Bip. ex R. Esteves","name_w_authors","Asteraceae","Strophopappus bullatus","(Krasch.) Sch.Bip. ex R. Esteves","species","name accepted","bfo-116299",,,"Strophopappus bullatus (Krasch.) Sch.Bip. ex R. Esteves","Strophopappus","Asteraceae","brazil_sao paulo_brotas","Brazil","São Paulo","Brotas",,"ibge",TRUE,-22.200556,-48.118056,"coord_original","seconds","high","Strophopappus bullatus","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","CEN_117630","ALCB_155181|CEN_117630|ECT_9707","4","1","CEN_117630","CEN_117630","CEN_117630","coord_original","Low","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA DAS ÁGUAS PERENES"
,,,,"UFBA","ALCB",,"PRESERVED_SPECIMEN","155181","5089",,"<nO>ramificado, folhas discolores, vilosas na face inferior, brácteas involucrais vermelhas, estiletes lilases.</nO>",,"2021","5","6",,,"<nO>ramificado, folhas discolores, vilosas na face inferior, brácteas involucrais vermelhas, estiletes lilases.</nO>","Brasil",,"São Paulo","Brotas","BROTAS","RPPN Águas Perenes, Horto Santa Fé B, International Paper.",,,"-22.280001","-48.119999","26585","0","0",,"Durigan, G","2021-5-   6",,"Strophopappus bullatus",,,"Asteraceae","Strophopappus",,,,"-22.280001","-48.119999",,"6","5","2021",,"bullatus",,,,,,"ALCB088344","Splink","ALCB",,,"5089","2021","Durigan, G.","2021",,,,"brazil","sao paulo","brotas","rppn aguas perenes",,"locality","brazil_sao paulo_brotas","brazil_sao paulo_brotas",-22.27281012,-48.08149193,"county",1010879,"Strophopappus bullatus","(Krasch.) Sch.Bip. ex R. Esteves","possibly_ok","Asteraceae","Strophopappus bullatus","(Krasch.) Sch.Bip. ex R. Esteves","species","name accepted","bfo-116299",,,"Strophopappus bullatus (Krasch.) Sch.Bip. ex R. Esteves","Strophopappus","Asteraceae","brazil_sao paulo_brotas","Brazil","São Paulo","Brotas",,"ibge",TRUE,-22.200556,-48.118056,"coord_original","seconds","high","Strophopappus bullatus","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","ALCB_155181","ALCB_155181|CEN_117630|ECT_9707","1","0.25","CEN_117630","CEN_117630","CEN_117630","coord_original","Low","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA DAS ÁGUAS PERENES"
,,,,"Embrapa","ECT",,"PRESERVED_SPECIMEN","9707","5089",,"<nO>Arbusto ramificado, folhas discolores, vilosas na face inferior, brácteas involucrais vermelhas, estiletes lilases.</nO>",,"2021","5","06",,,"<nO>Arbusto ramificado, folhas discolores, vilosas na face inferior, brácteas involucrais vermelhas, estiletes lilases.</nO>","Brasil",,"São Paulo","Brotas","BROTAS","RPPN Águas Perenes, Horto Santa Fé B, International Paper.",,,"-22.2005556","-48.1180556",,"22º12'2''S","48º7'5''W",,"G. Durigan","2021-5-   6",,"Strophopappus bullatus",,,"Asteraceae","Strophopappus",,,,"-22.2005556","-48.1180556",,"6","5","2021",,"bullatus",,,,,,"ECT0009707","Splink","ECT",,,"5089","2021","Durigan, G.","2021",,,,"brazil","sao paulo","brotas","rppn aguas perenes",,"locality","brazil_sao paulo_brotas","brazil_sao paulo_brotas",-22.27281012,-48.08149193,"county",1027220,"Strophopappus bullatus","(Krasch.) Sch.Bip. ex R. Esteves","possibly_ok","Asteraceae","Strophopappus bullatus","(Krasch.) Sch.Bip. ex R. Esteves","species","name accepted","bfo-116299",,,"Strophopappus bullatus (Krasch.) Sch.Bip. ex R. Esteves","Strophopappus","Asteraceae","brazil_sao paulo_brotas","Brazil","São Paulo","Brotas",,"ibge",TRUE,-22.200556,-48.118056,"coord_original","seconds","high","Strophopappus bullatus","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","ECT_9707","ALCB_155181|CEN_117630|ECT_9707","1","0.25","CEN_117630","CEN_117630","CEN_117630","coord_original","Low","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA DAS ÁGUAS PERENES"
