"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00472125","1682","M.Nadruz; E.Catharino","Mata atlântica de encosta alta","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta","Brasil","BR","São Paulo",,"Bananal","Serra da Bocaina, trilha da onça, casa da Bocaina.",,,"-22.8225","-44.423333",,"22º49´21´´","44º25´24´´W",,,,,"Anthurium Schott","Araceae","Anthurium","genus",,"ACCEPTED",,,"Anthurium Schott",,,,"Anthurium",,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/21/25/00472125.jpg",,,,"GBIF","RB",,"Nadruz, M.","1682","2006",,,"Catharino, E.","Nadruz",,"brazil","sao paulo","bananal","serra da bocaina",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium","Schott","name_w_authors","Araceae","Anthurium","Schott","genus","name accepted","bfo-4912",,,"Anthurium Schott","Anthurium","Araceae",,1566539,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8225,-44.423333,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00472127","1684","M.Nadruz; E.Catharino","Mata atlântica de encosta alta","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta","Brasil","BR","São Paulo",,"Bananal","Trilha da onça, casa da Bocaina.",,,"-22.824167","-44.425",,"22º49´27´´","44º25´30´´W",,,,,"Anthurium Schott","Araceae","Anthurium","genus",,"ACCEPTED",,,"Anthurium Schott",,,,"Anthurium",,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/21/27/00472127.jpg",,,,"GBIF","RB",,"Nadruz, M.","1684","2006",,,"Catharino, E.","Nadruz",,"brazil","sao paulo","bananal","trilha da onca",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium","Schott","name_w_authors","Araceae","Anthurium","Schott","genus","name accepted","bfo-4912",,,"Anthurium Schott","Anthurium","Araceae",,1566540,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.824167,-44.425,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
"Physical Object",,,,"JBRJ","RB",,,"RB00472127","1684","M.Nadruz; E.Catharino","Mata atlântica de encosta alta","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta","Brasil","BR","São Paulo",,"Bananal","Trilha da onça, casa da Bocaina.",,,"-22.8241667","-44.425",,"22º49´27´´","44º25´30´´W",,,,,"Anthurium","Araceae","Anthurium","genus",,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/21/27/00472127.jpg",,,,"JABOT","RB",,"Nadruz, M.","1684","2006",,,"Catharino, E.","Nadruz",,"brazil","sao paulo","bananal","trilha da onca",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium","Schott","indet","Araceae","Anthurium","Schott","genus","name accepted","bfo-4912",,,"Anthurium Schott","Anthurium","Araceae",,1627584,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8241667,-44.425,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
"Physical Object",,,,"JBRJ","RB",,,"RB00472125","1682","M.Nadruz; E.Catharino","Mata atlântica de encosta alta","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta","Brasil","BR","São Paulo",,"Bananal","Serra da Bocaina, trilha da onça, casa da Bocaina.",,,"-22.8225","-44.4233334",,"22º49´21´´","44º25´24´´W",,,,,"Anthurium","Araceae","Anthurium","genus",,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/21/25/00472125.jpg",,,,"JABOT","RB",,"Nadruz, M.","1682","2006",,,"Catharino, E.","Nadruz",,"brazil","sao paulo","bananal","serra da bocaina",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium","Schott","indet","Araceae","Anthurium","Schott","genus","name accepted","bfo-4912",,,"Anthurium Schott","Anthurium","Araceae",,1628198,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8225,-44.4233334,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00470636","1686","M. Nadruz; E. Catharino",,"2006-06-21","2006","6","21",,,,"Brasil","BR","São Paulo",,"Bananal","Trilha da onça, csa da Bocaina.",,,"-22.822778","-44.415556",,"22º49´22´´","44º24´56´´W",,"Nadruz & Catharino","2006-06-21",,"Anthurium marense K.Krause","Araceae","Anthurium","species","K.Krause","ACCEPTED",,,"Anthurium marense K.Krause",,,,"Anthurium marense K.Krause","Anthurium marense",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/6/36/00470636.jpg",,,,"GBIF","RB",,"Nadruz, M.","1686","2006","Nadruz","2006","Catharino, E.","Nadruz","Catharino","brazil","sao paulo","bananal","trilha da onca",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium marense","K.Krause","name_w_authors","Araceae","Anthurium marense","K.Krause","species","name accepted","bfo-4953",,,"Anthurium marense K.Krause","Anthurium","Araceae","Anthurium marense",249314,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.822778,-44.415556,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
"Physical Object",,,,"JBRJ","RB",,,"RB00470636","1686","M. Nadruz; E. Catharino",,"2006-06-21","2006","6","21",,,,"Brasil","BR","São Paulo",,"Bananal","Trilha da onça, csa da Bocaina.",,,"-22.8227778","-44.4155556",,"22º49´22´´","44º24´56´´W",,"Nadruz & Catharino","2006-6-21",,"Anthurium marense K.Krause","Araceae","Anthurium","species","K.Krause",,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/6/36/00470636.jpg",,,,"JABOT","RB",,"Nadruz, M.","1686","2006","Nadruz","2006","Catharino, E.","Nadruz","Catharino","brazil","sao paulo","bananal","trilha da onca",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium marense","K.Krause","name_w_authors","Araceae","Anthurium marense","K.Krause","species","name accepted","bfo-4953",,,"Anthurium marense K.Krause","Anthurium","Araceae","Anthurium marense",805445,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8227778,-44.4155556,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00470787","1687","M.Nadruz; E. Catharino","Mata atlântica de encosta alta.","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta.","Brasil","BR","São Paulo",,"Bananal","Trilha da onça, casa da Bocaina.",,,"-22.824167","-44.422222",,"22º49´27´´","44º25´20´´W",,"Nadruz","2006-06-21",,"Anthurium lucioi Nadruz","Araceae","Anthurium","species","Nadruz","ACCEPTED",,,"Anthurium lucioi Nadruz",,,,"Anthurium lucioi Nadruz","Anthurium lucioi",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/7/87/00470787.jpg",,,,"GBIF","RB",,"Nadruz, M.","1687","2006","Nadruz","2006","Catharino, E.","Nadruz",,"brazil","sao paulo","bananal","trilha da onca",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium lucioi","Nadruz","name_w_authors","Araceae","Anthurium lucioi","Nadruz","species","name accepted","bfo-4951",,,"Anthurium lucioi Nadruz","Anthurium","Araceae","Anthurium lucioi",249318,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.824167,-44.422222,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
,,,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00470778","1683","M.Nadruz; E. Catharino","Mata atlântica de encosta alta.","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta.","Brasil","BR","São Paulo",,"Bananal","Serra da Bocaina, trilha da onça, casa da Bocaina.",,,"-22.8225","-44.423333",,"22º49´21´´","44º25´24´´W",,"Nadruz & Catharino","2006-06-21",,"Anthurium lucioi Nadruz","Araceae","Anthurium","species","Nadruz","ACCEPTED",,,"Anthurium lucioi Nadruz",,,,"Anthurium lucioi Nadruz","Anthurium lucioi",,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/7/78/00470778.jpg",,,,"GBIF","RB",,"Nadruz, M.","1683","2006","Nadruz","2006","Catharino, E.","Nadruz","Catharino","brazil","sao paulo","bananal","serra da bocaina",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium lucioi","Nadruz","name_w_authors","Araceae","Anthurium lucioi","Nadruz","species","name accepted","bfo-4951",,,"Anthurium lucioi Nadruz","Anthurium","Araceae","Anthurium lucioi",249320,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8225,-44.423333,"coord_original","seconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
"Physical Object",,,,"JBRJ","RB",,,"RB00470778","1683","M.Nadruz; E. Catharino","Mata atlântica de encosta alta.","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta.","Brasil","BR","São Paulo",,"Bananal","Serra da Bocaina, trilha da onça, casa da Bocaina.",,,"-22.8225","-44.4233334",,"22º49´21´´","44º25´24´´W",,"Nadruz & Catharino","2006-6-21",,"Anthurium lucioi Nadruz","Araceae","Anthurium","species","Nadruz",,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/7/78/00470778.jpg",,,,"JABOT","RB",,"Nadruz, M.","1683","2006","Nadruz","2006","Catharino, E.","Nadruz","Catharino","brazil","sao paulo","bananal","serra da bocaina",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium lucioi","Nadruz","name_w_authors","Araceae","Anthurium lucioi","Nadruz","species","name accepted","bfo-4951",,,"Anthurium lucioi Nadruz","Anthurium","Araceae","Anthurium lucioi",780407,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8225,-44.4233334,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
"Physical Object",,,,"JBRJ","RB",,,"RB00470787","1687","M.Nadruz; E. Catharino","Mata atlântica de encosta alta.","2006-06-21","2006","6","21",,,"Mata atlântica de encosta alta.","Brasil","BR","São Paulo",,"Bananal","Trilha da onça, casa da Bocaina.",,,"-22.8241667","-44.4222223",,"22º49´27´´","44º25´20´´W",,"Nadruz","2006-6-21",,"Anthurium lucioi Nadruz","Araceae","Anthurium","species","Nadruz",,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/47/7/87/00470787.jpg",,,,"JABOT","RB",,"Nadruz, M.","1687","2006","Nadruz","2006","Catharino, E.","Nadruz",,"brazil","sao paulo","bananal","trilha da onca",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county","Anthurium lucioi","Nadruz","name_w_authors","Araceae","Anthurium lucioi","Nadruz","species","name accepted","bfo-4951",,,"Anthurium lucioi Nadruz","Anthurium","Araceae","Anthurium lucioi",791292,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge",TRUE,-22.8241667,-44.4222223,"coord_original","miliseconds","low","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO"
