taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3129176	Baccharis dracunculifolia DC.	3129176	Baccharis dracunculifolia DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Baccharis	3129135	Baccharis dracunculifolia	3129176	NE
2941831	Crotalaria micans Link	2941831	Crotalaria micans Link	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Crotalaria	2941719	Crotalaria micans	2941831	LC
7604565	Waltheria communis A.St.-Hil.	7604565	Waltheria communis A.St.-Hil.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Waltheria	3152104	Waltheria communis	7604565	NE
5938280	Eugenia hiemalis Cambess.	5938280	Eugenia hiemalis Cambess.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Eugenia	3177662	Eugenia hiemalis	5938280	NE
3175074	Myrcia multiflora (Lam.) DC.	3175074	Myrcia multiflora (Lam.) DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Myrcia	3173889	Myrcia multiflora	3175074	LC
5414252	Ilex paraguariensis A.St.-Hil.	5414252	Ilex paraguariensis A.St.-Hil.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Aquifoliales	7226638	Aquifoliaceae	6716	Ilex	10792217	Ilex paraguariensis	5414252	NT
3174193	Myrcia albotomentosa DC.	3174193	Myrcia albotomentosa DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Myrcia	3173889	Myrcia albotomentosa	3174193	LC
7285641	Byrsonima intermedia A.Juss.	7285641	Byrsonima intermedia A.Juss.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Malpighiaceae	6676	Byrsonima	3191347	Byrsonima intermedia	7285641	NE
4107228	Panicum campestre Nees ex Trin.	4107228	Panicum campestre Nees ex Trin.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Panicum	2705064	Panicum campestre	4107228	NE
5290123	Gymnopogon foliosus (Willd.) Nees	5290123	Gymnopogon foliosus (Willd.) Nees	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Gymnopogon	2705515	Gymnopogon foliosus	5290123	NE
5406635	Piptocarpha rotundifolia (Less.) Baker	5406635	Piptocarpha rotundifolia (Less.) Baker	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Piptocarpha	8003976	Piptocarpha rotundifolia	5406635	NE
2969590	Mimosa xanthocentra Mart.	2969590	Mimosa xanthocentra Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Mimosa	2969235	Mimosa xanthocentra	2969590	LC
5618663	Sida glaziovii K.Schum.	5618663	Sida glaziovii K.Schum.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Sida	3152100	Sida glaziovii	5618663	NE
7297013	Lippia sidoides Cham.	7297353	Lippia origanoides Kunth	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Verbenaceae	6689	Lippia	2925383	Lippia origanoides	7297353	NE
5417708	Eugenia aurata O.Berg	5417708	Eugenia aurata O.Berg	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Eugenia	3177662	Eugenia aurata	5417708	NE
5673673	Setaria scabrifolia (Nees) Kunth	5673673	Setaria scabrifolia (Nees) Kunth	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Setaria	2702955	Setaria scabrifolia	5673673	NE
