taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7304186	Nectandra lanceolata Nees & Mart. ex Nees	7304186	Nectandra lanceolata Nees & Mart. ex Nees	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Nectandra	3034018	Nectandra lanceolata	7304186	LC
2957831	Senna rugosa (G.Don) H.S.Irwin & Barneby	2957831	Senna rugosa (G.Don) H.S.Irwin & Barneby	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Senna	2956904	Senna rugosa	2957831	LC
5706135	Luehea grandiflora Mart.	5706135	Luehea grandiflora Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Luehea	3152076	Luehea grandiflora	5706135	NE
7264492	Siparuna cujabana (Mart. ex Tul.) A.DC.	3782598	Siparuna brasiliensis (Spreng.) A.DC.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Siparunaceae	4893899	Siparuna	7264484	Siparuna brasiliensis	3782598	NE
3100364	Acanthospermum australe (Loefl.) Kuntze	3100364	Acanthospermum australe (Loefl.) Kuntze	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Acanthospermum	3100362	Acanthospermum australe	3100364	NE
3172501	Arrabidaea DC.	3233562	Fridericia Mart.	1	GENUS	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Bignoniaceae	6655	Fridericia	3233562			
7824453	Chromolaena DC.	7824453	Chromolaena DC.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Chromolaena	7824453			NE
2930421	Solanum lycocarpum A.St.-Hil.	2930421	Solanum lycocarpum A.St.-Hil.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum lycocarpum	2930421	LC
3186488	Myrciaria delicatula (DC.) O.Berg	3186488	Myrciaria delicatula (DC.) O.Berg	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Myrciaria	3186407	Myrciaria delicatula	3186488	LC
7317936	Melancium campestre Naudin	4939914	Melothria campestris (Naudin) H.Schaef. & S.S.Renner	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cucurbitales	7224005	Cucurbitaceae	6634	Melothria	2874549	Melothria campestris	4939914	NE
