"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","406177","50","Ferreira, PC; Ariati, V; Marinero, F",,"2015-07-19","2015","7","19",,,,"Brazil","BR","São Paulo",,"Cajati","RDS Lavras",,,,,,,,,"Fiaschi, P","2019-10-14",,"Oxalis debilis Kunth","Oxalidaceae","Oxalis","species","Kunth","ACCEPTED",,,"Oxalis debilis Kunth",,,,"Oxalis debilis","Oxalis debilis",,,"https://images.cria.org.br/viewer/MBM406177",,,,"GBIF","MBM",,"Ferreira, P.C.","50","2015","Fiaschi, P.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Oxalis debilis","Kunth","name_w_authors","Oxalidaceae","Oxalis debilis","Kunth","species","name accepted","bfo-12459",,,"Oxalis debilis Kunth","Oxalis","Oxalidaceae","Oxalis debilis",290767,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","high",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MBM_406177","MBM_406177[virtual]","4","1","MBM_406177","MBM_406177","MBM_406177","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"587",,"UNILA","EVB",,"PRESERVED_SPECIMEN","6251","49","Ferreira, P.C.; Ariati, V.; Marinero, F.",,,"2015","07","19",,,,"Brazil",,"São Paulo","Cajati","Cajati","RDS Lavras",,,"-24.8469444","-48.2438889",,"24º50'49''S","48º14'38''W",,"Silva, F.A","2022-NA-NA",,"Mendoncia glabra","Acanthaceae","Mendoncia",,"Poepp. & Endl.",,,,,,,"2022",,,,,,,,"EVB006251","Splink","EVB",,"Ferreira, P.C.","49","2015","Silva, F.A.","2022","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Mendoncia glabra","Poepp. & Endl.","possibly_ok","Acanthaceae","Mendoncia glabra","Poepp. & Endl.","species","name accepted","bfo-15357",,,"Mendoncia glabra Poepp. & Endl.","Mendoncia","Acanthaceae","Mendoncia glabra",953576,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,,"bad_dist","full_name_match","EVB_6251","EVB_6251|HUCP_27925|MBM_406176","4","1","MBM_406176","MBM_406176","MBM_406176","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"546",,"PUCPR","HUCP",,,"27860","42","Ferreira, PC; Ariati, V; Marinero, FEC",,,"2015","07","17",,,,"Brazil",,"São Paulo","Cajati","Cajati","RDS Lavras",,,"-24.846944","-48.243889",,"-24.846944","-48.243889",,"Ferreira, PC","2016-02-01",,"Stromanthe tonckat","Marantaceae","Stromanthe",,"(Aubl.) Eichler",,,,,"01","02","2016",,,,,,,,"HUCP00027860","Splink","HUCP",,"Ferreira, P.C.","42","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.E.C.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Stromanthe tonckat","(Aubl.) Eichler","possibly_ok","Marantaceae","Stromanthe tonckat","(Aubl.) Eichler","species","name accepted","bfo-9385",,,"Stromanthe tonckat (Aubl.) Eichler","Stromanthe","Marantaceae","Stromanthe tonckat",1359197,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUCP_27860","HUCP_27860|MBM_406169","4","1","MBM_406169","MBM_406169","MBM_406169","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"546",,"PUCPR","HUCP",,,"27766","45","Ferreira, PC; Ariati, V; Marinero, FEC",,,"2015","07","18",,,,"Brazil",,"São Paulo","Cajati","Cajati","RDS Lavras",,,"-24.846944","-48.243889",,"-24.846944","-48.243889",,"Ferreira, PC","2016-02-01",,"Canna indica","Cannaceae","Canna",,"L.",,,,,"01","02","2016",,,,,,,,"HUCP00027766","Splink","HUCP",,"Ferreira, P.C.","45","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.E.C.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Canna indica","L.","possibly_ok","Cannaceae","Canna indica","L.","species","name accepted","bfo-110628",,,"Canna indica L.","Canna","Cannaceae","Canna indica",1359246,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","HUCP_27766","HUCP_27766|MBM_406172","1","0.25","MBM_406172","MBM_406172","MBM_406172","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","406164","37","Ferreira, P.C.; Ariati, V.; Marinero, F.",,"2015-07-13","2015","7","13",,,,"Brazil","BR","São Paulo",,"Cajati","RDS Lavras",,,"-24.846944","-48.243889",,,,,"Engels, M.E.","2024-02-05",,"Microchilus C.Presl","Orchidaceae","Microchilus","genus","(M.R.Miranda, Engels & E.C.Smidt) E.C.Smidt & M.W.Chase","ACCEPTED",,,"Microchilus C.Presl",,,,"Microchilus caraguatatubensis",,,,"https://images.cria.org.br/viewer/MBM406164",,,,"GBIF","MBM",,"Ferreira, P.C.","37","2015","Engels, M.E.","2024","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Microchilus","C.Presl","name_w_authors","Orchidaceae","Microchilus","C.Presl","genus","name accepted","bfo-11843",,,"Microchilus C.Presl","Microchilus","Orchidaceae",,1570430,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"no_cannot_check","full_name_match","MBM_406164","MBM_406164[virtual]","4","1","MBM_406164","MBM_406164","MBM_406164","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","402250","1201","Ariati, V; Ferreira, PCC; Marinero, F",,"2015-07","2015","7",,,,,"Brazil","BR","São Paulo",,"Cajati","Reserva de Desenvolvimento Sustentável Lavras.",,,,,,,,,"Engels, ME","2019-04-12",,"Sauroglossum elatum Lindl.","Orchidaceae","Sauroglossum","species","Lindl.","ACCEPTED",,,"Sauroglossum elatum Lindl.",,,,"Sauroglossum elatum","Sauroglossum elatum",,,"https://images.cria.org.br/viewer/MBM402250",,,,"GBIF","MBM",,"Ariati, V.","1201","2015","Engels, M.E.","2019","Ferreira, P.C.C.; Marinero, F.","Ariati",,"brazil","sao paulo","cajati","reserva de desenvolvimento sustentavel lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Sauroglossum elatum","Lindl.","name_w_authors","Orchidaceae","Sauroglossum elatum","Lindl.","species","name accepted","bfo-69656",,,"Sauroglossum elatum Lindl.","Sauroglossum","Orchidaceae","Sauroglossum elatum",290727,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.73,-48.119999,"coord_original","miliseconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MBM_402250","MBM_402250[virtual]","4","1","MBM_402250","MBM_402250","MBM_402250","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","406167","40","Ferreira, PC; Ariati, V; Marinero, F",,"2015-07-16","2015","7","16",,,,"Brazil","BR","São Paulo",,"Cajati","RDS Lavras",,,,,,,,,"Engels, ME","2019-04-11",,"Eulophia alta (L.) Fawc. & Rendle","Orchidaceae","Eulophia","species","(L.) Fawc. & Rendle","ACCEPTED",,,"Eulophia alta (L.) Fawc. & Rendle",,,,"Eulophia alta","Eulophia alta",,,"https://images.cria.org.br/viewer/MBM406167",,,,"GBIF","MBM",,"Ferreira, P.C.","40","2015","Engels, M.E.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Eulophia alta","(L.) Fawc. & Rendle","name_w_authors","Orchidaceae","Eulophia alta","(L.) Fawc. & Rendle","species","name accepted","bfo-11589",,,"Eulophia alta (L.) Fawc. & Rendle","Eulophia","Orchidaceae","Eulophia alta",290760,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"bad_dist","full_name_match","MBM_406167","MBM_406167[virtual]","4","1","MBM_406167","MBM_406167","MBM_406167","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","406168","41","Ferreira, PC; Ariati, V; Marinero, F",,"2015-07-16","2015","7","16",,,,"Brazil","BR","São Paulo",,"Cajati","RDS Lavras",,,,,,,,,"Engels, ME","2019-04-12",,"Cranichis candida (Barb.Rodr.) Cogn.","Orchidaceae","Cranichis","species","(Barb.Rodr.) Cogn.","ACCEPTED",,,"Cranichis candida (Barb.Rodr.) Cogn.",,,,"Cranichis candida","Cranichis candida",,,"https://images.cria.org.br/viewer/MBM406168",,,,"GBIF","MBM",,"Ferreira, P.C.","41","2015","Engels, M.E.","2019","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Cranichis candida","(Barb.Rodr.) Cogn.","name_w_authors","Orchidaceae","Cranichis candida","(Barb.Rodr.) Cogn.","species","name accepted","bfo-11406",,,"Cranichis candida (Barb.Rodr.) Cogn.","Cranichis","Orchidaceae","Cranichis candida",290768,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MBM_406168","MBM_406168[virtual]","4","1","MBM_406168","MBM_406168","MBM_406168","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","406175","48","Ferreira, PC; Ariati, V; Marinero, F",,"2015-07-19","2015","7","19",,,,"Brazil","BR","São Paulo",,"Cajati","RDS Lavras",,,,,,,,,"Ferreira, PC","2016-02-01",,"Voyria aphylla (Jacq.) Pers.","Gentianaceae","Voyria","species","(Jacq.) Pers.","ACCEPTED",,,"Voyria aphylla (Jacq.) Pers.",,,,"Voyria aphylla","Voyria aphylla",,,"https://images.cria.org.br/viewer/MBM406175",,,,"GBIF","MBM",,"Ferreira, P.C.","48","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Voyria aphylla","(Jacq.) Pers.","name_w_authors","Gentianaceae","Voyria aphylla","(Jacq.) Pers.","species","name accepted","bfo-7793",,,"Voyria aphylla (Jacq.) Pers.","Voyria","Gentianaceae","Voyria aphylla",290766,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MBM_406175","MBM_406175[virtual]","2","0.5","MBM_406175","MBM_406175","MBM_406175","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
,,"https://specieslink.net/col/40",,"MBM","MBM",,"PRESERVED_SPECIMEN","406163","36","Ferreira, PC; Ariati, V; Marinero, F",,"2015-07-13","2015","7","13",,,,"Brazil","BR","São Paulo",,"Cajati","RDS Lavras",,,,,,,,,"Ferreira, PC","2016-02-01",,"Heteropterys nitida (Lam.) DC.","Malpighiaceae","Heteropterys","species","(Lam.) DC.","ACCEPTED",,,"Heteropterys nitida (Lam.) DC.",,,,"Heteropterys nitida","Heteropterys nitida",,,"https://images.cria.org.br/viewer/MBM406163",,,,"GBIF","MBM",,"Ferreira, P.C.","36","2015","Ferreira, P.C.","2016","Ariati, V.; Marinero, F.","Ferreira",,"brazil","sao paulo","cajati","rds lavras",,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county","Heteropterys nitida","(Lam.) DC.","name_w_authors","Malpighiaceae","Heteropterys nitida","(Lam.) DC.","species","name accepted","bfo-8894",,,"Heteropterys nitida (Lam.) DC.","Heteropterys","Malpighiaceae","Heteropterys nitida",290759,"brazil_sao paulo_cajati","Brazil","São Paulo","Cajati",,"ibge","low",TRUE,-24.846944,-48.243889,"coord_original","seconds","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","MBM_406163","MBM_406163[virtual]","4","1","MBM_406163","MBM_406163","MBM_406163","High","plantr_exact","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS"
