"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cannabaceae","Celtis","diffusa","Planch.","CANNABACEAE Celtis diffusa Planch.","298817","Splink","SP","Aguiar, O.T.","540",,"Bronze","High","Parque Estadual Morro do Diabo, estrada do Porto Angelim","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cannabaceae","Celtis","spinosa","Spreng.","CANNABACEAE Celtis spinosa Spreng.","HRCB019640","Splink","HRCB","Baitello, J.B.","743","Native","Ouro","High","Parque Estadual do Morro do Diabo trilha da subida","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cannabaceae","Trema","micranthum","(L.) Blume","CANNABACEAE Trema micranthum (L.) Blume","34000","Splink","IAC","Silva, J.S.","440","Native","Ouro","High","Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cannaceae","Canna",,"L.","CANNACEAE Canna L.","RB00706519","GBIF","RB","Vieira, M.C.W.","797",,"Latão","High","Reserva do Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Capparaceae","Capparidastrum","frondosum","(Jacq.) Cornejo & Iltis","CAPPARACEAE Capparidastrum frondosum (Jacq.) Cornejo & Iltis","278311","Splink","SP","Aguiar, O.T.","546","Native","Bronze","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Capparaceae","Monilicarpa","brasiliana","(Banks ex DC.) Cornejo & Iltis","CAPPARACEAE Monilicarpa brasiliana (Banks ex DC.) Cornejo & Iltis","UEC064939","Splink","UEC","Franco, G.A.D.C.","1303","Native","Ouro","High","Reserva do Morro do Diabo, Região da Serra, na mata.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Caricaceae","Jacaratia","spinosa","(Aubl.) A.DC.","CARICACEAE Jacaratia spinosa (Aubl.) A.DC.","278308","Splink","SP","Pastore, J.A.","581","Native","Bronze","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Celastraceae","Hippocratea","volubilis","L.","CELASTRACEAE Hippocratea volubilis L.","45128","GBIF","UEC","Tamashiro, J.Y.","18849","Native","Ouro","High","Reserva do Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Celastraceae","Maytenus",,"Molina","CELASTRACEAE Maytenus Molina","RB00996388","GBIF","RB","Colletta, G.D.","1595",,"Bronze","High","Parque Estadual Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Clethraceae","Clethra","scabra","Pers.","CLETHRACEAE Clethra scabra Pers.","251370","GBIF","SP","Romaniuc Neto, S.","1210","Native","Latão","High","Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Clusiaceae","Garcinia","gardneriana","(Planch. & Triana) Zappi","CLUSIACEAE Garcinia gardneriana (Planch. & Triana) Zappi","341468","Splink","SP","Aguiar, O.T.","181","Native","Latão","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Combretaceae","Terminalia","glabrescens","Mart.","COMBRETACEAE Terminalia glabrescens Mart.","SP024218","Splink","SP","Chiea, S.A.C.","650","Native","Ouro","High","Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Commelinaceae","Commelina","benghalensis","L.","COMMELINACEAE Commelina benghalensis L.","FUEL023289","Splink","FUEL","Chesini, A.C.","41","Naturalized","Bronze","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Commelinaceae","Commelina","obliqua","Vahl","COMMELINACEAE Commelina obliqua Vahl","278456","Splink","SP","Pastore, J.A.","534","Native","Ouro","High","Parque Estadual Morro do Diabo, Estrada do Estreito","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Commelinaceae","Dichorisandra","hexandra","(Aubl.) C.B.Clarke","COMMELINACEAE Dichorisandra hexandra (Aubl.) C.B.Clarke","IPA0069240","Splink","IPA","Pastora, J.A.","150","Native","Bronze","High","Parque Estadual do Morro do Diabo, Instituto Florestal, picada 90 à direita do ""Angelim"".","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Commelinaceae","Gibasis","geniculata","(Jacq.) Rohweder","COMMELINACEAE Gibasis geniculata (Jacq.) Rohweder","UEC057437","Splink","UEC","Silva, J.B.","36","Native","Ouro","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Commelinaceae","Tradescantia","zanonia","(L.) Sw.","COMMELINACEAE Tradescantia zanonia (L.) Sw.","UEC057403","Splink","UEC","Alueses, L.M.T.","14","Native","Ouro","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Convolvulaceae","Evolvulus","latifolius","Ker Gawl.","CONVOLVULACEAE Evolvulus latifolius Ker Gawl.","UEC090763","Splink","UEC","Aguiar, O.T.","487","Native","Ouro","High","Parque Estadual do Morro do Diabo. Estrada do 7000.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Convolvulaceae","Ipomoea","cairica","(L.) Sweet","CONVOLVULACEAE Ipomoea cairica (L.) Sweet","FUEL020524","Splink","FUEL","Rogge, G.D.","45","Native","Ouro","High","Parque Estadual Morro do Diabo, trilha de acesso ao alojamento","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Convolvulaceae","Jacquemontia","ferruginea","Choisy","CONVOLVULACEAE Jacquemontia ferruginea Choisy","279223","Splink","SP","Aguiar, O.T.","464","Native","Bronze","High","Parque Estadual Morro do Diabo, estrada do Estreito","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cordiaceae","Cordia","americana","(L.) Gottschling & J.S.Mill.","CORDIACEAE Cordia americana (L.) Gottschling & J.S.Mill.","27195","Splink","FUEL","Francisco, E.M.","245","Native","Bronze","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cordiaceae","Cordia","ecalyculata","Vell.","CORDIACEAE Cordia ecalyculata Vell.","HRCB019309","Splink","HRCB","Pastore, J.A.","568","Native","Bronze","High","Estrada do 7000, na margem do caminho Parque Estadual do Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cordiaceae","Cordia","trichotoma","(Vell.) Arráb. ex Steud.","CORDIACEAE Cordia trichotoma (Vell.) Arráb. ex Steud.","277743","Splink","SP","Kirizawa, M.","3077","Native","Bronze","High","Parque Estadual Morro do Diabo, Sapesal","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cucurbitaceae","Cayaponia",,"Silva Manso","CUCURBITACEAE Cayaponia Silva Manso","6397","Splink","SPFw","Ceccantini, G.C.T.","3650",,"Latão","High","Parque Estadual Morro do Diabo","Não"
