"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","PMSP009574","GBIF","PMSP","Honda, S.","18","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia"
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Alstroemeriaceae","Alstroemeria","isabelleana","Herb.","ALSTROEMERIACEAE Alstroemeria isabelleana Herb.","197942","GBIF","HUEFS","Pereira, F.G.","610","Native","Prata","High","Parque Natural Municipal da Cratera de Colônia. Trilha na divisa Leste."
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Apocynaceae","Allamanda","schottii","Pohl","APOCYNACEAE Allamanda schottii Pohl","PMSP011484","GBIF","PMSP","Marcon, S.L.","145","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia"
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Apocynaceae","Chloropetalum","denticulatum","(Vahl) Morillo","APOCYNACEAE Chloropetalum denticulatum (Vahl) Morillo","COR00109698","Splink","COR",,"624","Native","Prata","High","Parque Natural Municipal da Cratera de Colônia, Trilha da divisa leste. Mata de 6 m de altura, Via com epífitas, Mata turfeira."
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Apocynaceae","Orthosia","scoparia","(Nutt.) Liede & Meve","APOCYNACEAE Orthosia scoparia (Nutt.) Liede & Meve","IRATI00001276","Splink","IRATI",,"149","Native","Prata","High","Parque Natural Municipal da Cratera de Colônia."
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Aquifoliaceae","Ilex","theezans","Mart. ex Reissek","AQUIFOLIACEAE Ilex theezans Mart. ex Reissek","JOI023730","Splink","JOI",,"16","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia"
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Ferns and Lycophytes","Aspleniaceae","Asplenium","serra","Langsd. & Fisch.","ASPLENIACEAE Asplenium serra Langsd. & Fisch.","77739","GBIF","UPCB","Pereira, F.G.","577","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia. Campo úmido."
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Baccharis","oreophila","Malme","ASTERACEAE Baccharis oreophila Malme","ICN00052032","Splink","ICN",,"90","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia"
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Critoniopsis","quinqueflora","(Less.) H.Rob.","ASTERACEAE Critoniopsis quinqueflora (Less.) H.Rob.","PMSP011456","GBIF","PMSP","Marcon, S.L.","113","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia. Próximo ao primeiro linhão."
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Piptocarpha","longipedunculata","Volet","ASTERACEAE Piptocarpha longipedunculata Volet","HUNI00007086","Splink","HUNI",,"184","Native","Ouro","High","Parque Natural Municipal da Cratera de Colônia"
