"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Amaranthaceae","Alternanthera","brasiliana","(L.) Kuntze","AMARANTHACEAE Alternanthera brasiliana var. brasiliana (L.) Kuntze","275965","Splink","SP","Tamashiro, J.Y.","854","Native","Bronze","Low","Pedra do bauzinho","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","RB00552681","GBIF","RB","Arzolla, F.A.R.D.P.","1292","Native","Ouro","Low","Trilha do Bauzinho, Floresta Ombrófila Densa alto-montana.","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Apiaceae","Eryngium","eurycephalum","Malme","APIACEAE Eryngium eurycephalum Malme","166139321","GBIF","Observations","Dominguez, Y.",,"Native","Bronze","Low","São Bento do Sapucaí - State of São Paulo, Brazil","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Apocynaceae","Peplonia","axillaris","(Vell.) Fontella","APOCYNACEAE Peplonia axillaris (Vell.) Fontella","276947","Splink","SP","Tamashiro, J.Y.","864","Native","Ouro","Low","Pedra do Bauzinho","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Apocynaceae","Peplonia","organensis","(E.Fourn.) Fontella & Rapini","APOCYNACEAE Peplonia organensis (E.Fourn.) Fontella & Rapini","HRCB019520","Splink","HRCB","Tamashiro, J.Y.","864","Native","Bronze","Low","Pedra do Bauzinho","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Gymnosperms","Araucariaceae","Araucaria","angustifolia","(Bertol.) Kuntze","ARAUCARIACEAE Araucaria angustifolia (Bertol.) Kuntze","60959105","GBIF","Observations","Weiner, F.",,"Native","Bronze","Low","São Bento do Sapucaí, BR-SP, BR","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Asteraceae","Achyrocline","satureioides","(Lam.) DC.","ASTERACEAE Achyrocline satureioides (Lam.) DC.","UEC155042","Splink","UEC","Arzolla, F.A.R.D.P.","596","Native","Ouro","Low","Brasil, Estado de São paulo, Município de São Bento do Sapucaí, Mirante próximo à Pedra do Baú.","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ",,"Asteraceae","Baccharis","serrulata","DC.|(Lam.) Pers.","ASTERACEAE Baccharis serrulata DC.|Baccharis serrulata (Lam.) Pers.","SP031510","Splink","SP","Tamashiro, J.Y.","848",,"Ouro","Low","Pedra do Bauzinho.","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Asteraceae","Grazielia","intermedia","(DC.) R.M.King & H.Rob.","ASTERACEAE Grazielia intermedia (DC.) R.M.King & H.Rob.","UEC162133","Splink","UEC","Tamashiro, J.Y.","858","Native","Ouro","Low","Brasil, São Paulo, São Bento do Sapucaí, Pedra do Bauzinho.","Não"
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ","Angiosperms","Asteraceae","Mikania","lasiandrae","DC.","ASTERACEAE Mikania lasiandrae DC.","UEC126189","Splink","UEC","Tamashiro, J.Y.","850","Native","Ouro","Low","Pedra do Bauzinho.","Não"
