"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","SPF00120349","Splink","SPF",,"1441","Native","Bronze","High","Reserva Biológica de Andradina, Mata com ca.d e 70 ha., relativamente bem preservada."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Cannabaceae","Celtis","boliviensis","Planch.","CANNABACEAE Celtis boliviensis Planch.","110340","GBIF","SPF","Pereira-Noronha, M.R.","MSP1055",,"Bronze","High","Reserva Biológica de Andradina, Reserva biológica da Estação Experimental de Zootecnia de Andraddina. Mata próximo a córrego e margem de estrada."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Celastraceae","Maytenus",,"Molina","CELASTRACEAE Maytenus Molina","120378","GBIF","SPF","Pereira-Noronha, M.R.","1438",,"Ouro","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Euphorbiaceae","Mabea","fistulifera","Mart.","EUPHORBIACEAE Mabea fistulifera Mart.","110355","GBIF","SPF","Pereira-Noronha, M.R.","MSP1010","Native","Bronze","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Fabaceae","Senegalia","fiebrigii","(Hassl.) Seigler & Ebinger","FABACEAE Senegalia fiebrigii (Hassl.) Seigler & Ebinger","SPF00110347","Splink","SPF",,"MSP1059","Native","Ouro","High","Reserva Biológica de Andradina, Estação Experimental de Zootecnia de Andradina."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Fabaceae","Senegalia","polyphylla","(DC.) Britton & Rose","FABACEAE Senegalia polyphylla (DC.) Britton & Rose","SPF00110801","Splink","SPF",,"MSP1017","Native","Ouro","High","Reserva Biológica de Andradina, Estação Experimental de Zootecnia de Andradina."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Lauraceae","Nectandra","megapotamica","(Spreng.) Mez","LAURACEAE Nectandra megapotamica (Spreng.) Mez","110342","GBIF","SPF","Pereira-Noronha, M.R.","MSP1049","Native","Ouro","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Malpighiaceae","Banisteriopsis","muricata","(Cav.) Cuatrec.","MALPIGHIACEAE Banisteriopsis muricata (Cav.) Cuatrec.","SPF00110356","Splink","SPF",,"MSP1036","Native","Ouro","High","Reserva Biológica de Andradina, Mata à margem de estrada."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Malpighiaceae","Banisteriopsis","oxyclada","(A.Juss.) B.Gates","MALPIGHIACEAE Banisteriopsis oxyclada (A.Juss.) B.Gates","SPF00110328","Splink","SPF",,"MSP1004","Native","Ouro","High","Reserva Biológica de Andradina, Mata à margem de estrada."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Polygalaceae","Bredemeyera","floribunda","Willd.","POLYGALACEAE Bredemeyera floribunda Willd.","80980","GBIF","UEC","Pereira-Noronha, M.R.","MSP1007","Native","Ouro","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Rhamnaceae","Gouania","latifolia","Reissek","RHAMNACEAE Gouania latifolia Reissek","82156","GBIF","UEC","Pereira-Noronha, M.R.","MSP1001","Native","Ouro","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Rhamnaceae","Gouania","ulmifolia","Hook. & Arn.","RHAMNACEAE Gouania ulmifolia Hook. & Arn.","SPF00110318","Splink","SPF",,"MSP1035","Native","Ouro","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Rubiaceae","Guettarda","viburnoides","Cham. & Schltdl.","RUBIACEAE Guettarda viburnoides Cham. & Schltdl.","SPF00110321","Splink","SPF",,"MSP1038","Native","Bronze","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Rubiaceae","Rudgea","coronata","(Müll.Arg.) Zappi","RUBIACEAE Rudgea coronata subsp. ochroleuca (Müll.Arg.) Zappi","110322","GBIF","SPF","Pereira-Noronha, M.R.","1027","Native","Ouro","High","Reserva Biológica de Andradina"
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Urticaceae","Cecropia","pachystachya","Trécul","URTICACEAE Cecropia pachystachya Trécul","110352","GBIF","SPF","Pereira-Noronha, M.R.","MSP1046","Native","Bronze","High","Reserva Biológica de Andradina, Reserva Biológica da Estação Experimental de Zootecnia de Andradina. Brejo com taboa e capim rabo de burro."
"RESERVA BIOLÓGICA ANDRADINA","Angiosperms","Vitaceae","Cissus","erosa","Rich.","VITACEAE Cissus erosa Rich.","SPF00110341","Splink","SPF",,"MSP1002","Native","Ouro","High","Reserva Biológica de Andradina"
