"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPANHAPIMA",,"Dryopteridaceae","Bryopteris","filicina","(Sw.) Nees","DRYOPTERIDACEAE Bryopteris filicina (Sw.) Nees","14957","GBIF","UFMT","Daniel, M.V.","10490",,"Latão","Bronze",,"Ilha do Cardoso."
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPANHAPIMA",,,"Callithamnion","uruguayense",,"NA Callithamnion uruguayense","1028","Splink","OBIS_BR",,,,"Bronze","Bronze",,"Baia do Trapande / Ilha da Casca"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPANHAPIMA",,,"Porothamnium","leucocaulon","(Müll.Hal.) M.Fleisch.","NA Porothamnium leucocaulon (Müll.Hal.) M.Fleisch.","15062","GBIF","UFMT","Daniel, M.V.","10489",,"Bronze","Bronze",,
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPANHAPIMA",,,"Taxithelium","planum","(Brid.) Mitt.","NA Taxithelium planum (Brid.) Mitt.","15178","GBIF","UFMT","Daniel, M.V.","10485",,"Bronze","Bronze",,
