"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Anacardiaceae","Lithraea","molleoides","(Vell.) Engl.","ANACARDIACEAE Lithraea molleoides (Vell.) Engl.","80521","GBIF","UEC","Cardoso-Leite, E.","393","Native","Bronze","Medium","Mata da Câmara"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","80522","GBIF","UEC","Cardoso-Leite, E.","139","Native","Ouro","Medium","Mata da Câmara, Mata mesófila semidecídua."
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Annonaceae","Annona","cacans","Warm.","ANNONACEAE Annona cacans Warm.","80516","GBIF","UEC",,"310","Native","Latão","Medium","Mata da Câmara."
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Annonaceae","Annona","emarginata","(Schltdl.) H.Rainer","ANNONACEAE Annona emarginata (Schltdl.) H.Rainer","23788","GBIF","HRCB","Cardoso-Leite, E.","309","Native","Ouro","Medium","Mata da Câmara"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Annonaceae","Annona","sylvatica","A.St.-Hil.","ANNONACEAE Annona sylvatica A.St.-Hil.","80517","GBIF","UEC","Cardoso-Leite, E.","242","Native","Ouro","Medium","Mata da Câmara."
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","23786","GBIF","HRCB","Cardoso-Leite, E.","276","Native","Ouro","Medium","Mata da Câmara"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Apocynaceae","Aspidosperma","olivaceum","Müll.Arg.","APOCYNACEAE Aspidosperma olivaceum Müll.Arg.","80509","GBIF","UEC","Cardoso-Leite, E.","206","Native","Ouro","Medium","Mata da Câmara"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Apocynaceae","Rauvolfia","sellowii","Müll.Arg.","APOCYNACEAE Rauvolfia sellowii Müll.Arg.","80512","GBIF","UEC",,"384","Native","Latão","Medium","Mata da Câmara."
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Apocynaceae","Tabernaemontana","hystrix","Steud.","APOCYNACEAE Tabernaemontana hystrix Steud.","23773","GBIF","HRCB","Cardoso-Leite, E.","400","Native","Ouro","Medium","Mata da Câmara"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Araliaceae","Didymopanax","calvus","(Cham.) Decne. & Planch.","ARALIACEAE Didymopanax calvus (Cham.) Decne. & Planch.","80508","GBIF","UEC","Leite, C.","348","Native","Bronze","Medium","Mata da Câmara"
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Asparagaceae","Cordyline","fruticosa","(L.) A.Chev.","ASPARAGACEAE Cordyline fruticosa (L.) A.Chev.","026784","GBIF","ESA","Cardoso-Leite, E.","294","Cultivated","Bronze","Medium","Mata da Câmara."
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Asparagaceae","Cordyline","spectabilis","Kunth & Bouché","ASPARAGACEAE Cordyline spectabilis Kunth & Bouché","80643","GBIF","UEC",,"294","Native","Latão","Medium","Mata da Câmara."
"PARQUE NATURAL MUNICIPAL SÃO ROQUE","Angiosperms","Asteraceae","Dasyphyllum","brasiliense","(Spreng.) Cabrera","ASTERACEAE Dasyphyllum brasiliense (Spreng.) Cabrera","23736","GBIF","HRCB","Cardoso-Leite, E.","334","Native","Ouro","Medium","Mata da Câmara"
