"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","dasycephala","(Cham. & Schltdl.) Bacigalupo & E.L.Cabral","RUBIACEAE Borreria dasycephala (Cham. & Schltdl.) Bacigalupo & E.L.Cabral","153442","GBIF","UEC","Dutra, L.L.","110","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Final do caminho da Bela Vista"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","schumannii","(Standl. ex Bacigalupo) E.L.Cabral & Sobrado","RUBIACEAE Borreria schumannii (Standl. ex Bacigalupo) E.L.Cabral & Sobrado","208262","GBIF","UEC","Dutra, L.L.","49","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","verticillata","(L.) G.Mey.","RUBIACEAE Borreria verticillata (L.) G.Mey.","RB01475405","GBIF","RB","Dutra, L.L.","33","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Pontinha"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Chomelia","pedunculosa","Benth.","RUBIACEAE Chomelia pedunculosa Benth.","208192","GBIF","UEC","Giaquinto, C.B.","108","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba. Núcleo Olho D'Água próximo á estrada da trilha dosGravatás."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Chomelia","pohliana","Müll.Arg.","RUBIACEAE Chomelia pohliana Müll.Arg.","497740","GBIF","SP","Lima, M.E.L.","1677","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coccocypselum","capitatum","(Graham) C.B.Costa & Mamede","RUBIACEAE Coccocypselum capitatum (Graham) C.B.Costa & Mamede","RB01480966","GBIF","RB","Dutra, L.L.","129","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Braço à esquerda na Trilha da Pontinha"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coccocypselum","cordifolium","Nees & Mart.","RUBIACEAE Coccocypselum cordifolium Nees & Mart.","UEC191810","Splink","UEC",,"84","Native","Bronze","High","Parque natural municipal nascentes de Paranapiacaba, trilha da comunidade."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coccocypselum","geophiloides","Wawra","RUBIACEAE Coccocypselum geophiloides Wawra","RB01480938","GBIF","RB","Dutra, L.L.","04","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha das Hortênsias"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coccocypselum","hasslerianum","Chodat","RUBIACEAE Coccocypselum hasslerianum Chodat","UEC191682","Splink","UEC",,"242","Native","Ouro","Low","Caminho da Bela Vista"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Cordiera","myrciifolia","(K.Schum.) C.H.Perss. & Delprete","RUBIACEAE Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete","514877","GBIF","SP","Lima, M.E.L.","1468","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coussarea","contracta","(Walp.) Müll.Arg.","RUBIACEAE Coussarea contracta (Walp.) Müll.Arg.","UEC191777","Splink","UEC",,"1","Native","Bronze","High","Brasil, São Paulo, Santo André: Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Pontinha."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Diodia","saponariifolia","(Cham. & Schltdl.) K.Schum.","RUBIACEAE Diodia saponariifolia (Cham. & Schltdl.) K.Schum.","RB01475356","GBIF","RB","Dutra, L.L.","68","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba. Estrada da Bela Vista"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Emmeorhiza","umbellata","(Spreng.) K.Schum.","RUBIACEAE Emmeorhiza umbellata (Spreng.) K.Schum.","RB01492281","GBIF","RB","Dutra, L.L.","87","Native","Bronze","Low","Trilha da Comunidade"
