"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Acanthaceae","Sanchezia","parvibracteata","Sprague & Hutch.","ACANTHACEAE Sanchezia parvibracteata Sprague & Hutch.","174715487","GBIF","Observations","Rosa, R.",,"Cultivated","Ouro","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Apocynaceae","Aspidosperma",,"Mart. & Zucc.","APOCYNACEAE Aspidosperma Mart. & Zucc.","57342","Splink","IAC","Bernacci, L.C.","4922",,"Bronze","Low","Praia do Toque-Toque Grande, costão à esquerda","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Araceae","Dieffenbachia","seguine","(Jacq.) Schott","ARACEAE Dieffenbachia seguine (Jacq.) Schott","240608885","GBIF","Observations","Rosa, R.",,"Native","Bronze","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Araceae","Thaumatophyllum","bipinnatifidum","(Schott ex Endl.) Sakur., Calazans & Mayo","ARACEAE Thaumatophyllum bipinnatifidum (Schott ex Endl.) Sakur., Calazans & Mayo","227939580","GBIF","Observations","Henrycc",,"Native","Bronze","Low","Parque Estadual da Serra do Mar, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Asteraceae","Sphagneticola","trilobata","(L.) Pruski","ASTERACEAE Sphagneticola trilobata (L.) Pruski","182705670","GBIF","Observations","Rosa, R.",,"Native","Bronze","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Balsaminaceae","Impatiens","walleriana","Hook.f.","BALSAMINACEAE Impatiens walleriana Hook.f.","177668166","GBIF","Observations","Mgreilhuber",,"Naturalized","Bronze","Low","Pitangueiras, São Sebastião - SP, Brasilien","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Begoniaceae","Begonia","curtii","L.B.Sm. & B.G.Schub.","BEGONIACEAE Begonia curtii L.B.Sm. & B.G.Schub.","HUSC015714","Splink","HUSC","Miranda, M.D.","554","Native","Bronze","Low","Praia Brava","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Begoniaceae","Begonia","windischii","L.B.Sm. ex S.F.Sm. & Wassh.","BEGONIACEAE Begonia windischii L.B.Sm. ex S.F.Sm. & Wassh.","541100","Splink","SP","Miranda, M.D.","581","Native","Bronze","Low","praia Brava","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Bromeliaceae","Aechmea","coelestis","(K.Koch) É.Morren","BROMELIACEAE Aechmea coelestis (K.Koch) É.Morren","196011511","GBIF","Observations","Cesarperitop",,"Native","Bronze","Low","São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Bromeliaceae","Billbergia","zebrina","(Herb.) Lindl.","BROMELIACEAE Billbergia zebrina (Herb.) Lindl.","227939729","GBIF","Observations","Henrycc",,"Native","Bronze","Low","Parque Estadual da Serra do Mar, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Bromeliaceae","Tillandsia","stricta","Sol.","BROMELIACEAE Tillandsia stricta Sol.","204738111","GBIF","Observations","Rosa, R.",,"Native","Bronze","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Cactaceae","Lepismium","cruciforme","(Vell.) Miq.","CACTACEAE Lepismium cruciforme (Vell.) Miq.","175428861","GBIF","Observations","Pietro",,"Native","Bronze","Low","São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Combretaceae","Terminalia","catappa","L.","COMBRETACEAE Terminalia catappa L.","204738312","GBIF","Observations","Rosa, R.",,"Naturalized","Bronze","Low","São Sebastião, São Paulo, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Commelinaceae","Tradescantia","zebrina","Heynh. ex Bosse","COMMELINACEAE Tradescantia zebrina Heynh. ex Bosse","192734161","GBIF","Observations","Duffy, E.",,"Naturalized","Bronze","Low","Parque Estadual da Serra do Mar, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Convolvulaceae","Ipomoea","pes-caprae","(L.) R.Br.","CONVOLVULACEAE Ipomoea pes-caprae (L.) R.Br.","99875288","GBIF","Observations","Guilherme, P.",,"Native","Bronze","Low","Pitangueiras, São Sebastião - SP, Brasil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Convolvulaceae","Ipomoea","tiliacea","(Willd.) Choisy","CONVOLVULACEAE Ipomoea tiliacea (Willd.) Choisy","196009852","GBIF","Observations","Cesarperitop",,"Native","Bronze","Low","Rua do Porto Grande, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Cyperaceae","Carex",,"L.","CYPERACEAE Carex L.",,"GBIF",,"Augusto/pedro/maysa",,,"Latão","Low","Sao Sebastiao","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Fabaceae","Mimosa","pudica","L.","FABACEAE Mimosa pudica L.","141907400","GBIF","Observations","Rosa, R.",,"Native","Bronze","Low","Pitangueiras, São Sebastião - SP, Brasil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Gesneriaceae","Sinningia","iarae","Chautems","GESNERIACEAE Sinningia iarae Chautems","HUSC015721","Splink","HUSC","Miranda, M.D.","580","Native","Bronze","Low","Praia Brava","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Heliconiaceae","Heliconia","rostrata","Ruiz & Pav.","HELICONIACEAE Heliconia rostrata Ruiz & Pav.","192661046","GBIF","Observations","Duffy, E.",,"Native","Bronze","Low","Parque Estadual da Serra do Mar, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Malvaceae","Hibiscus","schizopetalus","(Mast.) Hook.f.","MALVACEAE Hibiscus schizopetalus (Mast.) Hook.f.","174715640","GBIF","Observations","Rosa, R.",,"Cultivated","Bronze","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Malvaceae","Malvaviscus","penduliflorus","DC.","MALVACEAE Malvaviscus penduliflorus DC.","192630683","GBIF","Observations","Duffy, E.",,"Cultivated","Bronze","Low","São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Moraceae","Artocarpus","heterophyllus","Lam.","MORACEAE Artocarpus heterophyllus Lam.","182704876","GBIF","Observations","Rosa, R.",,"Naturalized","Bronze","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Moraceae","Ficus",,"L.","MORACEAE Ficus L.","57343","Splink","IAC","Bernacci, L.C.","4921",,"Bronze","Low","Praia do Toque-Toque Grande, costão à esquerda","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Myrtaceae","Eugenia","uniflora","L.","MYRTACEAE Eugenia uniflora L.","188375694","GBIF","Observations","Rosa, R.",,"Native","Bronze","Low","Pitangueiras, São Sebastião - SP, Brazil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Orchidaceae","Oeceoclades","maculata","(Lindl.) Lindl.","ORCHIDACEAE Oeceoclades maculata (Lindl.) Lindl.","17085618","GBIF","Observations","Marcia_kurtz",,"Naturalized","Bronze","Low","Pitangueiras, São Sebastião - SP, Brasil","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Oxalidaceae","Oxalis","triangularis","A.St.-Hil.","OXALIDACEAE Oxalis triangularis A.St.-Hil.","15199292","GBIF","Observations","Horta, E.M.",,"Native","Bronze","Low","11600-000, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Poaceae","Bambusa","vulgaris","Schrad. ex J.C.Wendl.","POACEAE Bambusa vulgaris Schrad. ex J.C.Wendl.","15222588","GBIF","Observations","Horta, E.M.",,"Naturalized","Bronze","Low","11600-000, São Sebastião, SP, BR","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","astrolepis","(Liebm.) E.Fourn.","POLYPODIACEAE Pleopeltis astrolepis (Liebm.) E.Fourn.","HUSC014714","Splink","HUSC","Lima, M.","43","Native","Latão","Low","Altitude: 10m. Árvore no canto direito da praia.","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Sapindaceae",,,"Juss.","SAPINDACEAE Sapindaceae Juss.","SPFR018603","Splink","SPFR","Barosela, J.R.","256",,"Latão","Low","Cebimar, ao lado do prédio do refeitório","Não"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Angiosperms","Talinaceae","Talinum","paniculatum","(Jacq.) Gaertn.","TALINACEAE Talinum paniculatum (Jacq.) Gaertn.","77658893","GBIF","Observations","Marcia_kurtz",,"Native","Bronze","Low","São Sebastião - SP, Brasil","Não"
