"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE ESTADUAL RIO PEIXE","Angiosperms","Malvaceae","Luehea",,"Willd.","MALVACEAE Luehea Willd.","HRB00010192","Splink","HRB",,"144",,"Latão","Low","próximo ao rio Peixe, BR-158 Folha Cartográfica SF-22-V-B Coordenada Coletada."
"PARQUE ESTADUAL RIO PEIXE","Angiosperms","Poaceae","Megathyrsus","maximus","(Jacq.) B.K.Simon & S.W.L.Jacobs","POACEAE Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs","162875993","GBIF","Observations","Dalvamatos",,"Naturalized","Bronze","Low","Pres. Venceslau - SP, 19400-000, Brasil"
