"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Aphelandra","chamissoniana","Nees","ACANTHACEAE Aphelandra chamissoniana Nees","ESA071202","Splink","ESA","Souza, J.P.","3371","Native","Bronze","Low","Trilha do Escorrega, Sítio Urucurana. Interior de Mata Ombrófila Densa de Encosta com perturbação","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","HRCB024757","Splink","HRCB","Goldenberg, R.","328","Native","Ouro","Low","Vale do Ribeirão do Braço.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","ESA071203","Reflora","ESA","Souza, J.P.","3364","Native","Ouro","Low","Trilha do Escorrega, Sítio Urucurana. Interior de Mata Ombrófila Densa de Encosta com perturbação","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Clistax","brasiliensis","Mart.","ACANTHACEAE Clistax brasiliensis Mart.","SPF00118674","GBIF","SPF","Shepherd, G.J.","9520","Native","Bronze","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Dicliptera","squarrosa","Nees","ACANTHACEAE Dicliptera squarrosa Nees","SPFR017849","Splink","SPFR","Boscolo, D.","42","Native","Ouro","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Dyschoriste","schottiana","(Nees) Kobuski","ACANTHACEAE Dyschoriste schottiana (Nees) Kobuski","SPF00152111","GBIF","SPF","Souza, J.P.","3424","Native","Prata","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Hypoestes",,"Sol. ex R. Br.","ACANTHACEAE Hypoestes Sol. ex R. Br.","SPF00139784","GBIF","SPF","Groppo, M.","336",,"Bronze","Low","Cidade Universitária Armando de Salles Oliveira","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","FUEL056352","Splink","FUEL","Biral, L.","1708","Native","Bronze","Medium","Área de Proteção Ambiental de São Francisco Xavier, Trilha do Jorge, subida para o Pico da Onça","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Justicia","cyrtantheriformis","(Rizzini) Profice","ACANTHACEAE Justicia cyrtantheriformis (Rizzini) Profice","HUEFS0152435","Splink","HUEFS","Brade, A.C.","20944","Native","Ouro","Low","Serra da Bocina.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Justicia","dasyclados","(Mart. ex Nees) Lindau","ACANTHACEAE Justicia dasyclados (Mart. ex Nees) Lindau","SP032687","Splink","SP","Puttemanns, A.","CGG4354","Native","Latão","Low","Mata.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","HUEFS00038352","GBIF","HUEFS","Souza, V.C.","11149","Native","Latão","Low","Estrada em torno da Represa Atibainha.","Não"
