"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","12916","GBIF","HUSC","Ferraz, D.R.","01","Native","Bronze","Low","Parque Estadual Restinga de Bertioga, rio Itapanhaú"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Alstroemeriaceae","Bomarea","edulis","(Tussac) Herb.","ALSTROEMERIACEAE Bomarea edulis (Tussac) Herb.","40007916","GBIF","Observations","Lopes, E.",,"Native","Bronze","Low","Guarujá - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Amaranthaceae","Blutaparon","portulacoides","(A.St.-Hil.) Mears","AMARANTHACEAE Blutaparon portulacoides (A.St.-Hil.) Mears","41670","GBIF","SPSF","Moura, C.","294","Native","Bronze","Low","Reserva de Desenvolvimento Sustentável Barra do Una"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","158323145","GBIF","Observations","Lima, B.",,"Native","Bronze","Low","São Paulo, BR"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Ferns and Lycophytes","Anemiaceae","Anemia",,"Sw.","ANEMIACEAE Anemia Sw.","15033","GBIF","HUSC","Ambiental, A.C.","Florística",,"Latão","Low","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Annonaceae","Annona","glabra","L.","ANNONACEAE Annona glabra L.","15405","GBIF","HUSC","Ambiental, A.C.","853","Native","Bronze","Low","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","36799027","GBIF","Observations","Fischer, G.A.",,"Native","Bronze","Low","Praia Brava, São Sebastião - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apiaceae","Centella","asiatica","(L.) Urb.","APIACEAE Centella asiatica (L.) Urb.","13195","GBIF","BOTU","Amaral Junior, A.C.J.",,"Native","Latão","Low",
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apocynaceae","Allamanda","cathartica","L.","APOCYNACEAE Allamanda cathartica L.","U.1088323","Splink","L",,"Gottsberger, IS; Gottsberger, GK 201272/ 24","Native","Ouro","Low",
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apocynaceae","Asclepias","curassavica","L.","APOCYNACEAE Asclepias curassavica L.","RB01039770","GBIF","RB","Magalhaes, A.M.","51","Native","Ouro","Low","Ilha Queimada Grande. farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apocynaceae","Aspidosperma","australe","Müll.Arg.","APOCYNACEAE Aspidosperma australe Müll.Arg.","40387","GBIF","SPSF","Bertani, D.F.","QT 10","Native","Latão","Low","Ilha da Queimada Grande"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apocynaceae","Mandevilla","luetzelburgii","(H.Ross & Markgr.) Woodson","APOCYNACEAE Mandevilla luetzelburgii (H.Ross & Markgr.) Woodson","WAG.1608695","Splink","L",,"Gottsberger, IS; Gottsberger, GK 11 -15127","Native","Latão","Low","Bertioga, 1 km W of the village, along the river which is flowing into he sea."
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apocynaceae","Temnadenia","odorifera","(Vell.) J.F.Morales","APOCYNACEAE Temnadenia odorifera (Vell.) J.F.Morales","15118","GBIF","HUSC","Ambiental, A.C.","Florística","Native","Bronze","Low","Parque Estadual Restinga de Bertioga, Rio Itapanhau, Transecto TR1"
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","Angiosperms","Apocynaceae","Temnadenia","violacea","(Vell.) Miers","APOCYNACEAE Temnadenia violacea (Vell.) Miers","40408","GBIF","SPSF","Bertani, D.F.","19","Native","Latão","Low","Ilha da Queimada Pequena"
