"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO","Angiosperms","Bromeliaceae","Tillandsia","tricholepis","Baker","BROMELIACEAE Tillandsia tricholepis Baker",,"GBIF",,,,"Native","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO","Angiosperms","Fabaceae","Inga","vera","Willd.","FABACEAE Inga vera Willd.",,"GBIF",,,,"Native","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO","Angiosperms","Fabaceae","Schizolobium","parahyba","(Vell.) Blake","FABACEAE Schizolobium parahyba (Vell.) Blake","177680683","GBIF","Observations","Peracini, A.J.",,"Native","Bronze","Low","São Paulo, BR","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO","Angiosperms","Lamiaceae","Marsypianthes","chamaedrys","(Vahl) Kuntze","LAMIACEAE Marsypianthes chamaedrys (Vahl) Kuntze","HUEFS00233206","GBIF","HUEFS","Antar, G.M.","918","Native","Prata","Low","Chácara localizada após aproximadamente 3 Km em estrada viscinal, partindo de entrada no Km 72 da rodovia Raposo Tavares.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO","Angiosperms","Lauraceae","Cryptocarya","aschersoniana","Mez","LAURACEAE Cryptocarya aschersoniana Mez","1277","GBIF","CENA/USP","Moraes, P.L.R.",,"Native","Ouro","Low","Serra do Japi","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO","Angiosperms","Papaveraceae","Argemone","mexicana","L.","PAPAVERACEAE Argemone mexicana L.",,"GBIF",,,,"Naturalized","Latão","Low",,"Não"
