"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","104543093","GBIF","Observations","Ferreira, M.S.",,"Native","Bronze","Low","Ilhabela, SP, 11630-000, Brasil","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","SPF00110256","Splink","SPF","Rapini, A.","46","Native","Bronze","High","Parque Estadual de Ilhabela","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Acanthaceae","Thunbergia","alata","Bojer ex Sims","ACANTHACEAE Thunbergia alata Bojer ex Sims","192279385","GBIF","Observations","Irmi",,"Naturalized","Bronze","Low","Ilhabela - São Paulo, Brasilien","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Alstroemeriaceae","Alstroemeria",,"L.","ALSTROEMERIACEAE Alstroemeria L.","MG076485","GBIF","MG","Rosa, N.A.","3869",,"Latão","Low","Reserva Biológoca do Alto da Serra Paranapiacaba","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Alstroemeriaceae","Bomarea","edulis","(Tussac) Herb.","ALSTROEMERIACEAE Bomarea edulis (Tussac) Herb.","103049876","GBIF","Observations","Zabin, D.",,"Native","Bronze","Low","Ilhabela - SP, Brasil","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Apocynaceae","Mandevilla","atroviolacea","(Stadelm.) Woodson","APOCYNACEAE Mandevilla atroviolacea (Stadelm.) Woodson","MG076489","GBIF","MG","Rosa, N.A.","3873","Native","Ouro","Low","Santo André","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Apocynaceae","Mandevilla","pendula","(Ule) Woodson","APOCYNACEAE Mandevilla pendula (Ule) Woodson","178646","Splink","SP","Rosa, N.A.","3873","Native","Bronze","Low","E.B. do Alto da Serra de Paranapiacaba","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Araceae","Anthurium","intermedium","Kunth","ARACEAE Anthurium intermedium Kunth","48722","GBIF","UEC","Hutchison, P.C.","8866","Native","Ouro","Low","Ilhabela","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Araceae","Anthurium","sellowianum","Kunth","ARACEAE Anthurium sellowianum Kunth","178662","Splink","SP","Rosa, N.A.","3878","Native","Ouro","Low","E.B. do Alto da Serra de Paranapiacaba","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Araceae","Philodendron","loefgrenii","Engl.","ARACEAE Philodendron loefgrenii Engl.","MG076514","GBIF","MG","Rosa, N.A.","3897","Native","Ouro","Low","Santo André","Não"
"PARQUE ESTADUAL DE ILHABELA","Angiosperms","Araliaceae","Dendropanax","cuneatus","(DC.) Decne. & Planch.","ARALIACEAE Dendropanax cuneatus (DC.) Decne. & Planch.","SP010728","Splink","SP","Kirizawa, M.","3197","Native","Ouro","High","Parque Estadual de Ilhabela, Trilha Toca da Goteira","Não"
