"country","stateProvince","municipality","locality","latitude","longitude","loc.ideal","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Santa Branca","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-23.3645404456826","-45.8383262364377","brazil_sao paulo_santa branca_area protecao ambiental bacia paraiba sul","brazil","sao paulo","santa branca","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_santa branca","brazil_sao paulo_santa branca",-23.42553678,-45.86344906,"county"
"Brazil","São Paulo","Santa Isabel","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-23.2761581112527","-46.2536684285964","brazil_sao paulo_santa isabel_area protecao ambiental bacia paraiba sul","brazil","sao paulo","santa isabel","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_santa isabel","brazil_sao paulo_santa isabel",-23.28881474,-46.24197125,"county"
"Brazil","São Paulo","Santo Antônio do Pinhal","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-22.8597965489065","-45.7544973659176","brazil_sao paulo_santo antonio pinhal_area protecao ambiental bacia paraiba sul","brazil","sao paulo","santo antonio do pinhal","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_santo antonio pinhal","brazil_sao paulo_santo antonio pinhal",-22.83155421,-45.69786919,"county"
"Brazil","São Paulo","São José do Barreiro","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-22.6615773496224","-44.5626101914172","brazil_sao paulo_sao jose barreiro_area protecao ambiental bacia paraiba sul","brazil","sao paulo","sao jose do barreiro","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county"
"Brazil","São Paulo","São José dos Campos","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-23.0383294650757","-45.9492025407056","brazil_sao paulo_sao jose campos_area protecao ambiental bacia paraiba sul","brazil","sao paulo","sao jose dos campos","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county"
"Brazil","São Paulo","São Luiz do Paraitinga","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-23.1091133747837","-45.3392526224835","brazil_sao paulo_sao luiz paraitinga_area protecao ambiental bacia paraiba sul","brazil","sao paulo","sao luiz do paraitinga","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county"
"Brazil","São Paulo","Silveiras","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-22.7455842085609","-44.8508597947244","brazil_sao paulo_silveiras_area protecao ambiental bacia paraiba sul","brazil","sao paulo","silveiras","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county"
"Brazil","São Paulo","Taubaté","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL","-23.1161238354696","-45.4348169710894","brazil_sao paulo_taubate_area protecao ambiental bacia paraiba sul","brazil","sao paulo","taubate","area de protecao ambiental bacia do paraiba do sul",NA,"locality","brazil_sao paulo_taubate","brazil_sao paulo_taubate",-23.08684248,-45.50224771,"county"
"Brazil","São Paulo","Anhembi","ESTAÇÃO ECOLÓGICA DO BARREIRO RICO","-22.6770660015867","-48.1489660856912","brazil_sao paulo_anhembi_estacao ecologica barreiro rico","brazil","sao paulo","anhembi","estacao ecologica do barreiro rico",NA,"locality","brazil_sao paulo_anhembi","brazil_sao paulo_anhembi",-22.79988583,-48.17465099,"county"
"Brazil","São Paulo","Barra do Turvo","PARQUE ESTADUAL CAVERNA DO DIABO","-24.7217113780663","-48.4355779602075","brazil_sao paulo_barra turvo_parque estadual caverna diabo","brazil","sao paulo","barra do turvo","parque estadual caverna do diabo",NA,"locality","brazil_sao paulo_barra turvo","brazil_sao paulo_barra turvo",-24.88829261,-48.42712091,"county"
