"","country","stateProvince","municipality","locality","loc","loc.correct","latitude","longitude","resolution.gazetteer","source"
"974","Brazil","São Paulo","Cubatão","RPPN CARBOCLORO S/A","brazil_sao paulo_cubatao_reserva particular patrimonio natural carbocloro s","brazil_sao paulo_cubatao_rppn carbocloro s",-23.8921635311675,-46.4421249969237,"locality","cnuc_ibge"
"549","Brazil","São Paulo","Cunha","APA SILVEIRAS","brazil_sao paulo_cunha_apa silveiras","brazil_sao paulo_cunha_apa silveiras",-22.8484026782375,-44.8271536523873,"locality","cnuc_ibge"
"1286","Brazil","São Paulo","Cunha","APA SILVEIRAS","brazil_sao paulo_cunha_area protecao ambiental silveiras","brazil_sao paulo_cunha_apa silveiras",-22.8484026782375,-44.8271536523873,"locality","cnuc_ibge"
"647","Brazil","São Paulo","Cunha","PE DA SERRA DO MAR","brazil_sao paulo_cunha_pe serra mar","brazil_sao paulo_cunha_pe serra mar (nucleo cunha)",-23.2632878528955,-45.0601950859492,"locality","cnuc_ibge"
"1384","Brazil","São Paulo","Cunha","PE DA SERRA DO MAR","brazil_sao paulo_cunha_parque estadual serra mar","brazil_sao paulo_cunha_pe serra mar (nucleo cunha)",-23.2632878528955,-45.0601950859492,"locality","cnuc_ibge"
"672","Brazil","São Paulo","Diadema","PE DAS FONTES DO IPIRANGA","brazil_sao paulo_diadema_pe fontes ipiranga","brazil_sao paulo_diadema_pe fontes ipiranga",-23.6636806231325,-46.6253387705423,"locality","cnuc_ibge"
"1409","Brazil","São Paulo","Diadema","PE DAS FONTES DO IPIRANGA","brazil_sao paulo_diadema_parque estadual fontes ipiranga","brazil_sao paulo_diadema_pe fontes ipiranga",-23.6636806231325,-46.6253387705423,"locality","cnuc_ibge"
"387","Brazil","São Paulo","Dois Córregos","APA CUESTA CORUMBATAÍ","brazil_sao paulo_dois corregos_apa cuesta corumbatai","brazil_sao paulo_dois corregos_apa cuesta corumbatai",-22.4916621777893,-48.3218051678436,"locality","cnuc_ibge"
"1124","Brazil","São Paulo","Dois Córregos","APA CUESTA CORUMBATAÍ","brazil_sao paulo_dois corregos_area protecao ambiental cuesta corumbatai","brazil_sao paulo_dois corregos_apa cuesta corumbatai",-22.4916621777893,-48.3218051678436,"locality","cnuc_ibge"
"731","Brazil","São Paulo","Dois Córregos","APA TANQUÃ-RIO PIRACICABA","brazil_sao paulo_dois corregos_apa tanqua rio piracicaba","brazil_sao paulo_dois corregos_apa tanqua rio piracicaba",-22.5924647044819,-48.2920228482354,"locality","cnuc_ibge"
"1468","Brazil","São Paulo","Dois Córregos","APA TANQUÃ-RIO PIRACICABA","brazil_sao paulo_dois corregos_area protecao ambiental tanqua rio piracicaba","brazil_sao paulo_dois corregos_apa tanqua rio piracicaba",-22.5924647044819,-48.2920228482354,"locality","cnuc_ibge"
"313","Brazil","São Paulo","Dracena","PE DO RIO PEIXE","brazil_sao paulo_dracena_pe rio peixe","brazil_sao paulo_dracena_pe rio peixe",-21.6221086627919,-51.6774965307205,"locality","cnuc_ibge"
"1050","Brazil","São Paulo","Dracena","PE DO RIO PEIXE","brazil_sao paulo_dracena_parque estadual rio peixe","brazil_sao paulo_dracena_pe rio peixe",-21.6221086627919,-51.6774965307205,"locality","cnuc_ibge"
"512","Brazil","São Paulo","Duartina","APA RIO BATALHA","brazil_sao paulo_duartina_apa rio batalha","brazil_sao paulo_duartina_apa rio batalha",-22.3338051841494,-49.3551989796659,"locality","cnuc_ibge"
"1249","Brazil","São Paulo","Duartina","APA RIO BATALHA","brazil_sao paulo_duartina_area protecao ambiental rio batalha","brazil_sao paulo_duartina_apa rio batalha",-22.3338051841494,-49.3551989796659,"locality","cnuc_ibge"
"504","Brazil","São Paulo","Eldorado","APA QUILOMBOS DO MÉDIO RIBEIRA","brazil_sao paulo_eldorado_apa quilombos medio ribeira","brazil_sao paulo_eldorado_apa quilombos medio ribeira",-24.5383975798101,-48.3567276727169,"locality","cnuc_ibge"
"1241","Brazil","São Paulo","Eldorado","APA QUILOMBOS DO MÉDIO RIBEIRA","brazil_sao paulo_eldorado_area protecao ambiental quilombos medio ribeira","brazil_sao paulo_eldorado_apa quilombos medio ribeira",-24.5383975798101,-48.3567276727169,"locality","cnuc_ibge"
"532","Brazil","São Paulo","Eldorado","APA SERRA DO MAR","brazil_sao paulo_eldorado_apa serra mar","brazil_sao paulo_eldorado_apa serra mar",-24.4056681519834,-48.2126804120315,"locality","cnuc_ibge"
"1269","Brazil","São Paulo","Eldorado","APA SERRA DO MAR","brazil_sao paulo_eldorado_area protecao ambiental serra mar","brazil_sao paulo_eldorado_apa serra mar",-24.4056681519834,-48.2126804120315,"locality","cnuc_ibge"
"64","Brazil","São Paulo","Eldorado","EEC DE XITUÉ","brazil_sao paulo_eldorado_eec xitue","brazil_sao paulo_eldorado_eec xitue",-24.2999513998828,-48.3238997918549,"locality","cnuc_ibge"
"801","Brazil","São Paulo","Eldorado","EEC DE XITUÉ","brazil_sao paulo_eldorado_estacao ecologica xitue","brazil_sao paulo_eldorado_eec xitue",-24.2999513998828,-48.3238997918549,"locality","cnuc_ibge"
"39","Brazil","São Paulo","Eldorado","PE CAVERNA DO DIABO","brazil_sao paulo_eldorado_pe caverna diabo","brazil_sao paulo_eldorado_pe caverna diabo",-24.7061933964215,-48.3400644593983,"locality","cnuc_ibge"
"776","Brazil","São Paulo","Eldorado","PE CAVERNA DO DIABO","brazil_sao paulo_eldorado_parque estadual caverna diabo","brazil_sao paulo_eldorado_pe caverna diabo",-24.7061933964215,-48.3400644593983,"locality","cnuc_ibge"
"113","Brazil","São Paulo","Eldorado","PE DO RIO TURVO","brazil_sao paulo_eldorado_pe rio turvo","brazil_sao paulo_eldorado_pe rio turvo",-24.7994788107472,-48.315985145877,"locality","cnuc_ibge"
"850","Brazil","São Paulo","Eldorado","PE DO RIO TURVO","brazil_sao paulo_eldorado_parque estadual rio turvo","brazil_sao paulo_eldorado_pe rio turvo",-24.7994788107472,-48.315985145877,"locality","cnuc_ibge"
"69","Brazil","São Paulo","Eldorado","PE INTERVALES","brazil_sao paulo_eldorado_pe intervales","brazil_sao paulo_eldorado_pe intervales",-24.2962786560036,-48.2246272041071,"locality","cnuc_ibge"
"806","Brazil","São Paulo","Eldorado","PE INTERVALES","brazil_sao paulo_eldorado_parque estadual intervales","brazil_sao paulo_eldorado_pe intervales",-24.2962786560036,-48.2246272041071,"locality","cnuc_ibge"
"137","Brazil","São Paulo","Eldorado","PE NASCENTES DO PARANAPANEMA","brazil_sao paulo_eldorado_pe nascentes paranapanema","brazil_sao paulo_eldorado_pe nascentes paranapanema",-24.2452262452593,-48.1874511566675,"locality","cnuc_ibge"
"874","Brazil","São Paulo","Eldorado","PE NASCENTES DO PARANAPANEMA","brazil_sao paulo_eldorado_parque estadual nascentes paranapanema","brazil_sao paulo_eldorado_pe nascentes paranapanema",-24.2452262452593,-48.1874511566675,"locality","cnuc_ibge"
"85","Brazil","São Paulo","Embu-Guaçu","APA MUNICIPAL DO CAPIVARI-MONOS","brazil_sao paulo_embu guacu_apa municipal capivari monos","brazil_sao paulo_embu guacu_apa municipal capivari monos",-23.9012781063946,-46.8031907733017,"locality","cnuc_ibge"
"822","Brazil","São Paulo","Embu-Guaçu","APA MUNICIPAL DO CAPIVARI-MONOS","brazil_sao paulo_embu guacu_area protecao ambiental municipal capivari monos","brazil_sao paulo_embu guacu_apa municipal capivari monos",-23.9012781063946,-46.8031907733017,"locality","cnuc_ibge"
"632","Brazil","São Paulo","Estrela do Norte","RPPN VISTA BONITA","brazil_sao paulo_estrela norte_rppn vista bonita","brazil_sao paulo_estrela norte_rppn vista bonita",-22.5289517305407,-51.7669631727901,"locality","cnuc_ibge"
"1369","Brazil","São Paulo","Estrela do Norte","RPPN VISTA BONITA","brazil_sao paulo_estrela norte_reserva particular patrimonio natural vista bonita","brazil_sao paulo_estrela norte_rppn vista bonita",-22.5289517305407,-51.7669631727901,"locality","cnuc_ibge"
"230","Brazil","São Paulo","Euclides da Cunha Paulista","EEC MICO LEÃO PRETO","brazil_sao paulo_euclides cunha paulista_eec mico leao preto","brazil_sao paulo_euclides cunha paulista_eec mico leao preto",-22.4446180401748,-52.4987120181979,"locality","cnuc_ibge"
"967","Brazil","São Paulo","Euclides da Cunha Paulista","EEC MICO LEÃO PRETO","brazil_sao paulo_euclides cunha paulista_estacao ecologica mico leao preto","brazil_sao paulo_euclides cunha paulista_eec mico leao preto",-22.4446180401748,-52.4987120181979,"locality","cnuc_ibge"
"412","Brazil","São Paulo","Fartura","APA CUESTA PARAPANEMA","brazil_sao paulo_fartura_apa cuesta parapanema","brazil_sao paulo_fartura_apa cuesta parapanema",-23.3891667466717,-49.5224032417772,"locality","cnuc_ibge"
"1149","Brazil","São Paulo","Fartura","APA CUESTA PARAPANEMA","brazil_sao paulo_fartura_area protecao ambiental cuesta parapanema","brazil_sao paulo_fartura_apa cuesta parapanema",-23.3891667466717,-49.5224032417772,"locality","cnuc_ibge"
"513","Brazil","São Paulo","Fernão","APA RIO BATALHA","brazil_sao paulo_fernao_apa rio batalha","brazil_sao paulo_fernao_apa rio batalha",-22.3235005400435,-49.4783118240327,"locality","cnuc_ibge"
"1250","Brazil","São Paulo","Fernão","APA RIO BATALHA","brazil_sao paulo_fernao_area protecao ambiental rio batalha","brazil_sao paulo_fernao_apa rio batalha",-22.3235005400435,-49.4783118240327,"locality","cnuc_ibge"
"679","Brazil","São Paulo","Ferraz de Vasconcelos","PNM CABECEIRAS DO ARICANDUVA","brazil_sao paulo_ferraz vasconcelos_pnm cabeceiras aricanduva","brazil_sao paulo_ferraz vasconcelos_pnm cabeceiras aricanduva",-23.6122049610892,-46.394695872929,"locality","cnuc_ibge"
"1416","Brazil","São Paulo","Ferraz de Vasconcelos","PNM CABECEIRAS DO ARICANDUVA","brazil_sao paulo_ferraz vasconcelos_parque natural municipal cabeceiras aricanduva","brazil_sao paulo_ferraz vasconcelos_pnm cabeceiras aricanduva",-23.6122049610892,-46.394695872929,"locality","cnuc_ibge"
"559","Brazil","São Paulo","Francisco Morato","APA SISTEMA CANTAREIRA","brazil_sao paulo_francisco morato_apa sistema cantareira","brazil_sao paulo_francisco morato_apa sistema cantareira",-23.2578953858806,-46.670482586604,"locality","cnuc_ibge"
"1296","Brazil","São Paulo","Francisco Morato","APA SISTEMA CANTAREIRA","brazil_sao paulo_francisco morato_area protecao ambiental sistema cantareira","brazil_sao paulo_francisco morato_apa sistema cantareira",-23.2578953858806,-46.670482586604,"locality","cnuc_ibge"
"375","Brazil","São Paulo","Franco da Rocha","APA CAJAMAR","brazil_sao paulo_franco rocha_apa cajamar","brazil_sao paulo_franco rocha_apa cajamar",-23.3168152276587,-46.8254039458053,"locality","cnuc_ibge"
"1112","Brazil","São Paulo","Franco da Rocha","APA CAJAMAR","brazil_sao paulo_franco rocha_area protecao ambiental cajamar","brazil_sao paulo_franco rocha_apa cajamar",-23.3168152276587,-46.8254039458053,"locality","cnuc_ibge"
"456","Brazil","São Paulo","Franco da Rocha","APA JUNDIAÍ","brazil_sao paulo_franco rocha_apa jundiai","brazil_sao paulo_franco rocha_apa jundiai",-23.2788365749844,-46.8181908121873,"locality","cnuc_ibge"
"1193","Brazil","São Paulo","Franco da Rocha","APA JUNDIAÍ","brazil_sao paulo_franco rocha_area protecao ambiental jundiai","brazil_sao paulo_franco rocha_apa jundiai",-23.2788365749844,-46.8181908121873,"locality","cnuc_ibge"
"560","Brazil","São Paulo","Franco da Rocha","APA SISTEMA CANTAREIRA","brazil_sao paulo_franco rocha_apa sistema cantareira","brazil_sao paulo_franco rocha_apa sistema cantareira",-23.311832014649,-46.6562042857782,"locality","cnuc_ibge"
"1297","Brazil","São Paulo","Franco da Rocha","APA SISTEMA CANTAREIRA","brazil_sao paulo_franco rocha_area protecao ambiental sistema cantareira","brazil_sao paulo_franco rocha_apa sistema cantareira",-23.311832014649,-46.6562042857782,"locality","cnuc_ibge"
"320","Brazil","São Paulo","Franco da Rocha","PE DO JUQUERY","brazil_sao paulo_franco rocha_pe juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.3470887189597,-46.6950739126803,"locality","cnuc_ibge"
"1057","Brazil","São Paulo","Franco da Rocha","PE DO JUQUERY","brazil_sao paulo_franco rocha_parque estadual juquery","brazil_sao paulo_franco rocha_parque estadual juquery",-23.3470887189597,-46.6950739126803,"locality","cnuc_ibge"
"514","Brazil","São Paulo","Gália","APA RIO BATALHA","brazil_sao paulo_galia_apa rio batalha","brazil_sao paulo_galia_apa rio batalha",-22.2808246677338,-49.4726831671091,"locality","cnuc_ibge"
"1251","Brazil","São Paulo","Gália","APA RIO BATALHA","brazil_sao paulo_galia_area protecao ambiental rio batalha","brazil_sao paulo_galia_apa rio batalha",-22.2808246677338,-49.4726831671091,"locality","cnuc_ibge"
"278","Brazil","São Paulo","Gália","EEC DOS CAETETUS","brazil_sao paulo_galia_eec caetetus","brazil_sao paulo_galia_eec caetetus",-22.4023155306692,-49.6929752382269,"locality","cnuc_ibge"
"1015","Brazil","São Paulo","Gália","EEC DOS CAETETUS","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.4023155306692,-49.6929752382269,"locality","cnuc_ibge"
"261","Brazil","São Paulo","Garça","RPPN TRILHA COROADOS - FB","brazil_sao paulo_garca_rppn trilha coroados","brazil_sao paulo_garca_rppn trilha coroados",-22.1550691404812,-49.5288502953493,"locality","cnuc_ibge"
"998","Brazil","São Paulo","Garça","RPPN TRILHA COROADOS - FB","brazil_sao paulo_garca_reserva particular patrimonio natural trilha coroados","brazil_sao paulo_garca_rppn trilha coroados",-22.1550691404812,-49.5288502953493,"locality","cnuc_ibge"
"273","Brazil","São Paulo","Guaimbê","EEC DE MARÍLIA","brazil_sao paulo_guaimbe_eec marilia","brazil_sao paulo_guaimbe_eec marilia",-21.9530376627361,-49.9433820054818,"locality","cnuc_ibge"
"1010","Brazil","São Paulo","Guaimbê","EEC DE MARÍLIA","brazil_sao paulo_guaimbe_estacao ecologica marilia","brazil_sao paulo_guaimbe_eec marilia",-21.9530376627361,-49.9433820054818,"locality","cnuc_ibge"
"70","Brazil","São Paulo","Guapiara","PE INTERVALES","brazil_sao paulo_guapiara_pe intervales","brazil_sao paulo_guapiara_pe intervales",-24.2577562079436,-48.4483413141955,"locality","cnuc_ibge"
"807","Brazil","São Paulo","Guapiara","PE INTERVALES","brazil_sao paulo_guapiara_parque estadual intervales","brazil_sao paulo_guapiara_pe intervales",-24.2577562079436,-48.4483413141955,"locality","cnuc_ibge"
"81","Brazil","São Paulo","Guapiara","PE TURÍSTICO DO ALTO DO RIBEIRA","brazil_sao paulo_guapiara_pe turistico alto ribeira","brazil_sao paulo_guapiara_pe turistico alto ribeira",-24.2982481632402,-48.520557286448,"locality","cnuc_ibge"
"818","Brazil","São Paulo","Guapiara","PE TURÍSTICO DO ALTO DO RIBEIRA","brazil_sao paulo_guapiara_parque estadual turistico alto ribeira","brazil_sao paulo_guapiara_pe turistico alto ribeira",-24.2982481632402,-48.520557286448,"locality","cnuc_ibge"
"727","Brazil","São Paulo","Guapiara","RPPN FAZENDA HORII","brazil_sao paulo_guapiara_rppn fazenda horii","brazil_sao paulo_guapiara_rppn fazenda horii",-24.2108200005659,-48.4604029104324,"locality","cnuc_ibge"
"1464","Brazil","São Paulo","Guapiara","RPPN FAZENDA HORII","brazil_sao paulo_guapiara_reserva particular patrimonio natural fazenda horii","brazil_sao paulo_guapiara_rppn fazenda horii",-24.2108200005659,-48.4604029104324,"locality","cnuc_ibge"
"42","Brazil","São Paulo","Guaraçaí","PE DO AGUAPEÍ","brazil_sao paulo_guaracai_pe aguapei","brazil_sao paulo_guaracai_pe aguapei",-21.2524417021811,-51.4023879786953,"locality","cnuc_ibge"
"779","Brazil","São Paulo","Guaraçaí","PE DO AGUAPEÍ","brazil_sao paulo_guaracai_parque estadual aguapei","brazil_sao paulo_guaracai_pe aguapei",-21.2524417021811,-51.4023879786953,"locality","cnuc_ibge"
"605","Brazil","São Paulo","Guararema","APA SERRA DO ITAPETI","brazil_sao paulo_guararema_apa serra itapeti","brazil_sao paulo_guararema_apa serra itapeti",-23.4497818445191,-46.0944500192751,"locality","cnuc_ibge"
"1342","Brazil","São Paulo","Guararema","APA SERRA DO ITAPETI","brazil_sao paulo_guararema_area protecao ambiental serra itapeti","brazil_sao paulo_guararema_apa serra itapeti",-23.4497818445191,-46.0944500192751,"locality","cnuc_ibge"
"624","Brazil","São Paulo","Guararema","REVIS DO BICUDINHO","brazil_sao paulo_guararema_revis bicudinho","brazil_sao paulo_guararema_revis bicudinho",-23.4984167066598,-46.0355430056184,"locality","cnuc_ibge"
"1361","Brazil","São Paulo","Guararema","REVIS DO BICUDINHO","brazil_sao paulo_guararema_refugio vida silvestre bicudinho","brazil_sao paulo_guararema_revis bicudinho",-23.4984167066598,-46.0355430056184,"locality","cnuc_ibge"
"9","Brazil","São Paulo","Guaratinguetá","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_guaratingueta_apa bacia paraiba sul","brazil_sao paulo_guaratingueta_apa bacia paraiba sul",-22.7174900074234,-45.346924980848,"locality","cnuc_ibge"
"746","Brazil","São Paulo","Guaratinguetá","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_guaratingueta_area protecao ambiental bacia paraiba sul","brazil_sao paulo_guaratingueta_apa bacia paraiba sul",-22.7174900074234,-45.346924980848,"locality","cnuc_ibge"
"423","Brazil","São Paulo","Guaratinguetá","APA CAMPOS DO JORDÃO","brazil_sao paulo_guaratingueta_apa campos jordao","brazil_sao paulo_guaratingueta_apa campos jordao",-22.6753562012897,-45.4137783607215,"locality","cnuc_ibge"
"1160","Brazil","São Paulo","Guaratinguetá","APA CAMPOS DO JORDÃO","brazil_sao paulo_guaratingueta_area protecao ambiental campos jordao","brazil_sao paulo_guaratingueta_apa campos jordao",-22.6753562012897,-45.4137783607215,"locality","cnuc_ibge"
"48","Brazil","São Paulo","Guaratinguetá","PE DE CAMPOS DO JORDÃO","brazil_sao paulo_guaratingueta_pe campos jordao","brazil_sao paulo_guaratingueta_pe campos jordao",-22.6774451923021,-45.4154337545299,"locality","cnuc_ibge"
"785","Brazil","São Paulo","Guaratinguetá","PE DE CAMPOS DO JORDÃO","brazil_sao paulo_guaratingueta_parque estadual campos jordao","brazil_sao paulo_guaratingueta_pe campos jordao",-22.6774451923021,-45.4154337545299,"locality","cnuc_ibge"
"223","Brazil","São Paulo","Guaratinguetá","RPPN SÍTIO MANACA","brazil_sao paulo_guaratingueta_rppn sitio manaca","brazil_sao paulo_guaratingueta_rppn sitio manaca",-22.6804963469769,-45.2644295281855,"locality","cnuc_ibge"
"960","Brazil","São Paulo","Guaratinguetá","RPPN SÍTIO MANACA","brazil_sao paulo_guaratingueta_reserva particular patrimonio natural sitio manaca","brazil_sao paulo_guaratingueta_rppn sitio manaca",-22.6804963469769,-45.2644295281855,"locality","cnuc_ibge"
"403","Brazil","São Paulo","Guareí","APA CUESTA GUARANI","brazil_sao paulo_guarei_apa cuesta guarani","brazil_sao paulo_guarei_apa cuesta guarani",-23.3185249021931,-48.2433910184697,"locality","cnuc_ibge"
"1140","Brazil","São Paulo","Guareí","APA CUESTA GUARANI","brazil_sao paulo_guarei_area protecao ambiental cuesta guarani","brazil_sao paulo_guarei_apa cuesta guarani",-23.3185249021931,-48.2433910184697,"locality","cnuc_ibge"
"148","Brazil","São Paulo","Guareí","EEC DE ANGATUBA","brazil_sao paulo_guarei_eec angatuba","brazil_sao paulo_guarei_eec angatuba",-23.4109070630101,-48.3386911059981,"locality","cnuc_ibge"
"885","Brazil","São Paulo","Guareí","EEC DE ANGATUBA","brazil_sao paulo_guarei_estacao ecologica angatuba","brazil_sao paulo_guarei_eec angatuba",-23.4109070630101,-48.3386911059981,"locality","cnuc_ibge"
"194","Brazil","São Paulo","Guarujá","APA DA SERRA DE SANTO AMARO","brazil_sao paulo_guaruja_apa serra santo amaro","brazil_sao paulo_guaruja_apa serra santo amaro",-23.950738125618,-46.2271028836938,"locality","cnuc_ibge"
"931","Brazil","São Paulo","Guarujá","APA DA SERRA DE SANTO AMARO","brazil_sao paulo_guaruja_area protecao ambiental serra santo amaro","brazil_sao paulo_guaruja_apa serra santo amaro",-23.950738125618,-46.2271028836938,"locality","cnuc_ibge"
"636","Brazil","São Paulo","Guarujá","APA MARINHA DO LITORAL CENTRO","brazil_sao paulo_guaruja_apa marinha litoral centro","brazil_sao paulo_guaruja_apa marinha litoral centro",-23.8939301680988,-46.1558883299698,"locality","cnuc_ibge"
"1373","Brazil","São Paulo","Guarujá","APA MARINHA DO LITORAL CENTRO","brazil_sao paulo_guaruja_apa marinha litoral centro","brazil_sao paulo_guaruja_apa marinha litoral centro",-23.8939301680988,-46.1558883299698,"locality","cnuc_ibge"
"184","Brazil","São Paulo","Guarujá","APA MUNICIPAL DA SERRA DO GUARARU","brazil_sao paulo_guaruja_apa municipal serra guararu","brazil_sao paulo_guaruja_apa municipal serra guararu",-23.8995763646482,-46.1707270611595,"locality","cnuc_ibge"
"921","Brazil","São Paulo","Guarujá","APA MUNICIPAL DA SERRA DO GUARARU","brazil_sao paulo_guaruja_area protecao ambiental municipal serra guararu","brazil_sao paulo_guaruja_apa municipal serra guararu",-23.8995763646482,-46.1707270611595,"locality","cnuc_ibge"
"165","Brazil","São Paulo","Guarujá","RPPN MARINA DO CONDE","brazil_sao paulo_guaruja_rppn marina conde","brazil_sao paulo_guaruja_rppn marina conde",-23.8731158576448,-46.1496260665219,"locality","cnuc_ibge"
"902","Brazil","São Paulo","Guarujá","RPPN MARINA DO CONDE","brazil_sao paulo_guaruja_rppn marina conde","brazil_sao paulo_guaruja_rppn marina conde",-23.8731158576448,-46.1496260665219,"locality","cnuc_ibge"
"10","Brazil","São Paulo","Guarulhos","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_guarulhos_apa bacia paraiba sul","brazil_sao paulo_guarulhos_apa bacia paraiba sul",-23.329233381499,-46.3821488874632,"locality","cnuc_ibge"
"747","Brazil","São Paulo","Guarulhos","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_guarulhos_area protecao ambiental bacia paraiba sul","brazil_sao paulo_guarulhos_apa bacia paraiba sul",-23.329233381499,-46.3821488874632,"locality","cnuc_ibge"
"715","Brazil","São Paulo","Guarulhos","APA DO CABUÇU TANQUE GRANDE","brazil_sao paulo_guarulhos_apa cabucu tanque grande","brazil_sao paulo_guarulhos_apa cabucu tanque grande",-23.3941596151353,-46.5027630484171,"locality","cnuc_ibge"
"1452","Brazil","São Paulo","Guarulhos","APA DO CABUÇU TANQUE GRANDE","brazil_sao paulo_guarulhos_area protecao ambiental cabucu tanque grande","brazil_sao paulo_guarulhos_apa cabucu tanque grande",-23.3941596151353,-46.5027630484171,"locality","cnuc_ibge"
"478","Brazil","São Paulo","Guarulhos","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_guarulhos_apa piracicaba juqueri mirim area ii","brazil_sao paulo_guarulhos_apa piracicaba juqueri mirim area ii",-23.2922378438543,-46.3944684807638,"locality","cnuc_ibge"
"1215","Brazil","São Paulo","Guarulhos","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_guarulhos_area protecao ambiental piracicaba juqueri mirim area ii","brazil_sao paulo_guarulhos_apa piracicaba juqueri mirim area ii",-23.2922378438543,-46.3944684807638,"locality","cnuc_ibge"
"561","Brazil","São Paulo","Guarulhos","APA SISTEMA CANTAREIRA","brazil_sao paulo_guarulhos_apa sistema cantareira","brazil_sao paulo_guarulhos_apa sistema cantareira",-23.3332259113836,-46.4484446178715,"locality","cnuc_ibge"
"1298","Brazil","São Paulo","Guarulhos","APA SISTEMA CANTAREIRA","brazil_sao paulo_guarulhos_area protecao ambiental sistema cantareira","brazil_sao paulo_guarulhos_apa sistema cantareira",-23.3332259113836,-46.4484446178715,"locality","cnuc_ibge"
"591","Brazil","São Paulo","Guarulhos","APA VÁRZEA DO RIO TIETÊ","brazil_sao paulo_guarulhos_apa varzea rio tiete","brazil_sao paulo_guarulhos_apa varzea rio tiete",-23.4803929233453,-46.4838354451103,"locality","cnuc_ibge"
"1328","Brazil","São Paulo","Guarulhos","APA VÁRZEA DO RIO TIETÊ","brazil_sao paulo_guarulhos_area protecao ambiental varzea rio tiete","brazil_sao paulo_guarulhos_apa varzea rio tiete",-23.4803929233453,-46.4838354451103,"locality","cnuc_ibge"
"196","Brazil","São Paulo","Guarulhos","EEC DO TANQUE GRANDE","brazil_sao paulo_guarulhos_eec tanque grande","brazil_sao paulo_guarulhos_eec tanque grande",-23.3759550519423,-46.4711465482794,"locality","cnuc_ibge"
"933","Brazil","São Paulo","Guarulhos","EEC DO TANQUE GRANDE","brazil_sao paulo_guarulhos_estacao ecologica tanque grande","brazil_sao paulo_guarulhos_eec tanque grande",-23.3759550519423,-46.4711465482794,"locality","cnuc_ibge"
"611","Brazil","São Paulo","Guarulhos","FE DE GUARULHOS","brazil_sao paulo_guarulhos_fe guarulhos","brazil_sao paulo_guarulhos_fe guarulhos",-23.3346901489786,-46.3925896827684,"locality","cnuc_ibge"
"1348","Brazil","São Paulo","Guarulhos","FE DE GUARULHOS","brazil_sao paulo_guarulhos_floresta estadual guarulhos","brazil_sao paulo_guarulhos_fe guarulhos",-23.3346901489786,-46.3925896827684,"locality","cnuc_ibge"
"51","Brazil","São Paulo","Guarulhos","PE DA CANTAREIRA","brazil_sao paulo_guarulhos_pe cantareira","brazil_sao paulo_guarulhos_pe cantareira",-23.3753466888055,-46.5107743263418,"locality","cnuc_ibge"
"788","Brazil","São Paulo","Guarulhos","PE DA CANTAREIRA","brazil_sao paulo_guarulhos_parque estadual cantareira","brazil_sao paulo_guarulhos_pe cantareira",-23.3753466888055,-46.5107743263418,"locality","cnuc_ibge"
"99","Brazil","São Paulo","Guarulhos","PE DE ITABERABA","brazil_sao paulo_guarulhos_pe itaberaba","brazil_sao paulo_guarulhos_pe itaberaba",-23.3292883229647,-46.3941648727315,"locality","cnuc_ibge"
"836","Brazil","São Paulo","Guarulhos","PE DE ITABERABA","brazil_sao paulo_guarulhos_parque estadual itaberaba","brazil_sao paulo_guarulhos_pe itaberaba",-23.3292883229647,-46.3941648727315,"locality","cnuc_ibge"
"95","Brazil","São Paulo","Guarulhos","PE DE ITAPETINGA","brazil_sao paulo_guarulhos_pe itapetinga","brazil_sao paulo_guarulhos_pe itapetinga",-23.3544986581877,-46.5132128354158,"locality","cnuc_ibge"
"832","Brazil","São Paulo","Guarulhos","PE DE ITAPETINGA","brazil_sao paulo_guarulhos_parque estadual itapetinga","brazil_sao paulo_guarulhos_pe itapetinga",-23.3544986581877,-46.5132128354158,"locality","cnuc_ibge"
"190","Brazil","São Paulo","Guarulhos","PNM DA CULTURA NEGRA - SÍTIO DA CANDINHA","brazil_sao paulo_guarulhos_sitio candinha","brazil_sao paulo_guarulhos_sitio candinha",-23.3924632896408,-46.4713849608461,"locality","cnuc_ibge"
"927","Brazil","São Paulo","Guarulhos","PNM DA CULTURA NEGRA - SÍTIO DA CANDINHA","brazil_sao paulo_guarulhos_parque natural municipal cultura negra, sitio candinha","brazil_sao paulo_guarulhos_sitio candinha",-23.3924632896408,-46.4713849608461,"locality","cnuc_ibge"
"121","Brazil","São Paulo","Guatapará","RPPN TOCA DA PACA","brazil_sao paulo_guatapara_rppn toca paca","brazil_sao paulo_guatapara_rppn toca paca",-21.4578418178313,-48.0772489521987,"locality","cnuc_ibge"
"858","Brazil","São Paulo","Guatapará","RPPN TOCA DA PACA","brazil_sao paulo_guatapara_rppn toca paca","brazil_sao paulo_guatapara_rppn toca paca",-21.4578418178313,-48.0772489521987,"locality","cnuc_ibge"
