"","country","stateProvince","municipality","locality","loc","loc.correct","latitude","longitude","resolution.gazetteer","source"
"277","Brazil","São Paulo","Alvinlândia","EEC DOS CAETETUS","brazil_sao paulo_alvinlandia_eec caetetus","brazil_sao paulo_alvinlandia_eec caetetus",-22.4079561415617,-49.7159685404861,"locality","cnuc_ibge"
"1014","Brazil","São Paulo","Alvinlândia","EEC DOS CAETETUS","brazil_sao paulo_alvinlandia_estacao ecologica caetetus","brazil_sao paulo_alvinlandia_eec caetetus",-22.4079561415617,-49.7159685404861,"locality","cnuc_ibge"
"473","Brazil","São Paulo","Amparo","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii",-22.7152823168081,-46.7997269886413,"locality","cnuc_ibge"
"1210","Brazil","São Paulo","Amparo","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_amparo_area protecao ambiental piracicaba juqueri mirim area ii","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii",-22.7152823168081,-46.7997269886413,"locality","cnuc_ibge"
"187","Brazil","São Paulo","Amparo","RPPN DUAS CACHOEIRAS","brazil_sao paulo_amparo_rppn duas cachoeiras","brazil_sao paulo_amparo_rppn duas cachoeiras",-22.7567666455485,-46.8083495879222,"locality","cnuc_ibge"
"924","Brazil","São Paulo","Amparo","RPPN DUAS CACHOEIRAS","brazil_sao paulo_amparo_reserva particular patrimonio natural duas cachoeiras","brazil_sao paulo_amparo_rppn duas cachoeiras",-22.7567666455485,-46.8083495879222,"locality","cnuc_ibge"
"382","Brazil","São Paulo","Analândia","APA CUESTA CORUMBATAÍ","brazil_sao paulo_analandia_apa cuesta corumbatai","brazil_sao paulo_analandia_apa cuesta corumbatai",-22.1301497446029,-47.7065419259573,"locality","cnuc_ibge"
"1119","Brazil","São Paulo","Analândia","APA CUESTA CORUMBATAÍ","brazil_sao paulo_analandia_area protecao ambiental cuesta corumbatai","brazil_sao paulo_analandia_apa cuesta corumbatai",-22.1301497446029,-47.7065419259573,"locality","cnuc_ibge"
"466","Brazil","São Paulo","Analândia","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i",-22.1460102988341,-47.6727863877824,"locality","cnuc_ibge"
"1203","Brazil","São Paulo","Analândia","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_analandia_area protecao ambiental piracicaba juqueri mirim area i","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i",-22.1460102988341,-47.6727863877824,"locality","cnuc_ibge"
