"Código de barras","Num. Tombo","Coleção","Família","Gênero","Táxon","Coletor","Num. Coleta","Data Coleta","Categoria Tipus","Determinador","Data Determinação","Tipo Coleção","Pais","Estado/Provincia","Cidade","Localidade","Latitude","Longitude","Unidade Conservação","Origem","Status"
"VIES034099","VIES 34099","VIES","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","Zorzanelli, R.F.;Monteiro, R.,Castro, K.C.,Duarte, F.,Nogueira, F.F.",25,"/5/2013",,"Zorzanelli, J.P.F.","13/1/2015",,,,,"Parque Nacional do Caparaó.",,,"Parque Nacional do Caparaó","Nativa","LC"
"VIES035662","VIES 35662","VIES","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","T.T. Carrijo",1777,"28/6/2014",,"Luber, J.","2/2/2014",,"Brasil",,"Castelo","Parque Estadual de Mata das Flores.",,,"Parque Estadual Mata das Flores","Nativa","LC"
"RB00529320",,"RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra maximiliana (Nees) Benth.","A.M. Amorim",7390,"6/5/2008",,"Sheila Regina Profice","4/10/2011",,"Brasil",,"Cariacica","Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. . Reserva Biológica de Duas Bocas","-20,2783333333333324","-40,5405555555555566","Reserva Biológica de Duas Bocas","Nativa","EN"
"VIES012097","VIES 12097","VIES","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra maximliana (Nees) Benth.","Barros, P.H.D.",231,"10/3/2012",,"Indriunas, A.","21/5/2015",,"Brasil",,"Serra","APA Mestre Álvaro.",,,"Área de Proteção Ambiental Mestre Álvaro","Nativa","NE"
"RB00330531","RB 377147","RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra nemoralis Nees","S. J. Silva Neto",1657,"30/1/2002",,"D.Brás","10/2006",,"Brasil",,"Nova Iguaçu","Rebio do Tinguá, trilha para o Pico, próximo à primeira pedra. REBIO do Tinguá",,,"Reserva Biológica do Tinguá","Nativa","NE"
"RB00599129","RB 503411","CEPEC","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra nitida Nees & Mart.","F.B. Matos",1624,"9/6/2009",,"Sheila R. Profice.","s. d.",,"Brasil",,"Prado","Parque Nacional do Decobrimento, Km 22 da estrada principal que atravessa o Parque. Interior da mata.","-17,1833333333333","-39,3333333333333","Parque Nacional do Descobrimento","nativa","LC"
"SAMES00005","SAMES 5","SAMES","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra nitida Nees & Mart.","L.F.T.Menezes",1555,"21/9/2006",,"Indriunas,A.","28/7/2014",,"Brasil",,"Conceição da Barra","Reserva Biológica Córrego Grande.","-18,1358333","-39,4933333","Reserva Biológica do Córrego Grande","Nativa","LC"
"VIES046839","VIES 46839","VIES","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra nitida Nees & Mart.","Dutra, S.C.;Oliveira, R.M.,Miranda, V.S.,Nepomuceno, A.,Nichio-Amaral, R.",164,"14/1/2020",,,"s. d.",,"Brasil",,"Conceição da Barra","Trilha Sul da Flona (Restinga). Floresta Nacional do Rio Preto","-18,4380555555555574","-39,8319444444444457","Floresta Nacional do Rio Preto","Nativa","LC"
"ESA080020",,"ESA","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","Udulutsch, R.G.",617,"//",,"Souza, V.C.","1/1/2002",,"Brasil",,"Sete Barras","Parque Estadual de Carlos Botelho. Estrada Estadual São Miguel Arcanjo - Sete Barras (SP139). Floresta Ombrófila Densa Submontana, 3,5 km acima do núcleo Sete-Barras","-24,110000000000003","-47,5938888888888911","Parque Estadual Carlos Botelho","Nativa","NE"
"FUEL6662",,"FUEL","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra ornata (Ness) T.Anderson","K.R.P. Casemiro","s.n.","//",,,,,,,,,,,"Parque Nacional do Superagui","Nativa","NE"
"HRCB069867",,"HRCB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","Melo, P.H.A.; Lombardi, J.A.",4586,"//",,,,,,,,,,,"Parque Estadual Turístico do Alto Ribeira","Nativa","NE"
