"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","202061","GBIF","UEC","Martins, F.R.","3557","Native","Ouro","Parque Estadual de Vassununga, Mata Capetinga.","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Alstroemeriaceae","Alstroemeria","gardneri","Baker","ALSTROEMERIACEAE Alstroemeria gardneri Baker","SPSF00055720","Splink","SPSF","Silva, M.C.M.","32","Native","Bronze","Parque Estadual de Vassununga","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Alstroemeriaceae","Bomarea","edulis","(Tussac) Herb.","ALSTROEMERIACEAE Bomarea edulis (Tussac) Herb.","SPSF00039409","Splink","SPSF","Santos, R.L.R.","17","Native","Bronze","Parque Estadual Vassununga","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Alternanthera","brasiliana","(L.) Kuntze","AMARANTHACEAE Alternanthera brasiliana (L.) Kuntze","SPFR010411","Splink","SPFR","Marlei, M.R.","76A","Native","Bronze","Parque Estadual de Vassununga, cerrado Pé de Gigante","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Chamissoa","altissima","(Jacq.) Kunth","AMARANTHACEAE Chamissoa altissima (Jacq.) Kunth","CGMS01068479","REFLORA","CGMS","Tibirica, Y.J.A.","137","Native","Ouro","Parque Estadual de Vassununga. Gleba Maravilha.","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Froelichia","procera","(Seub.) Pedersen","AMARANTHACEAE Froelichia procera (Seub.) Pedersen","SPSF00055721","Splink","SPSF","Silva, M.C.M.","10","Native","Bronze","Parque Estadual de Vassununga","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Gomphrena","celosioides","Mart.","AMARANTHACEAE Gomphrena celosioides Mart.","FLOR0025141","REFLORA","FLOR","Falkenberg, D.B.","7068","Native","Ouro","Mata Capetinga oeste, Parque Estadual de Vassununga.","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Hebanthe","erianthos","(Poir.) Pedersen","AMARANTHACEAE Hebanthe erianthos (Poir.) Pedersen","EAC0051913","Splink","EAC","Tibirica, Y.J.A.",,"Native","Ouro","Parque Estadual de Vassununga, Gleba Maravilha","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Pfaffia","gnaphaloides","(L.f.) Mart.","AMARANTHACEAE Pfaffia gnaphaloides (L.f.) Mart.","SPSF00055722","Splink","SPSF","Silva, M.C.M.","64","Native","Bronze","Parque Estadual de Vassununga","Não"
"PARQUE ESTADUAL DE VASSUNUNGA","Angiosperms","Amaranthaceae","Pfaffia","jubata","Mart.","AMARANTHACEAE Pfaffia jubata Mart.","SPSF00055723","Splink","SPSF","Silva, M.C.M.","60","Native","Bronze","Parque Estadual de Vassununga","Não"
