"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","class","order","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","coordinatePrecision","occurrenceRemarks","minimumelevationinmeters","maximumelevationinmeters","barcode","continentocean","infraspecificepithet","individualcount","preparationtype","fieldnumber","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif","Tropicos","100908439","Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","Plantae","Hymenophyllaceae","Abrodictyum","2014","11","19","Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho.","HRCB","Tracheophyta","Polypodiopsida","Hymenophyllales","PRESERVED_SPECIMEN","Alan R. Smith",,,,,,"http://biocol.org/urn:lsid:biocol.org:col:15859",,"Pedro L. R. de Moraes;H. van der Werff;Matheus C. Vergne;Henrique Ribeíro;Tiago A. Pontes;L. Souza;D. Soares",,,"2022-04-08 11:23:00","(Sw.) Ebihara & Dubuisson","4017",,,,,,,,,,,,"GBIF","São Miguel Arcanjo","2016-01-01","Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","http://www.tropicos.org/Specimen/100908439","BR",,"Tropicos","2014-11-19",,,,,,"ACCEPTED","SPECIES","PhysicalObject",,,,,,,,,,,,,,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","230222","1268699004",,,"CC_BY_4_0","Missouri Botanical Garden",,"Missouri Botanical Garden",,"MOBOT",,,,"urn:catalog:MO:Tropicos:100908439",,"1",,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"323","323",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50305706",,"3606920",,,,,,,,,,,,,,,,,"Abrodictyum",,,"rigidum",,,,,"ICNafp","No opinion",,"e053ff53-c156-4e2e-b9b5-4462e9625424","US","2025-01-04 14:53:54.764",,,,,,"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION;COLLECTION_MATCH_NONE",,FALSE,FALSE,"3606920","3606920","6","7707728","7228684","7228685","2372","6420203",,"3606920","Abrodictyum rigidum","Abrodictyum rigidum (Sw.) Ebihara & Dubuisson",,"EML","2025-01-04 14:53:54.764","2025-01-04 13:57:27.815",TRUE,,"null",FALSE,"LATIN_AMERICA","NORTH_AMERICA",,,,,,,,,"NE",,,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","ok_same_resolution","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","name_w_authors","Hymenophyllaceae","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","species","name accepted","bfo-91177",,,"Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","Abrodictyum","Hymenophyllaceae","unknown","Abrodictyum rigidum"
"gbif","UEC","136287","Abuta selloana Eichler","Plantae","Menispermaceae","Abuta","2004","10","15","Brazil","São Paulo",,"Parque Estadual Carlos Botelho, Trilha do açude.","UNICAMP","Tracheophyta","Magnoliopsida","Ranunculales","PRESERVED_SPECIMEN",,,,,,,"https://specieslink.net/col/2",,"Kinoshita, LS; Corrêa, AM; Filho, RC; Araújo, RFC; Galvão, JC; Moraes, P","-47.993333","-24.538889","2024-11-25 11:30:43","Eichler","298",,"Liana, frutos maduros amarelos.",,,,,,,,,,"GBIF","São Miguel Arcanjo",,"Abuta selloana Eichler",,"BR",,,"2004-10-15",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","95139","1089079345",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/136287","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/136287",,,,,,,,,,,"native",,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"289","289",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3830159",,,,,,,,,,,,,,,,,"Abuta",,,"selloana",,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:17.288",,,,,,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,TRUE,FALSE,"3830159","3830159","6","7707728","220","399","2411","7268654",,"3830159","Abuta selloana","Abuta selloana",,"EML","2025-01-05 15:38:17.288","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.480_2","Registro",,,"NE",,,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","ok_same_resolution","Abuta selloana","Eichler","name_w_authors","Menispermaceae","Abuta selloana","Eichler","species","name accepted","bfo-19749",,,"Abuta selloana Eichler","Abuta","Menispermaceae","unknown","Abuta selloana"
"gbif","UEC","136160","Acanthaceae","Plantae","Acanthaceae",,"2004","10","13","Brazil","São Paulo",,"Parque Estadual Carlos Botelho, Mata Atlântica. Trilha para o Rio Taquaral.","UNICAMP","Tracheophyta","Magnoliopsida","Lamiales","PRESERVED_SPECIMEN","Fernandes, UG",,,,,,"https://specieslink.net/col/2",,"Kinoshita, LS; Arzolla, FARDP; Antunes, RM; Seco, RC; Galvão, JC; Moraes, PL","-48","-24.402778","2023-03-09 11:25:34",,"225",,"Herbácea. Cálice esbranquiçado.",,,,,,,,,,"GBIF","São Miguel Arcanjo","2017-05-04","Acanthaceae",,"BR",,,"2004-10-13",,,,,,"ACCEPTED","FAMILY",,,,,,,,,,,,,,,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho, mata atlantica",,"locality","brazil_sao paulo_sao miguel arcanjo","brazil_sao paulo_sao miguel arcanjo",-23.91400186,-47.99357506,"county","95048","1089079249",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/136160","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/136160",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"287","287",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2393",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:17.285",,,,,,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,TRUE,FALSE,"2393","2393","6","7707728","220","408","2393",,,,,,,"EML","2025-01-05 15:38:17.285","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.580_2","Sete Barras",,,"NE","https://images.cria.org.br/viewer/UEC097191",,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","check_local.2municip.","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","unknown",
"gbif","BHCB","76848","Achyrocline alata (Kunth) DC.","Plantae","Asteraceae","Achyrocline","2002","4","23","Brasil","São Paulo",,"Parque Estadual Carlos Botelho, Núcleo São Miguel Arcanjo. Trilha do rio Taquaral.","UFMG","Tracheophyta","Magnoliopsida","Asterales","PRESERVED_SPECIMEN",,,,,,,"https://specieslink.net/col/220",,"Savassi, AP; Silva, FD; Campos, LM; Duarte, AR; Arango, B; Rodrigues, RR; Souza, VC de; Tama","-47.998889","-24.066111","2024-05-29 12:23:15","(Kunth) DC.","351",,"Erva de 0,4m. Botões florais amarelados.; Borda da mata. Floresta Estacional Semidecidual/ Floresta Ombrófila Densa Montana.",,,,,,,,,,"GBIF","São Miguel Arcanjo","2002-08-01","Achyrocline alata (Kunth) DC.",,"BR",,,"2002-04-23",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","50242","1087628733",,,"CC_BY_4_0","Universidade Federal de Minas Gerais","https://specieslink.net/guid/220/76848","Herbário da UFMG - Fanerógamas, Algas e Fungos",,"Universidade Federal de Minas Gerais",,,,"https://specieslink.net/guid/220/76848",,,,,,,,,,,"native",,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"113","113",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3139547",,,,,,,,,,,,,,,,,"Achyrocline",,,"alata",,,,,,,,"d2470ef8-edfa-4ba7-821e-c3e1a537bdba","BR","2025-01-05 15:20:16.671","0","0",,,,"INSTITUTION_MATCH_NONE",,TRUE,FALSE,"3139547","3139547","6","7707728","220","414","3065","7994043",,"3139547","Achyrocline alata","Achyrocline alata",,"EML","2025-01-05 15:20:16.671","2025-01-05 14:57:41.795",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.564_2","São Miguel Arcanjo",,,"NE",,"0","0",,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge","ok_same_resolution","Achyrocline alata","(Kunth) DC.","name_w_authors","Asteraceae","Achyrocline alata","(Kunth) DC.","species","name accepted","bfo-102955",,,"Achyrocline alata (Kunth) DC.","Achyrocline","Asteraceae","unknown","Achyrocline alata"
"gbif","SPSF","38326","Pleurothallis auriculata Lindl.","Plantae","Orchidaceae","Acianthera","2002","9","27","Brasil","Sp",,"Parque Estadual Carlos Botelho - Núcleo Sete Barras","IF","Tracheophyta","Liliopsida","Asparagales","PRESERVED_SPECIMEN","T.B.Breier",,,,,,"https://specieslink.net/col/13",,"T.B.Breier & V.A.O.Dittrich","-47.931944","-24.169444","2024-08-06 09:12:42","Lindl.","682",,"GEOGRAFIA: Parcelas permanentes;",,,,,,,,,,"GBIF","Sete Barras","2003-04-30","Acianthera auriculata (Lindl.) Pridgeon & M.W.Chase",,"BR",,,"2002-09-27",,,,,,"SYNONYM","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sete barras","parque estadual carlos botelho - nucleo sete barras",,"locality","brazil_sao paulo_sete barras","brazil_sao paulo_sete barras",-24.27383936,-47.93513933,"county","22869","1086906955",,,"CC_BY_4_0","Instituto Florestal","https://specieslink.net/guid/13/38326","Herbário Dom Bento José Pickel",,"Instituto Florestal",,,,"https://specieslink.net/guid/13/38326",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"270","270",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2840017",,,,,,,,,,,,,,,,,"Pleurothallis",,,"auriculata",,,,,,,,"16ed67e5-fd70-4fd4-85c3-70ea2da627fe","BR","2025-01-05 15:02:54.815",,,,,,"INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION;INSTITUTION_COLLECTION_MISMATCH",,TRUE,FALSE,"2840023","2840017","6","7707728","196","1169","7689","7848554",,"2840017","Acianthera auriculata","Pleurothallis auriculata",,"EML","2025-01-05 15:02:54.815","2025-01-05 15:02:28.694",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.580_2","Sete Barras",,,"NE",,,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","check_local.2municip.","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","name_w_authors","Orchidaceae","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","species","replaced synonym","bfo-10993","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","Acianthera auriculata (Lindl.) Pridgeon & M.W.Chase","Acianthera","Orchidaceae","unknown","Acianthera auriculata"
"gbif","UEC","139984","Pleurothallis saundersiana Rchb.f.","Plantae","Orchidaceae","Acianthera","2002","8","20","Brazil","São Paulo",,"Parque Estadual Carlos Botelho, Parcelas permanentes.","UNICAMP","Tracheophyta","Liliopsida","Asparagales","PRESERVED_SPECIMEN","Breier, TB",,,,,,"https://specieslink.net/col/2",,"Breier, TB; Budke, JC","-47.916667","-24.166667","2023-03-09 11:24:46","Rchb.f.","500",,,,,,,,,,,,"GBIF","Sete Barras","2004-09-01","Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase",,"BR",,,"2002-08-20",,,,,,"SYNONYM","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","96622","1089082461",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/139984","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/139984",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"232","232",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2839963",,,,,,,,,,,,,,,,,"Pleurothallis",,,"saundersiana",,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:16.798",,,,,,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,TRUE,FALSE,"2839964","2839963","6","7707728","196","1169","7689","7848554",,"2839963","Acianthera saundersiana","Pleurothallis saundersiana",,"EML","2025-01-05 15:38:16.798","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.580_2","Sete Barras",,,"LC","https://images.cria.org.br/viewer/UEC001726",,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","ok_same_resolution","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","name_w_authors","Orchidaceae","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","species","replaced synonym","bfo-11051","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase","Acianthera","Orchidaceae","unknown","Acianthera saundersiana"
"gbif","UEC","139980","Pleurothallis serpentula Barb.Rodr.","Plantae","Orchidaceae","Acianthera","2002","8","24","Brazil","São Paulo",,"Parque Estadual Carlos Botelho, Ponte sobre o Rio Negro.","UNICAMP","Tracheophyta","Liliopsida","Asparagales","PRESERVED_SPECIMEN","Breier, TB",,,,,,"https://specieslink.net/col/2",,"Breier, TB; Budke, JC","-47.916667","-24.166667","2023-03-09 11:24:46","Barb.Rodr.","561",,,,,,,,,,,,"GBIF","Sete Barras","2004-09-01","Acianthera serpentula (Barb.Rodr.) F.Barros",,"BR",,,"2002-08-24",,,,,,"SYNONYM","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","96590","1089082424",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/139980","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/139980",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"236","236",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2839474",,,,,,,,,,,,,,,,,"Pleurothallis",,,"serpentula",,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:16.641",,,,,,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,TRUE,FALSE,"2839476","2839474","6","7707728","196","1169","7689","7848554",,"2839474","Acianthera serpentula","Pleurothallis serpentula",,"EML","2025-01-05 15:38:16.641","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.580_2","Sete Barras",,,"NE","https://images.cria.org.br/viewer/UEC001708",,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge","ok_same_resolution","Acianthera serpentula","(Barb.Rodr.) F.Barros","name_w_authors","Orchidaceae","Acianthera serpentula","(Barb.Rodr.) F.Barros","species","replaced synonym","bfo-11053","Acianthera serpentula","(Barb.Rodr.) F.Barros","Acianthera serpentula (Barb.Rodr.) F.Barros","Acianthera","Orchidaceae","unknown","Acianthera serpentula"
"user","ESA","ESA080145","Aciotis brachybotrya (DC.) Triana",,"Melastomataceae","Aciotis","2002","19","04","Brasil","São Paulo",,"Parque Estadual Carlos Botelho, Núcleo S.M.Arcanjo. Floresta Estacional Semidecidual/Floresta Ombrófila Densa Montana. Borda de floresta.","ESA",,,,,"Araújo, A.O. & Bortoleto, S.",,,,"24033º 0' 0"""" S","475923º 0' 0"""" W",,,"Bortoleto, S.","-475923","-24033",,"(DC.) Triana","4",,"Erva de 15 cm. Flor lilás, sem aroma.",,,,,,,,,"não","REFLORA","São Miguel Arcanjo Floresta Estacional Semidecidual/Floresta Ombrófila Densa Montana.","01/01/2002",,,,,,,,,,,,,"SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao miguel arcanjo floresta estacional semidecidual/floresta ombrofila densa montana.","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo floresta estacional semidecidual/floresta ombrofila densa montana","brazil_sao paulo",-22.2584562,-48.7420254,"state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brachybotrya","MELASTOMATACEAE Aciotis brachybotrya (DC.) Triana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESA",,,,"Forster, W.,Araújo, A.O.,Ivanauskas, N.M.,Rodrigues, R.R.,Souza, V.C.,Tamashiro, J.Y.,Franco, G.C.,Capretz, R.L.,Freire, R.A.P.,Castellen, M.","04/19/2002",,,"METRO",,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"gdam","brazil_sao paulo","Brazil","São Paulo",,,"gdam","brazil_sao paulo","Brazil","São Paulo",,,"gdam","check_local.2state","Aciotis paludosa","(Mart. ex DC.) Triana","name_w_authors","Melastomataceae","Aciotis paludosa","(Mart. ex DC.) Triana","species","replaced synonym","bfo-9392","Aciotis paludosa","(Mart. ex DC.) Triana","Aciotis paludosa (Mart. ex DC.) Triana","Aciotis","Melastomataceae","high","Aciotis paludosa"
