"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","14301","Splink","FUEL","Artem, L.",,,"Latão","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Acanthaceae","Clistax","brasiliensis","Mart.","ACANTHACEAE Clistax brasiliensis Mart.","ESA035078","Splink","ESA","Souza, J.P.","352","Native","Ouro","Distrito de Planalto do Sul. Cerca de 5 km de Planalto do Sul em direção a Teodoro Sampaio. Arredores do Parque Estadual do Morro do Diabo. Mata mesófila.","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Acanthaceae","Justicia","brasiliana","Roth","ACANTHACEAE Justicia brasiliana Roth","290189","Splink","SP","Aguiar, O.T.","521","Native","Ouro","Parque Estadual Morro do Diabo, região do Caldeirão","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","FUEL027074","Splink","FUEL","Rodrigues, V.S.","41","Native","Ouro","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","HUFU00000294","Splink","HUFU","Oliveira, R.S.","39","Native","Ouro","Parque Estadual do Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Acanthaceae|Rubiaceae","Gonzalagunia",,"Ruiz & Pav.","ACANTHACEAE|RUBIACEAE Gonzalagunia Ruiz & Pav.","ESA129190","Splink","ESA","Colletta, G.D.","1606",,"Latão","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Amaranthaceae","Alternanthera","lanceolata","(Benth.) Schinz","AMARANTHACEAE Alternanthera lanceolata (Benth.) Schinz","UEC119297","Splink","UEC","Fortes, A.M.T.","27","Native","Bronze","Parque Estadual Morro do Diabo.","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Amaranthaceae","Alternanthera","puberula","D.Dietr.","AMARANTHACEAE Alternanthera puberula D.Dietr.","UEC119256","Splink","UEC","Daniel, H.",,"Native","Bronze","Parque Estadual do Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","FUEL027580","Splink","FUEL","Daniel",,,"Latão","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Anacardiaceae","Astronium","graveolens","Jacq.","ANACARDIACEAE Astronium graveolens Jacq.","RB00039437","GBIF","RB","Leite, P.F.","54","Native","Bronze","Município de Teodora Sampaio, 8 Km da sede da Reserva para oeste. Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","SPF00040786","Splink","SPF","Aguiar, O.T.","140","Native","Ouro","Parque Estadual Morro do Diabo, Próximo à picada 78, porto 11, à direita do Angelim.","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Ferns and Lycophytes","Anemiaceae","Anemia","ferruginea","Humb. & Bonpl. ex Kunth","ANEMIACEAE Anemia ferruginea Humb. & Bonpl. ex Kunth","3276382","GBIF","Tropicos","Silva, M.R.","1576","Native","Bronze","Munic. Teodoro Sampáio, Região do Pontal do Paranapanema, Parque Estadual Morro Do Diabo, Ca 30 km da Sede pela trilha, Córrego 7 de Setembro ou Rio da Onca ou Angelim. Mata Latifoliada Mesófila Tropical Seca semidecídua. Terreste, barranco com solo sujeito ao ressecamento margem da trilha próximo do Rio Paranapanema.","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","SJRP00013663","Splink","SJRP","Nonato, F.R.","271","Native","Bronze","Região do Pontal do Paranapanema. Parque Estadual Morro do Diabo, ca. 30 km da sede trilha, Córrego 7 de setembro","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Ferns and Lycophytes","Anemiaceae","Anemia","raddiana","Link","ANEMIACEAE Anemia raddiana Link","SJRP00013348","Splink","SJRP","Pietrobom-Silva, M.R.","1576","Native","Bronze","Região do Pontal Paranapanema, Parque Estadual Morro do Diabo, cerca 30 km da Sede pela trilha, Córrego 7 de Setembro ou Rio da Onça ou Angelim","Não"
"PARQUE ESTADUAL DO MORRO DO DIABO","Angiosperms","Annonaceae","Annona",,"L.","ANNONACEAE Annona L.","SP010257","Splink","SP","Aguiar, O.T.","549",,"Latão","Parque Estadual Morro do Diabo, Morro, trilha da subida","Não"
