"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS","Bryophytes","Araceae","Lejeunea","flava","(Sw.) Nees","ARACEAE Lejeunea flava (Sw.) Nees","HUSC007474","Splink","HUSC","Mello, Z.R.","1442","Native","Bronze","Estação ecológica Tupiniquins, Ilha queimada Pequena","Não"
"ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS","Bryophytes","Araceae","Lejeunea","quinqueumbonata","Sprunce.","ARACEAE Lejeunea quinqueumbonata Sprunce.","HUSC007473","Splink","HUSC","Mello, Z.R.","1463","Native","Bronze","Estação ecológica Tupiniquins, Ilha queimada Pequena","Não"
"ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS","Bryophytes","Poaceae","Chiloscyphus","martianus","(Nees) J.J.Engel & R.M.Schust.","POACEAE Chiloscyphus martianus (Nees) J.J.Engel & R.M.Schust.","7307","GBIF","HUSC","Mello, Z.R.","1446",,"Bronze","Estação ecológica Tupiniquins, Ilha queimada Pequena","Não"
"ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS","Angiosperms","Poaceae","Cryptolophocolea","martiana","(Nees) L.Soderstr. et al.","POACEAE Cryptolophocolea martiana martiana (Nees) L.Soderstr. et al.","HUSC007307","Splink","HUSC","Mello, Z.R.","1446",,"Bronze","Estação ecológica Tupiniquins, Ilha queimada Pequena","Não"
"ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS","Angiosperms","Poaceae","Sporobolus","virginicus","(L.) Kunth","POACEAE Sporobolus virginicus (L.) Kunth","126835","Splink","ICN","Rodrigues, R.R.","67","Native","Ouro","(Estação Ecológica dos Tupiniquins) litoral sul","Não"
