"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","basisOfRecord","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","identifiedBy","coordinatePrecision","recordNumber","barcode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentocean","class","order","individualcount","fieldNumber","infraspecificEpithet","preparationtype","minimumDepthInMeters","maximumDepthInMeters","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif","UPCB","68336","Dicksonia sellowiana (C.Presl) Hook.","Plantae","Dicksoniaceae","Dicksonia","2010","3","5","Brasil","São Paulo",,"Parque Nacional Serra da Bocaina.","UFPR","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/45","sellowiana","Santos, J.",,,"2025-01-01 12:02:17","Hook.","Santos, J.",,"8",,,,,,,,,"Polypodiopsida","Cyatheales",,,,,,,,"GBIF","São José do Barreiro","2010-01-01","Dicksonia sellowiana (C.Presl) Hook.",,"BR",,,"2010-03-05",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","parque nacional serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality","1086673305",,,,"https://specieslink.net/guid/45/68336",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dicksonia",,,,,,"a51fa32f-831d-49d6-8b8a-c7b52ae65b3b",,,FALSE,FALSE,"Dicksonia sellowiana","Dicksonia sellowiana","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/UPCB0003660","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Dicksonia sellowiana","Hook.","name_w_authors","Dicksoniaceae","Dicksonia sellowiana","Hook.","species","author misspelled","bfo-90947",,,"Dicksonia sellowiana Hook.","Dicksonia","Dicksoniaceae","unknown","Dicksonia sellowiana"
"user","UPCB","UPCB00005008","Dicranopteris nervosa (Kaulf.) Maxon",,"Gleicheniaceae","Dicranopteris","2008","01","07","Brasil","São Paulo",,"Estrada do Parque Nacional da Serra da Bocaina para Campos Novos.","UPCB",,,,,,,"Labiak, P.H. et al.","0","0",,"(Kaulf.) Maxon","Labiak, P.H.",,"4320",,,,,,,,,,,,,,,,,"não","REFLORA","Silveiras","--/01/2008",,,,,,,"Terrestre, sobre barranco. Floresta Atlântica.",,,,,,"SPECIES",,"1400",,,,,,,,,,,,,"brazil","sao paulo","silveiras","estrada do parque nacional da serra da bocaina para campos novos",,"locality","brazil_sao paulo_silveiras","brazil_sao paulo_silveiras",-22.73445083,-44.8407973,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nervosa","GLEICHENIACEAE Dicranopteris nervosa (Kaulf.) Maxon",,,,,,,,,"UPCB",,"UPCB 61124",,,"07/01/2008",,,"METRO",,,,,,,,"brazil_sao paulo_silveiras","Brazil","São Paulo","Silveiras",,"check_local.2municip.","Dicranopteris nervosa","(Kaulf.) Maxon","name_w_authors","Gleicheniaceae","Dicranopteris nervosa","(Kaulf.) Maxon","species","name accepted","bfo-91162",,,"Dicranopteris nervosa (Kaulf.) Maxon","Dicranopteris","Gleicheniaceae","high","Dicranopteris nervosa"
"gbif","P","P01068790","Diphasiastrum thyoides (Humb. & Bonpl. ex Willd.) Holub","Plantae","Lycopodiaceae","Diphasiastrum","1997","5","1","Brasil","São Paulo","São José do Barreiro","Base da Reserva do Parque Nacional da Serra da Bocaina","MNHN","Tracheophyta","PRESERVED_SPECIMEN",,,,"thyoides","Simão-Bianchini, R.;Bianchini, S.","-44","-22","2016-03-09 17:11:54","(Humb. & Bonpl. ex Willd.) Holub",,,,,,,,,,,,"Lycopodiopsida","Lycopodiales",,"1072",,,,,,"GBIF","São José do Barreiro",,"Diphasiastrum thyoides (Humb. & Bonpl. ex Willd.) Holub",,"BR",,,"1997-05-01",,,,,,"ACCEPTED","SPECIES",,,,"Base da Reserva do Parque Nacional da Serra da Bocaina",,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","base da reserva do parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county","1265124594","http://grbio.org/institution/museum-national-dhistoire-naturelle",,,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p01068790",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diphasiastrum",,,,,,"b5cdf794-8fa4-4a85-8b26-755d087bf531",,"StillImage",TRUE,FALSE,"Diphasiastrum thyoides","Diphasiastrum thyoides (Humb. & Bonpl. ex Willd.) Holub","null",FALSE,"LATIN_AMERICA","EUROPE","NE",,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Diphasiastrum thyoides","(Willd.) Holub","name_w_authors","Lycopodiaceae","Diphasiastrum thyoides","(Willd.) Holub","species","author misspelled","bfo-128547",,,"Diphasiastrum thyoides (Willd.) Holub","Diphasiastrum","Lycopodiaceae","unknown","Diphasiastrum thyoides"
"user","UPCB","UPCB0002901","Diplazium cf. ambiguum Raddi",,"athyriaceae","Diplazium","2008","01","06","Brasil","São Paulo",,"Estrada para o Parque Nacional da Serra da Bocaina, Rod. SP 221.","UPCB",,,,,,,"Labiak, P.H.","0","0",,"Raddi","Mynssen, C.",,"4315",,,,,,,,,,,,,,,,,"não","REFLORA","São José do Barreiro","22/10/2018",,,,,,,"Terrestre, às margens de riacho. Floresta Atlântica.",,,,,,"SPECIES",,"1000",,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","estrada para o parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ambiguum","ATHYRIACEAE Diplazium cf. ambiguum Raddi",,,,,,,,,"UPCB",,"UPCB 61114","CF",,"06/01/2008",,,"METRO",,,,,,,,"brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Diplazium ambiguum","Raddi","conferre|name_w_authors","Athyriaceae","Diplazium ambiguum","Raddi","species","name accepted","bfo-92311",,,"Diplazium ambiguum Raddi","Diplazium","Athyriaceae","high","Diplazium ambiguum"
"user","RB","RB01457755","Diplazium leptocarpon Fée","Plantae","Athyriaceae","Diplazium","2021","12","14","Brasil","São Paulo",,"Trilha para a Cacheira Santo Izidro. Parque Nacional da Serra da Bocaina","JBRJ",,"Preserved Specimen","22º44´53´´","44º36´58´´W",,"leptocarpon","C.Mynssen; V.Lino","-44.6161111","-22.7480555",,"Fée",,,"1549",,,,,,,,,,,,,,,,,,,"São José do Barreiro",,,,"BR",,,"2021-12-14",,,,,,,"sp.","Physical Object",,,,"RB",,"Mynssen, C.","1549","2021","s.n.","n.d.","Lino, V.","Mynssen",,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality",,,,,"urn:catalog:JBRJ:RB:1457755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/77/55/01457755.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/77/55/01457755-1.jpg",,,,,,,,,,,,,,,,,"2022-03-14 11:42:07+00","Samambaias e Licófitas","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Diplazium leptocarpon","Fée","name_w_authors","Athyriaceae","Diplazium leptocarpon","Fée","species","name accepted","bfo-92320",,,"Diplazium leptocarpon Fée","Diplazium","Athyriaceae","unknown","Diplazium leptocarpon"
"user","RB","RB00673616","Diplazium lindbergii (Mett.) Christ","Plantae","Athyriaceae","Diplazium","2011","10","4","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina, estrada após rio que cruza a estrada pincipal.","JBRJ",,"Preserved Specimen","22º47´8´´","44º36´9´´W",,"lindbergii","C.Mynssen; J.F. Baumgratz, F. Pinheiro, T.E.C. Meneguzzo & R. Ribeiro","-44.6025","-22.7855555",,"(Mett.) Christ",,,"1266",,,,,"1177",,,,,,,,,,,,,,"São José do Barreiro",,,,"BR",,,"2011-10-04",,,,,,,"sp.","Physical Object",,,,"RB",,"Mynssen, C.","1266","2011","s.n.","n.d.","Baumgratz, J.F.; Pinheiro, F.; Meneguzzo, T.E.C.; Ribeiro, R.","Mynssen",,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina, estrada apos rio que cruza a estrada pincipal",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county",,,,,"urn:catalog:JBRJ:RB:673616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/67/36/16/00673616-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/67/36/16/00673616.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/67/36/16/00673616-2.jpg",,,,,,,,,,,,,,,,,"2017-10-17 14:31:56+00","Samambaias e Licófitas","brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Diplazium lindbergii","(Mett.) Christ","name_w_authors","Athyriaceae","Diplazium lindbergii","(Mett.) Christ","species","name accepted","bfo-92321",,,"Diplazium lindbergii (Mett.) Christ","Diplazium","Athyriaceae","unknown","Diplazium lindbergii"
"user","RB","RB00673643","Diplazium rostratum Fée","Plantae","Athyriaceae","Diplazium","2011","10","6","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina, estrada para pousada dos Veados.","JBRJ",,"Preserved Specimen","22º46´0´´","44º36´31´´W",,"rostratum","C.Mynssen; J.F. Baumgratz, F. Pinheiro, T.E.C. Meneguzzo & R. Ribeiro","-44.6086111","-22.7666667",,"Fée","C. Mynssen",,"1288",,,,,"1326",,,,,,,,,,,,,,"São José do Barreiro",,,,"BR",,,"2011-10-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Mynssen, C.","1288","2011","Mynssen, C.","n.d.","Baumgratz, J.F.; Pinheiro, F.; Meneguzzo, T.E.C.; Ribeiro, R.","Mynssen",,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina, estrada para pousada dos veados",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county",,,,,"urn:catalog:JBRJ:RB:673643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/67/36/43/00673643.jpg",,,,,,,,,,,,,,,,,"2017-10-17 16:56:15+00","Samambaias e Licófitas","brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Diplazium rostratum","Fée","name_w_authors","Athyriaceae","Diplazium rostratum","Fée","species","name accepted","bfo-108545",,,"Diplazium rostratum Fée","Diplazium","Athyriaceae","low","Diplazium rostratum"
"gbif","SP","312850","Distimake macrocalyx (Ruiz & Pav.) A.R.Simões & Staples","Plantae","Convolvulaceae","Distimake","1997","5","1","Brasil","São Paulo",,"base da reserva do Parque Nacional da Serra da Bocaina","IPA/SP","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/1","macrocalyx","Simão Bianchini, R; Bianchini, S","-44","-22","2024-11-29 10:49:55","(Ruiz & Pav.) A.R.Simões & Staples","Petrongari, FS",,"1070",,,,,,,,,"Magnoliopsida","Solanales",,,,,,,,"GBIF","São José do Barreiro","2021-10-01","Distimake macrocalyx (Ruiz & Pav.) A.R.Simões & Staples",,"BR",,,"1997-05-01",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","base da reserva do parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county","2860346444",,,,"https://specieslink.net/guid/1/312850",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Distimake",,,,,,"17efa320-7312-4b55-bf0a-a4cfc4613169",,,TRUE,FALSE,"Distimake macrocalyx","Distimake macrocalyx","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","name_w_authors","Convolvulaceae","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","species","author misspelled","bfo-604876",,,"Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","Distimake","Convolvulaceae","unknown","Distimake macrocalyx"
"user","RB","RB01457751","Doryopteris","Plantae","Pteridaceae","Doryopteris","2021","12","14","Brasil","São Paulo",,"Trilha para a Cacheira Santo Izidro. Parque Nacional da Serra da Bocaina","JBRJ",,"Preserved Specimen","22º44´52´´","44º36´57´´W",,"Doryopteris","C.Mynssen; V.Lino","-44.6158333","-22.7477777",,,,,"1548",,,,,,,,,,,,,,,,,,,"São José do Barreiro",,,,"BR",,,"2021-12-14",,,,,,,"gen.","Physical Object",,,,"RB",,"Mynssen, C.","1548","2021","s.n.","n.d.","Lino, V.","Mynssen",,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality",,,,,"urn:catalog:JBRJ:RB:1457751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/77/51/01457751.jpg",,,,,,,,,,,,,,,,,"2022-03-14 11:41:50+00","Samambaias e Licófitas","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Doryopteris","J. Sm.","indet","Pteridaceae","Doryopteris","J. Sm.","genus","name accepted","bfo-91895",,,"Doryopteris J. Sm.","Doryopteris","Pteridaceae","unknown",
"user","RB","RB00673638","Drimys brasiliensis Miers","Plantae","Winteraceae","Drimys","2011","10","5","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina, picada para o Morro do Tira Chapéu, campo de altitude.","JBRJ",,"Preserved Specimen","22º45´52´´","44º39´32´´W",,"brasiliensis","C.Mynssen; J.F. Baumgratz, F. Pinheiro, T.E.C. Meneguzzo & R. Ribeiro","-44.6588889","-22.7644444",,"Miers","L. Marinho",,"1284",,,,,"1937",,,,,,,,,,,,,,"São José do Barreiro","2014-8-19",,,"BR",,,"2011-10-05",,,,,,,"sp.","Physical Object",,,,"RB",,"Mynssen, C.","1284","2011","Marinho, L.","2014","Baumgratz, J.F.; Pinheiro, F.; Meneguzzo, T.E.C.; Ribeiro, R.","Mynssen",,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality",,,,,"urn:catalog:JBRJ:RB:673638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/67/36/38/00673638.jpg",,,,,,,,,,,,,,,,,"2017-10-17 16:06:15+00","Angiospermas","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Drimys brasiliensis","Miers","name_w_authors","Winteraceae","Drimys brasiliensis","Miers","species","name accepted","bfo-15325",,,"Drimys brasiliensis Miers","Drimys","Winteraceae","low","Drimys brasiliensis"
"gbif","SPF","157136","Drosera montana var. montana","Plantae","Droseraceae","Drosera","2002","10","22","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina","USP-IB","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/7","montana","Rivadavia, F",,,"2023-12-20 15:58:31","A.St.-Hil.","Rivadavia, F",,"1413",,,,,"1500","1500",,,"Magnoliopsida","Caryophyllales",,,"montana",,,,,"GBIF","São José do Barreiro",,"Drosera montana var. montana",,"BR",,,"2002-10-22",,,,,,"ACCEPTED","VARIETY",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality","1264691580",,,,"https://specieslink.net/guid/7/157136",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drosera",,,,,,"1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3",,,FALSE,FALSE,"Drosera montana","Drosera montana montana","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,"https://images.cria.org.br/viewer/SPF00157136","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Drosera montana","A.St.-Hil.","variety","Droseraceae","Drosera montana","A.St.-Hil.","species","replaced synonym","bfo-7426","Drosera montana","A.St.-Hil.","Drosera montana A.St.-Hil.","Drosera","Droseraceae","unknown","Drosera montana"
"gbif","BHCB","195281","Dryadella Luer","Plantae","Orchidaceae","Dryadella","2018","2","1","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina, Trilha do Ouro","UFMG","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/220",,"Batista, JAN; Cruz-Lustre, GM","-44.619167","-22.752222","2023-02-08 18:37:05",,,,"3508",,,,,"0","0",,,"Liliopsida","Asparagales",,,,,,,,"GBIF","São José do Barreiro",,"Dryadella Luer",,"BR",,,"2018-02-01",,,,,,"ACCEPTED","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality","3069237304",,,,"https://specieslink.net/guid/220/195281",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dryadella",,,,,,"d2470ef8-edfa-4ba7-821e-c3e1a537bdba",,,TRUE,FALSE,,"Dryadella","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Dryadella","Luer","indet","Orchidaceae","Dryadella","Luer","genus","name accepted","bfo-11471",,,"Dryadella Luer","Dryadella","Orchidaceae","unknown",
"gbif","SP","335719","Dyckia tuberosa (Vell.) Beer","Plantae","Bromeliaceae","Dyckia","1998","12","29","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina","IPA/SP","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/1","tuberosa","Freitas, L; Gajardo, ISM",,,"2021-12-09 11:02:37","(Vell.) Mez","Forzza, RC",,"495",,,,,,,,,"Liliopsida","Poales",,,,,,,,"GBIF","São José do Barreiro","2006-01-01","Dyckia tuberosa (Vell.) Beer",,"BR",,,"1998-12-29",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina",,"locality","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina",-22.74484201,-44.61460885,"locality","2452904104",,,,"https://specieslink.net/guid/1/335719",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dyckia",,,,,,"17efa320-7312-4b55-bf0a-a4cfc4613169",,,FALSE,FALSE,"Dyckia tuberosa","Dyckia tuberosa","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro_parque nacional serra bocaina","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","ok_same_resolution","Dyckia tuberosa","(Vell.) Beer","name_w_authors","Bromeliaceae","Dyckia tuberosa","(Vell.) Beer","species","name accepted","bfo-6081",,,"Dyckia tuberosa (Vell.) Beer","Dyckia","Bromeliaceae","unknown","Dyckia tuberosa"
"gbif","BHCB","35270","Dyssochroma viridiflorum (Sims) Miers","Plantae","Solanaceae","Dyssochroma","1994","7","18","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina, Sítio do Sr. Sebastião Arantes.","UFMG","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/220","viridiflorum","Rossi, L; Catharino, ELM",,,"2024-09-03 19:47:24","(Sims) Miers",,,"1570",,,,,"0","0",,,"Magnoliopsida","Solanales",,,,,,,,"GBIF","São José do Barreiro","2024-01-01","Dyssochroma viridiflorum (Sims) Miers",,"BR",,,"1994-07-18",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina, sitio do senhor sebastiao arantes",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county","1087594441",,,,"https://specieslink.net/guid/220/35270",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dyssochroma",,,,,,"d2470ef8-edfa-4ba7-821e-c3e1a537bdba",,,FALSE,FALSE,"Dyssochroma viridiflorum","Dyssochroma viridiflorum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/BHCB031942","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Dyssochroma viridiflorum","(Sims) Miers","name_w_authors","Solanaceae","Dyssochroma viridiflorum","(Sims) Miers","species","name accepted","bfo-26120",,,"Dyssochroma viridiflorum (Sims) Miers","Dyssochroma","Solanaceae","unknown","Dyssochroma viridiflorum"
"gbif","SPF","99488","Echinolaena inflexa (Poir.) Chase","Plantae","Poaceae","Echinolaena","1994","7","16","Brasil","São Paulo",,"Parque Nacional da Serra da Bocaina, Fazenda Floresta.","USP-IB","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/7","inflexa","Rossi, L",,,"2023-12-20 16:06:22","(Poir.) Chase","Dias-Melo, R",,"1544",,,,,"1560","1560",,,"Liliopsida","Poales",,,,,,,,"GBIF","São José do Barreiro","2006-01-01","Echinolaena inflexa (Poir.) Chase",,"BR",,,"1994-07-16",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","sao jose do barreiro","parque nacional da serra da bocaina, fazenda floresta",,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county","1291004218",,,,"https://specieslink.net/guid/7/99488",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Echinolaena",,,,,,"1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3",,,FALSE,FALSE,"Echinolaena inflexa","Echinolaena inflexa","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/SPF00099488","WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_sao jose barreiro","Brazil","São Paulo","São José do Barreiro",,"check_local.2municip.","Echinolaena inflexa","(Poir.) Chase","name_w_authors","Poaceae","Echinolaena inflexa","(Poir.) Chase","species","name accepted","bfo-13191",,,"Echinolaena inflexa (Poir.) Chase","Echinolaena","Poaceae","unknown","Echinolaena inflexa"
