"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","SPF00118909","Splink","SPF","Ogawa, K.","1","Native","Bronze","Parque Estadual da Cantareira","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","SPSF00037522","Splink","SPSF","Arzolla, F.A.R.D.P.","1143","Native","Ouro","Parque Estadual da Cantareira - Núcleo Cabuçú","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Acanthaceae","Lepidagathis","montana","(Nees) Kameyama","ACANTHACEAE Lepidagathis montana (Nees) Kameyama","207816","Splink","ICN","Yano, O.","17770","Native","Bronze","Parque Estadual da Cantareira","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","SPF00222829","Splink","SPF","Silva-Luz, C.L.","112","Native","Bronze","Parque Estadual da Cantareira, Núcleo Águas Claras. Av. Senador José Emírio de Marais. Divisa dos municípios de São Paulo e Mairiporã. Trilha para Pedra Grande, lado direito da estrada.","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","SPF00222822","Splink","SPF","Silva-Luz, C.L.","119","Native","Bronze","Parque Estadual da Cantareira, Núcleo Águas Claras. Av. Senador José Emírio de Marais. Divisa dos municípios de São Paulo e Mairiporã. Caminho para a trilha Sede-Samambaia-açu, na beira da estrada.","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Bryophytes","Aizoaceae","Thamniopsis","langsdorffii","(Hook.) W.R. Buck","AIZOACEAE Thamniopsis langsdorffii (Hook.) W.R. Buck","CESJ070974","Splink","CESJ","Yano, O.","16607","Native","Bronze","Parque Estadual da Cantareira","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","SPSF00035107","Splink","SPSF","Arzolla, F.A.R.D.P.","900",,"Latão","Parque Estadual da Cantareira, Morro do Pavão","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Amaranthaceae","Celosia","grandifolia","Moq.","AMARANTHACEAE Celosia grandifolia Moq.","146580","GBIF","UEC","Arzolla, F.A.R.D.P.","1042","Native","Bronze","Parque Estadual da Cantareira, Proximidades da administração. Floresta ombrófila densa montana, área de clareira.","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Amaryllidaceae","Hippeastrum","striatum","(Lam.) Moore","AMARYLLIDACEAE Hippeastrum striatum (Lam.) Moore","390637","Splink","SP","Kirizawa, M.","3545","Native","Bronze","Parque Estadual da Cantareira, Núcleo Engordador","Não"
"PARQUE ESTADUAL DA CANTAREIRA","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","SPSF00039453","Splink","SPSF","Arzolla, F.A.R.D.P.","1262","Native","Bronze","Parque Estadual da Cantareira, Hortolândia","Não"
