"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","occurrenceRemarks","coordinatePrecision","recordNumber","barcode","continentocean","minimumelevationinmeters","maximumelevationinmeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","phylum","class","order","infraspecificepithet","preparationtype","individualcount","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetName","eventDate","fieldNotes","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","occurrenceID","individualCount","establishmentMeans","georeferenceVerificationStatus","occurrenceStatus","preparations","associatedOccurrences","otherCatalogNumbers","previousIdentifications","fieldNumber","startDayOfYear","endDayOfYear","higherGeography","continent","typeStatus","taxonID","acceptedNameUsageID","higherClassification","genericName","specificEpithet","infraspecificEpithet","verbatimTaxonRank","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","species","verbatimScientificName","protocol","lastParsed","lastCrawled","repatriated","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","geodeticDatum","imageCollectionCode","duplicates","recordedByExtra","dateCollected","verbatimElevationMax","measurementUnit","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Cyperus simplex","speciesLink","HRCB","52459","Cyperus simplex","Plantae","Cyperaceae","Cyperus","2010","04","20","Brasil","São Paulo","Porto Ferreira","parque Estadual de Porto Ferreira Trilha da Lagoa","UNESP-RC","PreservedSpecimen","Alves, R.","21º49'S","47º25'W","15","simplex","Oliveira, A.P.C.","-47.416667","-21.816667","2025-02-04T08:01:05","<nO>Erva ca. 1,3 m., inflorescências marronsHabitat: Margem da lagoa do cerrado</nO>",,"13","HRCB052459",,,,"Kunth","2010","11",,,,,,,,,"SPLINK","Porto Ferreira","2010-11-NA",,,,,,,,,,,,,"HRCB",,"Oliveira, A.P.C.","13","2010","Alves, R.","2010",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha da lagoa","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Cyperus simplex","Kunth","possibly_ok","Cyperaceae","Cyperus simplex","Kunth","species","name accepted","bfo-7190",,,"Cyperus simplex Kunth","Cyperus","Cyperaceae","low","Cyperus simplex"
"Cyrtocymura scorpioides","speciesLink","UEC","188375","Vernonia scorpioides","Plantae","Asteraceae","Vernonia","2011","09","01","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha do Poção.","UNICAMP","S","Monge, M","-21.816667","-47.416667","2","scorpioides","Oliveira, APC","-47.416667","-21.816667","2024-11-25T11:16:50","<nO>Liana pilosa aromática, folhas papiráceas, face abaxial verde acinzentada, cálice e brácteas verdes, corola branca com ápice lilás.; Borda de trilha em mata semidecídua.</nO>",,"116","UEC017840",,,,"(Lam.) Pers.","2012","10",,"Magnoliopsida",,,,,,,"SPLINK","Porto Ferreira","2012-10-NA",,,,,,,,,,,,,"UEC",,"Oliveira, A.P.C.","116","2011","Monge, M.","2012",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Cyrtocymura scorpioides","(Lam.) H.Rob.","possibly_ok","Asteraceae","Cyrtocymura scorpioides","(Lam.) H.Rob.","species","replaced synonym","bfo-27011","Cyrtocymura scorpioides","(Lam.) H.Rob.","Cyrtocymura scorpioides (Lam.) H.Rob.","Cyrtocymura","Asteraceae","high","Cyrtocymura scorpioides"
"Dalbergia","speciesLink","SPSF","19517","Dalbergia","Plantae","Fabaceae","Dalbergia","1995","01","19","Brasil","SP","Porto Ferreira","P.E.Instituto Florestal","IF","PreservedSpecimen",,,,"13",,"J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:13:50","<nO>COLETA: XLS: SPSFAntigo; GEOGRAFIA: cerrado&nf;;</nO>","13859","313","SPSF00019517","América do Sul",,,,,,,"Magnoliophyta","Magnoliopsida","Fabales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","313","1995","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadualinstituto florestal","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Dalbergia","L.f.","indet","Fabaceae","Dalbergia","L.f.","genus","name accepted","bfo-22908",,,"Dalbergia L.f.","Dalbergia","Fabaceae","unknown",
"Dalechampia pentaphylla","speciesLink","FUEL","53550","Dalechampia pentaphylla","Plantae","Euphorbiaceae","Dalechampia","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha do Poção, porda de trilha em cerradão e mata semidecídua","UEL","PreservedSpecimen","Oliveira, APC","-21.816667","-47.416667","48","pentaphylla","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2024-12-05T15:05:21","<nO>Liana, folíolos papiráceos, inflorescências amarelo-esverdeadas; Borda de trilha em cerradão e mata semidecídua</nO>",,"7777","FUEL013195",,"520","600","Lam.","2011","10",,"Tracheophyta",,"Malpighiales",,,,,"SPLINK","Porto Ferreira","2011-10-NA",,,,,,,,,,,,,"FUEL",,"Lombardi, J.A.","7777","2010","Oliveira, A.P.C.","2011","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Dalechampia pentaphylla","Lam.","possibly_ok","Euphorbiaceae","Dalechampia pentaphylla","Lam.","species","name accepted","bfo-29256",,,"Dalechampia pentaphylla Lam.","Dalechampia","Euphorbiaceae","low","Dalechampia pentaphylla"
"Dalechampia stipulacea","speciesLink","HRCB","52318","Dalechampia stipulacea","Plantae","Euphorbiaceae","Dalechampia","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha de uso extensivo dos Jequitibás","UNESP-RC","PreservedSpecimen","Oliveira, A.P.C.","21º49'S","47º25'W","15","stipulacea","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:01:38","<nO>Liana, folhas papiráceas, brácteas creme com nervuras verdes, frutos imaturos verdesHabitat: Borda de trilha em mata semidecídua</nO>",,"7709","HRCB052318",,"520","520","Müll.Arg.","2011","10",,,,,,,,,"SPLINK","Porto Ferreira","2011-10-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7709","2010","Oliveira, A.P.C.","2011",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha de uso extensivo dos jequitibas","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Dalechampia stipulacea","Müll.Arg.","possibly_ok","Euphorbiaceae","Dalechampia stipulacea","Müll.Arg.","species","name accepted","bfo-29259",,,"Dalechampia stipulacea Müll.Arg.","Dalechampia","Euphorbiaceae","low","Dalechampia stipulacea"
"Dalechampia triphylla","speciesLink","HRCB","68019","Dalechampia triphylla","Plantae","Euphorbiaceae","Dalechampia","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","triphylla","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T08:01:38","<nO>Floresta Estacional Semidecidual (borda). Trepadeira volúvel urticante. Presença de nectários globosos na flor.</nO>",,"29","HRCB068019",,,,"Lam.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","29","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Dalechampia triphylla","Lam.","possibly_ok","Euphorbiaceae","Dalechampia triphylla","Lam.","species","name accepted","bfo-25506",,,"Dalechampia triphylla Lam.","Dalechampia","Euphorbiaceae","low","Dalechampia triphylla"
"Dasyphyllum brasiliense","speciesLink","HRCB","68000","Dasyphyllum brasiliense","Plantae","Asteraceae","Dasyphyllum","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","brasiliense","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T07:59:11","<nO>Floresta Estacional Semidecidual (borda). Trepadeira lenhosa escandente com espinho no ápice da folha. Botões florais castanho claro.</nO>",,"10","HRCB068000",,,,"(Spreng.) Cabrera",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","10","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Dasyphyllum brasiliense","(Spreng.) Cabrera","possibly_ok","Asteraceae","Dasyphyllum brasiliense","(Spreng.) Cabrera","species","name accepted","bfo-5292",,,"Dasyphyllum brasiliense (Spreng.) Cabrera","Dasyphyllum","Asteraceae","low","Dasyphyllum brasiliense"
"Davilla elliptica","speciesLink","HRCB","68017","Davilla elliptica","Plantae","Dilleniaceae","Davilla","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","elliptica","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T08:01:13","<nO>Floresta Estacional Semidecidual. Trepadeira com frutos castanhos.</nO>",,"27","HRCB068017",,,,"A.St.-Hil.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","27","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Davilla elliptica","A.St.-Hil.","possibly_ok","Dilleniaceae","Davilla elliptica","A.St.-Hil.","species","name accepted","bfo-17279",,,"Davilla elliptica A.St.-Hil.","Davilla","Dilleniaceae","low","Davilla elliptica"
"Davilla rugosa","speciesLink","HRCB","68018","Davilla rugosa","Plantae","Dilleniaceae","Davilla","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","rugosa","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T08:01:13","<nO>Floresta Estacional Semidecidual (borda). Trepadeira lenhosa com botões florais castanhos.</nO>",,"28","HRCB068018",,,,"Poir.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","28","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Davilla rugosa","Poir.","possibly_ok","Dilleniaceae","Davilla rugosa","Poir.","species","name accepted","bfo-7353",,,"Davilla rugosa Poir.","Davilla","Dilleniaceae","low","Davilla rugosa"
"Delilia","gbif","HRCB","52524","Elvira Cass.","Plantae","Asteraceae","Delilia","2010","5","20","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira Trilha da borda do Parque paralela à estrada","UNESP-RC","PRESERVED_SPECIMEN","Lombardi, J.A.",,,"https://specieslink.net/col/15",,"Oliveira, A.P.C.","-47.416667","-21.816667","2024-12-18 09:13:55","Erva ca. 0,5m, folhas carnosas, pilosas, brácteas verdes, flores vermelhas, antersa amarelas, frutos secos marrons.Habitat: Borda de trilha em cerradão e mata semidecídua",,"67",,,,,"Nicolson",,,,"Tracheophyta","Magnoliopsida","Asterales",,,,,"GBIF","Porto Ferreira","2010-05-01","Delilia Spreng.",,"BR",,"2010-05-20",,"SYNONYM","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha da borda do parque paralela a estrada","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county","158511","1090695711",,"CC_BY_4_0","Universidade Estadual Paulista","https://specieslink.net/guid/15/52524","Herbário Rioclarense",,"Universidade Estadual Paulista - Campus de Rio Claro","https://specieslink.net/guid/15/52524",,,,"PRESENT",,,,,,"140","140",,"SOUTH_AMERICA",,,"3088786",,"Elvira",,,,"fdf55163-54d8-4bc7-862d-7e41068589e3","BR","2025-01-05 14:53:12.278","520","0","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE",,TRUE,FALSE,"3142271","3088786","6","7707728","220","414","3065","3088786",,,"Elvira fosbergii","EML","2025-01-05 14:53:12.278","2025-01-05 14:52:23.551",FALSE,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.457_2","Porto Ferreira",,,"520","520","WGS84",,,,,,,,,"brazil_sao paulo_porto ferreira","Brazil","São Paulo","Porto Ferreira",,"ibge",TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Delilia","Spreng.","name_w_authors","Asteraceae","Delilia","Spreng.","genus","replaced synonym","bfo-16082","Delilia","Spreng.","Delilia Spreng.","Delilia","Asteraceae","unknown",
"Desmodium affine","speciesLink","HRCB","52293","Desmodium affine","Plantae","Fabaceae","Desmodium","2010","03","25","Brasil","São Paulo","Porto Ferreira","Trilha de uso entensivo dos Jequitibás. Parque Estadual de Porto Ferreira.","UNESP-RC","PreservedSpecimen","Tozzi, A.M.G.A.","21º49'S","47º25'W","15","affine","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:02:01","<nO>Erva, folhas papiráceas, cálice verde, corola branca, frutos imaturos verdes.Habitat: Boda de trilha em mata semidecídua.</nO>",,"7684","HRCB052293",,"520","520","Schltdl.","2011","04",,,,,,,,,"SPLINK","Porto Ferreira","2011-04-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7684","2010","Tozzi, A.M.G.A.","2011",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Desmodium affine","Schltdl.","possibly_ok","Fabaceae","Desmodium affine","Schltdl.","species","name accepted","bfo-22932",,,"Desmodium affine Schltdl.","Desmodium","Fabaceae","high","Desmodium affine"
"Desmodium distortum","speciesLink","HRCB","52507","Desmodium distortum","Plantae","Fabaceae","Desmodium","2010","05","13","Brasil","São Paulo","Porto Ferreira","Trilha da borda do parque paralela à estrada Parque Estadual de Porto Ferreira.","UNESP-RC","PreservedSpecimen","Queiroz, R.T.","21º49'S","47º25'W","15","distortum","Oliveira, A.P.C.","-47.416667","-21.816667","2025-02-04T08:02:01","<nO>Erva ca. 2,5m caule oco verde, folhas herbáceas, pilosas, frutos secos marrons.Habitat: Borda de trilha em cerradão e mata semidecídua.</nO>",,"50","HRCB052507",,"520","520","(Aubl.) J.F.Macbr.","2011","04",,,,,,,,,"SPLINK","Porto Ferreira","2011-04-NA",,,,,,,,,,,,,"HRCB",,"Oliveira, A.P.C.","50","2010","Queiroz, R.T.","2011",,"Oliveira",,"brazil","sao paulo","porto ferreira","trilha da borda do parque paralela a estrada parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Desmodium distortum","(Aubl.) J.F.Macbr.","possibly_ok","Fabaceae","Desmodium distortum","(Aubl.) J.F.Macbr.","species","name accepted","bfo-29611",,,"Desmodium distortum (Aubl.) J.F.Macbr.","Desmodium","Fabaceae","high","Desmodium distortum"
"Desmodium uncinatum","speciesLink","HRCB","52391","Desmodium uncinatum","Plantae","Fabaceae","Desmodium","2010","04","08","Brasil","São Paulo","Porto Ferreira","Trilha do Poção Parque Estadual de Porto Ferreira.","UNESP-RC","PreservedSpecimen","Queiroz, R.T.","21º49'S","47º25'W","15","uncinatum","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:02:01","<nO>Erva escandente, viscosa, folíolos papiráceos, cálice verde, corola branco-azulada, frutos imaturos verdes.Habitat: Borda de trilha em cerradão e mata semidecídua.</nO>",,"7737","HRCB052391",,"520","520","(Jacq.) DC.","2011","04",,,,,,,,,"SPLINK","Porto Ferreira","2011-04-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7737","2010","Queiroz, R.T.","2011",,"Lombardi",,"brazil","sao paulo","porto ferreira","trilha do pocao parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Desmodium uncinatum","(Jacq.) DC.","possibly_ok","Fabaceae","Desmodium uncinatum","(Jacq.) DC.","species","name accepted","bfo-83066",,,"Desmodium uncinatum (Jacq.) DC.","Desmodium","Fabaceae","high","Desmodium uncinatum"
"Dichorisandra hexandra","speciesLink","CEN","85755","Dichorisandra hexandra","Plantae","Commelinaceae","Dichorisandra","2010","03","25",,"SP","PORTO FERREIRA","Parque Estadual de Porto Ferreira, trilha de uso extensivo dos Jequitibás, ca. 21º49`, 47º25`, 520 - 600 m","Cenargen","PreservedSpecimen","L. Y. S. Aona","-21,816666","-47,416666","399","hexandra","Júlio Antônio Lombardi","-47.416666","-21.816666","2024-09-19T13:46:12","<nO>Borda de trilha em mata semidecídua. Erva carnosa escandente, folhas carnosas, botôes brancos e azuis. Doação HERBARIUM RIOCLARENSE HRCB (52280)</nO>",,"7671","CEN00085755",,"520","520","(Aubl.) C.B.Clarke","2011","10",,,,,,"Exsicatas","4",,"SPLINK","PORTO FERREIRA","2011-10-NA",,,,,,,,,,,,,"CEN",,"Lombardi, J.A.","7671","2010","Aona, L.Y.S.","2011",,"Lombardi",,,"sp","porto ferreira","parque estadual de porto ferreira","no_info",,,,,"no_info",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816666,-47.416666,"coord_original","seconds","ok_same_resolution","Dichorisandra hexandra","(Aubl.) C.B.Clarke","possibly_ok","Commelinaceae","Dichorisandra hexandra","(Aubl.) C.B.Clarke","species","name accepted","bfo-16917",,,"Dichorisandra hexandra (Aubl.) C.B.Clarke","Dichorisandra","Commelinaceae","high","Dichorisandra hexandra"
"Didymopanax morototoni","speciesLink","HRCB","71801","Schefflera morototoni","Plantae","Araliaceae","Schefflera","2014","11","27","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Cerradão, próximo à lagoa do Cerrado","UNESP-RC","PreservedSpecimen","G.P. Sabino","21°49'0.0006""S","47°25'0.0006""W","15","morototoni","Sabino, G.P.","-47.416667","-21.816667","2025-02-04T07:58:55","<nO>Árvore, 10 metros, terrícola, botões ferrugíneos.Habitat: Cerradão</nO>",,"29","HRCB071801",,,,"(Aubl.) Maguire, Steyerm. & Frodin","2014","11","27",,,,,,,,"SPLINK","Porto Ferreira","2014-11-27",,,,,,,,,,,,,"HRCB",,"Sabino, G.P.","29","2014","Sabino, G.P.","2014",,"Sabino",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira cerradao","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Didymopanax morototoni","(Aubl.) Decne. & Planch.","possibly_ok","Araliaceae","Didymopanax morototoni","(Aubl.) Decne. & Planch.","species","author misspelled|replaced synonym","bfo-43266","Didymopanax morototoni","(Aubl.) Decne. & Planch.","Didymopanax morototoni (Aubl.) Decne. & Planch.","Didymopanax","Araliaceae","low","Didymopanax morototoni"
"Didymopanax vinosus","speciesLink","HRCB","52466","Schefflera vinosa","Plantae","Araliaceae","Schefflera","2010","04","20","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha do Poção","UNESP-RC","PreservedSpecimen","Oliveira, A.P.C.","21º49'S","47º25'W","15","vinosa","Oliveira, A.P.C.","-47.416667","-21.816667","2025-02-04T07:58:55","<nO>Arbusto mais ou menos escandente ca. 1,5m, folíolos cartáceos, face adaxial verde escura, face abaxial, caule e eixo da inflorescência ferrugem com tricomas, cálice ferrugem, corola verde clara, anterHabitat: Borda de trilha em cerradão</nO>",,"20","HRCB052466",,"520","520","(Cham. & Schltdl.) Frodin & Fiaschi","2010","09",,,,,,,,,"SPLINK","Porto Ferreira","2010-09-NA",,,,,,,,,,,,,"HRCB",,"Oliveira, A.P.C.","20","2010","Oliveira, A.P.C.","2010",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha do pocao","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Didymopanax vinosus","(Cham. & Schltdl.) Marchal","possibly_ok","Araliaceae","Didymopanax vinosus","(Cham. & Schltdl.) Marchal","species","replaced synonym","bfo-43285","Didymopanax vinosus","(Cham. & Schltdl.) Marchal","Didymopanax vinosus (Cham. & Schltdl.) Marchal","Didymopanax","Araliaceae","low","Didymopanax vinosus"
"Dimorphandra mollis","speciesLink","HRCB","71802","Dimorphandra mollis","Plantae","Fabaceae","Dimorphandra","2014","11","27","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Face Norte da Lagoa do Cerrado","UNESP-RC","PreservedSpecimen","G.P. Sabino","21°49'0.0006""S","47°25'0.0006""W","15","mollis","Sabino, G.P.","-47.416667","-21.816667","2025-02-04T08:02:02","<nO>Árvore, 5 metros, terrícola, frutos fétidos.Habitat: Cerradão</nO>",,"30","HRCB071802",,,,"Benth.","2014","11","27",,,,,,,,"SPLINK","Porto Ferreira","2014-11-27",,,,,,,,,,,,,"HRCB",,"Sabino, G.P.","30","2014","Sabino, G.P.","2014",,"Sabino",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira face norte da lagoa do cerrado","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Dimorphandra mollis","Benth.","possibly_ok","Fabaceae","Dimorphandra mollis","Benth.","species","name accepted","bfo-83086",,,"Dimorphandra mollis Benth.","Dimorphandra","Fabaceae","low","Dimorphandra mollis"
