"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","coordinatePrecision","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","occurrenceRemarks","continentocean","phylum","class","order","recordNumber","locality","verbatimLatitude","verbatimLongitude","minimumelevationinmeters","maximumelevationinmeters","previouscatalognumber","individualcount","fieldnumber","infraspecificepithet","relationshiptype","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Axonopus marginatus","speciesLink","SPSF00056918","SPSF","56918","Axonopus marginatus","Plantae","Poaceae","Axonopus","2012","05","21","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2012","05","21","13","marginatus","R.C.R. Abreu & G.Durigan","-49.2375","-22.816667","2024-08-06T09:12:49","(Trin.) Chase","<nO>COLETA: Gramínea estolonífera, baixa, base achatada.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Liliopsida","Poales","158","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2012-05-21",,,,,,,,,,,,,,,,,,"SPSF",,"Abreu, R.C.R.","158","2012","Durigan, G.","2012","Durigan, G.","Abreu",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Axonopus marginatus","(Trin.) Chase","possibly_ok","Poaceae","Axonopus marginatus","(Trin.) Chase","species","name accepted","bfo-13045",,,"Axonopus marginatus (Trin.) Chase","Axonopus","Poaceae","medium","Axonopus marginatus"
"Axonopus pellitus","user",,"RB","RB01223059","Axonopus pellitus (Nees ex Trin.) Hitchc. & Chase","Plantae","Poaceae","Axonopus","2015","2","11","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"(Nees ex Trin.) Hitchc. & Chase","Erva cespitosa, 70 cm de altura, nervura central da lâmina foliar arroxeada, tricomas alvos.",,,,,"204","campo cerrado. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2015-2-11",,,"BR",,,"2015-02-11",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","204","2015","Durigan, G.","2015","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223059",,,,,,,,,,,,,,,,,,,,,,"RB 675112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pellitus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/30/59/01223059.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:10:04+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Axonopus pellitus","(Nees ex Trin.) Hitchc. & Chase","name_w_authors","Poaceae","Axonopus pellitus","(Nees ex Trin.) Hitchc. & Chase","species","name accepted","bfo-13047",,,"Axonopus pellitus (Nees ex Trin.) Hitchc. & Chase","Axonopus","Poaceae","medium","Axonopus pellitus"
"Axonopus pressus","speciesLink","SPSF00057645","SPSF","57645","Axonopus pressus","Plantae","Poaceae","Axonopus","2014","02","08","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","11","08","13","pressus","G.Durigan & N.Pilon","-49.2375","-22.816667","2024-08-06T09:12:49","(Nees ex Steud.) Parodi","<nO>COLETA: Touceira grande. Folhas achatadas na base.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Liliopsida","Poales","4281","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-11-08",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4281","2014","Durigan, G.","2022","Pilon, N.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Axonopus pressus","(Nees ex Steud.) Parodi","possibly_ok","Poaceae","Axonopus pressus","(Nees ex Steud.) Parodi","species","name accepted","bfo-13050",,,"Axonopus pressus (Nees ex Steud.) Parodi","Axonopus","Poaceae","medium","Axonopus pressus"
"Axonopus siccus","user",,"RB","RB01223036","Axonopus siccus (Nees) Kuhlm.","Plantae","Poaceae","Axonopus","2014","2","7","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"(Nees) Kuhlm.","Erva cespitosa, 60 cm de altura, folhas filiformes.",,,,,"181","campo úmido. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2014-2-7",,,"BR",,,"2014-02-07",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","181","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223036",,,,,,,,,,,,,,,,,,,,,,"RB 675089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"siccus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/30/36/01223036.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:08:49+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Axonopus siccus","(Nees) Kuhlm.","name_w_authors","Poaceae","Axonopus siccus","(Nees) Kuhlm.","species","name accepted","bfo-13053",,,"Axonopus siccus (Nees) Kuhlm.","Axonopus","Poaceae","medium","Axonopus siccus"
"Ayapana amygdalina","speciesLink","SPSF00057555","SPSF","57555","Ayapana amygdalina","Plantae","Asteraceae","Ayapana","2019","07","23","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","11","12","13","amygdalina","G.Durigan","-49.2375","-22.816667","2024-08-06T09:13:02","(Lam.) R.M.King & H.Rob.","<nO>COLETA: Subarbusto de 80 cm de altura. Flores róseas aromáticas.; GEOGRAFIA: Cerrado Stricto sensu.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","4033","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-11-12",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4033","2019","Durigan, G.","2022",,"Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Ayapana amygdalina","(Lam.) R.M.King & H.Rob.","possibly_ok","Asteraceae","Ayapana amygdalina","(Lam.) R.M.King & H.Rob.","species","name accepted","bfo-15982",,,"Ayapana amygdalina (Lam.) R.M.King & H.Rob.","Ayapana","Asteraceae","medium","Ayapana amygdalina"
"Baccharis aphylla","user",,"HUFU","HUFU00072187","Baccharis aphylla (Vell.) DC.",,"Asteraceae","Baccharis","2014","10","01","Brasil","São Paulo",,,"HUFU",,"Sem determinador",,,,,,"Pilon, N.A.L.","-49.2369444444444","-22.7916666666667",,"(Vell.) DC.",,,,,,"67","Estação Ecológica de Santa Bárbara. . Campo cerrado.","22º 47' 30"""" S","49º 14' 13"""" W",,,,,,,,,"não","REFLORA","Águas de Santa Bárbara",,,,,,,,"Subarbusto áfilo, 50 cm de altura, flores amareladas.",,,,,,"SPECIES",,"0",,,,,,,,,,,,,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aphylla","ASTERACEAE Baccharis aphylla (Vell.) DC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"HUFU",,,,"Durigan, G.,Assis, G.B.","01/10/2014",,,"METRO",,,,,,,,"brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Baccharis aphylla","(Vell.) DC.","name_w_authors","Asteraceae","Baccharis aphylla","(Vell.) DC.","species","name accepted","bfo-5156",,,"Baccharis aphylla (Vell.) DC.","Baccharis","Asteraceae","high","Baccharis aphylla"
"Baccharis crispa","user",,"RB","RB01222992","Baccharis crispa Spreng.","Plantae","Asteraceae","Baccharis","2014","8","28","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"Spreng.","Arbusto, ramos trialados, flores creme.",,,,,"83","campo úmido. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2014-8",,,"BR",,,"2014-08-28",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","83","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1222992",,,,,,,,,,,,,,,,,,,,,,"RB 675045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"crispa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/29/92/01222992.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:06:26+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Baccharis crispa","Spreng.","name_w_authors","Asteraceae","Baccharis crispa","Spreng.","species","name accepted","bfo-5172",,,"Baccharis crispa Spreng.","Baccharis","Asteraceae","medium","Baccharis crispa"
"Baccharis hirta","speciesLink","SPSF00043070","SPSF","43070","Baccharis hirta","Plantae","Asteraceae","Baccharis","2008","09","25","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Heiden","2011","06","16","13","hirta","N.Guerin & G.Durigan & E.Furlan","-49.234167","-22.782778","2024-08-06T09:13:06","DC.","<nO>COLETA: Herbácea 20cm; flores brancas.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","275","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2011-06-16",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","275","2008","Heiden, G.","2011","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Baccharis hirta","DC.","possibly_ok","Asteraceae","Baccharis hirta","DC.","species","name accepted","bfo-5187",,,"Baccharis hirta DC.","Baccharis","Asteraceae","high","Baccharis hirta"
"Baccharis linearifolia","user",,"RB","RB01222983","Baccharis linearifolia (Lam.) Pers.","Plantae","Asteraceae","Baccharis","2013","6","6","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"(Lam.) Pers.","Subarbusto, 60 cm de altura, flores creme.",,,,,"8","campo cerrado. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2013-6",,,"BR",,,"2013-06-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","8","2013","Durigan, G.","2013","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1222983",,,,,,,,,,,,,,,,,,,,,,"RB 675036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"linearifolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/29/83/01222983.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:05:56+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Baccharis linearifolia","(Lam.) Pers.","name_w_authors","Asteraceae","Baccharis linearifolia","(Lam.) Pers.","species","name accepted","bfo-5200",,,"Baccharis linearifolia (Lam.) Pers.","Baccharis","Asteraceae","medium","Baccharis linearifolia"
"Baccharis sessiliflora","user",,"RB","RB01223044","Baccharis sessiliflora Vahl","Plantae","Asteraceae","Baccharis","2014","4","16","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"Vahl","Subarbusto, 40 cm de altura, brácteas castanho-douradas.",,,,,"189","campo cerrado. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2014-4",,,"BR",,,"2014-04-16",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","189","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223044",,,,,,,,,,,,,,,,,,,,,,"RB 675097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sessiliflora",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/30/44/01223044.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:09:15+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Baccharis sessiliflora","Vahl","name_w_authors","Asteraceae","Baccharis sessiliflora","Vahl","species","name accepted","bfo-26872",,,"Baccharis sessiliflora Vahl","Baccharis","Asteraceae","medium","Baccharis sessiliflora"
"Banisteriopsis campestris","speciesLink","SPSF00056612","SPSF","56612","Banisteriopsis campestris","Plantae","Malpighiaceae","Banisteriopsis","2014","01","08","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2014","01","08","13","campestris","G.B.Assis & N.Pilon & G.Durigan","-49.2375","-22.816667","2024-08-06T09:15:12","(A.Juss.) Little","<nO>COLETA: Arbusto.Ramos flexuosos. Flores róseas.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Malpighiales","35","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2014-01-08",,,,,,,,,,,,,,,,,,"SPSF",,"Assis, G.B.","35","2014","Durigan, G.","2014","Pilon, N.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Banisteriopsis campestris","(A.Juss.) Little","possibly_ok","Malpighiaceae","Banisteriopsis campestris","(A.Juss.) Little","species","name accepted","bfo-19393",,,"Banisteriopsis campestris (A.Juss.) Little","Banisteriopsis","Malpighiaceae","medium","Banisteriopsis campestris"
"Banisteriopsis malifolia","speciesLink","SPSF00056877","SPSF","56877","Banisteriopsis malifolia","Plantae","Malpighiaceae","Banisteriopsis","2012","05","21","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2012","05","21","13","malifolia","R.C.R. Abreu & G.Durigan","-49.2375","-22.816667","2024-08-06T09:15:12","(Nees & Mart.) B.Gates","<nO>COLETA: Arbusto de ramos flexuosos. Flores róseas.; GEOGRAFIA: Campo Cerrado em regeneração.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Malpighiales","117","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2012-05-21",,,,,,,,,,,,,,,,,,"SPSF",,"Abreu, R.C.R.","117","2012","Durigan, G.","2012","Durigan, G.","Abreu",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Banisteriopsis malifolia","(Nees & Mart.) B.Gates","possibly_ok","Malpighiaceae","Banisteriopsis malifolia","(Nees & Mart.) B.Gates","species","name accepted","bfo-19399",,,"Banisteriopsis malifolia (Nees & Mart.) B.Gates","Banisteriopsis","Malpighiaceae","medium","Banisteriopsis malifolia"
