"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"ESTAÇÃO ECOLÓGICA ITAPEVA","Angiosperms","Asteraceae","Moquiniastrum","paniculatum","(Less.) G. Sancho","ASTERACEAE Moquiniastrum paniculatum (Less.) G. Sancho","RB00938758","GBIF","RB","Souza, V.C.","8705","Native","Ouro","Estação Ecológica Itapeva. .","Não"
"ESTAÇÃO ECOLÓGICA ITAPEVA","Angiosperms","Lythraceae","Lafoensia","nummularifolia","A.St.-Hil.","LYTHRACEAE Lafoensia nummularifolia A.St.-Hil.","FUEL027945","Splink","FUEL","Souza, V.C.","7072","Native","Latão","Estação Ecológica Itapeva","Não"
