"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"ÁREA DE PROTEÇÃO AMBIENTAL DO ENGENHO D’AGUA","PORTO FELIZ (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO","SANTO ANDRÉ (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ","ALTÔNIA (PR) - ALTO PARAÍSO (PR) - BATAYPORÃ (MS) - DIAMANTE DO NORTE (PR) - ELDORADO (MS) - GUAÍRA (PR) - ICARAÍMA (PR) - IGUATEMI (MS) - ITAQUIRAÍ (MS) - IVATÉ (PR) - IVINHEMA (MS) - JAPORÃ (MS) - JATEÍ (MS) - MARILENA (PR) - MUNDO NOVO (MS) - NAVIRAÍ (MS) - NOVA ANDRADINA (MS) - NOVA LONDRINA (PR) - NOVO HORIZONTE DO SUL (MS) - PORTO RICO (PR) - QUERÊNCIA DO NORTE (PR) - ROSANA (SP) - SANTA CRUZ DE MONTE CASTELO (PR) - SÃO JORGE DO PATROCÍNIO (PR) - SÃO PEDRO DO PARANÁ (PR) - TAQUARUSSU (MS) - TERRA ROXA (PR)",NA,NA,NA,NA,NA
"ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","CARAGUATATUBA (SP) - ILHABELA (SP) - SÃO SEBASTIÃO (SP) - UBATUBA (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DA SERRA DO GUARARU","GUARUJÁ (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CAPIVARI-MONOS","SÃO PAULO (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL PLANALTO DO TURVO","BARRA DO TURVO (SP) - CAJATI (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA","BARRA DO TURVO (SP) - ELDORADO (SP) - IPORANGA (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL REPRESA BAIRRO DA USINA","ATIBAIA (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL RIO BATALHA","AGUDOS (SP) - AVAÍ (SP) - BALBINOS (SP) - BAURU (SP) - DUARTINA (SP) - GÁLIA (SP) - PIRAJUÍ (SP) - PIRATININGA (SP) - PRESIDENTE ALVES (SP) - REGINÓPOLIS (SP) - URU (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL RIO PARDINHO E RIO VERMELHO","BARRA DO TURVO (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL SANTOS CONTINENTE","SANTOS (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL SAPUCAÍ MIRIM","SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","AIURUOCA (MG) - ALAGOA (MG) - BAEPENDI (MG) - BOCAINA DE MINAS (MG) - CAMPOS DO JORDÃO (SP) - CRUZEIRO (SP) - DELFIM MOREIRA (MG) - GUARATINGUETÁ (SP) - ITAMONTE (MG) - ITANHANDU (MG) - ITATIAIA (RJ) - LAVRINHAS (SP) - LIBERDADE (MG) - LORENA (SP) - MARMELÓPOLIS (MG) - PASSA QUATRO (MG) - PASSA VINTE (MG) - PINDAMONHANGABA (SP) - PIQUETE (SP) - PIRANGUÇU (MG) - POUSO ALTO (MG) - QUELUZ (SP) - RESENDE (RJ) - SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP) - VIRGÍNIA (MG) - WENCESLAU BRAZ (MG)",NA,NA,NA,NA,NA
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO ITAPETI","GUARAREMA (SP) - MOGI DAS CRUZES (SP) - SUZANO (SP)",0,0,0,0,0
