"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship","downloadedFrom","dayIdentified","latitude","longitude","monthIdentified","occurrenceRemarks","yearIdentified","right","modified_incomplete","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2025-03-21T08:58:49",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"473044","639","Lehtonen, S; et al.",,,,,,,,,,,,"2008","03","08",,,,,,,,"São Paulo","Caraguatatuba","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Estrada da intermediária, Rio Pardo.",,,,"-23.666667","-45.65",,,,,,,,,,,,"Hirai, RY; Prado, J",,"2024-NA-NA",,,"Abrodictyum rigidum",,,,,,,"Plantae",,,"Pteridophyta",,"Hymenophyllaceae",,,,"Abrodictyum",,,,"rigidum",,,,,,,,,,,,,,"Abrodictyum rigidum",,,,,,,"Brasil","715","715",,,,,"-23.666667","-45.65","(Sw.) Ebihara & Dubuisson","Splink",,,,,,"2024",,,,"SP0473044",,,,,,,,,,,,,,,,,,,"SP",,"Lehtonen, S.","639","2008","Hirai, R.Y.","2024",,"Lehtonen","Prado, J.","brazil","sao paulo","caraguatatuba","parque estadual serra mar nucleo caraguatatuba, estrada da intermediaria",,"locality","brazil_sao paulo_caraguatatuba","brazil_sao paulo_caraguatatuba",-23.64003513,-45.48831769,"county","brazil_sao paulo_caraguatatuba","Brazil","São Paulo","Caraguatatuba",,"ibge","check_local.2municip.","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","possibly_ok","Hymenophyllaceae","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","species","name accepted","bfo-91177",,,"Abrodictyum rigidum (Sw.) Ebihara & Dubuisson","Abrodictyum","Hymenophyllaceae","low","Abrodictyum rigidum"
"speciesLink",,,"2022-05-13T16:41:19",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"350614","119","Souza, FO; et al.",,,,,,,,,,,,"2000","07","20",,,,,,,,"São Paulo","Caraguatatuba","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha dos Macacos",,,,"-23.620001","-45.41",,"30093",,,,,,,,,,"Kawasaki, ML",,"2000-NA-NA",,,"Abuta selloana",,,,,,,"Plantae",,,,,"Menispermaceae",,,,"Abuta",,,,"selloana",,,,,,,,,,,,,,"Abuta selloana",,,,,,,"Brasil",,,,,,,"0","0","Eichler","Splink",,,,,,"2000",,,,,,,,,,,,,,,,,,,,,,,"SP",,"Souza, F.O.","119","2000","Kawasaki, M.L.","2000",,"Souza",,"brazil","sao paulo","caraguatatuba","parque estadual serra mar nucleo caraguatatuba",,"locality","brazil_sao paulo_caraguatatuba","brazil_sao paulo_caraguatatuba",-23.64003513,-45.48831769,"county","brazil_sao paulo_caraguatatuba","Brazil","São Paulo","Caraguatatuba",,"ibge","check_local.2municip.","Abuta selloana","Eichler","possibly_ok","Menispermaceae","Abuta selloana","Eichler","species","name accepted","bfo-19749",,,"Abuta selloana Eichler","Abuta","Menispermaceae","low","Abuta selloana"
"gbif","1.48095581744778e-314","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3171041",,,,,,"NY","NY",,"PRESERVED_SPECIMEN",,,"3171041","NY00778011","2759","G. L. Esteves",,,,,"PRESENT",,,,,,"2000-10-19","2000","10","19","2000-10-19",,,,,,"BR","São Paulo",,,"Parque Estadual da Serra do Mar",,,,"-23.620278","-45.409722",,,,,,,,,,,,"G. L. Esteves",,"2000-01-01",,,"Abutilon",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malvales",,"Malvaceae",,,,"Abutilon","Abutilon",,,,,,"genus",,"ACCEPTED",,"a185d0c4-1a12-45c1-a729-2a7b058b528d",,,TRUE,FALSE,,"Abutilon Tourn. ex Mill.","Abutilon Tourn. ex Mill.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/0/77/80/11/ny_00778011.dzi","Brazil",,,,,,,,,"Tourn. ex Mill.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NY",,"Esteves, G.L.","2759","2000","Esteves, G.L.","2000",,"Esteves",,"brazil","sao paulo","parque estadual da serra do mar","parque estadual da serra do mar",,"locality","brazil_sao paulo_parque estadual serra mar","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gdam","check_local.2state","Abutilon","Mill.","indet","Malvaceae","Abutilon","Mill.","genus","name accepted","bfo-8974",,,"Abutilon Mill.","Abutilon","Malvaceae","high",
"speciesLink",,,"2021-12-09T11:04:47",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"293309","110","Rapini, A; Costa, CB; Kirizawa, M",,,,,,,,,,,,"1996","03","21",,,,,,,,"São Paulo","Cunha","Cunha","Parque Estadual da Serra do Mar, Núcleo Cunha. Trilha do Cravino",,,,"-23.224444","-45.048056",,,,,,,,,,,,"Sousa, AAC",,"2018-08-01",,,"Acalypha amblyodonta",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Acalypha",,,,"amblyodonta",,,,,,,,,,,,,,"Acalypha amblyodonta",,,,,,,"Brasil","1100","1100",,,,,"-23.224444","-45.048056","(Müll.Arg.) Müll.Arg.","Splink","01",,,"08",,"2018",,,,"SP0293309",,,,,,,,,,,,,,,,,,,"SP",,"Rapini, A.","110","1996","Sousa, A.A.C.","2018","Costa, C.B.; Kirizawa, M.","Rapini",,"brazil","sao paulo","cunha","parque estadual serra mar nucleo cunha",,"locality","brazil_sao paulo_cunha","brazil_sao paulo_cunha",-23.05263382,-44.94193944,"county","brazil_sao paulo_cunha","Brazil","São Paulo","Cunha",,"ibge","check_local.2municip.","Acalypha amblyodonta","(Müll.Arg.) Müll.Arg.","possibly_ok","Euphorbiaceae","Acalypha amblyodonta","(Müll.Arg.) Müll.Arg.","species","name accepted","bfo-25455",,,"Acalypha amblyodonta (Müll.Arg.) Müll.Arg.","Acalypha","Euphorbiaceae","high","Acalypha amblyodonta"
"speciesLink",,,"2023-03-09T11:31:44",,,"2",,"UNICAMP","UEC",,"S",,,,"84814","629","Baitello, JB",,,,,,,,,,,,"1994","03","31",,,,,,,,"São Paulo","Cunha","Cunha","Parque Estadual da Serra do Mar, ao long",,,,"-23.07","-44.959999",,"38855",,,,,,,,,,"Sousa, AAC",,"2017-05-04",,,"Acalypha brasiliensis",,,,,,,"Plantae","Magnoliopsida",,,,"Euphorbiaceae",,,,"Acalypha",,,,"brasiliensis",,,,,,,,,,,,,,"Acalypha brasiliensis",,,,,,,"Brazil",,,,,,,"0","0","Müll.Arg.","Splink","04",,,"05",,"2017",,,,"UEC125339",,,,,,,,,,,,,,,,,,,"UEC",,"Baitello, J.B.","629","1994","Sousa, A.A.C.","2017",,"Baitello",,"brazil","sao paulo","cunha","parque estadual serra mar ao long",,"locality","brazil_sao paulo_cunha","brazil_sao paulo_cunha",-23.05263382,-44.94193944,"county","brazil_sao paulo_cunha","Brazil","São Paulo","Cunha",,"ibge","check_local.2municip.","Acalypha brasiliensis","Müll.Arg.","possibly_ok","Euphorbiaceae","Acalypha brasiliensis","Müll.Arg.","species","name accepted","bfo-17440",,,"Acalypha brasiliensis Müll.Arg.","Acalypha","Euphorbiaceae","high","Acalypha brasiliensis"
"speciesLink",,,"2024-03-22T11:15:43",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"515206","2103","Cordeiro, I",,,,,,,,,,,,"2000","02","16",,,,,,,,"São Paulo","Cunha","Cunha","Parque Estadual da Serra do Mar, Núcleo Cunha/Indaiá. Estrada para Santa Virgínia",,,,"-23.07","-44.959999",,"38855",,,,,,,,,,"Silva, OLM",,"2020-01-NA",,,"Acalypha gracilis",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Acalypha",,,,"gracilis",,,,,,,,,,,,,,"Acalypha gracilis",,,,,,,"Brasil",,,,,,,"0","0","Spreng.","Splink",,,,"01",,"2020",,,,"SP0515206",,,,,,,,,,,,,,,,,,,"SP",,"Cordeiro, I.","2103","2000","Silva, O.L.M.","2020",,"Cordeiro",,"brazil","sao paulo","cunha","parque estadual serra mar nucleo cunha/indaia, estrada para santa virginia",,"locality","brazil_sao paulo_cunha","brazil_sao paulo_cunha",-23.05263382,-44.94193944,"county","brazil_sao paulo_cunha","Brazil","São Paulo","Cunha",,"ibge","check_local.2municip.","Acalypha gracilis","Spreng.","possibly_ok","Euphorbiaceae","Acalypha gracilis","Spreng.","species","name accepted","bfo-29142",,,"Acalypha gracilis Spreng.","Acalypha","Euphorbiaceae","high","Acalypha gracilis"
"gbif","1.67037040238222e-314",,"2023-01-03 13:12:03",,"04.936.616/0001-20",,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN",,,"urn:catalog:JBRJ:RB:1445301","RB01445301","76","G.M. Marcusso; A.E. Martins; A.C. Antonio",,,,,"PRESENT",,,,,,"2017-10-24","2017","10","24",,,,"Mata Atlântica, Floresta Ombrófila Densa",,,"BR","São Paulo",,"Cunha","Parque Estadual da Serra do Mar, núcleo Cunha, Trilha das Cachoeiras",,,,"-23.233333","-45.016667",,,,,,,,,,,,"A.L. Bomfim",,"2022-12-13",,,"Acalypha multicaulis Müll.Arg.",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales",,"Euphorbiaceae",,,,"Acalypha","Acalypha",,,"multicaulis",,,"species",,"ACCEPTED",,"4300f8d5-1ae5-49e5-a101-63894b005868",,"StillImage",TRUE,FALSE,"Acalypha multicaulis","Acalypha multicaulis Müll.Arg.","Acalypha multicaulis Müll.Arg.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/44/53/1/01445301.jpg","Brasil",,,,,,,"23º14´","45º1´W","Müll.Arg.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RB",,"Marcusso, G.M.","76","2017","Bomfim, A.L.","2022","Martins, A.E.; Antonio, A.C.","Marcusso",,"brazil","sao paulo","cunha","parque estadual serra mar nucleo cunha",,"locality","brazil_sao paulo_cunha","brazil_sao paulo_cunha",-23.05263382,-44.94193944,"county","brazil_sao paulo_cunha","Brazil","São Paulo","Cunha",,"ibge","check_local.2municip.","Acalypha multicaulis","Müll.Arg.","name_w_authors","Euphorbiaceae","Acalypha multicaulis","Müll.Arg.","species","name accepted","bfo-17441",,,"Acalypha multicaulis Müll.Arg.","Acalypha","Euphorbiaceae","low","Acalypha multicaulis"
"gbif","9.83134428339947e-315",,"2024-09-02 15:52:26",,,"https://specieslink.net/col/27",,"UNESP-IBILCE","SJRP",,"PRESERVED_SPECIMEN",,,"https://specieslink.net/guid/27/30044","30044","s.n.","Negrin, A.C.P. et al.",,,,,"PRESENT",,,,,,"2010-10-19","2010","10","19",,,,,,,"BR","São Paulo",,"Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Pincinguaba. Trilha do Corisco",,,,"-23.575278","-45.404444",,,,,,,,,,,,"Rezende, A. A.",,"2010-10-19",,,"Acanthaceae",,,,,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",,"Acanthaceae",,,,,,,,,,,"family",,"ACCEPTED",,"f70fdd5a-e761-43b6-a854-462826cc7933",,,TRUE,FALSE,,"Acanthaceae","Acanthaceae","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,"Brasil",,,,,"WGS84",,,,,"GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SJRP",,"Negrin, A.C.P.",,"2010","Rezende, A.A.","2010",,"Negrin",,"brazil","sao paulo","caraguatatuba","parque estadual serra mar nucleo pincinguaba",,"locality","brazil_sao paulo_caraguatatuba","brazil_sao paulo_caraguatatuba",-23.64003513,-45.48831769,"county","brazil_sao paulo_caraguatatuba","Brazil","São Paulo","Caraguatatuba",,"ibge","check_local.2municip.","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","medium",
"speciesLink",,,"2023-06-28T15:43:25",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"13024","229","R.X.A. Prudêncio; J.R. Serqueira",,,,,,,,,,,,,,,,,,,,,,"São Paulo","Cubatão","Cubatão","Parque Estadual da Serra do Mar Núcleo Itutinga-Pilões",,,,"-23.894167","-46.500278",,,,,,,,,,,,"R.X.A. Prudêncio",,"2017-04-NA",,,"Acanthocoleus aberrans",,,,,,,"Plantae","Marchantiophyta",,,,"Lejeuneaceae",,,,"Acanthocoleus",,,,"aberrans",,,,,,,,,,,,,,"Acanthocoleus aberrans",,,,,,,"Brasil","170","200",,,,,"-23.894167","-46.500278","(Lindenb. & Gottsche) Kruijt","Splink",,,,"04",,"2017",,,,"HUSC013024",,,,,,,,,,,,,,,,,,,"HUSC",,"Prudencio, R.X.A.","229",,"Prudencio, R.X.A.","2017","Serqueira, J.R.","Prudencio",,"brazil","sao paulo","cubatao","parque estadual da serra do mar nucleo itutinga-piloes",,"locality","brazil_sao paulo_cubatao","brazil_sao paulo_cubatao",-23.86397955,-46.40830103,"county","brazil_sao paulo_cubatao","Brazil","São Paulo","Cubatão",,"ibge","check_local.2municip.","Acanthocoleus aberrans","(Lindenb. & Gottsche) Kruijt","possibly_ok",,"Acanthocoleus aberrans","(Lindenb. & Gottsche) Kruijt","species","not found",,,,"Acanthocoleus aberrans (Lindenb. & Gottsche) Kruijt","Acanthocoleus","Polygalaceae","low","Acanthocoleus aberrans"
"speciesLink",,,"2024-08-06T09:13:02",,,"13",,"IF","SPSF",,"PreservedSpecimen",,,,"55246","58","G.Santos",,,,,,,,,,,,"2017","01","31",,,,,,,,"SP","Ubatuba","Ubatuba","Parque Estadual Serra do Mar - Núcleo Picinguaba",,,,"-23.43","-45.07",,"34265",,,,,,,,,,"S.Honda",,,,,"Achillea millefolium",,,,,,,"Plantae","Magnoliophyta","Magnoliopsida","Asterales",,"Asteraceae",,,,"Achillea",,,,"millefolium",,,,,,,,,,,,,,"Achillea millefolium",,,,,,,"Brasil",,,,,,,,,"L.","Splink",,,,,,,,,,"SPSF00055246","América do Sul",,,,,,,,,,,,,,,,,,"SPSF",,"Santos, G.","58","2017","Honda, S.",,,"Santos",,"brazil","sao paulo","ubatuba","parque estadual serra do mar - nucleo picinguaba",,"locality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county","brazil_sao paulo_ubatuba","Brazil","São Paulo","Ubatuba",,"ibge","check_local.2municip.","Achillea millefolium","L.","possibly_ok","Asteraceae","Achillea millefolium","L.","species","name accepted","bfo-613447",,,"Achillea millefolium L.","Achillea","Asteraceae","low","Achillea millefolium"
