"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","institutionCode","phylum","basisOfRecord","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","locality","identifiedBy","specificepithet","scientificNameAuthorship","barcode","verbatimLatitude","verbatimLongitude","recordNumber","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","minimumelevationinmeters","maximumelevationinmeters","continentocean","preparationtype","order","individualcount","class","infraspecificepithet","fieldnumber","typeStatus","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Coccocypselum geophiloides","speciesLink","SPSF","52712","Coccocypselum geophiloides","Plantae","Rubiaceae","Coccocypselum","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.244167","-23.5125","2024-08-06T09:16:30","Estação Ecológica de Itapeti","L.Rossi","geophiloides","Wawra","SPSF00052712",,,"3036","<nO>COLETA: Erva terrestre. Fruto azul arroxeado.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Sagui.;</nO>","2017","06","30",,,,"América do Sul",,"Rubiales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-30",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3036","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Coccocypselum geophiloides","Wawra","possibly_ok","Rubiaceae","Coccocypselum geophiloides","Wawra","species","name accepted","bfo-13883",,,"Coccocypselum geophiloides Wawra","Coccocypselum","Rubiaceae","medium","Coccocypselum geophiloides"
"Cordiera myrciifolia","speciesLink","SPSF","52711","Cordiera myrciifolia","Plantae","Rubiaceae","Cordiera","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.243056","-23.512222","2024-08-06T09:16:30","Estação Ecológica de Itapeti","L.Rossi","myrciifolia","(K.Schum.) C.H.Perss. & Delprete","SPSF00052711",,,"3024","<nO>COLETA: Árvore com 6m de altura.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Palmital.;</nO>","2017","06","30",,,,"América do Sul",,"Rubiales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-30",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3024","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Cordiera myrciifolia","(K.Schum.) C.H.Perss. & Delprete","possibly_ok","Rubiaceae","Cordiera myrciifolia","(K.Schum.) C.H.Perss. & Delprete","species","name accepted","bfo-13892",,,"Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete","Cordiera","Rubiaceae","medium","Cordiera myrciifolia"
"Cybianthus cuneifolius","speciesLink","SPSF","52714","Cybianthus cuneifolius","Plantae","Primulaceae","Cybianthus","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.243056","-23.512222","2024-08-06T09:13:33","Estação Ecológica de Itapeti",,"cuneifolius","Mart.","SPSF00052714",,,"3018","<nO>COLETA: Arbusto. Frutos vermelhos.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Palmital.;</nO>",,,,,,,"América do Sul",,"Ericales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3018","2017","s.n.","n.d.",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Cybianthus cuneifolius","Mart.","possibly_ok","Primulaceae","Cybianthus cuneifolius","Mart.","species","name accepted","bfo-31455",,,"Cybianthus cuneifolius Mart.","Cybianthus","Primulaceae","unknown","Cybianthus cuneifolius"
"Dahlstedtia pentaphylla","gbif","PMSP","PMSP019236","Dahlstedtia pentaphylla (Taub.) Burkart","Plantae","Fabaceae","Dahlstedtia","2016","10","18","Brasil","São Paulo",,"PMSP","Tracheophyta","PRESERVED_SPECIMEN",,"L.Granato;R.J.F.Garcia,R.J.F. Garcia,L. Granato,B.G.Fries,B.G. Fries",,,,"Estação Ecológica do Itapeti.","E.H.P. Barretto",,"(Taub.) Burkart",,,,"62","Arvoreta, 3 m alt., flores vermelhas.",,,,,,,,,"Fabales",,"Magnoliopsida",,,,,"GBIF","Mogi das Cruzes",,"Dahlstedtia pentaphylla (Taub.) Burkart","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5447803","BR",,,"2016-10-18",,,,,,"ACCEPTED","SPECIES",,,"2016-10-18",,,,,,,,,,,,"brazil","sao paulo","mogi das cruzes","estacao ecologica do itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","514155","2575944305",,,"CC_BY_4_0","Instituto de Pesquisas Jardim Botanico do Rio de Janeiro",,"PMSP",,,,,,"5447803",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"292","292",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2960232",,,,,,,,,,,,,,,,,"Dahlstedtia",,,"pentaphylla",,,,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c","BR","2025-01-01 15:28:23.424",,,,,,"IDENTIFIED_DATE_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"2960232","2960232","6","7707728","220","1370","5386","2960229",,"2960232","Dahlstedtia pentaphylla","Dahlstedtia pentaphylla (Taub.) Burkart",,"EML","2025-01-01 15:28:23.424","2025-01-01 12:06:25.946",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"LC","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/92/36/pmsp00019236.dzi",,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","check_local.2municip.","Dahlstedtia pentaphylla","(Taub.) Burkart","name_w_authors","Fabaceae","Dahlstedtia pentaphylla","(Taub.) Burkart","species","name accepted","bfo-116743",,,"Dahlstedtia pentaphylla (Taub.) Burkart","Dahlstedtia","Fabaceae","unknown","Dahlstedtia pentaphylla"
"Dahlstedtia pinnata","speciesLink","SPSF","52683","Dahlstedtia pinnata","Plantae","Fabaceae","Dahlstedtia","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & M.F.Santos & M.Okawa & T.Y.Ashino","-46.244722","-23.514167","2024-08-06T09:13:50","Estação Ecológica de Itapeti","N.M.Ivanauskas","pinnata","(Benth.) Malme","SPSF00052683",,,"3000","<nO>COLETA: Árovre com 5m de altura, cauliflora, corola vermeho claro; frutos imaturos verdes.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Palmital.;</nO>",,,,,,,"América do Sul",,"Fabales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3000","2017","Ivanauskas, N.M.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Santos, M.F.; Okawa, M.; Ashino, T.Y.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Dahlstedtia pinnata","(Benth.) Malme","possibly_ok","Fabaceae","Dahlstedtia pinnata","(Benth.) Malme","species","name accepted","bfo-101063",,,"Dahlstedtia pinnata (Benth.) Malme","Dahlstedtia","Fabaceae","medium","Dahlstedtia pinnata"
"Daphnopsis fasciculata","gbif","PMSP","PMSP019243","Daphnopsis fasciculata (Meisn.) Nevling","Plantae","Thymelaeaceae","Daphnopsis","2016","10","18","Brasil","São Paulo",,"PMSP","Tracheophyta","PRESERVED_SPECIMEN",,"L.Granato;R.J.F.Garcia,R.J.F. Garcia,L. Granato,B.G.Fries,B.G. Fries",,,,"Estação Ecológica do Itapeti.","E.H.P. Barretto",,"(Meisn.) Nevling",,,,"69","Arvoreta, 2 m alt., frutos verdes a laranjas.",,,,,,,,,"Malvales",,"Magnoliopsida",,,,,"GBIF","Mogi das Cruzes",,"Daphnopsis fasciculata (Meisn.) Nevling","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5447810","BR",,,"2016-10-18",,,,,,"ACCEPTED","SPECIES",,,"2016-10-18",,,,,,,,,,,,"brazil","sao paulo","mogi das cruzes","estacao ecologica do itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","514166","2575944316",,,"CC_BY_4_0","Instituto de Pesquisas Jardim Botanico do Rio de Janeiro",,"PMSP",,,,,,"5447810",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"292","292",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3568025",,,,,,,,,,,,,,,,,"Daphnopsis",,,"fasciculata",,,,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c","BR","2025-01-01 15:28:23.432",,,,,,"IDENTIFIED_DATE_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"3568025","3568025","6","7707728","220","941","2428","3188467",,"3568025","Daphnopsis fasciculata","Daphnopsis fasciculata (Meisn.) Nevling",,"EML","2025-01-01 15:28:23.432","2025-01-01 12:06:25.946",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"LC","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/92/43/pmsp00019243.dzi",,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","check_local.2municip.","Daphnopsis fasciculata","(Meisn.) Nevling","name_w_authors","Thymelaeaceae","Daphnopsis fasciculata","(Meisn.) Nevling","species","name accepted","bfo-14944",,,"Daphnopsis fasciculata (Meisn.) Nevling","Daphnopsis","Thymelaeaceae","unknown","Daphnopsis fasciculata"
"Dichorisandra pubescens","speciesLink","SPSF","52693","Dichorisandra pubescens","Plantae","Commelinaceae","Dichorisandra","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B.Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.242778","-23.505278","2024-08-06T09:12:36","Estação Ecológica de Itapeti","L. Rossi","pubescens","Mart. ex Schult. & Schult. f.","SPSF00052693",,,"3062","<nO>COLETA: Erva de 1m de altura; frutos arroxeados.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Compressor.;</nO>",,,,,,,"América do Sul",,"Commelinales",,"Liliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3062","2017","Rossi, L.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Dichorisandra pubescens","Mart. ex Schult. f.","possibly_ok","Commelinaceae","Dichorisandra pubescens","Mart. ex Schult. f.","species","author misspelled","bfo-6937",,,"Dichorisandra pubescens Mart. ex Schult. f.","Dichorisandra","Commelinaceae","medium","Dichorisandra pubescens"
"Erythroxylum cuspidifolium","gbif","PMSP","PMSP019235","Erythroxylum cuspidifolium Mart.","Plantae","Erythroxylaceae","Erythroxylum","2016","10","18","Brasil","São Paulo",,"PMSP","Tracheophyta","PRESERVED_SPECIMEN",,"L.Granato;R.J.F.Garcia,B.G.Fries",,,,"Estação Ecológica do Itapeti.","E.H.P.Barretto",,"Mart.",,,,"71","Arvoreta, 2 m alt., flores brancas.",,,,,,,,,"Malpighiales",,"Magnoliopsida",,,,,"GBIF","Mogi das Cruzes",,"Erythroxylum cuspidifolium Mart.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5447802","BR",,,"2016-10-18",,,,,,"ACCEPTED","SPECIES",,,"2016-10-18",,,,,,,,,,,,"brazil","sao paulo","mogi das cruzes","estacao ecologica do itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","512363","2575942358",,,"CC_BY_4_0","Instituto de Pesquisas Jardim Botanico do Rio de Janeiro",,"PMSP",,,,,,"5447802",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"292","292",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3694220",,,,,,,,,,,,,,,,,"Erythroxylum",,,"cuspidifolium",,,,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c","BR","2025-01-01 15:28:23.425",,,,,,"IDENTIFIED_DATE_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"3694220","3694220","6","7707728","220","1414","6686","2873937",,"3694220","Erythroxylum cuspidifolium","Erythroxylum cuspidifolium Mart.",,"EML","2025-01-01 15:28:23.425","2025-01-01 12:06:25.946",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"LC","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/92/35/pmsp00019235.dzi",,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","check_local.2municip.","Erythroxylum cuspidifolium","Mart.","name_w_authors","Erythroxylaceae","Erythroxylum cuspidifolium","Mart.","species","name accepted","bfo-7695",,,"Erythroxylum cuspidifolium Mart.","Erythroxylum","Erythroxylaceae","unknown","Erythroxylum cuspidifolium"
"Eumachia cephalantha","speciesLink","SPSF","52708","Margaritopsis cephalantha","Plantae","Rubiaceae","Margaritopsis","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.243056","-23.512222","2024-08-06T09:16:31","Estação Ecológica de Itapeti","L.Rossi","cephalantha","(Müll.Arg.) C.M.Taylor","SPSF00052708",,,"3017","<nO>COLETA: Árvore com 3m de altura. Frutos imaturos verdes.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Palmital.;</nO>","2017","06","30",,,,"América do Sul",,"Rubiales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-30",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3017","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Eumachia cephalantha","(Müll. Arg.) Delprete & J.H. Kirkbr.","possibly_ok","Rubiaceae","Eumachia cephalantha","(Müll. Arg.) Delprete & J.H. Kirkbr.","species","replaced synonym","bfo-604574","Eumachia cephalantha","(Müll. Arg.) Delprete & J.H. Kirkbr.","Eumachia cephalantha (Müll. Arg.) Delprete & J.H. Kirkbr.","Eumachia","Rubiaceae","medium","Eumachia cephalantha"
"Goeppertia zebrina","speciesLink","SPSF","52677","Goeppertia zebrina","Plantae","Marantaceae","Goeppertia","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244722","-23.514167","2024-08-06T09:12:55","Estação Ecológica de Itapeti","L. Rossi","zebrina","(Sims) Nees","SPSF00052677",,,"3001","<nO>COLETA: Erva terrestre, folhas com face abaxial arroxeada, face adazial com faixas verde escura. Planta estéril, cutivada.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada.;</nO>",,,,,,,"América do Sul",,"Zingiberales",,"Liliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3001","2017","Rossi, L.","n.d.",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Goeppertia zebrina","(Sims) Nees","possibly_ok","Marantaceae","Goeppertia zebrina","(Sims) Nees","species","name accepted","bfo-138777",,,"Goeppertia zebrina (Sims) Nees","Goeppertia","Marantaceae","medium","Goeppertia zebrina"
"Gomesa recurva","speciesLink","SPSF","21997","Gomesa crispa","Plantae","Orchidaceae","Gomesa","1996","08","08","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","A.Custodio Filho & G.Franco","-46.188301","-23.5228","2024-08-06T09:12:42","Estação Ecológica de Itapeti","G.M. Marcusso","crispa","(Lindl.) (Klotzsch ex Rchb.f.)","SPSF00021997",,,"442/97","<nO>COLETA: Flores amarelas perfumadas.;</nO>","2018","09","19","28666",,,"América do Sul",,"Orchidales",,"Liliopsida",,,,,"SPLINK","Mogi das Cruzes","2018-09-19",,,,,,,,,,,,,,,,,,"SPSF",,"Custodio Filho, A.","442/97","1996","Marcusso, G.M.","2018","Franco, G.","Custodio Filho",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Gomesa recurva","R.Br.","possibly_ok","Orchidaceae","Gomesa recurva","R.Br.","species","author misspelled|replaced synonym","bfo-11619","Gomesa recurva","R.Br.","Gomesa recurva R.Br.","Gomesa","Orchidaceae","low","Gomesa recurva"
