"Nome.da.UC","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumOuro","NumPrata","NumBronze","NumLatao","NumNoMatch"
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA",66,35,27,29,27,4,0,21,10,2
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ",596,242,223,200,79,103,2,94,43,3
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ",1161,305,267,251,110,27,1,175,102,9
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE",2076,565,557,336,105,161,31,291,82,5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ",1,1,1,1,1,0,0,1,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA AMEIXAL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA",22,18,17,17,12,7,0,9,2,2
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",146,46,46,40,22,30,1,9,6,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA",3292,734,703,418,109,336,14,239,145,10
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS",2,2,2,2,2,0,0,2,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO",128,51,43,47,37,3,0,29,19,13
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZONA DE VIDA SILVESTRE APA DA ILHA COMPRIDA",899,277,266,193,87,130,3,94,50,11
"ESTAÇÃO ECOLÓGICA ANGATUBA",816,256,255,181,78,62,138,52,4,0
"ESTAÇÃO ECOLÓGICA ASSIS",937,334,316,213,77,82,22,81,149,1
"ESTAÇÃO ECOLÓGICA AVARÉ",280,187,179,138,51,29,15,103,40,1
"ESTAÇÃO ECOLÓGICA BANANAL",1640,611,579,297,116,179,98,271,63,2
"ESTAÇÃO ECOLÓGICA BARREIRO RICO",2,2,2,2,1,1,0,1,0,0
