"Nome.da.UC","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumOuro","NumPrata","NumBronze","NumLatao","NumNoMatch"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JAGUARETÊ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAFIGUEIRA - NATURARTE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MAHAYANA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARINA DO CONDE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO ROQUE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA VIRGEM",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS II",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS III",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DO CURUSSU MIRIM",23,15,13,15,14,2,1,8,4,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO",19,13,13,12,9,0,0,0,13,1
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MUTINGA",3,2,2,2,2,0,0,2,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NARDINI SEMPRE VERDE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL O PRIMATA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO D'ÁGUA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DAS NASCENTES",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DO ZIZO",307,209,192,126,53,6,0,164,39,2
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DOS PÁSSAROS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE FLORESTAL SÃO MARCELO",1,1,1,1,1,0,0,0,1,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA",18,8,8,8,8,5,1,1,1,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTO DO IFÉ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL POUSADA CAMPOS DA BOCAINA",3,3,3,3,3,1,0,2,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO OLHO D'ÁGUA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO DADINHO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO JACU",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO PINHAL - GLEBA 2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO PINHAL - GLEBA 3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DOS MURIQUIS",1,1,1,1,1,0,0,1,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMADEU BOTELHO",4,4,4,4,4,0,0,0,4,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA HINAYANA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MURIQUI",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIZZIERI",4,4,4,4,4,0,0,4,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DOS PILÕES",3,1,1,1,1,1,0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO",6,3,3,1,1,0,0,3,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA RITA DE CASSIA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO ELIAS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JUDAS TADEU",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO LOURENÇO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DA BOCAINA",4,3,3,3,3,0,0,3,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DO ITATINS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRINHA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CAETE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CAPUAVINHA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CURUCUTU",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DAS PEDRAS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO CANTONEIRO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO JACU",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO KON TIKI",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MANACA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PALMITAL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PITHON",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PRIMAVERA",1,1,1,1,1,0,0,1,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SABIUNA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SÃO JOAQUIM I",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SOLAR DA MONTANHA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO TAGUAÍBA II",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOCA DA PACA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRANSBAÚ I",9,7,7,5,1,0,0,0,7,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÁPAGA",2,2,2,2,2,0,0,2,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRAVESSIA",3,3,3,3,3,1,0,1,1,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHA COROADOS - FB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHAS DO CERRADO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO CORISCO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE VERDEJANTE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VIDA EM ABUNDÂNCIA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VISTA BONITA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VUTURUSSU",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
