"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","coordinatePrecision","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","continentocean","phylum","class","order","occurrenceRemarks","verbatimLatitude","verbatimLongitude","barcode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relationshiptype","relatedcatalogitem","individualcount","preparationtype","fieldNumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","SJRP-PTERIDOPHYTA","11161","Asplenium inaequilaterale","Plantae","Aspleniaceae","Asplenium","1996","09","18","Brasil","São Paulo","Teodoro Sampaio","Região do Pontal do Paranapanema, Parque Estadual do Morro do Diabo, trilha do Lago Verde, proximidades da Sede",,"UNESP-IBILCE","S","L. Sylvestre","2000","03",,"92","inaequilaterale","M.R. Pietrobom-Silva","-52.183333","-22.533333","2021-12-01T14:23:41","Willd.","3466","América do Sul","Tracheophyta","Polypodiopsida","Polypodiales","<nO>Mata seca semidecídua. Terrestre em barranco, junto de regato</nO>","-22.533333","-52.183333","SJRP00014005",,,,,,,,,"SPLINK","Teodoro Sampaio","2000-03-NA",,,,,,,,,,,,,,,,,,"SJRP",,"Pietrobom-Silva, M.R.","3466","1996","Sylvestre, L.","2000",,"Pietrobom-Silva",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Asplenium inaequilaterale","Willd.","possibly_ok","Aspleniaceae","Asplenium inaequilaterale","Willd.","species","name accepted","bfo-90720",,,"Asplenium inaequilaterale Willd.","Asplenium","Aspleniaceae","low","Asplenium inaequilaterale"
"speciesLink","SJRP-PTERIDOPHYTA","11146","Asplenium otites","Plantae","Aspleniaceae","Asplenium","1995","01","16","Brasil","São Paulo","Teodoro Sampaio","Região do pontal do Paranapanema, Parque Estadual Morro do Diabo, cerca 30 km da sede pela trilha, córrego 7 de setembro ou rio da Onça ou Angelim",,"UNESP-IBILCE","S","L. Sylvestre",,,,"92","otites","M.R. Pietrobom-Silva","-52.183333","-22.533333","2021-12-01T14:23:41","Link","1573","América do Sul","Tracheophyta","Polypodiopsida","Polypodiales","<nO>Mata latifoliada mesófila tropical seca semidecídua. Terrestre, barranco com solo úmido, margem do rio, abundante</nO>","-22.533333","-52.183333","SJRP00014066","250","250",,,,,,,"SPLINK","Teodoro Sampaio",,,,,,,,,,,,,,,,,,,"SJRP",,"Pietrobom-Silva, M.R.","1573","1995","Sylvestre, L.","n.d.",,"Pietrobom-Silva",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Asplenium otites","Link","possibly_ok","Aspleniaceae","Asplenium otites","Link","species","name accepted","bfo-90738",,,"Asplenium otites Link","Asplenium","Aspleniaceae","low","Asplenium otites"
"speciesLink","MO","101326658","Asplenium serratum","Plantae","Aspleniaceae","Asplenium","1995","1","16","Brazil","São Paulo","Teodoro Sampaio","Regiao do Pontal do Paranapanema, PARQUE ESTADUAL MORRO DO DIABO, CA. 30 km da Sede pela trilha. Corrego 7 de Setembro ou Rio da Onca ou Angelim.",,"MO","PreservedSpecimen","da Silva, M.R.","1995",,,"88","serratum","da Silva, M.R.","-52.1833333","-22.5333333","2021-12-08T09:30:00","L.","1572","South America",,,,,,,"MO0100758239","250.00000000","350.00000000",,,,"1",,,"SPLINK","Teodoro Sampaio","1995-NA-NA",,,,,,,,,,,,,,,,,,"MO",,"Silva, M.R.","1572","1995","Silva, M.R.","1995",,"Silva",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Asplenium serratum","L.","possibly_ok","Aspleniaceae","Asplenium serratum","L.","species","name accepted","bfo-90774",,,"Asplenium serratum L.","Asplenium","Aspleniaceae","low","Asplenium serratum"
"speciesLink","SJRP-PTERIDOPHYTA","11153","Asplenium stuebelianum","Plantae","Aspleniaceae","Asplenium","1995","01","13","Brasil","São Paulo","Teodoro Sampaio","Região do pontal do Paranapanema, Parque Estadual Morro do Diabo, cerca 14 Km da cidade, rodovia SP 613, Teodoro Sampaio-Rosana, córrego Tuiuiu ou Nascente do córrego da Serra",,"UNESP-IBILCE","S","L. Sylvestre",,,,"92","stuebelianum","M.R. Pietrobom-Silva","-52.183333","-22.533333","2021-12-01T14:23:42","Hieron.","1546","América do Sul","Tracheophyta","Polypodiopsida","Polypodiales","<nO>Mata latifoliada mesófila tropical seca semidecídua. Terrestre barranco com solo úmido e sombreado, margem do riacho, abundante</nO>","-22.533333","-52.183333","SJRP00014143","350","350",,,,,,,"SPLINK","Teodoro Sampaio",,,,,,,,,,,,,,,,,,,"SJRP",,"Pietrobom-Silva, M.R.","1546","1995","Sylvestre, L.","n.d.",,"Pietrobom-Silva",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo, rodovia sp 613",,"locality","brazil_sao paulo_teodoro sampaio","brazil_sao paulo_teodoro sampaio",-22.41654278,-52.37383424,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Asplenium stuebelianum","Hieron.","possibly_ok","Aspleniaceae","Asplenium stuebelianum","Hieron.","species","name accepted","bfo-90776",,,"Asplenium stuebelianum Hieron.","Asplenium","Aspleniaceae","low","Asplenium stuebelianum"
"user","RB","RB00039437","Astronium graveolens Jacq.","Plantae","Anacardiaceae","Astronium","1986","5","23","Brasil","São Paulo",,"Município de Teodora Sampaio, 8 Km da sede da Reserva para oeste. Parque Estadual Morro do Diabo",,"JBRJ","Preserved Specimen","D.A. Santim",,,,,"graveolens","P.F. Leite; R.M. Klein",,,,"Jacq.","54",,,,,,,,,,,,,,,,,,"São Paulo","1991-8-5",,,"BR",,,"1986-05-23","Floresta semidecidual; solo arenoso. Relevo aplainado.",,,,,,"sp.","Physical Object",,,,"RB",,"Leite, P.F.","54","1986","Santim, D.A.","1991","Klein, R.M.","Leite",,"brazil","sao paulo","sao paulo","8 km da sede da reserva para oeste, parque estadual morro do diabo",,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county",,,,,"urn:catalog:JBRJ:RB:39437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/3/94/37/00039437.jpg",,,,,,,,,,,,,,,,,,,"2014-11-14 11:20:35+00","Angiospermas","brazil_sao paulo_sao paulo","Brazil","São Paulo","São Paulo",,"check_local.2municip.","Astronium graveolens","Jacq.","name_w_authors","Anacardiaceae","Astronium graveolens","Jacq.","species","name accepted","bfo-4385",,,"Astronium graveolens Jacq.","Astronium","Anacardiaceae","low","Astronium graveolens"
"speciesLink","SP","278638","Austroeupatorium inulaefolium","Plantae","Asteraceae","Austroeupatorium","1994","06","22","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo, Estrada do 7.000","54606","IBt","PreservedSpecimen","Mamede, MCH","2016","06",,"1","inulaefolium","Esteves, RL","-52.16","-22.530001","2022-08-12T10:30:11","(Kunth) R.M.King & H.Rob.","92",,,,,,"0","0",,,,,,,,,,"SPLINK","Teodoro Sampaio","2016-06-NA",,,,,,,,,,,,,,,,,,"SP",,"Esteves, R.L.","92","1994","Mamede, M.C.H.","2016",,"Esteves",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo, estrada do 7",,"locality","brazil_sao paulo_teodoro sampaio","brazil_sao paulo_teodoro sampaio",-22.41654278,-52.37383424,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Austroeupatorium inulaefolium","(Kunth) R.M.King & H.Rob.","possibly_ok","Asteraceae","Austroeupatorium inulaefolium","(Kunth) R.M.King & H.Rob.","species","name accepted","bfo-26850",,,"Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.","Austroeupatorium","Asteraceae","low","Austroeupatorium inulaefolium"
"speciesLink","SJRP-PTERIDOPHYTA","11171","Azolla caroliniana","Plantae","Salviniaceae","Azolla","1996","09","18","Brasil","São Paulo","Teodoro Sampaio","Região do Pontal do Paranapanema, Parque Estadual do Morro do Diabo, trilha do Lago Verde, proximidades da Sede",,"UNESP-IBILCE","S","M.R. Pietrobom-Silva",,,,"92","caroliniana","M.R. Pietrobom-Silva","-52.183333","-22.533333","2021-12-01T14:24:35","Willd.","3464A","América do Sul","Tracheophyta","Polypodiopsida","Salviniales","<nO>Mata seca semidecídua, aquática, junto do lago</nO>","-22.533333","-52.183333","SJRP00019425",,,,,,,,,"SPLINK","Teodoro Sampaio",,,,,,,,,,,,,,,,,,,"SJRP",,"Pietrobom-Silva, M.R.","3464-A","1996","Pietrobom-Silva, M.R.","n.d.",,"Pietrobom-Silva",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Azolla caroliniana","Willd.","possibly_ok","Salviniaceae","Azolla caroliniana","Willd.","species","name accepted","bfo-136749",,,"Azolla caroliniana Willd.","Azolla","Salviniaceae","low","Azolla caroliniana"
"speciesLink","SPSF","27138","Baccharis dracunculifolia","Plantae","Asteraceae","Baccharis","1994","04","04","Brasil","SP","Teodoro Sampaio","Parque Estadual do Morro do Diabo","54606","IF","PreservedSpecimen","G.Heiden","2011","06","22","13","dracunculifolia","A.L.T.De Lucca","-52.16","-22.530001","2024-08-06T09:13:06","DC.","206","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","<nO>COLETA: XLS: SPSFAntigo&nf;Nome popular: ""alecrim-de-macumba"";</nO>",,,"SPSF00027138",,,,,,,,,"SPLINK","Teodoro Sampaio","2011-06-22",,,,,,,,,,,,,,,,,,"SPSF",,"Lucca, A.L.T.","206","1994","Heiden, G.","2011",,"Lucca",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Baccharis dracunculifolia","DC.","possibly_ok","Asteraceae","Baccharis dracunculifolia","DC.","species","name accepted","bfo-5177",,,"Baccharis dracunculifolia DC.","Baccharis","Asteraceae","high","Baccharis dracunculifolia"
"speciesLink","HUFU","55323","Baccharis punctulata","Plantae","Asteraceae","Baccharis","2009","05","30","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual do Morro do Diabo","54606","UFU","S","Heiden, G.","2016","05","09","237","punctulata","Oliveira, R.S.; Alcantara, S.; Lobo, G.A.; Vasconcelos, A.R. & Machado, A.I.M.R.","-52.16","-22.530001","2021-11-29T09:51:09","DC.","15",,,,,"<nO>Arvoreta, ca. de 2,5m. Capítulos esverdeados.; Mata estacional semi decidual.</nO>","0","0","HUFU00042105",,,,,,,,,"SPLINK","Teodoro Sampaio","2016-05-09",,,,,,,,,,,,,,,,,,"HUFU",,"Oliveira, R.S.","15","2009","Heiden, G.","2016","Alcantara, S.; Lobo, G.A.; Vasconcelos, A.R.; Machado, A.I.M.R.","Oliveira",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Baccharis punctulata","DC.","possibly_ok","Asteraceae","Baccharis punctulata","DC.","species","name accepted","bfo-5237",,,"Baccharis punctulata DC.","Baccharis","Asteraceae","high","Baccharis punctulata"
"speciesLink","SPSF","12228","Baccharis trinervis","Plantae","Asteraceae","Baccharis","1986","07","23","Brasil","SP","Teodoro Sampaio","Parque Estadual do Morro do Diabo","54606","IF","PreservedSpecimen","G.Heiden","2011","06","17","13","trinervis","H.F.Leitao Filho & J.Semir & J.Y.Tamashiro","-52.16","-22.530001","2024-08-06T09:13:07","Pers.","18426","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","<nO>COLETA: XLS: SPSFAntigo&nf;Cerrado&nf;Arbusto decumbente, capítulos com flores cor creme-esbranquiçada.;</nO>",,,"SPSF00012228",,,,,,,,,"SPLINK","Teodoro Sampaio","2011-06-17",,,,,,,,,,,,,,,,,,"SPSF",,"Leitao Filho, H.F.","18426","1986","Heiden, G.","2011","Semir, J.; Tamashiro, J.Y.","Leitao Filho",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Baccharis trinervis","Pers.","possibly_ok","Asteraceae","Baccharis trinervis","Pers.","species","name accepted","bfo-5258",,,"Baccharis trinervis Pers.","Baccharis","Asteraceae","high","Baccharis trinervis"
"speciesLink","SP","292955","Balfourodendron riedelianum","Plantae","Rutaceae","Balfourodendron","1994","06","23","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo, Estrada do Angelim. Á margem do Córrego da Onça.","54606","IBt","PreservedSpecimen","Pirani, JR","2002",,,"1","riedelianum","Baitello, JB","-52.16","-22.530001","2021-12-09T11:19:04","(Engl.) Engl.","679",,,,,,"0","0","SP048413",,,,,,,,,"SPLINK","Teodoro Sampaio","2002-NA-NA",,,,,,,,,,,,,,,,,,"SP",,"Baitello, J.B.","679","1994","Pirani, J.R.","2002",,"Baitello",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo, estrada do angelim",,"locality","brazil_sao paulo_teodoro sampaio","brazil_sao paulo_teodoro sampaio",-22.41654278,-52.37383424,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Balfourodendron riedelianum","(Engl.) Engl.","possibly_ok","Rutaceae","Balfourodendron riedelianum","(Engl.) Engl.","species","name accepted","bfo-343",,,"Balfourodendron riedelianum (Engl.) Engl.","Balfourodendron","Rutaceae","high","Balfourodendron riedelianum"
"speciesLink","SPFR","9767","Banisteriopsis argyrophylla","Plantae","Malpighiaceae","Banisteriopsis","1999","02","15","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual do Morro do Diabo",,"FFCLRP","PreservedSpecimen","Mamede, M.C.","2000",,,"455","argyrophylla","Gaglianone, M.C.","-52.25","-22.55","2025-05-13T17:37:56","(A.Juss.) B.Gates",,,,,,"<nO>Flores brancas</nO>","22o33'S","52o15'W","SPFR009767",,,,,,,,,"SPLINK","Teodoro Sampaio","2000-NA-NA",,,,,,,,,,,,,,,,,,"SPFR",,"Gaglianone, M.C.","s.n.","1999","Mamede, M.C.","2000",,"Gaglianone",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Banisteriopsis argyrophylla","(A.Juss.) B.Gates","possibly_ok","Malpighiaceae","Banisteriopsis argyrophylla","(A.Juss.) B.Gates","species","name accepted","bfo-30413",,,"Banisteriopsis argyrophylla (A.Juss.) B.Gates","Banisteriopsis","Malpighiaceae","high","Banisteriopsis argyrophylla"
"speciesLink","FUEL","14315","Banisteriopsis muricata","Plantae","Malpighiaceae","Banisteriopsis",,,,"Brasil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo","54606","UEL","PreservedSpecimen","Mamede, MCH","2004",,,"48","muricata","Artem, L","-52.16","-22.530001","2024-12-05T15:05:24","(Cav.) Cuatrec.","s.n.",,"Tracheophyta",,"Malpighiales","<nO>Arbustiva; fruto seco; beira do morro.</nO>","0","0",,"0","0",,,,,,,"SPLINK","Teodoro Sampaio","2004-NA-NA",,,,,,,,,,,,,,,,,,"FUEL",,"Artem, L.","s.n.","n.d.","Mamede, M.C.H.","2004",,"Artem",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Banisteriopsis muricata","(Cav.) Cuatrec.","possibly_ok","Malpighiaceae","Banisteriopsis muricata","(Cav.) Cuatrec.","species","name accepted","bfo-8809",,,"Banisteriopsis muricata (Cav.) Cuatrec.","Banisteriopsis","Malpighiaceae","high","Banisteriopsis muricata"
"speciesLink","MBM","135133","Bastardiopsis densiflora","Plantae","Malvaceae","Bastardiopsis",,,"22","Brazil","São Paulo","Teodoro Sampaio","Parque Estadual do Morro do Diabo.","54606","MBM","PreservedSpecimen","Baitello, JB",,,,"40","densiflora","Aguiar, OT","-52.16","-22.530001","2025-06-01T00:01:00","(Hook. & Arn.) Hassl.","175",,,,,,,,"MBM135133",,,,,,,,,"SPLINK","Teodoro Sampaio",,,,,,,,,,,,,,,,,,,"MBM",,"Aguiar, O.T.","175","n.d.","Baitello, J.B.","n.d.",,"Aguiar",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Bastardiopsis densiflora","(Hook. & Arn.) Hassl.","possibly_ok","Malvaceae","Bastardiopsis densiflora","(Hook. & Arn.) Hassl.","species","name accepted","bfo-9010",,,"Bastardiopsis densiflora (Hook. & Arn.) Hassl.","Bastardiopsis","Malvaceae","low","Bastardiopsis densiflora"
"user","RB","RB00161670","Bauhinia ungulata L.","Plantae","Leguminosae","Bauhinia","1994","6","22","Brasil","São Paulo",,"PARQUE ESTADUAL DO MORRO DO DIABO, ENTRADA PARA A MINA DA SERRA.",,"JBRJ","Preserved Specimen","ANGELA Mª. S. DA FONSECA VAZ",,,,,"ungulata","O.T. AGUIAR",,,,"L.","484",,,,,,,,,,,,,,,,,,"Teodoro Sampaio","1997-4",,,"BR",,,"1994-06-22","ORLA DA MATA",,,,,,"sp.","Physical Object",,,,"RB",,"Aguiar, O.T.","484","1994","Vaz, A.M.S.F.","1997",,"Aguiar",,"brazil","sao paulo","teodoro sampaio","parque estadual do morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,"urn:catalog:JBRJ:RB:161670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/16/16/70/00161670.jpg",,,,,,,,,,,,,,,,,,,"2014-07-08 04:40:31+00","Angiospermas","brazil_sao paulo_teodoro sampaio_pe morro diabo","Brazil","São Paulo","Teodoro Sampaio","PE do Morro do Diabo","ok_same_resolution","Bauhinia ungulata","L.","name_w_authors","Fabaceae","Bauhinia ungulata","L.","species","name accepted","bfo-22831",,,"Bauhinia ungulata L.","Bauhinia","Fabaceae","high","Bauhinia ungulata"
"speciesLink","SP","277821","Begonia subvillosa","Plantae","Begoniaceae","Begonia","1995","05","18","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo, Rodovia Arlindo Beril, ca 8km da cidade. Trilha para o Morro do Diabo. Mata latifoliada tropical, úmida, sombria","54606","IBt","PreservedSpecimen","Jacques, EL","1997","09",,"1","subvillosa","Kirizawa, M; Lopes, EA","-52.16","-22.530001","2021-12-09T11:01:59","Klotzsch","3151",,,,,"<nO>Beira de barranco seco. Flores branco róseos. Frutos secos</nO>","0","0",,,,,,,,,,"SPLINK","Teodoro Sampaio","1997-09-NA",,,,,,,,,,,,,,,,,,"SP",,"Kirizawa, M.","3151","1995","Jacques, E.L.","1997","Lopes, E.A.","Kirizawa",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo, rodovia arlindo beril, mata latifoliada tropical",,"locality","brazil_sao paulo_teodoro sampaio","brazil_sao paulo_teodoro sampaio",-22.41654278,-52.37383424,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Begonia subvillosa","Klotzsch","possibly_ok","Begoniaceae","Begonia subvillosa","Klotzsch","species","name accepted","bfo-5728",,,"Begonia subvillosa Klotzsch","Begonia","Begoniaceae","high","Begonia subvillosa"
"speciesLink","IAC","46349","Berberis","Plantae","Berberidaceae","Berberis","1994","06","04","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo, próximo a sede",,"IAC","PreservedSpecimen","F. Chagas e Silva & L.H. Soares-Silva","1994","06","04","64",,"F. Chagas e Silva & L.H. Soares-Silva","-52.1675","-22.5325","2023-06-29T09:34:01",,"1699",,"Tracheophyta","Magnoliopsida","Ranunculales",,"-22.5325","-52.1675",,,,,,,,,,"SPLINK","Teodoro Sampaio","1994-06-04",,,,,,,,,,,,,,,,,,"IAC",,"Chagas, F.","1699","1994","Chagas, F.","1994","Silva; Soares-Silva, L.H.","Chagas","Silva; Soares-Silva, L.H.","brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo",,"locality","brazil_sao paulo_teodoro sampaio_parque estadual morro diabo","brazil_sao paulo_teodoro sampaio_pe morro diabo",-22.581689,-52.237955,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Berberis","L.","indet","Berberidaceae","Berberis","L.","genus","name accepted","bfo-77984",,,"Berberis L.","Berberis","Berberidaceae","low",
"speciesLink","SP","279878","Bia alienata","Plantae","Euphorbiaceae","Bia","1994","12","07","Brasil","São Paulo","Teodoro Sampaio","Parque Estadual Morro do Diabo, Estrada do 7000, na margem do caminho","54606","IBt","PreservedSpecimen","Maya-L, CA","2008",,,"1","alienata","Pastore, JA","-52.16","-22.530001","2021-12-09T11:04:59","Didr.","567",,,,,,"0","0","SP0279878",,,,,,,,,"SPLINK","Teodoro Sampaio","2008-NA-NA",,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","567","1994","Maya-L, C.A.","2008",,"Pastore",,"brazil","sao paulo","teodoro sampaio","parque estadual morro do diabo, estrada do 7000",,"locality","brazil_sao paulo_teodoro sampaio","brazil_sao paulo_teodoro sampaio",-22.41654278,-52.37383424,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Bia alienata","Didr.","possibly_ok","Euphorbiaceae","Bia alienata","Didr.","species","name accepted","bfo-54269",,,"Bia alienata Didr.","Bia","Euphorbiaceae","low","Bia alienata"
