"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"1","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Euphorbiaceae","Acalypha","amblyodonta","(Müll.Arg.) Müll.Arg.","EUPHORBIACEAE Acalypha amblyodonta (Müll.Arg.) Müll.Arg.","SPSF00052694","SPLINK","SPSF","Rossi, L.","3002","Native","Ouro","Estação Ecológica de Itapeti","Não"
"37","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Fabaceae","Mimosa","scabrella","Benth.","FABACEAE Mimosa scabrella Benth.","SPSF00022003","SPLINK","SPSF","Custodio Filho, A.","448/97","Native","Ouro","Estação Ecológica de Itapeti","Não"
"4","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Primulaceae","Ardisia","guianensis","(Aubl.) Mez","PRIMULACEAE Ardisia guianensis (Aubl.) Mez","SPSF00052715","SPLINK","SPSF","Rossi, L.","3067","Native","Prata","Estação Ecológica de Itapeti","Não"
"6","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Solanaceae","Athenaea","fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","SOLANACEAE Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","SPSF00052702","SPLINK","SPSF","Rossi, L.","3006","Native","Prata","Estação Ecológica de Itapeti","Não"
"9","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Solanaceae","Cestrum","schlechtendalii","G.Don","SOLANACEAE Cestrum schlechtendalii G.Don","SPSF00052703","SPLINK","SPSF","Rossi, L.","3016","Native","Prata","Estação Ecológica de Itapeti","Não"
"11","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Rubiaceae","Coccocypselum","geophiloides","Wawra","RUBIACEAE Coccocypselum geophiloides Wawra","SPSF00052712","SPLINK","SPSF","Rossi, L.","3036","Native","Prata","Estação Ecológica de Itapeti","Não"
"12","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Rubiaceae","Cordiera","myrciifolia","(K.Schum.) C.H.Perss. & Delprete","RUBIACEAE Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete","SPSF00052711","SPLINK","SPSF","Rossi, L.","3024","Native","Prata","Estação Ecológica de Itapeti","Não"
"15","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Fabaceae","Dahlstedtia","pinnata","(Benth.) Malme","FABACEAE Dahlstedtia pinnata (Benth.) Malme","SPSF00052683","SPLINK","SPSF","Rossi, L.","3000","Native","Prata","Estação Ecológica de Itapeti","Não"
"17","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Commelinaceae","Dichorisandra","pubescens","Mart. ex Schult. f.","COMMELINACEAE Dichorisandra pubescens Mart. ex Schult. f.","SPSF00052693","SPLINK","SPSF","Rossi, L.","3062","Native","Prata","Estação Ecológica de Itapeti","Não"
"19","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Rubiaceae","Eumachia","cephalantha","(Müll. Arg.) Delprete & J.H. Kirkbr.","RUBIACEAE Eumachia cephalantha (Müll. Arg.) Delprete & J.H. Kirkbr.","SPSF00052708","SPLINK","SPSF","Rossi, L.","3017","Native","Prata","Estação Ecológica de Itapeti","Não"
"20","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Marantaceae","Goeppertia","zebrina","(Sims) Nees","MARANTACEAE Goeppertia zebrina (Sims) Nees","SPSF00052677","SPLINK","SPSF","Rossi, L.","3001","Native","Prata","Estação Ecológica de Itapeti","Não"
"23","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Meliaceae","Guarea","macrophylla","Vahl","MELIACEAE Guarea macrophylla Vahl","SPSF00052671","SPLINK","SPSF","Rossi, L.","3013","Native","Prata","Estação Ecológica de Itapeti","Não"
"26","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Amaranthaceae","Iresine","diffusa","Humb. & Bonpl. ex Willd.","AMARANTHACEAE Iresine diffusa Humb. & Bonpl. ex Willd.","SPSF00052685","SPLINK","SPSF","Rossi, L.","3015","Native","Prata","Estação Ecológica de Itapeti","Não"
"27","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Melastomataceae","Leandra","amplexicaulis","DC.","MELASTOMATACEAE Leandra amplexicaulis DC.","SPSF00052674","SPLINK","SPSF","Rossi, L.","3040","Native","Prata","Estação Ecológica de Itapeti","Não"
"28","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Melastomataceae","Leandra","hirta","Raddi","MELASTOMATACEAE Leandra hirta Raddi","SPSF00052672","SPLINK","SPSF","Rossi, L.","3032","Native","Prata","Estação Ecológica de Itapeti","Não"
"29","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Melastomataceae","Leandra","variabilis","Raddi","MELASTOMATACEAE Leandra variabilis Raddi","SPSF00052675","SPLINK","SPSF","Rossi, L.","3027","Native","Prata","Estação Ecológica de Itapeti","Não"
"31","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Fabaceae","Leucochloron","incuriale","(Vell.) Barneby & J.W.Grimes","FABACEAE Leucochloron incuriale (Vell.) Barneby & J.W.Grimes","SPSF00052695","SPLINK","SPSF","Rossi, L.","3059","Native","Prata","Estação Ecológica de Itapeti","Não"
"32","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Fabaceae","Machaerium","hirtum","(Vell.) Stellfeld","FABACEAE Machaerium hirtum (Vell.) Stellfeld","SPSF00052682","SPLINK","SPSF","Rossi, L.","3058","Native","Prata","Estação Ecológica de Itapeti","Não"
