"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","basisOfRecord","identifiedBy","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","verbatimLatitude","verbatimLongitude","coordinatePrecision","recordNumber","barcode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentocean","class","order","individualcount","fieldNumber","infraspecificEpithet","preparationtype","minimumDepthInMeters","maximumDepthInMeters","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user","HUNI","HUNI00004995","Campylopus jamesonii (Hook.) A.Jaeger",,"Dicranaceae","Campylopus","2016","08","13","Brasil","São Paulo",,"Morro dos Marins. Área de Proteção Ambiental Serra da Mantiqueira (APA da Serra da Mantiqueira)","HUNI",,,"D.M. Carmo",,,"D.M. Carmo","-45.1227777777778","-22.4955555555556",,"(Hook.) A.Jaeger","22º 29' 44"""" S","45º 7' 22"""" W",,"1492",,,,,,,,,,,,,,,,,"não","REFLORA","Piquete","--/08/2016",,,,,,,"Em solos. Duplicata SP 477827.",,,,,,"SPECIES",,"2200",,,,,,,,,,,,,"brazil","sao paulo","piquete","morro dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jamesonii","DICRANACEAE Campylopus jamesonii (Hook.) A.Jaeger",,,,,,,,,"HUNI",,"HUNI 4995",,"D.F. Peralta,A.M. Souza,E.L. dos Santos,B. Natali","13/08/2016",,,"METRO",,,,,,,,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Campylopus jamesonii","(Hook.) A.Jaeger","name_w_authors",,"Campylopus jamesonii","(Hook.) A.Jaeger","species","not found",,,,"Campylopus jamesonii (Hook.) A.Jaeger","Campylopus","Burmanniaceae","high","Campylopus jamesonii"
"user","RB","RB00796993","Linum littorale var. oblongifolium (Urb.) C.M. Rogers","Plantae","Linaceae","Linum","2013","4","30","Brasil","São Paulo",,"Pico dos Marins. Bifurcação da trilha da cruz de ferro, próximo à pedra do golfinho. Área de Proteção Ambiental Serra da Mantiqueira","JBRJ",,"Preserved Specimen","J.S. Soares-Silva",,"oblongifolium","Lucas Nogueira Gonçalves; Patrícia Duffles","-45.1288889","-22.4972222",,"(Urb.) C.M. Rogers","22º29´50´´","45º7´44´´W",,"69",,,,,"2081",,,,,,,,"oblongifolium",,,,,,"Piquete","2021-2-3",,,"BR",,,"2013-04-30",,,,,,,"var.","Physical Object",,,,"RB",,"Goncalves, L.N.","69","2013","Soares-Silva, J.S.","2021","Duffles, P.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county",,,,,"urn:catalog:JBRJ:RB:796993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/79/69/93/00796993.jpg",,,,,,,,,,,,,,,,,"2021-07-22 15:47:06+00","Angiospermas","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Linum littorale var. oblongifolium","(Urb.) C.M. Rogers","variety|name_w_authors","Linaceae","Linum littorale var. oblongifolium","(Urb.) C.M. Rogers","variety","name accepted","bfo-601865",,,"Linum littorale var. oblongifolium (Urb.) C.M. Rogers","Linum","Linaceae","low","Linum littorale"
"user","RB","RB00853182","Maytenus glaucescens Reissek","Plantae","Celastraceae","Maytenus","2013","10","4","Brasil","São Paulo",,"Pico dos Marins. Espigão, próximo ao Alto da Lavrinha. Área de Proteção Ambiental Serra da Mantiqueira","JBRJ",,"Preserved Specimen","L. Biral",,"glaucescens","L.N. Gonçalves; P. Duffles; F.S. Freitas & T.M. Machado","-45.2397222","-22.5766667",,"Reissek","22º34´36´´","45º14´23´´W",,"257",,,,,,,,,,,,,,,,,,,"Piquete","2016-2",,,"BR",,,"2013-10-04",,,,,,,"sp.","Physical Object",,,,"RB",,"Goncalves, L.N.","257","2013","Biral, L.","2016","Duffles, P.; Freitas, F.S.; Machado, T.M.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county",,,,,"urn:catalog:JBRJ:RB:853182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/85/31/82/00853182.jpg",,,,,,,,,,,,,,,,,"2017-10-17 14:24:16+00","Angiospermas","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Monteverdia glaucescens","(Reissek) Biral","name_w_authors","Celastraceae","Monteverdia glaucescens","(Reissek) Biral","species","replaced synonym","bfo-604604","Monteverdia glaucescens","(Reissek) Biral","Monteverdia glaucescens (Reissek) Biral","Monteverdia","Celastraceae","high","Monteverdia glaucescens"
"user","RB","RB00796997","Phyllanthus itatiaiensis Brade","Plantae","Phyllanthaceae","Phyllanthus","2013","4","30","Brasil","São Paulo",,"Pico dos Marins. Bifurcação da trilha da cruz de ferro, próximo à pedra do golfinho. Área de Proteção Ambiental Serra da Mantiqueira","JBRJ",,"Preserved Specimen","J.C.R. mendes",,"itatiaiensis","Lucas Nogueira Gonçalves; Patrícia Duffles","-45.1288889","-22.4972222",,"Brade","22º29´50´´","45º7´44´´W",,"73",,,,,"2081",,,,,,,,,,,,,,"Piquete","2021-7-20",,,"BR",,,"2013-04-30",,,,,,,"sp.","Physical Object",,,,"RB",,"Goncalves, L.N.","73","2013","Mendes, J.C.R.","2021","Duffles, P.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county",,,,,"urn:catalog:JBRJ:RB:796997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-07-22 09:00:57+00","Angiospermas","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Phyllanthus itatiaiensis","Brade","name_w_authors","Phyllanthaceae","Phyllanthus itatiaiensis","Brade","species","name accepted","bfo-38526",,,"Phyllanthus itatiaiensis Brade","Phyllanthus","Phyllanthaceae","low","Phyllanthus itatiaiensis"
"gbif","RB","RB00844934","Sphagnum L.","Plantae","Sphagnaceae","Sphagnum","2013","9","3","Brasil","São Paulo",,"Pico dos Marins. Bifurcação da trilha da cruz de ferro, próximo à pedra do golfinho. Area de Proteção Ambiental Serra da Mantiqueira","JBRJ","Bryophyta","PRESERVED_SPECIMEN","Denise Pinheiro da Costa",,,"L.N. Gonçalves; P. Duffles; E. Fernandez & T. Lima","-45.128889","-22.497222","2017-10-19 19:15:06",,"22º29´50´´","45º7´44´´W",,"160",,,,,"2081",,,,"Sphagnopsida","Sphagnales",,,,,,,,"GBIF","Piquete","2016-06-01","Sphagnum L.",,"BR",,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","2013-09-03",,,,,,"ACCEPTED","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","1424477411","04.936.616/0001-20",,,"urn:catalog:JBRJ:RB:844934",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sphagnum",,,,,,"4300f8d5-1ae5-49e5-a101-63894b005868",,"StillImage;StillImage",TRUE,FALSE,,"Sphagnum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/49/34/00844934.jpg",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Solanum","L.","name_w_authors","Solanaceae","Solanum","L.","genus","name misspelled","bfo-14716",,,"Solanum L.","Solanum","Solanaceae","unknown",
"gbif","HUNI","HUNI00004994","Sphagnum aciphyllum Müll.Hal.","Plantae","Sphagnaceae","Sphagnum","2016","8","13","Brasil","São Paulo",,"Morro dos Marins. Área de Proteção Ambiental Serra da Mantiqueira (APA da Serra da Mantiqueira)","HUNI","Bryophyta","PRESERVED_SPECIMEN","D.M. Carmo",,"aciphyllum","D.M. Carmo;D.F. Peralta,A.M. Souza,E.L. dos Santos,B. Natali","-45.122778","-22.495556",,"Müll. Hal.",,,,"1485",,,,,"2200",,,,"Sphagnopsida","Sphagnales",,,,,,,,"GBIF","Piquete",,"Sphagnum aciphyllum Müll.Hal.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6553405","BR",,,"2016-08-13",,,,,,"ACCEPTED","SPECIES",,,"2016-8-13",,,,,,,,,,,,"brazil","sao paulo","piquete","morro dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county","4999741342","34.023.077/0001-07",,,"6553405",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sphagnum",,,,,,"09648a8b-85c7-4323-8b60-e1ac74f13f3d",,,TRUE,FALSE,"Sphagnum aciphyllum","Sphagnum aciphyllum Müll. Hal.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huni/huni/0/0/49/94/huni00004994-1.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huni/huni/0/0/49/94/huni00004994-2.dzi",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Sphagnum aciphyllum","Müll.Hal.","name_w_authors",,"Sphagnum aciphyllum","Müll.Hal.","species","not found",,,,"Sphagnum aciphyllum Müll.Hal.","Sphagnum","Asteraceae","unknown","Sphagnum aciphyllum"
"user","RB","RB00809192","Sphagnum sucrei H.A.Crum","Plantae","Sphagnaceae","Sphagnum","2013","9","3","Brasil","São Paulo",,"Pico dos Marins. Trilha de acesso ao cume do Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG) Area de Proteção Ambiental Serra da Mantiqueira","JBRJ",,"Preserved Specimen","Denise Pinheiro da Costa",,"sucrei","Eduardo P. Fernandez; Thalis Lima, Lucas Nogueira e Patrícia Duffles","-45.14","-22.5019444",,"H.A.Crum","22º30´7´´","45º8´24´´W",,"35",,,,,"1900","2100",,,,,,,,,,,,,"Piquete","2016-6",,,"BR",,,"2013-09-03","Campos de Altitude.",,,,,,"sp.","Physical Object",,,,"RB",,"Fernandez, E.P.","35","2013","Costa, D.P.","2016","Lima, L.N.T.; Duffles, P.","Fernandez",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county",,,,,"urn:catalog:JBRJ:RB:809192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/91/92/00809192.jpg",,,,,,,,,,,,,,,,,"2017-10-19 13:28:12+00","Musgos","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Sphagnum sucrei","H.A.Crum","name_w_authors",,"Sphagnum sucrei","H.A.Crum","species","not found",,,,"Sphagnum sucrei H.A.Crum","Sphagnum","Asteraceae","low","Sphagnum sucrei"
"user","RB","RB00844917","Valeriana organensis Gardner","Plantae","Valerianaceae","Valeriana","2013","9","6","Brasil","São Paulo",,"Pico dos Marins. Trilha para o 1º mirante. Área de Proteção Ambiental Serra da Mantiqueira","JBRJ",,"Preserved Specimen","Cassio Rabuske da Silva",,"organensis","L.N. Gonçalves; P. Duffles; E. Fernandez &  T. Lima","-45.1361111","-22.5016667",,"Gardner","22º30´6´´","45º8´10´´W",,"143",,,,,"1886",,,,,,,,,,,,,,"Piquete","2022-4-4",,,"BR",,,"2013-09-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Goncalves, L.N.","143","2013","Silva, C.R.","2022","Duffles, P.; Fernandez, E.; Lima, T.","Goncalves",,"brazil","sao paulo","piquete","pico dos marins",,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county",,,,,"urn:catalog:JBRJ:RB:844917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/49/17/00844917.jpg",,,,,,,,,,,,,,,,,"2022-06-02 13:16:47+00","Angiospermas","brazil_sao paulo_piquete","Brazil","São Paulo","Piquete",,"check_local.2municip.","Valeriana organensis","Gardner","name_w_authors","Caprifoliaceae","Valeriana organensis","Gardner","species","name accepted","bfo-15092",,,"Valeriana organensis Gardner","Valeriana","Caprifoliaceae","low","Valeriana organensis"
