"family","scientificName","scientificNameAuthorship","x"
"Acanthaceae","Acanthaceae","Christenh. & H.Schneid",34
"Acanthaceae","Acanthaceae Christenh. & H.Schneid","Christenh. & H.Schneid",16
"Acanthaceae","Avicennia schaueriana f. candicans Moldenke","Moldenke",10
"Acanthaceae","Odontonema strictum","(Nees) Kuntze",10
"Acrobolbaceae","Saccogynidium caldense (Ångstr.) Grolle","(Ångstr.) Grolle",10
"Adelanthaceae","Jamesoniella rubricaulis","(Nees) Grolle",28
"Amaranthaceae","Hebanthe eriantha","(Poir.) Pedersen",204
"Amaranthaceae","Iresine celosia L.","L.",13
"Amaryllidaceae","Hippeastrum reticulatum Herb.","Herb.",10
"Anacardiaceae","Rhus verniciflua","Stokes",14
"Anadyomenaceae","Cladophora montagneana Kütz.","Kützing",10
"Anadyomenaceae","Willeella brachyclados (Montagne) M.J.Wynne, 2016","(Montagne) M.J.Wynne",11
"Anastrophyllaceae","Anastrophyllum tubulosum","(Nees) Grolle",13
"Aneuraceae","Aneura pinguis","(L.) Dumort.",40
"Aneuraceae","Riccardia","Gray",112
"Aneuraceae","Riccardia amazonica","(Spruce) S.W.Arnell",10
"Aneuraceae","Riccardia chamedryfolia (With.) Grolle","(With.) Grolle",61
"Aneuraceae","Riccardia digitiloba","(Spruce) Pagan",26
"Aneuraceae","Riccardia glaziovii (Spruce) Meenks","(Spruce) Meenks",11
"Anthocerotaceae","Anthoceros","L.",69
"Anthocerotaceae","Anthoceros punctatus L.","L.",10
"Apocynaceae","Rauvolfia vomitoria Afzel.","Afzel.",19
"Aquifoliaceae","Ilex cassine L.","L.",18
"Aquifoliaceae","Ilex theizans","Warmingiana",21
"Aquifoliaceae","Ilex theizans Mart. ex Reissek","Loes.",26
"Aquifoliaceae","Ilex theizans Mart. ex Reissek","Mart. ex Reissek",20
"Asteraceae","Alomia fastigiata","Benth., 1876",21
"Asteraceae","Ambrosia psilostachya DC.","DC.",11
"Asteraceae","Baccharis leptocephala DC.","DC.",25
"Asteraceae","Baccharis vauthieri","DC.",20
"Asteraceae","Centratherum violaceum (Schrank) Gleason","(Schrank) Gleason",21
"Asteraceae","Chromolaena ascendens (Sch.Bip. ex Baker) R.M.King & H.Rob.","(Sch.Bip. ex Baker) R.M.King & H.Rob.",18
"Asteraceae","Conyza chilensis Spreng.","Spreng.",44
"Asteraceae","Erigeron linifolius Willd.","Willd.",26
"Asteraceae","Erigeron maximus","(D.Don) DC.",128
"Asteraceae","Eupatorium betonicaeforme","(DC.) Baker, 1876",24
"Asteraceae","eupatorium betonicaeforme (DC.) Baker","(DC.) Baker",10
"Asteraceae","Eupatorium inulifolium Kunth","Kunth",32
"Asteraceae","Galinsoga ciliata","(Raf.) S.F.Blake",15
"Asteraceae","Gamochaeta spicata (Klatt) Cabrera","(Lam.) Cabrera",25
"Asteraceae","Gamochaeta spicata (Lam.) Cabrera","(Lam.) Cabrera",12
"Asteraceae","Gnaphalium cheiranthifolium Lam.","Lam.",24
"Asteraceae","Gnaphalium gaudichaudianum DC.","DC.",11
"Asteraceae","Gnaphalium spathulatum Lam.","Lam.",16
"Asteraceae","Gnaphalium spicatum Mill.","Mill.",16
"Asteraceae","Gochnatia barrosoae","Cabrera",76
"Asteraceae","Ichthyothere agrestis","Baker",32
"Asteraceae","Leptostelma maxima D.Don","D.Don",87
"Asteraceae","Lucilia flagelliformis Wedd.","Wedd.",20
"Asteraceae","Lucilia glomerata","Baker",15
"Asteraceae","Lucilia lundii Baker","Baker",19
"Asteraceae","Mikania salviaefolia Gardner, 1846","Gardner",17
"Asteraceae","Notoseris","C.Shih",17
"Asteraceae","Schkuhria abrotanoides Roth","Roth",13
"Asteraceae","Senecio jurgensenii","Hemsl.",15
"Asteraceae","Solidago microglossa","DC.",107
"Asteraceae","Trichogonia gardneri","A.Gray",11
"Asteraceae","Vernonanthura diffusa","(Less.) H.Rob.",53
"Asteraceae","Vernonanthura diffusa (Less.) H. Rob.","(Less.) H. Rob.",29
"Asteraceae","Vernonanthura rubriramea","(Mart. ex DC.) Loeuille & P.N.Soares",47
"Asteraceae","Vernonia crassa","(Vell.) Ekman ex Malme",33
"Asteraceae","Vernonia florida Gardner","Gardner",27
"Asteraceae","Vernonia geminata Kunth","Kunth",20
