"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"118","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Amaranthaceae","Gomphrena","virgata","Mart.","AMARANTHACEAE Gomphrena virgata Mart.","131493","GBIF",,,"652","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"119","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Nyctaginaceae","Guapira","noxia","(Netto) Lundell","NYCTAGINACEAE Guapira noxia (Netto) Lundell","330701","GBIF",,,"794","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"120","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Poaceae","Gymnopogon","foliosus","(Willd.) Nees","POACEAE Gymnopogon foliosus (Willd.) Nees","319957","GBIF",,,"1325","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"121","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Orchidaceae","Habenaria","glaucophylla","Barb.Rodr.","ORCHIDACEAE Habenaria glaucophylla Barb.Rodr.","331238","GBIF",,,"1240","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"122","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Zingiberaceae","Hedychium","coronarium","J.Koenig","ZINGIBERACEAE Hedychium coronarium J.Koenig","319942","GBIF",,,"1594","Naturalized","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"123","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Heliconiaceae","Heliconia","hirsuta","L.f.","HELICONIACEAE Heliconia hirsuta L.f.","331243","GBIF",,,"1620","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"124","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Malvaceae","Helicteres","sacarolha","A.St.-Hil., Juss. & Cambess.","MALVACEAE Helicteres sacarolha A.St.-Hil., Juss. & Cambess.","319987","GBIF",,,"1235","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"125","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Malpighiaceae","Heteropterys","byrsonimifolia","A.Juss.","MALPIGHIACEAE Heteropterys byrsonimifolia A.Juss.","331258","GBIF",,,"1621","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"126","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Malpighiaceae","Heteropterys","pteropetala","A.Juss.","MALPIGHIACEAE Heteropterys pteropetala A.Juss.","131589","GBIF",,,"1581","Native","Latão","ARIE Cerrado Pé-de-Gigante, 47º34'-47º41'W e 21º36'-21º44'S","Não"
"127","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Malpighiaceae","Heteropterys","umbellata","A.Juss.","MALPIGHIACEAE Heteropterys umbellata A.Juss.","170284","GBIF",,,"1484","Native","Latão","ARIE cerrado Pé-de-Gigante.","Não"
"128","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Apocynaceae","Himatanthus","obovatus","(Müll. Arg.) Woodson","APOCYNACEAE Himatanthus obovatus (Müll. Arg.) Woodson","331326","GBIF",,,"1574","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"129","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Acanthaceae","Hygrophila","costata","Nees & T. Nees","ACANTHACEAE Hygrophila costata Nees & T. Nees","331350","GBIF",,,"1165","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"130","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Lamiaceae","Hypenia","paniculata","(Benth.) Harley","LAMIACEAE Hypenia paniculata (Benth.) Harley","180645","GBIF",,,"16","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"131","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Lamiaceae","Hyptis","brevipes","Poit.","LAMIACEAE Hyptis brevipes Poit.","319892","GBIF",,,"1335","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"132","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Lamiaceae","Hyptis","marrubioides","Epling","LAMIACEAE Hyptis marrubioides Epling","319890","GBIF",,,"1627","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"133","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Poaceae","Ichnanthus","inconstans","(Trin. ex Nees) Döll","POACEAE Ichnanthus inconstans (Trin. ex Nees) Döll","319956","GBIF",,,"846","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"134","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Fabaceae","Indigofera","suffruticosa","Mill.","FABACEAE Indigofera suffruticosa Mill.","195618","GBIF",,,"1375","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"135","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Orchidaceae","Ionopsis","utricularioides","(Sw.) Lindl.","ORCHIDACEAE Ionopsis utricularioides (Sw.) Lindl.","331239","GBIF",,,"1460","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"136","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Convolvulaceae","Ipomoea","procurrens","Meisn.","CONVOLVULACEAE Ipomoea procurrens Meisn.","319876","GBIF",,,"1047","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"137","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Jacaranda","caroba","(Vell.) DC.","BIGNONIACEAE Jacaranda caroba (Vell.) DC.","330726","GBIF",,,"945","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"138","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Bignoniaceae","Jacaranda","rufa","Silva Manso","BIGNONIACEAE Jacaranda rufa Silva Manso","330725","GBIF",,,"970","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"139","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Convolvulaceae","Jacquemontia","tamnifolia","(L.) Griseb.","CONVOLVULACEAE Jacquemontia tamnifolia (L.) Griseb.","319877","GBIF",,,"1042","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"140","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Orchidaceae","Justicia","elegans","Beauverd","ORCHIDACEAE Justicia elegans Beauverd","331349","GBIF",,,"1464",,"Latão","ARIE Cerrado Pé-de-Gigante","Não"
"141","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Calophyllaceae","Kielmeyera","rubriflora","Cambess.","CALOPHYLLACEAE Kielmeyera rubriflora Cambess.","PMSP005779","GBIF",,,"1376","Native","Latão","ARIE Cerrado Pé-de-Gigante, Margem em direção à Via Anhaguera.","Não"
"142","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Verbenaceae","Lantana","camara","L.","VERBENACEAE Lantana camara L.","319979","GBIF",,,"1597","Naturalized","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"143","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Scrophulariaceae","Lantana","salviifolia","L.","SCROPHULARIACEAE Lantana salviifolia L.","319978","GBIF",,,"911",,"Latão","ARIE Cerrado Pé-de-Gigante","Não"
"144","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Melastomataceae","Leandra","aurea","(Cham.) Cogn.","MELASTOMATACEAE Leandra aurea (Cham.) Cogn.","131597","GBIF",,,"840","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"145","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Chrysobalanaceae","Leptobalanus","humilis","(Cham. & Schltdl.) Sothers & Prance","CHRYSOBALANACEAE Leptobalanus humilis (Cham. & Schltdl.) Sothers & Prance","131518","GBIF",,,"1358","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"146","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Fabaceae","Leptolobium","elegans","Vogel","FABACEAE Leptolobium elegans Vogel","RB01508497",,"RB","Godoy, S.A.P.","1247","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"147","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Asteraceae","Lessingianthus","bardanoides","(Less.) H.Rob.","ASTERACEAE Lessingianthus bardanoides (Less.) H.Rob.","331283","GBIF",,,"1173","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"148","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Asteraceae","Lessingianthus","glabratus","(Less.) H.Rob.","ASTERACEAE Lessingianthus glabratus (Less.) H.Rob.","331297","GBIF",,,"1069","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"149","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Asteraceae","Lessingianthus","obtusatus","(Less.) H.Rob.","ASTERACEAE Lessingianthus obtusatus (Less.) H.Rob.","331282","GBIF",,,"1375","Native","Latão","ARIE Cerrado Pé-de-Gigante, 21°36 - 44'S&nf;47°34 - 41' W","Não"
"150","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Asteraceae","Lessingianthus","onopordioides","(Baker) H.Rob.","ASTERACEAE Lessingianthus onopordioides (Baker) H.Rob.","331298","GBIF",,,"1171","Native","Latão","ARIE Cerrado Pé-de-Gigante, 21°36 - 44'S&nf;47°34 - 41' W","Não"
"151","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Verbenaceae","Lippia","origanoides","Kunth","VERBENACEAE Lippia origanoides Kunth","5147","GBIF",,,"1317","Native","Latão","ARIE Cerrado Pé-de-Gigante. Área demarcada","Não"
"152","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Campanulaceae","Lobelia","exaltata","Pohl","CAMPANULACEAE Lobelia exaltata Pohl","319863","GBIF",,,"1185","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"153","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Poaceae","Loudetiopsis","chrysothrix","(Nees) Conert","POACEAE Loudetiopsis chrysothrix (Nees) Conert","319955","GBIF",,,"1067","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"154","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Onagraceae","Ludwigia","nervosa","(Poir.) H.Hara","ONAGRACEAE Ludwigia nervosa (Poir.) H.Hara","131613","GBIF",,,"866","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"155","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Onagraceae","Ludwigia","sericea","(Cambess.) H.Hara","ONAGRACEAE Ludwigia sericea (Cambess.) H.Hara","330702","GBIF",,,"956","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"156","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Fabaceae","Machaerium","acutifolium","Vogel","FABACEAE Machaerium acutifolium Vogel","131586","GBIF",,,"1060","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
"157","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Apocynaceae","Mandevilla","clandestina","J.F.Morales","APOCYNACEAE Mandevilla clandestina J.F.Morales","131501","GBIF",,,"1541","Native","Latão","ARIE Cerrado Pé-de-Gigante, Campo cerrado.","Não"
"158","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Angiosperms","Apocynaceae","Mandevilla","pohliana","(Stadelm.) A.H.Gentry","APOCYNACEAE Mandevilla pohliana (Stadelm.) A.H.Gentry","331325","GBIF",,,"987","Native","Latão","ARIE Cerrado Pé-de-Gigante","Não"
