"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"44","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Austroeupatorium","inulaefolium","(Kunth) R.M.King & H.Rob.","ASTERACEAE Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.","RB01225365",,"RB","Pilon, N.A.L.","60","Native","Ouro","campo cerrado. Estação Ecológica de Santa Bárbara","Sim"
"54","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Baccharis","aphylla","(Vell.) DC.","ASTERACEAE Baccharis aphylla (Vell.) DC.","HUFU00072187","REFLORA",,,"67","Native","Ouro","Estação Ecológica de Santa Bárbara. . Campo cerrado.","Sim"
"56","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Baccharis","hirta","DC.","ASTERACEAE Baccharis hirta DC.","SPSF00043070","SPLINK","SPSF","Guerin, N.","275","Native","Ouro","Estação Ecológica de Santa Bárbara","Sim"
"93","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Malpighiaceae","Camarea","affinis","A.St.-Hil.","MALPIGHIACEAE Camarea affinis A.St.-Hil.","RB01223027",,"RB","Assis, G.B.","172","Native","Ouro","campo cerrado. Estação Ecológica de Santa Bárbara","Sim"
"100","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Campuloclinium","chlorolepis","(Baker) R.M.King & H.Rob.","ASTERACEAE Campuloclinium chlorolepis (Baker) R.M.King & H.Rob.","SPSF00056411","SPLINK","SPSF","Durigan, G.","3798","Native","Ouro","Estação Ecológica de Santa Bárbara","Sim"
"101","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Campuloclinium","macrocephalum","(Less.) DC.","ASTERACEAE Campuloclinium macrocephalum (Less.) DC.","HUFU00073188","REFLORA",,,"264","Native","Ouro","Estação Ecológica de Santa Bárbara. . Campo cerrado.","Sim"
"102","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Campuloclinium","purpurascens","(Sch.Bip. ex Baker) R.M.King & H.Rob.","ASTERACEAE Campuloclinium purpurascens (Sch.Bip. ex Baker) R.M.King & H.Rob.","RB01225369",,"RB","Pilon, N.A.L.","11","Native","Ouro","campo cerrado. Estação Ecológica de Santa Bárbara","Sim"
"130","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Rubiaceae","Chiococca","alba","(L.) Hitchc.","RUBIACEAE Chiococca alba (L.) Hitchc.","RB01223065",,"RB","Assis, G.B.","210","Native","Ouro","campo cerrado. Estação Ecológica de Santa Bárbara","Sim"
"132","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Chromolaena","campestris","(DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena campestris (DC.) R.M.King & H.Rob.","RB01223088",,"RB","Assis, G.B.","233","Native","Ouro","campo cerrado. Estação Ecológica de Santa Bárbara","Sim"
"142","ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","Angiosperms","Asteraceae","Chrysolaena","simplex","(Less.) Dematt.","ASTERACEAE Chrysolaena simplex (Less.) Dematt.","RB01223001",,"RB","Assis, G.B.","133","Native","Ouro","campo cerrado. Estação Ecológica de Santa Bárbara","Sim"
