"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"17","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Eucalyptus","robusta","Sm.","MYRTACEAE Eucalyptus robusta Sm.","12236","GBIF",,,"75","Cultivated","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"18","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Bignoniaceae","Handroanthus","umbellatus","(Sond.) Mattos","BIGNONIACEAE Handroanthus umbellatus (Sond.) Mattos","12228","GBIF",,,"54","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"19","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Fabaceae","Inga","barbata","Benth.","FABACEAE Inga barbata Benth.","UNIP08013","GBIF",,,"625","Native","Latão","Parque Natural Municipal Cratera de Colônia.","Não"
"20","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Lacistemataceae","Lacistema","lucidum","Schnizl.","LACISTEMATACEAE Lacistema lucidum Schnizl.","12209","GBIF",,,"25","Native","Latão","Parque Natural Municipal da Cratera de Colônia.","Não"
"21","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Verbenaceae","Lantana","camara","L.","VERBENACEAE Lantana camara L.","12242","GBIF",,,"118","Naturalized","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"22","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Melastomataceae","Leandra","variabilis","Raddi","MELASTOMATACEAE Leandra variabilis Raddi","12200","GBIF",,,"36","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"23","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Ferns and Lycophytes","Lindsaeaceae","Lindsaea","quadrangularis","Raddi","LINDSAEACEAE Lindsaea quadrangularis Raddi","77734","GBIF",,,"587","Native","Latão","Parque Natural Municipal da Cratera de Colônia.","Não"
"27","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Monimiaceae","Mollinedia","schottiana","(Spreng.) Perkins","MONIMIACEAE Mollinedia schottiana (Spreng.) Perkins","12202","GBIF",,,"146","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"28","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Celastraceae","Monteverdia","glaucescens","(Reissek) Biral","CELASTRACEAE Monteverdia glaucescens (Reissek) Biral","12229","GBIF",,,"52","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"29","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Myrceugenia","campestris","(DC.) D.Legrand & Kausel","MYRTACEAE Myrceugenia campestris (DC.) D.Legrand & Kausel","12250","GBIF",,,"89","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"30","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Myrcia","glomerata","(Cambess.) G.P.Burton & E.Lucas","MYRTACEAE Myrcia glomerata (Cambess.) G.P.Burton & E.Lucas","12204","GBIF",,,"76","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"31","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Myrcia","hartwegiana","(O.Berg) Kiaersk.","MYRTACEAE Myrcia hartwegiana (O.Berg) Kiaersk.","7645","GBIF",,,"611","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Trilha da divisa leste. Campo sujo.","Não"
"32","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Myrcia","splendens","(Sw.) DC.","MYRTACEAE Myrcia splendens (Sw.) DC.","12221","GBIF",,,"5","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Entre as linhas de transmissão","Não"
"33","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Myrtaceae","Myrcia","tomentosa","(Aubl.) DC.","MYRTACEAE Myrcia tomentosa (Aubl.) DC.","12201","GBIF",,,"48","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"34","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Primulaceae","Myrsine","coriacea","(Sw.) R.Br. ex Roem. & Schult.","PRIMULACEAE Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.","12251","GBIF",,,"84","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Borda do Sítio Otsuka","Não"
"35","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Primulaceae","Myrsine","umbellata","Mart.","PRIMULACEAE Myrsine umbellata Mart.","12240","GBIF",,,"80","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Na borda do Parque","Não"
"36","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Ferns and Lycophytes","Nephrolepidaceae","Nephrolepis","cordifolia","(L.) C.Presl","NEPHROLEPIDACEAE Nephrolepis cordifolia (L.) C.Presl","12216","GBIF",,,"128","Naturalized","Latão","Parque Natural Municipal da Cratera da Colônia","Não"
"37","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Apocynaceae","Orthosia","scoparia","(Nutt.) Liede & Meve","APOCYNACEAE Orthosia scoparia (Nutt.) Liede & Meve","1276","GBIF",,,"149","Native","Latão","Parque Natural Municipal da Cratera de Colônia.","Não"
"38","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Sapindaceae","Paullinia","carpopoda","Cambess.","SAPINDACEAE Paullinia carpopoda Cambess.","12234","GBIF",,,"132","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Borda da estrada da Vargem Grande","Não"
"39","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Lauraceae","Persea","obovata","Nees & Mart.","LAURACEAE Persea obovata Nees & Mart.","99570","GBIF",,,"150","Native","Latão","Parque Natural Municipal Cratera de Colônia, Mata de Brejo, próximo ao Ribeirão Vermelho","Não"
"40","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Picramniaceae","Picramnia","parvifolia","Engl.","PICRAMNIACEAE Picramnia parvifolia Engl.","197667","GBIF",,,"74","Native","Latão","Parque Natural Municipal da Cratera de Colônia.","Não"
"41","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Piptocarpha","densifolia","Dusén ex G. Lom. Sm.","ASTERACEAE Piptocarpha densifolia Dusén ex G. Lom. Sm.","12233","GBIF",,,"1","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"42","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Piptocarpha","longipedunculata","Volet","ASTERACEAE Piptocarpha longipedunculata Volet","99559","GBIF",,,"586","Native","Latão","Parque Natural Municipal Cratera de Colônia","Não"
"43","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","hirsutissima","(Raddi) de la Sota","POLYPODIACEAE Pleopeltis hirsutissima (Raddi) de la Sota","77737","GBIF",,,"591","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Mata.","Não"
"44","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","12258","GBIF",,,"101","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
