"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","occurrenceRemarks","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","continentocean","preparationtype","class","order","infraspecificEpithet","individualcount","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","SPF00142205","SPF","142205","Schefflera morototoni","Plantae","Araliaceae","Schefflera","2000","07","09","Brasil","São Paulo","Gália","Estação Ecológica dos Caetetus","USP",,"PreservedSpecimen","Fiaschi, P","2000","08","0","0","7","morototoni","Fiaschi, P","-49.549999","-22.290001","2023-12-20T15:55:13","(Aubl.) Maguire, Steyerm. & Frodin","353",,,,,"23314",,,,,,,"SPLINK","Gália","2000-08-NA",,,,,,,,,,,,,,,,,,"SPF",,"Fiaschi, P.","353","2000","Fiaschi, P.","2000",,"Fiaschi",,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Didymopanax morototoni","(Aubl.) Decne. & Planch.","possibly_ok","Araliaceae","Didymopanax morototoni","(Aubl.) Decne. & Planch.","species","author misspelled|replaced synonym","bfo-43266","Didymopanax morototoni","(Aubl.) Decne. & Planch.","Didymopanax morototoni (Aubl.) Decne. & Planch.","Didymopanax","Araliaceae","high","Didymopanax morototoni"
"speciesLink","HPAN0000003125","HPAN","3125","Dioclea virgata","Plantae","Fabaceae","Dioclea","2003","02","11","Brasil","São Paulo","Gália","Estação Ecológica Caetetus","UNEMAT","Magnoliidae","PreservedSpecimen","Udulutsch, RG","2003","02","0","0","386","virgata","Udulutsch, RG; Tsuji, R","-49.549999","-22.290001","2024-03-01T20:24:25","(Rich.) Amshoff","1584",,"11",,,"23314","América",,,"Fabales",,,"SPLINK","Gália","2003-02-11",,,,,,,,,,,,,,,,,,"HPAN",,"Udulutsch, R.G.","1584","2003","Udulutsch, R.G.","2003","Tsuji, R.","Udulutsch",,"brazil","sao paulo","galia","estacao ecologica caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Dioclea virgata","(Rich.) Amshoff","possibly_ok","Fabaceae","Dioclea virgata","(Rich.) Amshoff","species","name accepted","bfo-22948",,,"Dioclea virgata (Rich.) Amshoff","Dioclea","Fabaceae","low","Dioclea virgata"
"gbif",,,"21932","Diospyros inconstans Jacq.","Plantae","Ebenaceae","Diospyros",,,,"Brazil","Sp",,"A Estação Ecológica dos Caetetus (EEC) possui uma área contínua de 2178,84 ha, dentro da bacia hidrográfica do Médio Paranapanema.",,"Tracheophyta","OCCURRENCE",,,,,,,"inconstans","Tiago Egydio Barreto","-49.7006539","-22.4082398","2016-07-28",,,,,,,,,,"Magnoliopsida","Ericales",,,"GBIF","Gália",,"Diospyros inconstans Jacq.",,"BR",,"SinBIOTA",,,,,,,"ACCEPTED","SPECIES","Dataset",,,"A Estação Ecológica dos Caetetus (EEC) possui uma área contínua de 2178,84 ha, dentro da bacia hidrográfica do Médio Paranapanema.",,,,,,,,,,,"brazil","sao paulo","galia","a estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia","brazil_sao paulo_galia",-22.31982553,-49.57741765,"county","3967835141",,,,"219320044","1615",,,,"PRESENT",,,,,,"Parcela Permanente. Área de 320x320 m dividida em 256 sub-parcelas contíguas de 20x20 m. Em cada uma das sub-parcelas, foram amostrados, georreferenciados e identificados todos os indivíduos arbóreos com PAP (perímetro na altura de 1,30 m a partir do solo) maior ou igual à 15 cm.",,"21826",,,,,,,,,,,,,"9400198",,,,,,,,,,,"Diospyros",,,,,,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Diospyros inconstans","Diospyros inconstans","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,,,"EPSG:4291",,,,,,,,,,,,,,,,,,"brazil_sao paulo_galia","Brazil","São Paulo","Gália",,"check_local.2municip.","Diospyros inconstans","Jacq.","name_w_authors","Ebenaceae","Diospyros inconstans","Jacq.","species","name accepted","bfo-7437",,,"Diospyros inconstans Jacq.","Diospyros","Ebenaceae","unknown","Diospyros inconstans"
"speciesLink",,"BHCB-SL","30429","Diplazium plantaginifolium","Plantae","Athyriaceae","Diplazium","1994","07","14","Brasil","São Paulo","Gália","Estação Ecológica dos Caetetus","UFMG",,"PreservedSpecimen","Salino, A","1994","07","0","0","453","plantaginifolium","Salino, A","-49.549999","-22.290001","2022-12-26T10:30:20","(L.) Urb.","1959","<nO>Terrestre em solo argiloso - arenoso, beira de riacho, no interior da floresta.</nO>",,,,"23314","América",,,,,,"SPLINK","Gália","1994-07-NA",,,,,,,,,,,,,,,,,,"BHCB",,"Salino, A.","1959","1994","Salino, A.","1994",,"Salino",,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Diplazium plantaginifolium","(L.) Urb.","possibly_ok","Athyriaceae","Diplazium plantaginifolium","(L.) Urb.","species","name accepted","bfo-92327",,,"Diplazium plantaginifolium (L.) Urb.","Diplazium","Athyriaceae","low","Diplazium plantaginifolium"
"speciesLink","UEC030788","UEC","78253","Distimake macrocalyx","Plantae","Convolvulaceae","Distimake","1995","05","20","Brazil","São Paulo","Gália","Estação Ecológica dos Caetetus","UNICAMP","Magnoliopsida","S","Petrongari, FS","2017","05","-22.25","-49.5","2","macrocalyx","Passos, FC","-49.5","-22.25","2023-03-09T11:31:09","(Ruiz & Pav.) A.R.Simões & Staples","FP21","<nO>flor, Mata semidecidua. Liana em flor.</nO>","04",,,,,,,,,,"SPLINK","Gália","2017-05-04",,,,,,,,,,,,,,,,,,"UEC",,"Passos, F.C.","FP21","1995","Petrongari, F.S.","2017",,"Passos",,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","possibly_ok","Convolvulaceae","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","species","author misspelled","bfo-604876",,,"Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","Distimake","Convolvulaceae","high","Distimake macrocalyx"
"speciesLink","HUEFS0178563","HUEFS","178563","Dolichandra unguis-cati","Plantae","Bignoniaceae","Dolichandra","2003","02","11","Brasil","São Paulo","Gália","Estação Ecológica dos Caetetus.","UEFS","Angiospermae","PreservedSpecimen","A.R.Zuntini","2014","10",,,"204","unguis-cati","Udulutsch, R.G.","-49.549999","-22.290001","2025-05-30T15:51:23","(L.) L.G.Lohmann","1589",,,,,"23314",,,"Asteranae","Lamiales",,,"SPLINK","Gália","2014-10-NA",,,,,,,,,,,,,,,,,,"HUEFS",,"Udulutsch, R.G.","1589","2003","Zuntini, A.R.","2014",,"Udulutsch",,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Dolichandra unguis-cati","(L.) L.G.Lohmann","possibly_ok","Bignoniaceae","Dolichandra unguis-cati","(L.) L.G.Lohmann","species","name accepted","bfo-113320",,,"Dolichandra unguis-cati (L.) L.G.Lohmann","Dolichandra","Bignoniaceae","high","Dolichandra unguis-cati"
"speciesLink","MBM426318","MBM","426318","Doliocarpus dentatus","Plantae","Dilleniaceae","Doliocarpus","2018","8","6","Brazil","São Paulo","Gália","Estação Ecológica de Caetetus, Divisa da unidade de conservação com propriedades rurais e plantações de eucalipto, ao longo de estrada de terra através de acesso pela Fazenda Espírito Santo.","MBM",,"PreservedSpecimen","Biral, L","2018","8","-22.377469","-49.691331","40","dentatus","Biral, L","-49.549999","-22.290001","2025-06-01T00:01:00","(Aubl.) Standl.","1391","<nO>Trepadeira, folhas cartáceas. Frutos imaturos verdes.</nO>",,"620",,"23314",,,,,,,"SPLINK","Gália","2018-8-NA",,,,,,,,,,,,,,,,,,"MBM",,"Biral, L.","1391","2018","Biral, L.","2018",,"Biral",,"brazil","sao paulo","galia","estacao ecologica de caetetus, ao longo de estrada de terra atraves de acesso pela fazenda espirito santo",,"locality","brazil_sao paulo_galia","brazil_sao paulo_galia",-22.31982553,-49.57741765,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Doliocarpus dentatus","(Aubl.) Standl.","possibly_ok","Dilleniaceae","Doliocarpus dentatus","(Aubl.) Standl.","species","name accepted","bfo-7357",,,"Doliocarpus dentatus (Aubl.) Standl.","Doliocarpus","Dilleniaceae","low","Doliocarpus dentatus"
"speciesLink","HRCB019734","HRCB","19734","Doliocarpus dentatus subspdentatus","Plantae","Dilleniaceae","Doliocarpus","1994","07","07","Brasil","São Paulo","Gália","Estação Ecológica dos Caetetus","UNESP-RC",,"PreservedSpecimen","J.V.L.Monzoli","2022","01",,,"15","dentatus","Pirani, J.R.","-49.549999","-22.290001","2025-02-04T08:01:13","(Aubl.) Standl.","s.n.","<nO>Folhas discolores, opacas. Sépalas verdes, estames alvosHabitat: Mata mesófila semidecídua, com muitas guaraiuvas</nO>","27",,,"23314",,,,,"subspdentatus",,"SPLINK","Gália","2022-01-27",,,,,,,,,,,,,,,,,,"HRCB",,"Pirani, J.R.","s.n.","1994","Monzoli, J.V.L.","2022",,"Pirani",,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Doliocarpus dentatus subsp. dentatus","(Aubl.) Standl.","not_Genus_epithet_format","Dilleniaceae","Doliocarpus dentatus subsp. dentatus","(Aubl.) Standl.","subspecies","name misspelled","bfo-17287",,,"Doliocarpus dentatus subsp. dentatus (Aubl.) Standl.","Doliocarpus","Dilleniaceae","low","Doliocarpus dentatus"
"speciesLink","UEC076405","UEC","138709","Doryopteris patula","Plantae","Pteridaceae","Doryopteris","2003","02","11","Brazil","São Paulo","Gália","Estação Ecológica Caetetus, Parcelas permanentes.","UNICAMP","Pteridophyta","S","Prado, J","2016","02","-22.25","-49.5","2","patula","Breier, TB; Breier, J","-49.5","-22.25","2025-04-07T11:06:47","Fée","880","<nO>Em pau podre.</nO>",,,,,,,,,,,"SPLINK","Gália","2016-02-NA",,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","880","2003","Prado, J.","2016","Breier, J.","Breier",,"brazil","sao paulo","galia","estacao ecologica caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Doryopteris patula","(Fée) Fée","possibly_ok","Pteridaceae","Doryopteris patula","(Fée) Fée","species","author misspelled","bfo-91897",,,"Doryopteris patula (Fée) Fée","Doryopteris","Pteridaceae","low","Doryopteris patula"
"user",,"ESA","ESA104614","douglasii",,"Gesneriaceae","sinningia","2005","01","06","Brasil","São Paulo",,"Estação Ecológica de Caetetus","ESA",,,"Chautems, A.",,,,,,,"Gorenstein, M.R.","0","0",,,"2387",,,,,,,,,,,,"REFLORA","Gália",,,,,,,,,,,,,,"SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","galia","estacao ecologica de caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"não",,,,,,,,,,,,,,,,,,,,,,,,"douglasii","GESNERIACEAE ",,,,,,,,,,,"ESA",,,,"Araújo, A.O.","06/01/2005",,,"METRO",,,,,,,,"brazil_sao paulo_galia_eec caetetus","Brazil","São Paulo","Gália","EEc de Caetetus","ok_same_resolution","Douglasii",,"name_w_wrong_case|indet",,"Douglasii",,"genus","not found",,,,"Douglasii","Douglasii","Gesneriaceae","high",
"user",,"ESA","ESA00137140","Duguetia lanceolata A.St.-Hil.",,"Annonaceae","Duguetia","2015","10","11","Brasil","São Paulo",,"Estação Ecológica de Caetetus, trilha do cipó","ESA",,,"Sem determinador",,,,,,,"Colletta, G. D","0","0",,"A.St.-Hil.","2319",,,,,,,,,,,,"REFLORA","Gália",,,,,,,,,,,,,,"SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","galia","estacao ecologica de caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"não",,,,,,,,,,,,,,,,,,,,,,,,"lanceolata","ANNONACEAE Duguetia lanceolata A.St.-Hil.",,,,,,,,,,,"ESA",,,,,"11/10/2015",,"680","METRO",,,,,,,,"brazil_sao paulo_galia_eec caetetus","Brazil","São Paulo","Gália","EEc de Caetetus","ok_same_resolution","Duguetia lanceolata","A.St.-Hil.","name_w_authors","Annonaceae","Duguetia lanceolata","A.St.-Hil.","species","name accepted","bfo-110319",,,"Duguetia lanceolata A.St.-Hil.","Duguetia","Annonaceae","high","Duguetia lanceolata"
"gbif",,,"21932","Endlicheria paniculata (Spreng.) J.F.Macbr.","Plantae","Lauraceae","Endlicheria",,,,"Brazil","Sp",,"A Estação Ecológica dos Caetetus (EEC) possui uma área contínua de 2178,84 ha, dentro da bacia hidrográfica do Médio Paranapanema.",,"Tracheophyta","OCCURRENCE",,,,,,,"paniculata","Tiago Egydio Barreto","-49.7006539","-22.4082398","2016-07-28",,,,,,,,,,"Magnoliopsida","Laurales",,,"GBIF","Gália",,"Endlicheria paniculata (Spreng.) J.F.Macbr.",,"BR",,"SinBIOTA",,,,,,,"ACCEPTED","SPECIES","Dataset",,,"A Estação Ecológica dos Caetetus (EEC) possui uma área contínua de 2178,84 ha, dentro da bacia hidrográfica do Médio Paranapanema.",,,,,,,,,,,"brazil","sao paulo","galia","a estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia","brazil_sao paulo_galia",-22.31982553,-49.57741765,"county","3967831096",,,,"219320045","1615",,,,"PRESENT",,,,,,"Parcela Permanente. Área de 320x320 m dividida em 256 sub-parcelas contíguas de 20x20 m. Em cada uma das sub-parcelas, foram amostrados, georreferenciados e identificados todos os indivíduos arbóreos com PAP (perímetro na altura de 1,30 m a partir do solo) maior ou igual à 15 cm.",,"21826",,,,,,,,,,,,,"9400262",,,,,,,,,,,"Endlicheria",,,,,,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Endlicheria paniculata","Endlicheria paniculata","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,,,"EPSG:4291",,,,,,,,,,,,,,,,,,"brazil_sao paulo_galia","Brazil","São Paulo","Gália",,"check_local.2municip.","Endlicheria paniculata","(Spreng.) J.F.Macbr.","name_w_authors","Lauraceae","Endlicheria paniculata","(Spreng.) J.F.Macbr.","species","name accepted","bfo-8417",,,"Endlicheria paniculata (Spreng.) J.F.Macbr.","Endlicheria","Lauraceae","unknown","Endlicheria paniculata"
"gbif",,,"21934","Enterolobium contortisiliquum (Vell.) Morong","Plantae","Fabaceae","Enterolobium",,,,"Brazil","Sp",,"A Estação Ecológica dos Caetetus (EEC) possui uma área contínua de 2178,84 ha, dentro da bacia hidrográfica do Médio Paranapanema.",,"Tracheophyta","OCCURRENCE",,,,,,,"contortisiliquum","Tiago Egydio Barreto","-49.7004159","-22.4081668","2016-07-29",,,,,,,,,,"Magnoliopsida","Fabales",,,"GBIF","Gália",,"Enterolobium contortisiliquum (Vell.) Morong",,"BR",,"SinBIOTA",,,,,,,"ACCEPTED","SPECIES","Dataset",,,"A Estação Ecológica dos Caetetus (EEC) possui uma área contínua de 2178,84 ha, dentro da bacia hidrográfica do Médio Paranapanema.",,,,,,,,,,,"brazil","sao paulo","galia","a estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia","brazil_sao paulo_galia",-22.31982553,-49.57741765,"county","3967835948",,,,"219340046","1615",,,,"PRESENT",,,,,,"Parcela Permanente. Área de 320x320 m dividida em 256 sub-parcelas contíguas de 20x20 m. Em cada uma das sub-parcelas, foram amostrados, georreferenciados e identificados todos os indivíduos arbóreos com PAP (perímetro na altura de 1,30 m a partir do solo) maior ou igual à 15 cm.",,"21828",,,,,,,,,,,,,"578851",,,,,,,,,,,"Enterolobium",,,,,,"c1c5ef4b-8309-4f04-9247-3f7644260c85",,,TRUE,FALSE,"Enterolobium contortisiliquum","Enterolobium contortisiliquum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC",,,,"EPSG:4291",,,,,,,,,,,,,,,,,,"brazil_sao paulo_galia","Brazil","São Paulo","Gália",,"check_local.2municip.","Enterolobium contortisiliquum","(Vell.) Morong","name_w_authors","Fabaceae","Enterolobium contortisiliquum","(Vell.) Morong","species","name accepted","bfo-83154",,,"Enterolobium contortisiliquum (Vell.) Morong","Enterolobium","Fabaceae","unknown","Enterolobium contortisiliquum"
"speciesLink","SPF00142220","SPF","142220","Enterolobium timbouva","Plantae","Leguminosae","Enterolobium","2000","07","10","Brasil","São Paulo","Gália","Estação Ecológica dos Caetetus","USP",,"PreservedSpecimen","Ilegível",,,"0","0","7","timbouva","Fiaschi, P","-49.549999","-22.290001","2023-12-20T16:01:22","Mart.","360",,,,,"23314",,,,,,,"SPLINK","Gália",,,,,,,,,,,,,,,,,,,"SPF",,"Fiaschi, P.","360","2000","Ilegivel","n.d.",,"Fiaschi",,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Enterolobium timbouva","Mart.","possibly_ok","Fabaceae","Enterolobium timbouva","Mart.","species","name accepted","bfo-83158",,,"Enterolobium timbouva Mart.","Enterolobium","Fabaceae","low","Enterolobium timbouva"
"speciesLink","UEC064196","UEC","140038","Epidendrum elongatum","Plantae","Orchidaceae","Epidendrum","2003","02","11","Brazil","São Paulo","Gália","Estação Ecológica Caetetus, Parcelas permanentes.","UNICAMP","Liliopsida","S","Breier, TB","2004","09","-22.25","-49.5","2","elongatum","Breier, TB; Breier, J","-49.5","-22.25","2025-04-07T10:44:23","Jacq.","890","<nO>Cultivado na Base do I.F., sem procedencia.</nO>",,,,,,,,,,,"SPLINK","Gália","2004-09-NA",,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","890","2003","Breier, T.B.","2004","Breier, J.","Breier",,"brazil","sao paulo","galia","estacao ecologica caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Epidendrum secundum","Jacq.","possibly_ok","Orchidaceae","Epidendrum secundum","Jacq.","species","replaced synonym","bfo-11573","Epidendrum secundum","Jacq.","Epidendrum secundum Jacq.","Epidendrum","Orchidaceae","low","Epidendrum secundum"
"speciesLink","UEC041390","UEC","137477","Epiphyllum phyllanthus","Plantae","Cactaceae","Epiphyllum","2003","02","11","Brazil","São Paulo","Gália","Estação Ecológica Caetetus, parcelas permanentes.","UNICAMP","Magnoliopsida","S","Breier, TB","2004","09","-22.25","-49.5","2","phyllanthus","Breier, TB; Breier, J","-49.5","-22.25","2025-04-07T10:51:25","(L.) Haw.","889",,,,,,,,,,,,"SPLINK","Gália","2004-09-NA",,,,,,,,,,,,,,,,,,"UEC",,"Breier, T.B.","889","2003","Breier, T.B.","2004","Breier, J.","Breier",,"brazil","sao paulo","galia","estacao ecologica caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Epiphyllum phyllanthus","(L.) Haw.","possibly_ok","Cactaceae","Epiphyllum phyllanthus","(L.) Haw.","species","name accepted","bfo-1512",,,"Epiphyllum phyllanthus (L.) Haw.","Epiphyllum","Cactaceae","low","Epiphyllum phyllanthus"
"speciesLink","SP048615","SP","289379","Esenbeckia grandiflora","Plantae","Rutaceae","Esenbeckia","1994","07","07","Brasil","São Paulo","Gália","Estação Ecológica de Caetetus, Estação Ecológica Olavo Amaral Ferraz.","IBt",,"PreservedSpecimen",,,,"0","0","1","grandiflora","Pirani, JR; Cordeiro, I; Garcia, RF","-49.549999","-22.290001","2021-12-09T11:19:06","Mart.","3258",,,,,"23314",,,,,,,"SPLINK","Gália",,,,,,,,,,,,,,,,,,,"SP",,"Pirani, J.R.","3258","1994","s.n.","n.d.","Cordeiro, I.; Garcia, R.F.","Pirani",,"brazil","sao paulo","galia","estacao ecologica de caetetus, estacao ecologica olavo amaral ferraz",,"locality","brazil_sao paulo_galia","brazil_sao paulo_galia",-22.31982553,-49.57741765,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Esenbeckia grandiflora","Mart.","possibly_ok","Rutaceae","Esenbeckia grandiflora","Mart.","species","name accepted","bfo-589",,,"Esenbeckia grandiflora Mart.","Esenbeckia","Rutaceae","high","Esenbeckia grandiflora"
"gbif",,"SPF","211799","Esenbeckia grandiflora subsp. grandiflora","Plantae","Rutaceae","Esenbeckia","2013","12","12","Brasil","São Paulo",,"Estação Ecológica dos Caetetus","USP-IB","Tracheophyta","PRESERVED_SPECIMEN","Pirani, JR",,,,,"https://specieslink.net/col/7","grandiflora","Ceccantini, GCT; Ifanger, ER; Baldaconi, G; Teixeira-Costa, L; Jardim, PCA","-49.676222","-22.380056","2024-01-30 15:23:55","Mart.","4015",,,,,,,,"Magnoliopsida","Sapindales","grandiflora",,"GBIF","Gália","2014-08-01","Esenbeckia grandiflora subsp. grandiflora",,"BR",,,"2013-12-12",,,,,,"ACCEPTED","SUBSPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","galia","estacao ecologica dos caetetus",,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality","1090631794",,,,"https://specieslink.net/guid/7/211799",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Esenbeckia",,,,,,"1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3",,,TRUE,FALSE,"Esenbeckia grandiflora","Esenbeckia grandiflora grandiflora","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,"https://images.cria.org.br/viewer/SPF00211799",,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_galia_eec caetetus","Brazil","São Paulo","Gália","EEc de Caetetus","ok_same_resolution","Esenbeckia grandiflora subsp. grandiflora","Mart.","subspecies","Rutaceae","Esenbeckia grandiflora subsp. grandiflora","Mart.","subspecies","name accepted","bfo-591",,,"Esenbeckia grandiflora subsp. grandiflora Mart.","Esenbeckia","Rutaceae","unknown","Esenbeckia grandiflora"
