"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Annonaceae","Duguetia","furfuracea","(A.St.-Hil.) Saff.","ANNONACEAE Duguetia furfuracea (A.St.-Hil.) Saff.","SPSF00048742","Splink","SPSF","Arzolla, F.A.R.D.P.","1657","Native","Bronze","Estação Ecológica de Avaré","Sim"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Aquifoliaceae","Ilex","paraguariensis","A.St.-Hil.","AQUIFOLIACEAE Ilex paraguariensis A.St.-Hil.","SPSF00048748","Splink","SPSF","Arzolla, F.A.R.D.P.","1664","Native","Bronze","Estação Ecológica de Avaré","Sim"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Araliaceae","Didymopanax","vinosus","(Cham. & Schltdl.) Marchal","ARALIACEAE Didymopanax vinosus (Cham. & Schltdl.) Marchal","FLOR0074950","Splink","FLOR","Arzolla, F.A.R.D.P.","1465","Native","Bronze","Estação Ecológica de Avaré.","Sim"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Arecaceae","Allagoptera","campestris","(Mart.) Kuntze","ARECACEAE Allagoptera campestris (Mart.) Kuntze","SPSF00048810","Splink","SPSF","Cielo Filho","1433","Native","Bronze","Estação Ecológica de Avaré","Não"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Acanthospermum","australe","(Loefl.) Kuntze","ASTERACEAE Acanthospermum australe (Loefl.) Kuntze","SPSF00048709","Splink","SPSF","Baitello, J.B.","2619","Native","Bronze","Estação Ecológica de Avaré","Sim"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Achyrocline","satureioides","(Lam.) DC.","ASTERACEAE Achyrocline satureioides (Lam.) DC.","SPSF00048711","Splink","SPSF","Baitello, J.B.","2621","Native","Bronze","Estação Ecológica de Avaré","Sim"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Baccharis","dracunculifolia","DC.","ASTERACEAE Baccharis dracunculifolia DC.","SPSF00048605","Splink","SPSF","Baitello, J.B.","2610","Native","Ouro","Estação Ecológica de Avaré","Não"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Bidens","subalternans","DC.","ASTERACEAE Bidens subalternans DC.","SPSF00048843","Splink","SPSF","Arzolla, F.A.R.D.P.","1688","Native","Bronze","Estação Ecológica de Avaré","Não"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Chromolaena","pungens","(Gardner) R.M.King & H.Rob.","ASTERACEAE Chromolaena pungens (Gardner) R.M.King & H.Rob.","SPSF00048600","Splink","SPSF","Baitello, J.B.","2605","Native","Ouro","Estação Ecológica de Avaré","Não"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Chromolaena","squalida","(DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena squalida (DC.) R.M.King & H.Rob.","SPSF00048609","Splink","SPSF","Baitello, J.B.","2614","Native","Ouro","Estação Ecológica de Avaré","Não"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Elephantopus","biflorus","(Less.) Sch.Bip.","ASTERACEAE Elephantopus biflorus (Less.) Sch.Bip.","SPSF00048602","Splink","SPSF","Baitello, J.B.","2607","Native","Ouro","Estação Ecológica de Avaré","Não"
"ESTAÇÃO ECOLÓGICA DE AVARÉ","Angiosperms","Asteraceae","Emilia","fosbergii","Nicolson","ASTERACEAE Emilia fosbergii Nicolson","SPSF00048743","Splink","SPSF","Arzolla, F.A.R.D.P.","1658","Naturalized","Bronze","Estação Ecológica de Avaré","Sim"
