"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","continentocean","county","locality","institutionCode","class","order","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualcount","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","barcode","phylum","preparationtype","recordNumber","occurrenceRemarks","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","fieldNumber","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","SP","525670","Anemopaegma laeve","Plantae","Bignoniaceae","Anemopaegma","2021","11","25","Brasil","São Paulo",,"Anhembi","Estação Ecológica de Barreiro Rico","IBt",,,"PreservedSpecimen","Simão Bianchini, R","2022","02","02",,"-22.672778","-48.141111","1","laeve","Simão Bianchini, R; et al.","-48.141111","-22.672778","2022-08-26T11:28:25","DC.",,,,"2437",,,,,,,,,"SPLINK","Anhembi","2022-02-02",,,,,,,,,,,,,,,,,,"SP",,"Bianchini, R.S.","2437","2021","Bianchini, R.S.","2022",,"Bianchini",,"brazil","sao paulo","anhembi","estacao ecologica de barreiro rico",,"locality","brazil_sao paulo_anhembi","brazil_sao paulo_anhembi",-22.79988583,-48.17465099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Anemopaegma laeve","DC.","possibly_ok","Bignoniaceae","Anemopaegma laeve","DC.","species","name accepted","bfo-112532",,,"Anemopaegma laeve DC.","Anemopaegma","Bignoniaceae","low","Anemopaegma laeve"
"speciesLink","SP","525643","Bignonia campanulata","Plantae","Bignoniaceae","Bignonia","2021","11","23","Brasil","São Paulo",,"Anhembi","Estação Ecológica de Barreiro Rico","IBt",,,"PreservedSpecimen","Zuntini, AR","2022","08",,,"-22.677778","-48.148889","1","campanulata","Simão Bianchini, R","-48.148889","-22.677778","2022-08-26T11:28:25","Cham.",,,,"2410",,,,,,,,,"SPLINK","Anhembi","2022-08-NA",,,,,,,,,,,,,,,,,,"SP",,"Bianchini, R.S.","2410","2021","Zuntini, A.R.","2022",,"Bianchini",,"brazil","sao paulo","anhembi","estacao ecologica de barreiro rico",,"locality","brazil_sao paulo_anhembi","brazil_sao paulo_anhembi",-22.79988583,-48.17465099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Bignonia campanulata","Cham.","possibly_ok","Bignoniaceae","Bignonia campanulata","Cham.","species","name accepted","bfo-112845",,,"Bignonia campanulata Cham.","Bignonia","Bignoniaceae","high","Bignonia campanulata"
