"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"14","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Celastraceae","Celastrus","liebmannii","Standl.","CELASTRACEAE Celastrus liebmannii Standl.","RB01503650",,"RB","Biral, L.","2633","Native","Ouro","Estrada de terra Sertão do Ariró, sentido Rio Claro (RJ) após a Estação Ecológica Bananal","Não"
"19","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Commelinaceae","Commelina","obliqua","Vahl","COMMELINACEAE Commelina obliqua Vahl","SHPR001513","SPLINK","SHPR","Biral, L.","2580","Native","Ouro","Estação Ecológica Bananal","Não"
"20","ESTAÇÃO ECOLÓGICA BANANAL","Ferns and Lycophytes","Cyatheaceae",,,"Kaulf.","CYATHEACEAE Cyatheaceae Kaulf.","FURB00067548","REFLORA",,,"2508",,"Ouro","Trilha Cachoeira Sete Quedas. Estação Ecológica Bananal","Não"
"22","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Commelinaceae","Dichorisandra","hexandra","(Aubl.) C.B.Clarke","COMMELINACEAE Dichorisandra hexandra (Aubl.) C.B.Clarke","SHPR001494","SPLINK","SHPR","Biral, L.","2562","Native","Ouro","Estação Ecológica Bananal","Não"
"29","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Onagraceae","Fuchsia","regia","(Vell.) Munz","ONAGRACEAE Fuchsia regia (Vell.) Munz","HURB000030351","REFLORA",,,"2565","Native","Ouro","Estação Ecológica Bananal. Trilha do Ouro. Estação Ecológica Bananal","Não"
"32","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","HURB000030377","REFLORA",,,"2518","Native","Ouro","Estação Ecológica Bananal. Trilha Cachoeira Sete Quedas. Estação Ecológica Bananal","Não"
"41","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Euphorbiaceae","Manihot","grahamii","Hook.","EUPHORBIACEAE Manihot grahamii Hook.","HURB000030405","REFLORA",,,"2632","Native","Ouro","Estrada de terra Sertão do Ariró, sentido Rio Claro (RJ),. após a Estação Ecológica Bananal.","Não"
"47","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Celastraceae","Monteverdia","glaucescens","(Reissek) Biral","CELASTRACEAE Monteverdia glaucescens (Reissek) Biral","SHPR001516","SPLINK","SHPR","Biral, L.","2583","Native","Ouro","Estação Ecológica Bananal","Não"
"48","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Celastraceae","Monteverdia","gonoclada","(Mart.) Biral","CELASTRACEAE Monteverdia gonoclada (Mart.) Biral","SHPR001522","SPLINK","SHPR","Biral, L.","2589","Native","Ouro","Estação Ecológica Bananal","Não"
"61","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Piperaceae","Piper","obliquum","Ruiz & Pav.","PIPERACEAE Piper obliquum Ruiz & Pav.","R020000134","SPLINK","R","Queiroz, G.A.","550","Native","Ouro","Estação Ecológica Bananal","Não"
"62","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Piperaceae","Piper","pseudopothifolium","C.DC.","PIPERACEAE Piper pseudopothifolium C.DC.","R020000131","SPLINK","R","Queiroz, G.A.","547","Native","Ouro","Estação Ecológica Bananal","Não"
"89","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Commelinaceae","Tripogandra","diuretica","(Mart.) Handlos","COMMELINACEAE Tripogandra diuretica (Mart.) Handlos","HURB000030395","REFLORA",,,"2582","Native","Ouro","Estação Ecológica Bananal. Mata nas proximidades da sede. Estação Ecológica Bananal","Não"
"91","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Lentibulariaceae","Utricularia","triloba","Benj.","LENTIBULARIACEAE Utricularia triloba Benj.","SHPR001543","SPLINK","SHPR","Biral, L.","2610","Native","Ouro","Estação Ecológica Bananal","Não"
"92","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Violaceae","Viola","subdimidiata","A.St.-Hil.","VIOLACEAE Viola subdimidiata A.St.-Hil.","SHPR001491","SPLINK","SHPR","Biral, L.","2559","Native","Ouro","Estação Ecológica Bananal","Não"
"1","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Euphorbiaceae","Alchornea","triplinervia","(Spreng.) Müll.Arg.","EUPHORBIACEAE Alchornea triplinervia (Spreng.) Müll.Arg.","SHPR001536","SPLINK","SHPR","Biral, L.","2603","Native","Bronze","Estação Ecológica Bananal","Não"
"2","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Orchidaceae","Anathallis","rubens","(Lindl.) Pridgeon & M.W.Chase","ORCHIDACEAE Anathallis rubens (Lindl.) Pridgeon & M.W.Chase","SHPR001487","SPLINK","SHPR","Biral, L.","2555","Native","Bronze","Estação Ecológica Bananal","Não"
"3","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Violaceae","Anchietea","pyrifolia","(Mart.) G.Don","VIOLACEAE Anchietea pyrifolia (Mart.) G.Don","SHPR001524","SPLINK","SHPR","Biral, L.","2591","Native","Bronze","Estação Ecológica Bananal","Não"
"4","ESTAÇÃO ECOLÓGICA BANANAL","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","SHPR001528","SPLINK","SHPR","Biral, L.","2595","Native","Bronze","Estação Ecológica Bananal","Não"
"6","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Solanaceae","Athenaea","brasiliana","Hunz.","SOLANACEAE Athenaea brasiliana Hunz.","SHPR001502","SPLINK","SHPR","Biral, L.","2569","Native","Bronze","Estação Ecológica Bananal","Não"
"7","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Solanaceae","Athenaea","fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","SOLANACEAE Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","SHPR001452","SPLINK","SHPR","Biral, L.","2520","Native","Bronze","Estação Ecológica Bananal","Não"
"8","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Begoniaceae","Begonia","angulata","Vell.","BEGONIACEAE Begonia angulata Vell.","SHPR001464","SPLINK","SHPR","Biral, L.","2532","Native","Bronze","Estação Ecológica Bananal","Não"
"9","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Begoniaceae","Begonia","fischeri","Schrank","BEGONIACEAE Begonia fischeri Schrank","SHPR001503","SPLINK","SHPR","Biral, L.","2570","Native","Bronze","Estação Ecológica Bananal","Não"
"10","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Begoniaceae","Begonia","fulvosetulosa","Brade","BEGONIACEAE Begonia fulvosetulosa Brade","SHPR001472","SPLINK","SHPR","Biral, L.","2540","Native","Bronze","Estação Ecológica Bananal","Não"
"11","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Solanaceae","Brunfelsia","hydrangeiformis","(Pohl) Benth.","SOLANACEAE Brunfelsia hydrangeiformis (Pohl) Benth.","SHPR001466","SPLINK","SHPR","Biral, L.","2534","Native","Bronze","Estação Ecológica Bananal","Não"
"13","ESTAÇÃO ECOLÓGICA BANANAL","Ferns and Lycophytes","Polypodiaceae","Campyloneurum","fallax","Fée","POLYPODIACEAE Campyloneurum fallax Fée","SHPR001470","SPLINK","SHPR","Biral, L.","2538","Native","Bronze","Estação Ecológica Bananal","Não"
"15","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Clethraceae","Clethra","scabra","Pers.","CLETHRACEAE Clethra scabra Pers.","SHPR001484","SPLINK","SHPR","Biral, L.","2552","Native","Bronze","Estação Ecológica Bananal","Não"
"16","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Clusiaceae","Clusia","criuva","Cambess.","CLUSIACEAE Clusia criuva Cambess.","SHPR001541","SPLINK","SHPR","Biral, L.","2608","Native","Bronze","Estação Ecológica Bananal","Não"
"17","ESTAÇÃO ECOLÓGICA BANANAL","Angiosperms","Rubiaceae","Coccocypselum","lanceolatum","(Ruiz & Pav.) Pers.","RUBIACEAE Coccocypselum lanceolatum (Ruiz & Pav.) Pers.","SHPR001485","SPLINK","SHPR","Biral, L.","2553","Native","Bronze","Estação Ecológica Bananal","Não"
"18","ESTAÇÃO ECOLÓGICA BANANAL","Ferns and Lycophytes","Polypodiaceae","Cochlidium","serrulatum","(Sw.) L.E.Bishop","POLYPODIACEAE Cochlidium serrulatum (Sw.) L.E.Bishop","SHPR001457","SPLINK","SHPR","Biral, L.","2525","Native","Bronze","Estação Ecológica Bananal","Não"
