"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","coordinatePrecision","institutionCode","basisOfRecord","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","recordNumber","occurrenceRemarks","continentocean","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","specificepithet","scientificNameAuthorship","barcode","dayIdentified","verbatimLatitude","verbatimLongitude","minimumelevationinmeters","maximumelevationinmeters","infraspecificepithet","relationshiptype","relatedcatalogitem","preparationtype","individualcount","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Agenium leptocladum","speciesLink","UEC","210776","Agenium leptocladum","Plantae","Poaceae","Agenium","2022","11","23","Brazil","São Paulo","Assis","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.",,"UNICAMP","S","2","Dalbeto, AC; Durigan, G","-50.699622","-23.025625","2025-04-07T10:44:46","35","<nO>Graminóide de poucas folhas, colmos delgados eretos, folhas alternas ao longo dos colmos; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Liliopsida",,,"Durigan, G","2022","11","leptocladum","(Hack.) Clayton","UEC176969","23","-23.025625","-50.699622","52","52",,,,,,,"SPLINK","Assis","2022-11-23",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","35","2022","Durigan, G.","2022","Durigan, G.","Dalbeto",,"brazil","sao paulo","assis","coletada na floresta estadual de assis",,"locality","brazil_sao paulo_assis","brazil_sao paulo_assis",-22.60109057,-50.42074843,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Agenium leptocladum","(Hack.) Clayton","possibly_ok","Poaceae","Agenium leptocladum","(Hack.) Clayton","species","name accepted","bfo-32176",,,"Agenium leptocladum (Hack.) Clayton","Agenium","Poaceae","medium","Agenium leptocladum"
"Anadenanthera peregrina var. falcata","speciesLink","BOTUW","3028","Anadenanthera peregrina var. falcata","Plantae",,"Anadenanthera","2024","10","02","Brasil","São Paulo","Assis","Floresta Estadual de Assis",,"UNESP-IBB","PreservedSpecimen","39","Lima, A. C.; Nicolai, J.","-50.446944","-22.600278","2025-01-10T10:21:02","503","<nO>Árvore com 8,5 m de altura, CAP 45 cm. Coleta a 1,3 m do solo. Flores brancas, frutos avermelhados. Coleta na margem da linha do trem entre a Fl. Est. de Assis e uma área de pasto.</nO>",,,,,"Nicolai, J.; Lima, A. C.","2024",,"peregrina","(Benth.) Altschul","BOTUW003028",,"22° 36' 01"" S","50° 26' 49,5"" W","531.8","531.8","var. falcata",,,,,,"SPLINK","Assis","2024-NA-NA",,,,,,,,,,,,,,,,,,"BOTUw","xylarium","Lima, A.C.","503","2024","Nicolai, J.","2024","Nicolai, J.","Lima","Lima, A.C.","brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Anadenanthera peregrina var. falcata","(Benth.) Altschul","variety","Fabaceae","Anadenanthera peregrina var. falcata","(Benth.) Altschul","variety","name accepted","bfo-18075",,,"Anadenanthera peregrina var. falcata (Benth.) Altschul","Anadenanthera","Fabaceae","low","Anadenanthera peregrina"
"Andropogon hypogynus","speciesLink","SPSF","57628","Andropogon hypogynus","Plantae","Poaceae","Andropogon","2021","11","07","Brasil","SP","Assis","Floresta Estadual de Assis",,"IF","PreservedSpecimen","13","G.Durigan","-50.415278","-22.580556","2024-08-06T09:12:49","4256","<nO>COLETA: Inflorescências arroxeadas.; GEOGRAFIA: Campo úmido, dois meses após passagem de fogo.;</nO>","América do Sul","Magnoliophyta","Liliopsida","Poales","G.Durigan","2021","11","hypogynus","Hack.","SPSF00057628","07",,,"518","518",,,,,,,"SPLINK","Assis","2021-11-07",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4256","2021","Durigan, G.","2021",,"Durigan",,"brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Andropogon hypogynus","Hack.","possibly_ok","Poaceae","Andropogon hypogynus","Hack.","species","name accepted","bfo-12963",,,"Andropogon hypogynus Hack.","Andropogon","Poaceae","medium","Andropogon hypogynus"
"Andropogon lateralis","speciesLink","SPSF","57737","Andropogon lateralis","Plantae","Poaceae","Andropogon","2019","05","20","Brasil","SP","Assis","Floresta Estadual de Assis",,"IF","PreservedSpecimen","13","N.Pilon & G.Durigan & N.M.Ivanauskas","-50.427222","-22.601667","2024-08-06T09:12:49","246","<nO>COLETA: Gramínea cespitosa.; GEOGRAFIA: Campo úmido.;</nO>","América do Sul","Magnoliophyta","Liliopsida","Poales","N.Pilon","2019","05","lateralis","Nees","SPSF00057737","20",,,"517","517",,,,,,,"SPLINK","Assis","2019-05-20",,,,,,,,,,,,,,,,,,"SPSF",,"Pilon, N.","246","2019","Pilon, N.","2019","Durigan, G.; Ivanauskas, N.M.","Pilon",,"brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Andropogon lateralis","Nees","possibly_ok","Poaceae","Andropogon lateralis","Nees","species","name accepted","bfo-12965",,,"Andropogon lateralis Nees","Andropogon","Poaceae","low","Andropogon lateralis"
"Anemopaegma arvense","speciesLink","BOTUW","3032","Anemopaegma arvense","Plantae","Bignoniaceae Juss.","Anemopaegma","2024","10","02","Brasil","São Paulo","Assis","Floresta Estadual de Assis",,"UNESP-IBB","PreservedSpecimen","39","Lima, A. C.; Nicolai, J.","-50.447222","-22.6025","2025-01-10T10:21:04","514","<nO>Subarbusto com 0,5 m de altura. Coleta de ramo na altura do solo com 0,9 cm de diâmetro. População de sete indivíduos próximos, crescendo no aceiro entre a estrada e um fragmento primitivo de cerradão</nO>",,,,,"Nicolai, J.","2024",,"arvense","(Vell.) Stellfeld ex de Souza","BOTUW003032",,"22° 36' 9"" S","50° 26' 50"" W","531","531",,,,,,,"SPLINK","Assis","2024-NA-NA",,,,,,,,,,,,,,,,,,"BOTUw","xylarium","Lima, A.C.","514","2024","Nicolai, J.","2024","Nicolai, J.","Lima",,"brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza","possibly_ok","Bignoniaceae","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza","species","name accepted","bfo-112500",,,"Anemopaegma arvense (Vell.) Stellfeld ex de Souza","Anemopaegma","Bignoniaceae","low","Anemopaegma arvense"
"Annona dioica","speciesLink","BOTUW","3030","Annona dioica","Plantae","Annonaceae Juss.","Annona","2024","10","02","Brasil","São Paulo","Assis","Floresta Estadual de Assis",,"UNESP-IBB","PreservedSpecimen","39","Lima, A. C.; Nicolai, J.","-50.446944","-22.600278","2025-01-10T10:21:03","506","<nO>Arbusto com 1,8 m de altura, CAP 25 cm. Coleta a 30 cm do solo. Coleta na margem da linha do trem entre a Fl. Est. de Assis e uma área de pasto.</nO>",,,,,"Nicolai, J.","2024",,"dioica","A.St.-Hil.","BOTUW003030",,"22° 36' 01,2"" S","50° 26' 49,6"" W","531.8","531.8",,,,,,,"SPLINK","Assis","2024-NA-NA",,,,,,,,,,,,,,,,,,"BOTUw","xylarium","Lima, A.C.","506","2024","Nicolai, J.","2024","Nicolai, J.","Lima",,"brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Annona dioica","A.St.-Hil.","possibly_ok","Annonaceae","Annona dioica","A.St.-Hil.","species","name accepted","bfo-117098",,,"Annona dioica A.St.-Hil.","Annona","Annonaceae","low","Annona dioica"
"Anthaenantia lanata","speciesLink","UEC","210766","Anthaenantia lanata","Plantae","Poaceae","Anthaenantia","2022","11","23","Brazil","São Paulo","Assis","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.",,"UNICAMP","S","2","Dalbeto, AC; Durigan, G","-50.699622","-23.025625","2025-04-07T10:44:46","57","<nO>Folhas filifomes, base arroxeada; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Liliopsida",,,"Durigan, G","2022","11","lanata","(Kunth) Benth.","UEC176979","23","-23.025625","-50.699622","52","52",,,,,,,"SPLINK","Assis","2022-11-23",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","57","2022","Durigan, G.","2022","Durigan, G.","Dalbeto",,"brazil","sao paulo","assis","coletada na floresta estadual de assis",,"locality","brazil_sao paulo_assis","brazil_sao paulo_assis",-22.60109057,-50.42074843,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Anthaenantia lanata","(Kunth) Benth.","possibly_ok","Poaceae","Anthaenantia lanata","(Kunth) Benth.","species","name accepted","bfo-12975",,,"Anthaenantia lanata (Kunth) Benth.","Anthaenantia","Poaceae","medium","Anthaenantia lanata"
"Aspilia clausseniana","speciesLink","UEC","210762","Aspilia clausseniana","Plantae","Asteraceae","Aspilia","2022","11","23","Brazil","São Paulo","Assis","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.",,"UNICAMP","S","2","Dalbeto, AC; Durigan, G","-50.699622","-23.025625","2025-04-07T10:48:07","51","<nO>Planta com 40 cm de altura, flores amarelas; Campo úmido; campo úmido de Cerrado; Vereda; Brejo</nO>",,"Magnoliopsida",,,"Durigan, G","2022","11","clausseniana","Baker","UEC176983","23","-23.025625","-50.699622","52","52",,,,,,,"SPLINK","Assis","2022-11-23",,,,,,,,,,,,,,,,,,"UEC",,"Dalbeto, A.C.","51","2022","Durigan, G.","2022","Durigan, G.","Dalbeto",,"brazil","sao paulo","assis","coletada na floresta estadual de assis",,"locality","brazil_sao paulo_assis","brazil_sao paulo_assis",-22.60109057,-50.42074843,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aspilia clausseniana","Baker","possibly_ok","Asteraceae","Aspilia clausseniana","Baker","species","name accepted","bfo-26801",,,"Aspilia clausseniana Baker","Aspilia","Asteraceae","medium","Aspilia clausseniana"
"Asteraceae","speciesLink","SPSF","57562","Asteraceae","Plantae","Asteraceae",,"2019","12","26","Brasil","SP","Assis","Floresta Estadual de Assis",,"IF","PreservedSpecimen","13","G.Durigan & N.M.Ivanauskas & N.Pilon","-50.409444","-22.574167","2024-08-06T09:13:02","4180","<nO>COLETA: Erva.; GEOGRAFIA: Campo úmido. Gleba do Vêncio.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Asterales",,,,,,"SPSF00057562",,,,"554","554",,,,,,,"SPLINK","Assis",,,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4180","2019","s.n.","n.d.","Ivanauskas, N.M.; Pilon, N.","Durigan",,"brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Asteraceae","Bercht. & J.Presl","family_as_genus","Asteraceae","Asteraceae","Bercht. & J.Presl","family","name accepted","bfo-55",,,"Asteraceae Bercht. & J.Presl",,"Asteraceae","unknown",
"Axonopus pressus","user","RB","RB01225400","Axonopus pressus (Nees ex Steud.) Parodi","Plantae","Poaceae","Axonopus","2014","5","31","Brasil","São Paulo",,"Arboreto, campo cerrado. Floresta Estadual de Assis",,"JBRJ","Preserved Specimen",,"G.B. Assis; N.A.L. Pilon, G. Durigan","-50.4069444","-22.5755556",,"294","Erva cespitosa de coloração azulada, opaca, 70 cm de altura, pode apresentar hábito estolonífero.",,,,,"G. Durigan",,,,"(Nees ex Steud.) Parodi",,,"22º34´32´´","50º24´25´´W",,,,,,,,,,"Assis","2014-5-31",,,"BR",,,"2014-05-31",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","294","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","assis","floresta estadual de assis",,"locality","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.589444,-50.409722,"locality",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1225400",,,,,,,,,,,,,,,,,,,,,,"RB 676032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pressus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/54/0/01225400-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/54/0/01225400.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-15 16:26:31+00","Angiospermas","brazil_sao paulo_assis","Brazil","São Paulo","Assis",,"ibge","brazil_sao paulo_assis","Brazil","São Paulo","Assis",,"ibge","brazil_sao paulo_assis","Brazil","São Paulo","Assis",,"ibge","ok_same_resolution","Axonopus pressus","(Nees ex Steud.) Parodi","name_w_authors","Poaceae","Axonopus pressus","(Nees ex Steud.) Parodi","species","name accepted","bfo-13050",,,"Axonopus pressus (Nees ex Steud.) Parodi","Axonopus","Poaceae","medium","Axonopus pressus"
