"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","continentocean","county","locality","institutionCode","phylum","basisOfRecord","preparationtype","verbatimLatitude","verbatimLongitude","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumelevationinmeters","maximumelevationinmeters","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","specificepithet","coordinatePrecision","order","class","dayIdentified","infraspecificepithet","previouscatalognumber","individualcount","fieldnumber","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Brunfelsia hydrangeiformis","speciesLink","SHPR001466","SHPR","1466","Brunfelsia hydrangeiformis","Plantae","Solanaceae","Brunfelsia","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:18","(Pohl) Benth.","2534",,,"<nO>Arbusto, cálice verde, corola azul arroxeada com o centro branco.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","hydrangeiformis",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2534","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Brunfelsia hydrangeiformis","(Pohl) Benth.","possibly_ok","Solanaceae","Brunfelsia hydrangeiformis","(Pohl) Benth.","species","name accepted","bfo-14599",,,"Brunfelsia hydrangeiformis (Pohl) Benth.","Brunfelsia","Solanaceae","low","Brunfelsia hydrangeiformis"
"Bryophyta sp.","gbif",,"SHPR","1519","Bryophyta","Plantae",,,"2021","1","1","Brasil","São Paulo",,,"Estação Ecológica Bananal","UTFPR-SL","Bryophyta","PRESERVED_SPECIMEN",,,,"https://specieslink.net/col/667","Biral, L.;P.A. Freitas","-44.367778","-22.806111","2021-06-16 15:27:42",,"2586",,,"Epífita, esporófito vermelho.Habitat: Floresta ombrófila densa montana",,,,,,,,,,,,,,,"GBIF","Bananal",,"Bryophyta",,"BR",,,"2021-01-01",,,,,,"ACCEPTED","PHYLUM",,,,,,,,,,,,,,,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality","675738","3080382308",,,"CC_BY_4_0","Universidade Tecnológica Federal do Paraná - Campus Santa Helena","https://specieslink.net/guid/667/1519","Herbário da Universidade Tecnológica Federal do Paraná (UTFPR), campus Santa Helena",,"Universidade Tecnológica Federal do Paraná - Campus Santa Helena",,,,"https://specieslink.net/guid/667/1519",,,,,,,,,,,,,,,"PRESENT","exsicata",,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,"a776a61d-f01e-4a8e-8fb0-c69d08795118","BR","2025-01-05 14:56:21.185",,,,,,"INSTITUTION_MATCH_NONE",,TRUE,FALSE,"35","35","6","35",,,,,,,,,,"EML","2025-01-05 14:56:21.185","2025-01-05 14:56:07.816",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.56_2","Bananal",,,"NE",,,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","ok_same_resolution","Bryophyta sp.",,"indet",,"Bryophyta sp.",,"genus","not found",,,,"Bryophyta sp.","Bryophyta","Velloziaceae","unknown",
"Campyloneurum fallax","speciesLink","SHPR001470","SHPR","1470","Campyloneurum fallax","Plantae","Polypodiaceae","Campyloneurum","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Monilophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:19","Fée","2538",,,"<nO>Epífita.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","fallax",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2538","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Campyloneurum fallax","Fée","possibly_ok","Polypodiaceae","Campyloneurum fallax","Fée","species","name accepted","bfo-91558",,,"Campyloneurum fallax Fée","Campyloneurum","Polypodiaceae","low","Campyloneurum fallax"
"Celastrus liebmannii","user",,"RB","RB01503650","Celastrus liebmannii Standl.","Plantae","Celastraceae","Celastrus","2021","1","2","Brasil","São Paulo",,,"Estrada de terra Sertão do Ariró, sentido Rio Claro (RJ) após a Estação Ecológica Bananal","JBRJ",,"Preserved Specimen",,"22º48´33´´","44º22´3´´W",,"L. Biral; P.A. Freitas","-44.3675","-22.8091667",,"Standl.","2633",,,,"L. Biral",,,,,,,,,,,,,,,"Bananal","2020-1",,,"BR",,,"2021-1-2",,,,,,,"sp.","Physical Object",,,,"RB",,"Biral, L.","2633","2021","Biral, L.","2020","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estrada de terra sertao do ariro, apos a estacao ecologica bananal",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county",,,,,,,,"SHPR 1566",,,,,,"urn:catalog:JBRJ:RB:1503650",,,,,,,,,,,,,,,,,,,,,,"RB 856616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"liebmannii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/50/36/50/01503650.jpg",,,,,,,,,,,,,,,,,,,,,,"2024-01-15 14:20:41+00","Angiospermas","brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge","brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge","brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge","check_local.2municip.","Celastrus liebmannii","Standl.","name_w_authors","Celastraceae","Celastrus liebmannii","Standl.","species","name accepted","bfo-6734",,,"Celastrus liebmannii Standl.","Celastrus","Celastraceae","high","Celastrus liebmannii"
"Clethra scabra","speciesLink","SHPR001484","SHPR","1484","Clethra scabra","Plantae","Clethraceae","Clethra","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-16T15:27:41","Pers.","2552",,,"<nO>Árvore, 3 m de altura, cálice esverdeado, corola branca, flores odoríferas.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","scabra",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2552","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Clethra scabra","Pers.","possibly_ok","Clethraceae","Clethra scabra","Pers.","species","name accepted","bfo-6824",,,"Clethra scabra Pers.","Clethra","Clethraceae","low","Clethra scabra"
"Clusia criuva","speciesLink","SHPR001541","SHPR","1541","Clusia criuva","Plantae","Clusiaceae","Clusia","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16","Cambess.","2608",,,"<nO>Árvore, 3 m de altura, látex brancos, frutos imaturos verdes.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","criuva",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2608","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Clusia criuva","Cambess.","possibly_ok","Clusiaceae","Clusia criuva","Cambess.","species","name accepted","bfo-6832",,,"Clusia criuva Cambess.","Clusia","Clusiaceae","low","Clusia criuva"
"Coccocypselum lanceolatum","speciesLink","SHPR001485","SHPR","1485","Coccocypselum lanceolatum","Plantae","Rubiaceae","Coccocypselum","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-09-25T17:25:02","(Ruiz & Pav.) Pers.","2553",,,"<nO>Herbácea, corola roxa esbranquiçada, frutos, quando presentes, azuis.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","lanceolatum",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2553","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Coccocypselum lanceolatum","(Ruiz & Pav.) Pers.","possibly_ok","Rubiaceae","Coccocypselum lanceolatum","(Ruiz & Pav.) Pers.","species","name accepted","bfo-13886",,,"Coccocypselum lanceolatum (Ruiz & Pav.) Pers.","Coccocypselum","Rubiaceae","low","Coccocypselum lanceolatum"
"Cochlidium serrulatum","speciesLink","SHPR001457","SHPR","1457","Cochlidium serrulatum","Plantae","Polypodiaceae","Cochlidium","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Monilophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:19","(Sw.) L.E. Bishop","2525",,,"<nO>Epífita.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","serrulatum",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2525","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Cochlidium serrulatum","(Sw.) L.E.Bishop","possibly_ok","Polypodiaceae","Cochlidium serrulatum","(Sw.) L.E.Bishop","species","author misspelled","bfo-91599",,,"Cochlidium serrulatum (Sw.) L.E.Bishop","Cochlidium","Polypodiaceae","low","Cochlidium serrulatum"
"Commelina obliqua","speciesLink","SHPR001513","SHPR","1513","Commelina obliqua","Plantae","Commelinaceae","Commelina","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2023-05-12T15:47:35","Vahl","2580",,,"<nO>Herbácea, corola azul.Habitat: Floresta ombrófila densa montana</nO>","L.Y.S. Aona (via duplicata, HURB)",,,"obliqua",,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2580","2021","Aona, L.Y.S.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Commelina obliqua","Vahl","possibly_ok","Commelinaceae","Commelina obliqua","Vahl","species","name accepted","bfo-16913",,,"Commelina obliqua Vahl","Commelina","Commelinaceae","high","Commelina obliqua"
"Cyatheaceae","user",,"FURB","FURB00067548","Cyatheaceae",,"Cyatheaceae",,"2020","12","30","Brasil","São Paulo",,,"Trilha Cachoeira Sete Quedas. Estação Ecológica Bananal","FURB",,,,"22º 48' 22"""" S","44º 22' 4"""" W",,"L. Biral","-44.3677777777778","-22.8061111111111",,,"2508",,,,"Sem determinador",,,,,,,,,,,,,"não","REFLORA","Bananal",,,,,,,,"Arborescente, inerme.",,,,,,"FAMILY",,"1200",,,,,,,,,,,,,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CYATHEACEAE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"FURB",,"FURB 67548",,"P.A. Freitas","30/12/2020",,,"METRO",,,,,,,,"brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","ok_same_resolution","Cyatheaceae","Kaulf.","family_as_genus","Cyatheaceae","Cyatheaceae","Kaulf.","family","name accepted","bfo-90850",,,"Cyatheaceae Kaulf.",,"Cyatheaceae","high",
"Cyperaceae","speciesLink","SHPR001455","SHPR","1455","Cyperaceae","Plantae","Cyperaceae",,"2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16",,"2523",,,"<nO>Herbácea, inflorescências passadas marrons.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2523","2020","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Cyperaceae","Juss.","family_as_genus","Cyperaceae","Cyperaceae","Juss.","family","name accepted","bfo-100",,,"Cyperaceae Juss.",,"Cyperaceae","unknown",
"Dichorisandra hexandra","speciesLink","SHPR001494","SHPR","1494","Commelina hexandra","Plantae","Commelinaceae","Commelina","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2023-05-12T15:47:35","(Aubl.) Sw.","2562",,,"<nO>Herbácea, flores branco azuladas, anteras amarelas.Habitat: Floresta ombrófila densa montana</nO>","L.Y.S. Aona (via duplicata, HURB)","2022","10","hexandra",,,,,,,,,,,"SPLINK","Bananal","2022-10-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2562","2020","Aona, L.Y.S.","2022","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Dichorisandra hexandra","(Aubl.) C.B.Clarke","possibly_ok","Commelinaceae","Dichorisandra hexandra","(Aubl.) C.B.Clarke","species","author misspelled|replaced synonym","bfo-16917","Dichorisandra hexandra","(Aubl.) C.B.Clarke","Dichorisandra hexandra (Aubl.) C.B.Clarke","Dichorisandra","Commelinaceae","high","Dichorisandra hexandra"
"Diospyros lasiocalyx","speciesLink","SHPR001511","SHPR","1511","Diospyros lasiocalyx","Plantae","Ebenaceae","Diospyros","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16","(Mart.) B. Walln.","2578",,,"<nO>Árvore, frutos imaturos marrons.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","lasiocalyx",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2578","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Diospyros lasiocalyx","(Mart.) B.Walln.","possibly_ok","Ebenaceae","Diospyros lasiocalyx","(Mart.) B.Walln.","species","author misspelled","bfo-604323",,,"Diospyros lasiocalyx (Mart.) B.Walln.","Diospyros","Ebenaceae","low","Diospyros lasiocalyx"
