"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","11817","Splink","HISA","Sawakuchi, S.Y.","148",,"Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Anacardiaceae","Astronium","graveolens","Jacq.","ANACARDIACEAE Astronium graveolens Jacq.","ESA151241","Splink","ESA","Rochel, M.F.","28","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Anacardiaceae","Astronium","urundeuva","(M.Allemão) Engl.","ANACARDIACEAE Astronium urundeuva (M.Allemão) Engl.","ESA151264","Splink","ESA","Rochel, M.F.","100","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","ESA151267","Splink","ESA","Rochel, M.F.","106","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae",,,"Juss.","APOCYNACEAE Apocynaceae Juss.","11803","Splink","HISA","Sawakuchi, S.Y.","133",,"Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Aspidosperma","cylindrocarpon","Müll.Arg.","APOCYNACEAE Aspidosperma cylindrocarpon Müll.Arg.","ESA151257","Splink","ESA","Rochel, M.F.","78","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Aspidosperma","polyneuron","Müll.Arg.","APOCYNACEAE Aspidosperma polyneuron Müll.Arg.","859","GBIF","Instituto Florestal","Durigan, G.",,"Native","Latão","Fazenda Sant'Ana - área pertencente ao Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Condylocarpon","isthmicum","(Vell.) A.DC.","APOCYNACEAE Condylocarpon isthmicum (Vell.) A.DC.","11849","Splink","HISA","Sawakuchi, S.Y.","182","Native","Bronze","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Forsteronia","pilosa","(Vell.) Müll.Arg.","APOCYNACEAE Forsteronia pilosa (Vell.) Müll.Arg.","11846","Splink","HISA","Sawakuchi, S.Y.","178","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Forsteronia","pubescens","A.DC.","APOCYNACEAE Forsteronia pubescens A.DC.","11847","Splink","HISA","Sawakuchi, S.Y.","179","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Prestonia","tomentosa","R.Br.","APOCYNACEAE Prestonia tomentosa R.Br.","11901","Splink","HISA","Sawakuchi, S.Y.","237","Native","Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Secondatia","densiflora","A.DC.","APOCYNACEAE Secondatia densiflora A.DC.","11889","Splink","HISA","Sawakuchi, S.Y.","225","Native","Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Apocynaceae","Tabernaemontana","hystrix","Steud.","APOCYNACEAE Tabernaemontana hystrix Steud.","859","GBIF","Instituto Florestal","Durigan, G.",,"Native","Latão","Fazenda Sant'Ana - área pertencente ao Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Araliaceae","Didymopanax","morototoni","(Aubl.) Decne. & Planch.","ARALIACEAE Didymopanax morototoni (Aubl.) Decne. & Planch.","859","GBIF","Instituto Florestal","Durigan, G.",,"Native","Latão","Fazenda Sant'Ana - área pertencente ao Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Arecaceae","Bactris",,"Jacq. ex Scop.","ARECACEAE Bactris Jacq. ex Scop.","11860","Splink","HISA","Sawakuchi, S.Y.","194",,"Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Arecaceae","Syagrus","romanzoffiana","(Cham.) Glassman","ARECACEAE Syagrus romanzoffiana (Cham.) Glassman","859","GBIF","Instituto Florestal","Durigan, G.",,"Native","Latão","Fazenda Sant'Ana - área pertencente ao Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","11870","Splink","HISA","Sawakuchi, S.Y.","205",,"Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Asteraceae","Mikania","triangularis","Baker","ASTERACEAE Mikania triangularis Baker","11881","Splink","HISA","Sawakuchi, S.Y.","215","Native","Latão","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Bignoniaceae","Adenocalymma","bracteatum","(Cham.) DC.","BIGNONIACEAE Adenocalymma bracteatum (Cham.) DC.","11824","Splink","HISA","Sawakuchi, S.Y.","155","Native","Prata","Parque Estadual do Aguapeí","Não"
"PARQUE ESTADUAL DO AGUAPEÍ","Angiosperms","Bignoniaceae","Anemopaegma","chamberlaynii","(Sims) Bureau & K.Schum.","BIGNONIACEAE Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.","11841","Splink","HISA","Sawakuchi, S.Y.","172","Native","Prata","Parque Estadual do Aguapeí","Não"
