"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","basisOfRecord","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","identifiedBy","coordinatePrecision","continentocean","class","order","yearIdentified","monthIdentified","dayIdentified","individualcount","recordNumber","occurrenceRemarks","infraspecificEpithet","barcode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","previouscatalognumber","relationshiptype","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif","HUSC","7307","Chiloscyphus martianus (Nees) J.J.Engel & R.M.Schust.","Plantae","Lophocoleaceae","Cryptolophocolea","2001","11","7","Brasil","São Paulo",,"Estação ecológica Tupiniquins, Ilha queimada Pequena","UNISANTA","Marchantiophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/437","martianus","Mello, Z.R.","-46.816667","-24.366667","2024-08-28 17:10:36","(Nees) J.J.Engel & R.M.Schust.","Mello, Z.R.",,,"Jungermanniopsida","Jungermanniales",,,,,"1446",,,,,,,,,,"GBIF","Peruíbe",,"Cryptolophocolea martiana (Nees) L.Söderstr., Crand.-Stotl. & Stotler",,"BR",,,"2001-11-07",,,,,,"SYNONYM","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","peruibe","estacao ecologica tupiniquins",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county","1090964046",,,,"https://specieslink.net/guid/437/7307",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chiloscyphus",,,,,,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,TRUE,FALSE,"Cryptolophocolea martiana","Chiloscyphus martianus","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"check_local.2municip.","Chiloscyphus martianus","(Nees) J.J.Engel & R.M.Schust.","name_w_authors",,"Chiloscyphus martianus","(Nees) J.J.Engel & R.M.Schust.","species","not found",,,,"Chiloscyphus martianus (Nees) J.J.Engel & R.M.Schust.","Chiloscyphus","Poaceae","unknown","Chiloscyphus martianus"
"gbif","HUSC","7474","Lejeunea flava (Sw.) Nees","Plantae","Lejeuneaceae","Lejeunea","2001","11","7","Brasil","São Paulo",,"Estação ecológica Tupiniquins, Ilha queimada Pequena","UNISANTA","Marchantiophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/437","flava","Mello, Z.R.",,,"2024-08-28 17:11:47","(Sw.) Nees","Mello, Z.R.",,,"Jungermanniopsida","Porellales",,,,,"1442",,,,,,,,,,"GBIF","Peruíbe",,"Lejeunea flava (Sw.) Nees",,"BR",,,"2001-11-07",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","peruibe","estacao ecologica tupiniquins",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county","1090964222",,,,"https://specieslink.net/guid/437/7474",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lejeunea",,,,,,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,FALSE,FALSE,"Lejeunea flava","Lejeunea flava","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"check_local.2municip.","Lejeunea flava","(Sw.) Nees","name_w_authors",,"Lejeunea flava","(Sw.) Nees","species","not found",,,,"Lejeunea flava (Sw.) Nees","Lejeunea","Araceae","unknown","Lejeunea flava"
"gbif","HUSC","7473","Lejeunea quinqueumbonata Spruce","Plantae","Lejeuneaceae","Lejeunea","2001","11","7","Brasil","São Paulo",,"Estação ecológica Tupiniquins, Ilha queimada Pequena","UNISANTA","Marchantiophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/437","quinqueumbonata","Mello, Z.R.",,,"2024-08-28 17:11:49","Sprunce.","Mello, Z.R.",,,"Jungermanniopsida","Porellales",,,,,"1463",,,,,,,,,,"GBIF","Peruíbe",,"Lejeunea quinqueumbonata Spruce",,"BR",,,"2001-11-07",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","peruibe","estacao ecologica tupiniquins",,"locality","brazil_sao paulo_peruibe","brazil_sao paulo_peruibe",-24.27862337,-47.01267321,"county","1090964210",,,,"https://specieslink.net/guid/437/7473",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lejeunea",,,,,,"5bad80c7-8b9e-448a-84fe-df70288f16ac",,,FALSE,FALSE,"Lejeunea quinqueumbonata","Lejeunea quinqueumbonata","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_peruibe","Brazil","São Paulo","Peruíbe",,"check_local.2municip.","Lejeunea quinqueumbonata","Spruce","name_w_authors",,"Lejeunea quinqueumbonata","Spruce","species","not found",,,,"Lejeunea quinqueumbonata Spruce","Lejeunea","Araceae","unknown","Lejeunea quinqueumbonata"
"gbif","SMDB","17372","Sporobolus virginicus (L.) Kunth","Plantae","Poaceae","Sporobolus","2003","2","13","Brasil","São Paulo",,"(Estação Ecológica dos Tupiniquins) litoral Sul","UFSM","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/445","virginicus","Rodrigues, RR",,,"2024-12-12 09:18:08","(L.) Kunth",,,,"Liliopsida","Poales",,,,,"67",,,,,,,,,,"GBIF","Ilha da Queimada Pequena",,"Sporobolus virginicus (L.) Kunth",,"BR",,,"2003-02-13",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ilha da queimada pequena","estacao ecologica dos tupiniquins",,"locality","brazil_sao paulo_ilha queimada pequena","brazil_sao paulo",-22.2584562,-48.7420254,"state","2973773531",,,,"https://specieslink.net/guid/445/17372",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sporobolus",,,,,,"2deca60c-f147-417f-9af4-b52067589e99",,,FALSE,FALSE,"Sporobolus virginicus","Sporobolus virginicus","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/SMDB017372 | https://images.cria.org.br/viewer/SMDB017372_2",,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Sporobolus virginicus","(L.) Kunth","name_w_authors","Poaceae","Sporobolus virginicus","(L.) Kunth","species","name accepted","bfo-13627",,,"Sporobolus virginicus (L.) Kunth","Sporobolus","Poaceae","unknown","Sporobolus virginicus"
