"Nome_UC","Localidade","Municipio","Estado","Freq"
"ÁREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","Anhembi","Anhembi","São Paulo",44
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Parelheiros","São Paulo","São Paulo",205
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Braço Taquacetuba da Represa Billings","São Paulo","São Paulo",50
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Paulo Guilguer Reimberg","","São Paulo",45
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Jardim Marilda","","São Paulo",43
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","grajau","São Paulo","São Paulo",43
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","matas ao redor da represa billings","São Paulo","São Paulo",41
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Capela Do Socorro, São Paulo, SP, BR","","São Paulo",41
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Capela Do Socorro","","São Paulo",41
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Bororé","São Paulo","São Paulo",41
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Av. Paulo Guilguer Reimberg, 6300 - Jardim Marilda, São Paulo - SP, 04858-570, Brasil","","São Paulo",40
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","lote 4","São Paulo","São Paulo",28
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Trilha à esquerda da casa","São Paulo","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Jardim Recanto do Sol","","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Península do Bororé","São Paulo","São Paulo",17
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Parelheiros, Centro Paulus","São Paulo","São Paulo",17
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Rodoanel","São Paulo","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","quintal do entrevistado","São Paulo","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Península do Bororé, quintal do entrevistado","São Paulo","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Parelheiros. Centro Paulus","São Paulo","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Jardim Recanto do Sol, São Paulo - SP, Brasil","","São Paulo",15
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Distrito de Parelheiros, matas ao redor da Represa Billings","São Paulo","São Paulo",15
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Parelheiros","","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","trecho Sul","São Paulo","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Parelheiros. Centro Paulus. Trilha à esquerda da casa","São Paulo","São Paulo",12
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Distrito Grajaú","São Paulo","São Paulo",12
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","de Sao Paulo","","São Paulo",12
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Rodoanel trecho Sul","São Paulo","São Paulo",11
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","mata ao redor da represa billings","São Paulo","São Paulo",10
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Parelheiros, Rodoanel trecho Sul, lote 4","São Paulo","São Paulo",9
"ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA","Fazenda Castanheiras","São Paulo","São Paulo",9
