"Nome_UC","Localidade","Municipio","Estado","Freq"
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","Cantareira","Mairiporã","São Paulo",232
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","Região de Águas Claras","Mairiporã","São Paulo",230
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","da sede até a trilha da esquerda na entrada das cachoeiras","botucatu","São Paulo",218
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","parque estadual da cantareira, hortolandia","Mairiporã","São Paulo",178
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","parque ecologico da pavuna da sede ate a trilha da esquerda na entrada das cachoeiras","Botucatu","São Paulo",176
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","parque estadualcantareira - regiao de aguas claras","Mairiporã","São Paulo",140
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","P.E.Cantareira - Região de Águas Claras","Mairiporã","São Paulo",140
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","Atibaia","","São Paulo",128
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","parque ecologico da pavuna da sede ate o lago e volta contornando toda a borda","Botucatu","São Paulo",125
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","Parque Municipal da Grota Funda","Atibaia","São Paulo",123
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","unesp campus bela vista","Rio Claro","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Trilha dentro da mata","Torrinha","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Ruderal, em área antropizada","Rio Claro","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","em área antropizada","Rio Claro","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","próximo à cachoeira do Cidão Menegão","Torrinha","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Trilha dentro da mata, próximo à cachoeira do Cidão Menegão","Torrinha","São Paulo",12
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","campus unesp bela vista","Rio Claro","São Paulo",10
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Próximo ao campo de futebol do IB","Rio Claro","São Paulo",6
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Pedra de São Domingos","Piracicaba","São Paulo",6
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Folha Cartográfica SF-23-Y-A Coordenada Coletada","Rio Claro","São Paulo",6
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","unesp campus bela vista area abaixo do ceis","Rio Claro","São Paulo",5
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Remanescente de cerrado bastante degradado","Rio Claro","São Paulo",5
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","próximo do departamento de Microbiologia","Rio Claro","São Paulo",5
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus Unesp Bela Vista, próximo do departamento de Microbiologia","Rio Claro","São Paulo",5
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","unesp bela vista","Rio Claro","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp","Rio Claro","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","proximo ao parque junto alambrado","Rio Claro","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","área abaixoi do CEIS (Centro de Estudos de Insetos Sociais)","Rio Claro","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp Rio Claro Campus Bela Vista","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp campus Bela Vista. Remanescente de cerrado bastante degradado, área abaixo do CEIS (Centro de Insetos Sociais). Folha Cartográfica SF-23-Y-A Coordenada Coletada","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp campus Bela Vista. Área abaixo do CEIS ( Centro de Insetos Socais). Folha Cartográfica SF-23-Y-A Coordenada Coletada","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Tanquã","","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","próximo à Central de Aulas II","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Piracicaba","","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Em arboreto próximo ao Departamento de Pedagogia","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus Unesp Bela Vista Jardim próximo ao prédio central do IB","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus UNESP","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Câmpus da Unesp Bela Vista, próximo à Central de Aulas II","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Câmpus da Unesp Bela Vista","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","ASFAFI Próximo ao parque junto alambrado","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","área abaixo do CEIS (Centro de Insetos Sociais)","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Área abaixo do CEIS ( Centro de Insetos Socais)","Rio Claro","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Vila Indaiá","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP-Campus Bela Vista Jardim Experimental","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp campus Bela Vista. Próximo ao lago do IB","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP campus Bela Vista, Remanescente de cerrado bastante degradado, área abaixoi do CEIS (Centro de Estudos de Insetos Sociais)","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP campus Bela Vista Remanescente de cerrado bastante degradado, área abaixoi do CEIS (Centro de Estudos de Insetos Sociais)","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP campus Bela Vista Remanescente de cerrado bastante degradado","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP Campus Bela Vista Entre a biblioteca e o ginásio de esportes","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP campus Bela Vista Área abaixo do CEIS (Centro de Estusos de Insetos Sociais)","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp Campus Bela Vista Área abaixo do CEIS ( Centro de Insetos Sociais)","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp Bela Vista, próximo ao prédio do herbário","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","UNESP - Campus Rio Claro, Bairro Bela Vista. Na rota em frente do prédio da administração do Instituto de Biociências","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","unesp - campus rio claro","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","unesp - campus bela vista em frente aodepartamento de matematica","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Unesp - campus Bela Vista Em frente ao Depto. de Matemática","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Trilha dentro da mata, próximo Pa cachoeira do Cidão Menegão","Torrinha","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Trilha dentro da mara, próximo à cachoeira do Cidão Menegão","Torrinha","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Trilha dentro da mara","Torrinha","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Represa do Rio Tieté","Botucatu","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","próximo Pa cachoeira do Cidão Menegão","Torrinha","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","próximo ao prédio do herbário","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Próximo ao lago do IB","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","próximo ao depto","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Próximo ao Departamento de Botânica","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Pedra de São Domingos., Mata Nebular","Piracicaba","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Na rota em frente do prédio da administração do Instituto de Biociências","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Mata Nebular","Piracicaba","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Ibitiruna","","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Grêmio Bela Vista","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","em caminho entre o prédio central do IB e o herbário","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Em arboreto próximo ao departamento de Pedago","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","de Microbiologia","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","de Matemática","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Cultivada no Campus da Unesp, em caminho entre o prédio central do IB e o herbário","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Cultivada no Campus da Unesp","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus UNESP Próximo ao almoxerifado","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus Unesp Bela Vista, próximo ao depto. de Microbiologia","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus Rio Claro","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","campus Bela Vista Em frente ao Depto","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus - Unesp. Próximo ao Departamento de Botânica","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","campus - unesp","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Campus","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Bela Vista","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Bairro Bela Vista","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","ASFARI, Próximo ao Parque junto alambrado","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","ASFARI","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","ASFAFI. Próximo ao parque junto alambrado","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","ASFAFI","Rio Claro","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Along the highway São Manuel-Piracicaba, Represa do Rio Tieté","Botucatu","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","Along the highway São Manuel-Piracicaba","Botucatu","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","Estação Experimental","Tietê","São Paulo",241
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","IAC","Tietê","São Paulo",225
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","IAC, Estação Experimental","Tietê","São Paulo",194
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","estacao experimental do iac","Tietê","São Paulo",168
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","Instituto Agronômico","Tietê","São Paulo",46
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","fragmento próximo à sede e ao canal de escoamento da antiga represa","Tietê","São Paulo",26
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","região de matas","Tietê","São Paulo",25
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","IAC, Estação Experimental, fragmento próximo à sede e ao canal de escoamento da antiga represa","Tietê","São Paulo",24
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","Serra do Japi","Jundiaí","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","tiete","Tietê","São Paulo",20
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","mata as margens do rio capivari, a beira de estrada de terra a partir de usina","Tietê","São Paulo",19
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","Estação Experimental do IAC, região de matas","Tietê","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","de Tietê","Tietê","São Paulo",15
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","à beira de estrada de terra à partir de usina","Tietê","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","Mata às margens do Rio Capivari","Tietê","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","mata a beira do rio proximo a estacao","Tietê","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","Estação Ecológica de Tietê","Tietê","São Paulo",12
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Rio Acima","Mogi das Cruzes","São Paulo",176
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","cesar de souza","Mogi das Cruzes","São Paulo",134
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","APA da Várzea","Mogi das Cruzes","São Paulo",134
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","A da Várzea do Rio Tietê","Mogi das Cruzes","São Paulo",127
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Cesár de Souza. B. Rio Acima. APA da Várzea","Mogi das Cruzes","São Paulo",101
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","solo úmido","Mogi das Cruzes","São Paulo",99
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Distrito César de Souza prox","Mogi das Cruzes","São Paulo",98
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","de Souza","Mogi das Cruzes","São Paulo",83
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","A Várzea","Mogi das Cruzes","São Paulo",83
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Vila Santo Henrique","","São Paulo",76
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Dist","Mogi das Cruzes","São Paulo",73
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Parque Ecológico do Tietê, SP","","São Paulo",65
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Vila Santo Henrique, São Paulo - SP, Brasil","","São Paulo",59
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Vila Industrial Parque Municipal Nagib Najar","Mogi das Cruzes","São Paulo",55
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Estradado Afia Faca","Mogi das Cruzes","São Paulo",52
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","A.P.A da Várzea do Rio Tietê","Mogi das Cruzes","São Paulo",42
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","distrito cesar de souza","Mogi das Cruzes","São Paulo",41
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","ensolarado","Mogi das Cruzes","São Paulo",31
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","solo seco","Mogi das Cruzes","São Paulo",28
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","César de Souza. A.P.A da Várzea do Rio Tietê","Mogi das Cruzes","São Paulo",28
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Parque Ecológico do Tietê, São Paulo - SP, Brasil","","São Paulo",27
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","B. Rio Acima, Estradado Afia Faca, APA da Várzea","Mogi das Cruzes","São Paulo",25
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Dist. César de Souza. B. Rio Acima. A","Mogi das Cruzes","São Paulo",23
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","da Indústria Café S Várzea","Mogi das Cruzes","São Paulo",23
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","da Indústria Café S Mata ciliar","Mogi das Cruzes","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","local ensolarado","Mogi das Cruzes","São Paulo",21
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","local sombreado","Mogi das Cruzes","São Paulo",19
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Estrada do Afia Faca","Mogi das Cruzes","São Paulo",19
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Várzea do Rio Tietê","Mogi das Cruzes","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Distrito César de Souza. APA. Várzea do Rio Tietê","Mogi das Cruzes","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","C. de Souza, A.P.A Várzea, Estrada do Afia Faca","Mogi das Cruzes","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","APA","Mogi das Cruzes","São Paulo",18
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","State of São Paulo","","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Estrada do Afia Faca Local ensolarado","Mogi das Cruzes","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Distrito César de Souza prox. da Indústria Café S","Mogi das Cruzes","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","da Indústria Café S","Mogi das Cruzes","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","mogi das cruzes - state of sao paulo","","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Distrito César de Souza prox. da Indústria Café S Várzea, solo úmido, ensolarado","Mogi das Cruzes","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Via Parque","","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Parque Ecológico do Tietê - Via Parque, 8055 - Vila Santo Henrique, São Paulo - SP, 03719-000, Brasil","","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","parque ecologico do tiete - via parque","","São Paulo",13
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","ARIE","Santa Rita do Passa Quatro","São Paulo",799
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","ARIE Cerrado Pé-de-Gigante","Santa Rita do Passa Quatro","São Paulo",790
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Cerrado Pé-de-Gigante","Santa Rita do Passa Quatro","São Paulo",723
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Área demarcada","Santa Rita do Passa Quatro","São Paulo",478
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Parque Estadual de Vassununga","Santa Rita do Passa Quatro","São Paulo",427
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Gleba de Cerrado Pé de Gigante","Santa Rita do Passa Quatro","São Paulo",65
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Margem em direção à Via Anhanguera","Santa Rita do Passa Quatro","São Paulo",64
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Cerrado Pé de Gigante","Santa Rita do Passa Quatro","São Paulo",63
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Parque Estadual de Vassununga - Gleba de Cerrado Pé de Gigante","Santa Rita do Passa Quatro","São Paulo",62
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Indivíduos coletados para identificação no laboratório","Santa Rita do Passa Quatro","São Paulo",42
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Gleba de Cerrado Pé-de-Gigante","Santa Rita do Passa Quatro","São Paulo",25
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Margem do cerrado da área demarcada","Santa Rita do Passa Quatro","São Paulo",24
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Parque Estadual de Vassununga - Gleba de Cerrado Pé-de-Gigante","Santa Rita do Passa Quatro","São Paulo",23
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Parque Estadual Vassununga","Santa Rita do Passa Quatro","São Paulo",22
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Margem em direção ao riacho","Santa Rita do Passa Quatro","São Paulo",21
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Santa Rita do Passa Quatro","","São Paulo",18
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Margem do riacho","Santa Rita do Passa Quatro","São Paulo",16
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Santa Rita do Passa Quatro - SP, 13670-000, Brasil","","São Paulo",15
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","santa rita do passa quatro - sp","","São Paulo",15
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","sao sebastiao","São Sebastião","São Paulo",74
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","São Sebastião","","São Paulo",18
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","São Sebastião","Pitangueiras","São Paulo",17
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Pitangueiras","Pitangueiras","São Paulo",17
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Pitangueiras, São Sebastião - SP, Brazil","Pitangueiras","São Paulo",11
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","praia brava","São Sebastião","São Paulo",9
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Praia do Toque-Toque Grande, costão à esquerda","São Sebastião","São Paulo",5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Praia do Toque-Toque Grande","São Sebastião","São Paulo",5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Pitangueiras, São Sebastião - SP, Brasil","Pitangueiras","São Paulo",5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","parque estadual serra mar sao sebastiao","","São Paulo",5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Parque Estadual da Serra do Mar, São Sebastião, SP, BR","","São Paulo",5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","Parque Estadual da Serra do Mar","","São Paulo",5
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO SEBASTIÃO","costão à esquerda","São Sebastião","São Paulo",5
