"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Acanthaceae","Pseudoceramium","brevizonatum","(H.E.Petersen) Barros-Barreto & Maggs","ACANTHACEAE Pseudoceramium brevizonatum (H.E.Petersen) Barros-Barreto & Maggs","399829","Splink","SP-ALGAE","Rocha-Jorge, R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos - Parcel do Bandolim","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Aizoaceae","Titanoderma","bermudens","(Foslie & M.A.Howe) Woelkerling,Y.M.Chamberlain & P.C.Silva","AIZOACEAE Titanoderma bermudens (Foslie & M.A.Howe) Woelkerling,Y.M.Chamberlain & P.C.Silva","400561","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Amaranthaceae","Champia","parvula","(C. Agardh) Harvey","AMARANTHACEAE Champia parvula (C. Agardh) Harvey","399983","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos - Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Amaranthaceae","Champia","salicornioides","Harv.","AMARANTHACEAE Champia salicornioides Harv.","RB00599476","JABOT","RB","Amado Filho, G.M.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos. Coleta realizada a 12m de profundidade.","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Amaranthaceae","Champia","vieillardii","Kutzing","AMARANTHACEAE Champia vieillardii Kutzing","400122","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Calhaus","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Amaryllidaceae","Griffithsia","anastomosans","E.C.Oliveira","AMARYLLIDACEAE Griffithsia schousboei anastomosans E.C.Oliveira","399987","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Anacardiaceae","Spyridia","clavata","Kutzing","ANACARDIACEAE Spyridia clavata Kutzing","399985","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos, Parcel Novo","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Anacardiaceae","Spyridia","hipnoides","(Bory de SaintVicent) Papenfus","ANACARDIACEAE Spyridia hipnoides (Bory de SaintVicent) Papenfus","400555","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Brilhante","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Anacardiaceae","Spyridia","hypnoides","(Bory de SaintVicent) Papenfus","ANACARDIACEAE Spyridia hypnoides (Bory de SaintVicent) Papenfus","399843","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Apiaceae","Wrangelia","argus","(Montagne) Montagne","APIACEAE Wrangelia argus (Montagne) Montagne","399832","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Apocynaceae","Chaetomorpha","antennina","(Bory) Kützing","APOCYNACEAE Chaetomorpha antennina (Bory) Kützing","399976","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Apocynaceae","Hypoglossum","anomalum","M.J.Wynne & D.L.","APOCYNACEAE Hypoglossum anomalum M.J.Wynne & D.L.","400147","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Apocynaceae","Hypoglossum","hypoglossoides","(Stackhouse) F.S.Collins & Harvey","APOCYNACEAE Hypoglossum hypoglossoides (Stackhouse) F.S.Collins & Harvey","400119","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Calhaus","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Apocynaceae","Peyssonnelia","capensis","Montagne","APOCYNACEAE Peyssonnelia capensis Montagne","399847","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Apocynaceae","Peyssonnelia","inamoena","Pilger","APOCYNACEAE Peyssonnelia inamoena Pilger","400548","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araceae","Aglaothamnion","halliae","(Collins) Aponte, D.L.Ballantine & J.N.Norris","ARACEAE Aglaothamnion halliae (Collins) Aponte, D.L.Ballantine & J.N.Norris","399957","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos, Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araliaceae","Haraldia","tenuis","E.C.Oliveira","ARALIACEAE Haraldia tenuis E.C.Oliveira","399967","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araliaceae","Neosiphonia","gorgoniae","(Harvey) S.M.Guimarães & M.T.Fujii","ARALIACEAE Neosiphonia gorgoniae (Harvey) S.M.Guimarães & M.T.Fujii","399965","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araliaceae","Neosiphonia","tongatensis","(Harv. ex Kütz.) M.S.Kim & I. K.Lee","ARALIACEAE Neosiphonia tongatensis (Harv. ex Kütz.) M.S.Kim & I. K.Lee","RB00599478","JABOT","RB","Amado Filho, G.M.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos. Coleta realizada a 12m de profundidade.","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araliaceae","Polysiphonia","decussata","Hollenberg","ARALIACEAE Polysiphonia decussata Hollenberg","399828","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araliaceae","Polysiphonia","denudata","(Dillwyn) Grev. ex Harv.","ARALIACEAE Polysiphonia denudata (Dillwyn) Grev. ex Harv.","RB00599442","JABOT","RB","Amado Filho, G.M.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos. Coleta realizada entre 18 e 20m de profundidade.","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Araliaceae","Polysiphonia","subtilissima","Montagne","ARALIACEAE Polysiphonia subtilissima Montagne","400554","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asparagaceae","Asparagopsis","taxiformis","(Delile) Trevisan de SaintLéon","ASPARAGACEAE Asparagopsis taxiformis (Delile) Trevisan de SaintLéon","399834","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Calhaus","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Chrysymenia","enteromorpha","Harvey","ASTERACEAE Chrysymenia enteromorpha Harvey","400118","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Dasya","brasiliensis","E.C.Oliveira & Braga","ASTERACEAE Dasya brasiliensis E.C.Oliveira & Braga","399825","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Dasya","rigidula","(Kutzing) Ardissone","ASTERACEAE Dasya rigidula (Kutzing) Ardissone","400136","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Derbesia","marina","(Lyngbye) Solier","ASTERACEAE Derbesia marina (Lyngbye) Solier","399990","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Asteraceae","Gayliella",,,"ASTERACEAE Gayliella sp.","400566","Splink","SP-ALGAE","Rocha-Jorge, R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos - Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Gelidiopsis","intricata","(C.Agardh) Vickers","ASTERACEAE Gelidiopsis intricata (C.Agardh) Vickers","400120","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Gelidiopsis","planicaulis","(W.R.Taylor) W.R.Taylor","ASTERACEAE Gelidiopsis planicaulis (W.R.Taylor) W.R.Taylor","400130","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Asteraceae","Gelidiopsis","scoparia","(Montagne & Millardet) De Toni","ASTERACEAE Gelidiopsis scoparia (Montagne & Millardet) De Toni","400142","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Brilhante.","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Gelidiopsis","variabilis","(J.Agardh) Schmitz","ASTERACEAE Gelidiopsis variabilis (J.Agardh) Schmitz","399969","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Asteraceae","Gloicladia","iyoensis","(Okamura) R. E. Norris","ASTERACEAE Gloicladia iyoensis (Okamura) R. E. Norris","RB00599425","JABOT","RB","Amado Filho, G.M.",,,"Bronze","Parque Estadual Marinho da Laje de Santos. Coleta realizada entre 10 e 11m de profundidade.","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Asteraceae","Gloiocladia","atlantica","(Searles) R.E.Norris","ASTERACEAE Gloiocladia atlantica (Searles) R.E.Norris","399962","Splink","SP-ALGAE","Jorge, R.R.",,,"Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Gloiocladia","iyoensis","(Okamura) R.E.Norris","ASTERACEAE Gloiocladia iyoensis (Okamura) R.E.Norris","400124","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Parcel do Sul","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Algae","Asteraceae","Pneophyllum","fragile","Kutzing","ASTERACEAE Pneophyllum fragile Kutzing","400559","Splink","SP-ALGAE","Jorge, R.R.",,"Native","Bronze","Parque Estadual Marinho da Laje de Santos,Laje Principal","Não"
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Angiosperms","Asteraceae","Trixis","lessingii","DC.","ASTERACEAE Trixis lessingii DC.","RB00599473","JABOT","RB","Amado Filho, G.M.",,"Native","Ouro","Parque Estadual Marinho da Laje de Santos. Coleta realizada entre 18 e 20m de profundidade.","Não"
