"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Nyctaginaceae","Pisonia","ambigua","Heimerl","NYCTAGINACEAE Pisonia ambigua Heimerl","UEC112904","Splink","UEC","Campos, M.C.R.","119","Native","Bronze","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Bromeliaceae","Pitcairnia","flammea","Lindl.","BROMELIACEAE Pitcairnia flammea var. flammea Lindl.","RB00141203","GBIF","RB","Martinelli, G.","15893","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, estrada para Paraibuna.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Fabaceae","Pithecellobium","lusorium","(Vell.) Benth.","FABACEAE Pithecellobium lusorium (Vell.) Benth.","50595","Splink","IAC","Gomes, J.A.M.A.","668",,"Bronze","Praia Puruba (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Pteridaceae","Pityrogramma","calomelanos","(L.) Link","PTERIDACEAE Pityrogramma calomelanos (L.) Link","UEC019038","Splink","UEC","Nobrega, G.A.","419","Native","Bronze","Núcleo Picinguaba Parque Estadual da Serra do Mar. Casa da Farinha. Trilha.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Pteridaceae","Pityrogramma","trifoliata","(L.) R.M.Tryon","PTERIDACEAE Pityrogramma trifoliata (L.) R.M.Tryon","61930","Splink","BHCB","Salino, A.","7261","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo de Picinguaba","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae",,,"(Dumort.) Dumort.","ASTERACEAE Plagiochila (Dumort.) Dumort.","RB01376011","GBIF","RB","Prudencio, R.X.A.","396",,"Bronze","Núcleo Itutinga-Pilões, Trilha da Ferradura. Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","aerea","Taylor","ASTERACEAE Plagiochila aerea Taylor","RB01375950","GBIF","RB","Prudencio, R.X.A.","410","Native","Bronze","Núcleo Itutinga-Pilões, Trilha da Ferradura. Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","bifaria","(Sw.) Lindenb.","ASTERACEAE Plagiochila bifaria (Sw.) Lindenb.","HUSC009333","Splink","HUSC","Mello, Z.R.","5015","Native","Bronze","Parque Estadual da Serra do Mar - Intutinga Pilões - Guariuma","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","corrugata","(Nees.) Ness & Mont.","ASTERACEAE Plagiochila corrugata (Nees.) Ness & Mont.","HUSC013021","Splink","HUSC","Prudencio, R.X.A.","448","Native","Bronze","Parque Estadual da Serra do Mar Núcleo Itutinga-Pilões, Caminhos do Mar, Trilha da Torre","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","crispabilis","Lindenb.","ASTERACEAE Plagiochila crispabilis Lindenb.","HUSC009337","Splink","HUSC","Mello, Z.R.","5019","Native","Bronze","Parque Estadual da Serra do Mar - Intutinga Pilões - Guariuma","Não"
