"data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","preparationtype","individualcount","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","recordNumber","occurrenceRemarks","year","month","day","specificEpithet","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLatitude","verbatimLongitude","country","dayIdentified","continentocean","phylum","class","order","infraspecificEpithet","coordinatePrecision","typeStatus","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user",,"RB","RB01112775","Marlierea tomentosa Cambess.","Plantae","Myrtaceae","Marlierea","São Paulo",,"Parque Estadual da Campina do Encantado. Parque Estadual da Campina do Encantado.","JBRJ","Preserved Specimen","Sztutman",,,,,,"M. Sztutman; Walmir",,,,"301",,"1999","3","26","tomentosa","Cambess.",,,,,"Brasil",,,,,,,,,,,"Pariquera-Açu","1999-3",,,"BR",,,"1999-03-26","Floresta Alta restinga- Lombada grande.",,,,,,"sp.","Physical Object",,,,"RB",,"Sztutman, M.","301","1999","Sztutman","1999","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:1112775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/11/27/75/01112775.jpg",,,,,,,,,,,,,,,,,,,"2016-05-10 11:10:41+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Myrcia strigipes","Mart.","name_w_authors","Myrtaceae","Myrcia strigipes","Mart.","species","replaced synonym","bfo-63282","Myrcia strigipes","Mart.","Myrcia strigipes Mart.","Myrcia","Myrtaceae","low","Myrcia strigipes"
"speciesLink","LUSC008631","LUSC","6030","Myrcia pulchra","Plantae","Myrtaceae","Myrcia","São Paulo","Pariquera-Açu","Parque Estadual da Campina do Encantado.","UDESC","PreservedSpecimen","SOBRAL, M.","2017","9",,,"385","M.Szututman; Walmir","-47.880001","-24.709999","2025-06-01T12:03:04","313","<nO>Habitat: floresta de turfeira, floresta paludosa de reestinga Habito: árvore</nO>","1999","5","28","pulchra","(O.Berg) Kiaersk.",,,,,"Brasil",,,,,,,"17990",,,"SPLINK","Pariquera-Açu","2017-9-NA",,,,,,,,,,,,,,,,,,"LUSC",,"Szututman, M.","313","1999","Sobral, M.","2017","Walmir","Szututman",,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Myrcia subcordata","DC.","possibly_ok","Myrtaceae","Myrcia subcordata","DC.","species","replaced synonym","bfo-10765","Myrcia subcordata","DC.","Myrcia subcordata DC.","Myrcia","Myrtaceae","high","Myrcia subcordata"
"user",,"RB","RB00601383","Neoregelia laevis (Mez) L.B.Sm.","Plantae","Bromeliaceae","Neoregelia","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú.","JBRJ","Preserved Specimen","M.G.L. Wanderley",,,,,,"G. Martinelli; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.9155556","-24.8263889",,"15859",,"1999","10","6","laevis","(Mez) L.B.Sm.","10","50","24º37´755´´","47º45´596´´W","Brasil",,,,,,,,,,,"Pariquera-Açu",,,,"BR",,,"1999-10-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15859","1999","Wanderley, M.G.L.","n.d.","Wanderley, M.G.L.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:601383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/60/13/83/00601383.jpg",,,,,,,,,,,,,,,,,,,"2017-10-17 16:36:44+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Neoregelia laevis","(Mez) L.B.Sm.","name_w_authors","Bromeliaceae","Neoregelia laevis","(Mez) L.B.Sm.","species","name accepted","bfo-6177",,,"Neoregelia laevis (Mez) L.B.Sm.","Neoregelia","Bromeliaceae","high","Neoregelia laevis"
"speciesLink",,"SP","346201","Nidularium angustibracteatum","Plantae","Bromeliaceae","Nidularium","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Trilha da Campina para o Parque Encantado, próxima ao viveiro e futura sede do Parque.","IBt","PreservedSpecimen","Moreira, BA",,,,,"1","Moreira, BA; et al.","-47.880001","-24.709999","2021-12-09T11:02:38","219",,"2000","09","12","angustibracteatum","Leme",,,"0","0","Brasil",,,,,,,"17990",,,"SPLINK","Pariquera-Açu",,,,,,,,,,,,,,,,,,,"SP",,"Moreira, B.A.","219","2000","Moreira, B.A.","n.d.",,"Moreira",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado, trilha da campina para o parque encantado, proxima ao viveiro e futura sede do parque",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Nidularium angustibracteatum","Leme","possibly_ok","Bromeliaceae","Nidularium angustibracteatum","Leme","species","name accepted","bfo-6235",,,"Nidularium angustibracteatum Leme","Nidularium","Bromeliaceae","high","Nidularium angustibracteatum"
"speciesLink",,"SP","351205","Nidularium innocentii","Plantae","Bromeliaceae","Nidularium","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açú.","IBt","PreservedSpecimen",,,,,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:40","15854",,"1999","10","06","innocentii","Lem.","10","50","-24.637639","-47.766556","Brasil",,,,,,,,,,"SPLINK","Pariquera-Açu",,,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15854","1999","s.n.","n.d.",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Nidularium innocentii","Lem.","possibly_ok","Bromeliaceae","Nidularium innocentii","Lem.","species","name accepted","bfo-6253",,,"Nidularium innocentii Lem.","Nidularium","Bromeliaceae","high","Nidularium innocentii"
"speciesLink","SP052265","SP","351206","Nidularium procerum","Plantae","Bromeliaceae","Nidularium","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao Rio Pariquera-Açú.","IBt","PreservedSpecimen",,,,,,"1","Martinelli, G; et al.","-47.766556","-24.637639","2021-12-09T11:02:41","15851",,"1999","10","06","procerum","Lindm.","10","50","-24.637639","-47.766556","Brasil",,,,,,,,,,"SPLINK","Pariquera-Açu",,,,,,,,,,,,,,,,,,,"SP",,"Martinelli, G.","15851","1999","s.n.","n.d.",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Nidularium procerum","Lindm.","possibly_ok","Bromeliaceae","Nidularium procerum","Lindm.","species","name accepted","bfo-6265",,,"Nidularium procerum Lindm.","Nidularium","Bromeliaceae","high","Nidularium procerum"
"speciesLink","SP022864","SP","384775","Plinia complanata","Plantae","Myrtaceae","Plinia","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Morro do Carrapato","IBt","PreservedSpecimen","Faria Jr, JEQ","2012","10",,,"1","Sztutman, M; Walmir","-47.880001","-24.709999","2021-12-09T11:13:27","336",,"1999","07","27","complanata","M.L.Kawas. & B.Holst",,,"0","0","Brasil",,,,,,,"17990","Paratype",,"SPLINK","Pariquera-Açu","2012-10-NA",,,,,,,,,,,,,,,,,,"SP",,"Sztutman, M.","336","1999","Jr, J.E.Q.F.","2012","Walmir","Sztutman",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado, morro do carrapato",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Plinia silvestris","(Vellozo) Mazine & Sobral","possibly_ok","Myrtaceae","Plinia silvestris","(Vellozo) Mazine & Sobral","species","replaced synonym","bfo-606755","Plinia silvestris","(Vellozo) Mazine & Sobral","Plinia silvestris (Vellozo) Mazine & Sobral","Plinia","Myrtaceae","high","Plinia silvestris"
"gbif",,"SPF","198989","Rhipsalis elliptica G.Lindb. ex K.Schum.","Plantae","Cactaceae","Rhipsalis","São Paulo",,"Parque Estadual da Campina do Encantado","USP-IB","PRESERVED_SPECIMEN","Calvente, AM",,,,,"https://specieslink.net/col/7","Sztutman, M",,,"2023-12-20 15:57:06","311",,"1999","5","28","elliptica","G.Lindb. ex K.Schum.",,,,,"Brasil",,,"Tracheophyta","Magnoliopsida","Caryophyllales",,,,,"GBIF","Pariquera-Açu","2010-04-01","Rhipsalis elliptica G.Lindb. ex K.Schum.",,"BR",,,"1999-05-28",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","pariquera-acu","parque estadual da campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county","1570748617",,,,"https://specieslink.net/guid/7/198989",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhipsalis",,,,,,"1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3",,,FALSE,FALSE,"Rhipsalis elliptica","Rhipsalis elliptica","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","LC","https://images.cria.org.br/viewer/SPF00198989",,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Rhipsalis elliptica","G.Lindb. ex K.Schum.","name_w_authors","Cactaceae","Rhipsalis elliptica","G.Lindb. ex K.Schum.","species","name accepted","bfo-1696",,,"Rhipsalis elliptica G.Lindb. ex K.Schum.","Rhipsalis","Cactaceae","unknown","Rhipsalis elliptica"
"user",,"RB","RB00597301","Thoracocarpus bissectus (Vell.) Harling","Plantae","Cyclanthaceae","Thoracocarpus","São Paulo",,"Parque Estadual Campina do Encantado. .","JBRJ","Preserved Specimen","E.S. Leal",,,,,,"G. Martinelli; et.al","-47.7663889","-24.6375",,"15842",,"1999","10","6","bissectus","(Vell.) Harling","10","50","24º37´75´´","47º45´59´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2010-8-30",,,"BR",,,"1999-10-06","Mata Atlantica de Planicie, periodicamente inundada, próximo ao Rio Piraquera- Açu.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15842","1999","Leal, E.S.","2010",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:597301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/59/73/1/00597301.jpg",,,,,,,,,,,,,,,,,,,"2017-10-15 17:03:08+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Thoracocarpus bissectus","(Vell.) Harling","name_w_authors","Cyclanthaceae","Thoracocarpus bissectus","(Vell.) Harling","species","name accepted","bfo-7143",,,"Thoracocarpus bissectus (Vell.) Harling","Thoracocarpus","Cyclanthaceae","low","Thoracocarpus bissectus"
"user",,"RB","RB00141162","Vriesea carinata Wawra","Plantae","Bromeliaceae","Vriesea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú.","JBRJ","Preserved Specimen","G. Martinelli & C.M. Vieira",,,,,,"Martinelli, G.; M.G.L. Wanderley, T. Barbará, G.M. Souza, R. Azoury","-47.9155556","-24.8263889",,"15848",,"1999","10","6","carinata","Wawra","10","50","24º37´755´´","47º45´596´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2002-10",,,"BR",,,"1999-10-06","Mata Atlântica, planície periodicamente inundada.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15848","1999","Martinelli, G.","2002","G.l.wanderley, T.B.S.A.M.","Martinelli","Vieira, C.M.","brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/62/00141162.jpg",,,,,,,,,,,,,,,,,,,"2017-10-19 12:04:19+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Vriesea carinata","Wawra","name_w_authors","Bromeliaceae","Vriesea carinata","Wawra","species","name accepted","bfo-6441",,,"Vriesea carinata Wawra","Vriesea","Bromeliaceae","high","Vriesea carinata"
"user",,"RB","RB00141158","Vriesea ensiformis (Vell.) Beer","Plantae","Bromeliaceae","Vriesea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","M. G. L. Wanderley",,,,,,"Martinelli, G.; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.7666667","-24.6377778",,"15843",,"1999","10","6","ensiformis","(Vell.) Beer","10","50","24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","1999-12-2",,,"BR",,,"1999-10-06","Mata Atlântica.Planície periodicamente inundada.",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15843","1999","Wanderley, M.G.L.","1999","G.l.wanderley, T.B.S.A.M.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/58/00141158-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/58/00141158.jpg",,,,,,,,,,,,,,,,,,,"2017-10-17 16:37:38+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Vriesea ensiformis","(Vell.) Beer","name_w_authors","Bromeliaceae","Vriesea ensiformis","(Vell.) Beer","species","name accepted","bfo-6457",,,"Vriesea ensiformis (Vell.) Beer","Vriesea","Bromeliaceae","high","Vriesea ensiformis"
"user",,"RB","RB00141160","Vriesea aff. incurvata Gaudich.","Plantae","Bromeliaceae","Vriesea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú. Parque Estadual Campina do Encantado","JBRJ","Preserved Specimen","G. Martinelli",,,,,,"Martinelli, G.; M.G.L. Wanderley, T. Barbará, G.M.Souza, R. Azoury","-47.9155556","-24.8263889",,"15846",,"1999","10","6","incurvata","Gaudich.","10","50","24º37´755´´","47º45´596´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2004-3",,,"BR",,,"1999-10-06","Mata atlântica, planície periodicamente inundada",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15846","1999","Martinelli, G.","2004","G.l.wanderley, T.B.S.A.M.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/60/00141160.jpg",,,,,,,,,,,,,,,,,,,"2017-10-15 15:08:07+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Vriesea incurvata","Gaudich.","affinis|name_w_authors","Bromeliaceae","Vriesea incurvata","Gaudich.","species","name accepted","bfo-6483",,,"Vriesea incurvata Gaudich.","Vriesea","Bromeliaceae","high","Vriesea incurvata"
"user",,"RB","RB00809693","Vriesea rodigasiana É.Morren","Plantae","Bromeliaceae","Vriesea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera Açu.","JBRJ","Preserved Specimen","C. M. Vieira",,,,,,"G. Martinelli et. al.;","-47.75","-24.6166667",,"15849",,"1999","10","6","rodigasiana","É.Morren","10","50","24º37´","47º45´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2002-10",,,"BR",,,"1999-10-06","Mata Atlântica; Planície periodicamente inundada",,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15849","1999","Vieira, C.M.","2002",,"Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:809693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/80/96/93/00809693.jpg",,,,,,,,,,,,,,,,,,,"2017-10-15 09:52:49+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Vriesea rodigasiana","É.Morren","not_Genus_epithet_format|name_w_non_ascii","Bromeliaceae","Vriesea rodigasiana","É.Morren","species","name misspelled","bfo-6547",,,"Vriesea rodigasiana É.Morren","Vriesea","Bromeliaceae","low","Vriesea rodigasiana"
"user",,"RB","RB00141170","Vriesea tijucana E.Pereira","Plantae","Bromeliaceae","Vriesea","São Paulo",,"Parque Estadual Campina do Encantado, próximo ao Rio Pariquera-Açú. Mata Atlantica, planície periodicamente inundada.","JBRJ","Preserved Specimen","Ricardo Moura",,,,,,"G. Martinelli; M.G.L. Wanderley, T. Barbará, G.M.Souza & R. Azoury","-47.7666667","-24.6377778",,"15856",,"1999","10","6","tijucana","E.Pereira","10","50","24º37´76´´","47º45´60´´W","Brasil",,,,,,,,,,,"Pariquera-Açu","2011-7-20",,,"BR",,,"1999-10-06",,,,,,,"sp.","Physical Object",,,,"RB",,"Martinelli, G.","15856","1999","Moura, R.","2011","Wanderley, M.G.L.; Barbara, T.; Souza, G.M.; Azoury, R.","Martinelli",,"brazil","sao paulo","pariquera-acu","parque estadual campina do encantado, mata atlantica",,"locality","brazil_sao paulo_pariquera acu","brazil_sao paulo_pariquera acu",-24.67825289,-47.85009149,"county",,,,,"urn:catalog:JBRJ:RB:141170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/70/00141170-2.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/70/00141170-1.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/14/11/70/00141170.jpg",,,,,,,,,,,,,,,,,,,"2017-10-17 18:04:25+00","Angiospermas","brazil_sao paulo_pariquera acu","Brazil","São Paulo","Pariquera-Açu",,"check_local.2municip.","Vriesea tijucana","E.Pereira","name_w_authors","Bromeliaceae","Vriesea tijucana","E.Pereira","species","name accepted","bfo-6567",,,"Vriesea tijucana E.Pereira","Vriesea","Bromeliaceae","low","Vriesea tijucana"
