"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","class","order","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","barcode","coordinatePrecision","occurrenceRemarks","minimumElevationInMeters","preparationtype","individualcount","maximumElevationInMeters","continentocean","fieldNumber","infraspecificEpithet","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink","IBGE","IBGECarpoteca 90000677","Hymenaea courbaril","Plantae","Fabaceae","Hymenaea","2024","9","19","Brasil","São Paulo","Cosmópolis","ARIE Matão de Cosmópolis. Ponto 50.","IBGE",,,,"PreservedSpecimen","Fonseca, ML","2024","9","19","22º38'3''S","47º8'3''W","784","courbaril","Fonseca, ML; Temponi, L; Alves Pinheiro, LB; Shimizu, SH; Pontoni, DR; Pelech, AS; Costa, J & Mose, J","-47.1341666","-22.6341666","2025-06-01T12:02:46","L.","7572","IBGECarpoteca90000677",,"<nO>Árvore caducifólia, resinífera. Heliófila. Tronco reto, ritidoma cinzento, íntegro. Fruto seco, indeiscente, cor marrom escuro Habitat: Floresta Estacional Semidecidual Habito: Árvore</nO>","608",,,,,,,"SPLINK","Cosmópolis","2024-9-19",,,,,,,,,,,,,,,,,,"IBGE",,"Fonseca, M.L.","7572","2024","Fonseca, M.L.","2024","Temponi, L.; Pinheiro, L.B.A.; Shimizu, S.H.; Pontoni, D.R.; Pelech, A.S.; Costa, J.; Mose, J.","Fonseca",,"brazil","sao paulo","cosmopolis","arie matao de cosmopolis",,"locality","brazil_sao paulo_cosmopolis","brazil_sao paulo_cosmopolis",-22.65147846,-47.18605057,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Hymenaea courbaril","L.","possibly_ok","Fabaceae","Hymenaea courbaril","L.","species","name accepted","bfo-22972",,,"Hymenaea courbaril L.","Hymenaea","Fabaceae","low","Hymenaea courbaril"
"speciesLink","IBGE","IBGECarpoteca 90000676","Metrodorea stipularis","Plantae","Rutaceae","Metrodorea","2024","9","19","Brasil","São Paulo","Cosmópolis","ARIE Matão de Cosmópolis. Ponto 50.","IBGE",,,,"PreservedSpecimen","Fonseca, ML","2024","9","19","22º38'3''S","47º8'3''W","784","stipularis","Fonseca, ML; Temponi, L; Alves Pinheiro, LB; Shimizu, SH; Pontoni, DR; Pelech, AS; Costa, J & Mose, J","-47.1341666","-22.6341666","2025-06-01T12:02:46","Mart.","7571","IBGECarpoteca90000676",,"<nO>Árvore. Heliófila. Tronco cinzento. Frutos secos, cápsulas dotada de grossas protuberâncias. Habitat: Floresta Estacional Semidecidual Habito: Árvore</nO>","608",,,,,,,"SPLINK","Cosmópolis","2024-9-19",,,,,,,,,,,,,,,,,,"IBGE",,"Fonseca, M.L.","7571","2024","Fonseca, M.L.","2024","Temponi, L.; Pinheiro, L.B.A.; Shimizu, S.H.; Pontoni, D.R.; Pelech, A.S.; Costa, J.; Mose, J.","Fonseca",,"brazil","sao paulo","cosmopolis","arie matao de cosmopolis",,"locality","brazil_sao paulo_cosmopolis","brazil_sao paulo_cosmopolis",-22.65147846,-47.18605057,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Metrodorea stipularis","Mart.","possibly_ok","Rutaceae","Metrodorea stipularis","Mart.","species","name accepted","bfo-823",,,"Metrodorea stipularis Mart.","Metrodorea","Rutaceae","low","Metrodorea stipularis"
