"data_source","gbifID","bibliographicCitation","modified","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","informationWithheld","dataGeneralizations","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","fieldNumber","eventDate","year","month","day","verbatimEventDate","habitat","samplingProtocol","fieldNotes","eventRemarks","locationID","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationRemarks","taxonID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","taxonomicStatus","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","acceptedScientificName","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","country","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","verbatimLatitude","verbatimLongitude","scientificNameAuthorship.x","downloadedFrom","scientificNameAuthorship.y","dayIdentified","latitude","longitude","monthIdentified","yearIdentified","right","modified_incomplete","scientificNameAuthorship","Clado","barcode","continentocean","preparationtype","previouscatalognumber","relationshiptype","relatedcatalogitem","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"speciesLink",,,"2024-08-28T17:11:35",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8350","15","Bueno, V.C.",,,,,,,,,,,,"2002","10",,,,,,,,,"São Paulo","São vicente","São vicente","Parque Estadual Xixová-Japuí, Setor Cortume-Itaquitanduva",,,,"-23.959999","-46.389999",,"25482",,,,,,,,,,"Magenta, M.A.G.; Bueno, V.C.",,"2003-03-NA",,,"Acmella brachyglossa",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Acmella",,,,"brachyglossa",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"03","2003",,,"Cass.",,"HUSC008350",,,,,,,,,,,,,,,,,,,"HUSC",,"Bueno, V.C.","15","2002","Magenta, M.A.G.","2003",,"Bueno","Bueno, V.C.","brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Acmella brachyglossa","Cass.","possibly_ok","Asteraceae","Acmella brachyglossa","Cass.","species","name accepted","bfo-22202",,,"Acmella brachyglossa Cass.","Acmella","Asteraceae","low","Acmella brachyglossa"
"speciesLink",,,"2025-06-01T00:01:00",,,"40",,"MBM","MBM",,"PreservedSpecimen",,,,"320012","1254","Pastore, JA; Moura, C",,,,,,,,,,,,"2003","9","5",,,,,,,,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Trilha de Pedreira, primeiro acesso após o mirante.",,,,"-23.959999","-46.389999",,"25482",,,,,,,,,,"Pastore, JA",,"2004-3-26",,,"Actinostemon concolor",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Actinostemon",,,,"concolor",,,,,,,,,,,,,,,,,,,,,"Brazil",,,,,,,"-23.976944","-46.371944",,"Splink",,"26",,,"3","2004",,,"(Spreng.) Müll.Arg.",,"MBM320012",,,,,,,,,,,,,,,,,,,"MBM",,"Pastore, J.A.","1254","2003","Pastore, J.A.","2004","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Actinostemon concolor","(Spreng.) Müll.Arg.","possibly_ok","Euphorbiaceae","Actinostemon concolor","(Spreng.) Müll.Arg.","species","name accepted","bfo-17448",,,"Actinostemon concolor (Spreng.) Müll.Arg.","Actinostemon","Euphorbiaceae","low","Actinostemon concolor"
"speciesLink",,,"2021-12-09T11:04:52",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"360314","1186","Pastore, JA; Moura, C",,,,,,,,,,,,"2002","07","19",,,,,,,,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Região de Paranapuã, mata de encosta.",,,,"-23.976944","-46.371944",,,,,,,,,,,,"Cordeiro, I",,"2002-11-NA",,,"Actinostemon verticillatus",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Actinostemon",,,,"verticillatus",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-23.976944","-46.371944",,"Splink",,,,,"11","2002",,,"(Klotzsch) Baill.",,"SP0360314",,,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","1186","2002","Cordeiro, I.","2002","Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui, mata de encosta",,"locality","brazil_sao paulo_sao vicente","brazil_sao paulo_sao vicente",-23.96902814,-46.49274094,"county","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","check_local.2municip.","Actinostemon verticillatus","(Klotzsch) Baill.","possibly_ok","Euphorbiaceae","Actinostemon verticillatus","(Klotzsch) Baill.","species","name accepted","bfo-17451",,,"Actinostemon verticillatus (Klotzsch) Baill.","Actinostemon","Euphorbiaceae","high","Actinostemon verticillatus"
"speciesLink",,,"2024-08-28T17:11:35",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8351","18","Bueno, V.C.",,,,,,,,,,,,"2002","10",,,,,,,,,"São Paulo","São vicente","São vicente","Parque Estadual Xixová-Japuí, Setor Cortume-Itaquitanduva",,,,"-23.959999","-46.389999",,"25482",,,,,,,,,,"Magenta, M.A.G.; Bueno, V.C.",,"2003-03-NA",,,"Adenostemma brasilianum",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Adenostemma",,,,"brasilianum",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"03","2003",,,"(Pers.) Cass.",,"HUSC008351",,,,,,,,,,,,,,,,,,,"HUSC",,"Bueno, V.C.","18","2002","Magenta, M.A.G.","2003",,"Bueno","Bueno, V.C.","brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Adenostemma brasilianum","(Pers.) Cass.","possibly_ok","Asteraceae","Adenostemma brasilianum","(Pers.) Cass.","species","name accepted","bfo-80592",,,"Adenostemma brasilianum (Pers.) Cass.","Adenostemma","Asteraceae","low","Adenostemma brasilianum"
"gbif","7.03680488594915e-315",,"2021-03-17 22:48:20",,"04.936.616/0001-20",,,"JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN",,,"urn:catalog:JBRJ:RB:550044","RB00550044","34","C. Moura; M. Fachada & J. Cardoso",,,,"inferred coordinates","PRESENT",,,,,,"2003-11-17","2003","11","17",,,,,,,"BR","São Paulo",,"São Vicente","Parque Estadual Xixová-Japui. Trilha da costeira, morro do Japuí, margem do caminho.",,,,"-24.00096","-46.39715",,,,,,,,,,,,"J.A. Pastore",,"2005-06-21",,,"Aechmea nudicaulis (L.) Griseb.",,,,,,,"Plantae","Tracheophyta","Liliopsida","Poales",,"Bromeliaceae",,,,"Aechmea","Aechmea",,,"nudicaulis",,,"SPECIES",,"ACCEPTED",,"4300f8d5-1ae5-49e5-a101-63894b005868",,"StillImage;StillImage",TRUE,FALSE,"Aechmea nudicaulis","Aechmea nudicaulis (L.) Griseb.","Aechmea nudicaulis (L.) Griseb.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/55/0/44/00550044.jpg","Brasil",,,,,,,,,"(L.) Griseb.","GBIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RB",,"Moura, C.","34","2003","Pastore, J.A.","2005","Fachada, M.; Cardoso, J.","Moura",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui, morro do japui",,"locality","brazil_sao paulo_sao vicente","brazil_sao paulo_sao vicente",-23.96902814,-46.49274094,"county","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","check_local.2municip.","Aechmea nudicaulis","(L.) Griseb.","name_w_authors","Bromeliaceae","Aechmea nudicaulis","(L.) Griseb.","species","name accepted","bfo-5847",,,"Aechmea nudicaulis (L.) Griseb.","Aechmea","Bromeliaceae","low","Aechmea nudicaulis"
"speciesLink",,,"2025-05-30T15:51:58",,,"204",,"UEFS","HUEFS",,"PreservedSpecimen",,,,"146608","963","Pastore, J.A.",,,,,,,,,,,,"2001","02","16",,,,,,,,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, estrada de acesso a região Paranapuã, em barranco frente ao mar.",,,,"-23.976944","-42.371944",,,,,,,,,,,,"J.A.Pastore",,"2001-02-NA",,,"Aegiphila sellowiana",,,,,,,"Plantae","Angiospermae","Asteranae","Lamiales",,"Lamiaceae",,,,"Aegiphila",,,,"sellowiana",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"23Â°58'37''S","42Â°22'19''W",,"Splink",,,,,"02","2001",,,"Cham.",,"HUEFS0146608",,,,,,,,,,,,,,,,,,,"HUEFS",,"Pastore, J.A.","963","2001","Pastore, J.A.","2001",,"Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui, estrada de acesso a regiao paranapua",,"locality","brazil_sao paulo_sao vicente","brazil_sao paulo_sao vicente",-23.96902814,-46.49274094,"county","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","check_local.2municip.","Aegiphila integrifolia","(Jacq.) Moldenke","possibly_ok","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","replaced synonym","bfo-23320","Aegiphila integrifolia","(Jacq.) Moldenke","Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","low","Aegiphila integrifolia"
"speciesLink",,,"2024-08-28T17:11:35",,,"437",,"UNISANTA","HUSC",,"PreservedSpecimen",,,,"8353","3","Bueno, V.C.",,,,,,,,,,,,"2002","10",,,,,,,,,"São Paulo","São vicente","São vicente","Parque Estadual Xixová-Japuí, Setor Cortume-Itaquitanduva",,,,"-23.959999","-46.389999",,"25482",,,,,,,,,,"Magenta, M.A.G.; Bueno, V.C.",,"2003-03-NA",,,"Ageratum conyzoides",,,,,,,"Plantae","Magnoliophyta",,,,"Asteraceae",,,,"Ageratum",,,,"conyzoides",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"0","0",,"Splink",,,,,"03","2003",,,"(L.) L.",,"HUSC008353",,,,,,,,,,,,,,,,,,,"HUSC",,"Bueno, V.C.","3","2002","Magenta, M.A.G.","2003",,"Bueno","Bueno, V.C.","brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Ageratum conyzoides","L.","possibly_ok","Asteraceae","Ageratum conyzoides","L.","species","author misspelled","bfo-15934",,,"Ageratum conyzoides L.","Ageratum","Asteraceae","low","Ageratum conyzoides"
"speciesLink",,,"2021-12-09T11:04:52",,,"1",,"IBt","SP",,"PreservedSpecimen",,,,"357386","1035","Pastore, JA; Moura, C",,,,,,,,,,,,"2001","06","22",,,,,,,,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Região de Paranapuã, em mata atrás do CECOF, margem de córrego.",,,,"-23.976944","-46.371944",,,,,,,,,,,,"Cordeiro, I",,,,,"Alchornea glandulosa",,,,,,,"Plantae",,,,,"Euphorbiaceae",,,,"Alchornea",,,,"glandulosa",,,,,,,,,,,,,,,,,,,,,"Brasil",,,,,,,"-23.976944","-46.371944",,"Splink",,,,,,,,,"Poepp. & Endl.",,"SP0357386",,,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","1035","2001","Cordeiro, I.",,"Moura, C.","Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Alchornea glandulosa","Poepp. & Endl.","possibly_ok","Euphorbiaceae","Alchornea glandulosa","Poepp. & Endl.","species","name accepted","bfo-17456",,,"Alchornea glandulosa Poepp. & Endl.","Alchornea","Euphorbiaceae","high","Alchornea glandulosa"
"speciesLink",,,"2024-12-05T15:05:20",,,"48",,"UEL","FUEL",,"PreservedSpecimen",,,,"32018","1063","Pastore, JA; et al.",,,,,,,,,,,,"2001","08","10",,,,,,,,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Japuí",,,,"-23.959999","-46.389999",,"25482",,,,,,,,,,"Ribeiro, JELS",,"2023-08-28",,,"Alchornea glandulosa iricurana",,,,,,,"Plantae","Tracheophyta",,"Malpighiales",,"Euphorbiaceae",,,,"Alchornea",,,,"glandulosa","iricurana",,,,,,,,,,,,,,,,,,,,"Brasil","0","0",,,,,"0","0",,"Splink",,"28",,,"08","2023",,,"(Casar.) Secco",,"FUEL023754",,,,,,,,,,,,,,,,,,,"FUEL",,"Pastore, J.A.","1063","2001","Ribeiro, J.E.L.S.","2023",,"Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Alchornea glandulosa subsp. iricurana","(Casar.) Secco","not_Genus_epithet_format","Euphorbiaceae","Alchornea glandulosa subsp. iricurana","(Casar.) Secco","subspecies","name misspelled","bfo-35649",,,"Alchornea glandulosa subsp. iricurana (Casar.) Secco","Alchornea","Euphorbiaceae","low","Alchornea glandulosa"
"speciesLink",,,"2024-12-05T15:06:30",,,"48",,"UEL","FUEL",,"PreservedSpecimen",,,,"33427","1137","Pastore, JA; et al.",,,,,,,,,,,,"2002","03","01",,,,,,,,"São Paulo","São Vicente","São Vicente","Parque Estadual Xixová-Japuí, Japuí",,,,"-23.959999","-46.389999",,"25482",,,,,,,,,,"Franco, GADC",,"2002-NA-NA",,,"Allophylus petiolulatus",,,,,,,"Plantae","Tracheophyta",,"Sapindales",,"Sapindaceae",,,,"Allophylus",,,,"petiolulatus",,,,,,,,,,,,,,,,,,,,,"Brasil","0","0",,,,,"0","0",,"Splink",,,,,,"2002",,,"Radlk.",,,,,,,,,,,,,,,,,,,,,"FUEL",,"Pastore, J.A.","1137","2002","Franco, G.A.D.C.","2002",,"Pastore",,"brazil","sao paulo","sao vicente","parque estadual xixova-japui",,"locality","brazil_sao paulo_sao vicente_parque estadual xixova japui","brazil_sao paulo_sao vicente_parque estadual xixova japui",-24.000969,-46.397091,"locality","brazil_sao paulo_sao vicente","Brazil","São Paulo","São Vicente",,"gdam","ok_same_resolution","Allophylus petiolulatus","Radlk.","possibly_ok","Sapindaceae","Allophylus petiolulatus","Radlk.","species","name accepted","bfo-20875",,,"Allophylus petiolulatus Radlk.","Allophylus","Sapindaceae","medium","Allophylus petiolulatus"
