"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"5","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Euphorbiaceae","Alchornea","triplinervia","(Spreng.) Müll.Arg.","EUPHORBIACEAE Alchornea triplinervia (Spreng.) Müll.Arg.","SP0514864","SPLINK","SP","Lima, M.E.L.","2105","Native","Ouro","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da comunidade","Não"
"17","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Begoniaceae","Begonia","fruticosa","(Klotzsch) A.DC.","BEGONIACEAE Begonia fruticosa (Klotzsch) A.DC.","RB01494741",,"RB","Pereira, J.V.S.","025","Native","Ouro","Trilha das Hortênsias Parque Natural Municipal Nascentes de Paranapiacaba","Não"
"30","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Poaceae","Chusquea","meyeriana","Rupr. ex Döll","POACEAE Chusquea meyeriana Rupr. ex Döll","IRAI00007109","SPLINK","IRAI","Villagra, B.L.P.","343","Native","Ouro","Parque Natural Municipal Nascentes de Paranapiacaba, Água Fria, Parcela 27","Não"
"63","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Eugenia","mosenii","(Kausel) Sobral","MYRTACEAE Eugenia mosenii (Kausel) Sobral","SPSF00044728","SPLINK","SPSF","Aranha, B.A.","639","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"76","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Meliaceae","Guarea","macrophylla","(Vell.) T.D.Penn.","MELIACEAE Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","SPSF00044711","SPLINK","SPSF","Aranha, B.A.","622","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"104","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Miconia","fasciculata","Gardner","MELASTOMATACEAE Miconia fasciculata Gardner","SPSF00044696","SPLINK","SPSF","Aranha, B.A.","606","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"107","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Miconia","theaezans","(Bonpl.) Cogn.","MELASTOMATACEAE Miconia theaezans (Bonpl.) Cogn.","SPSF00044715","SPLINK","SPSF","Aranha, B.A.","626","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"116","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Myrceugenia","campestris","(DC.) D.Legrand & Kausel","MYRTACEAE Myrceugenia campestris (DC.) D.Legrand & Kausel","SPSF00044691","SPLINK","SPSF","Aranha, B.A.","601","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"117","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Myrceugenia","myrcioides","(Cambess.) O.Berg","MYRTACEAE Myrceugenia myrcioides (Cambess.) O.Berg","ASU0082744","SPLINK","ASU","Faria, J.E.Q.","2989","Native","Ouro","Santo André, Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Agua Fria, vértice externo da parcela permanente 2, 54, sobre estudo de Marcos Enoque Lima.","Não"
"118","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Myrceugenia","scutellata","D.Legrand","MYRTACEAE Myrceugenia scutellata D.Legrand","ASU0082720","SPLINK","ASU","Faria, J.E.Q.","3038","Native","Ouro","Santo Andre: Paranapiacaba, em frente a cachoeira da Água Fria, Parque Natural Municipal Nascentes de Paranapiacaba.","Não"
"120","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Myrcia","eriopus","DC.","MYRTACEAE Myrcia eriopus DC.","RB00871312",,"RB","Faria, J.E.Q.","3029","Native","Ouro","Paranapiacaba, estrada do Taquaruçu, entrada da trilha da água Fria. Parque Natural Municipal Nascentes de Paranapiacaba.","Não"
"121","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Myrcia","fusiformis","(M.L.Kawas.) A.R.Lourenço & E.Lucas","MYRTACEAE Myrcia fusiformis (M.L.Kawas.) A.R.Lourenço & E.Lucas","K000567439","SPLINK","K","Faria, J.E.Q.","3035","Native","Ouro","Paranapiacaba, parcela H3 do Marcos Enoque, arvore 1885, Parque Natural Municipal Nascentes de Paranapiacaba.","Não"
"122","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Myrcia","spectabilis","DC.","MYRTACEAE Myrcia spectabilis DC.","SPSF00044710","SPLINK","SPSF","Aranha, B.A.","621","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"131","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Lauraceae","Ocotea","glaziovii","Mez","LAURACEAE Ocotea glaziovii Mez","SPSF00044717","SPLINK","SPSF","Aranha, B.A.","628","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"132","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Lauraceae","Ocotea","paranapiacabensis","Coe-Teixeira","LAURACEAE Ocotea paranapiacabensis Coe-Teixeira","SPSF00044718","SPLINK","SPSF","Aranha, B.A.","629","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
