"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Araliaceae","Dendropanax","monogynus","(Vell.) Seem.","ARALIACEAE Dendropanax monogynus (Vell.) Seem.","UFP099573","Splink","UFP","Barretto, E.H.P.","2961","Native","Ouro","Parque Natural Municipal Varginha, Trilha SET","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Asteraceae","Heterocondylus","alatus","(Vell.) R.M.King & H.Rob.","ASTERACEAE Heterocondylus alatus (Vell.) R.M.King & H.Rob.","HUFABC002585","Splink","HUFABC","Granato, L.","38","Native","Ouro","Parque Natural Municipal Varginha, Trilha 1.","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Fabaceae","Inga","sessilis","(Vell.) Mart.","FABACEAE Inga sessilis (Vell.) Mart.","JOI023787","Splink","JOI","Barretto, E.H.P.","2982","Native","Bronze","Parque Natural Municipal Varginha","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Heliconiaceae","Heliconia","rostrata","Ruiz & Pav.","HELICONIACEAE Heliconia rostrata Ruiz & Pav.","212374319","GBIF","Observations","Sobral, R.M.",,"Native","Bronze","Parque Natural Municipal Varginha - Av. Paulo Guilguer Reimberg, 6300 - Jardim Maria Fernandes, São Paulo - SP, 04858-570, Brasil","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Lauraceae","Ocotea","glaziovii","Mez","LAURACEAE Ocotea glaziovii Mez","MBM448016","Splink","MBM","Garcia, R.J.F.","4769","Native","Prata","Parque Natural Municipal Varginha. Trilha da Içá.","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Lauraceae","Ocotea","pulchella","(Nees & Mart.) Mez","LAURACEAE Ocotea pulchella (Nees & Mart.) Mez","HUFABC003242","Splink","HUFABC","Barretto, E.H.P.","2940","Native","Prata","Parque Natural Municipal Varginha, Ao lado da sede","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Myrtaceae","Eugenia","subavenia","O.Berg","MYRTACEAE Eugenia subavenia O.Berg","264365","GBIF","HUEFS","Garcia, R.J.F.","4796","Native","Prata","Parque Natural Municipal Varginha. Trilha do Berçário.","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Myrtaceae","Myrcia","laxiflora","Cambess.","MYRTACEAE Myrcia laxiflora Cambess.","HUFABC003240","Splink","HUFABC","Barretto, E.H.P.","2956","Native","Prata","Parque Natural Municipal Varginha, Trilha SET","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Myrtaceae","Myrcia","reitzii","(D.Legrand) Mazine","MYRTACEAE Myrcia reitzii (D.Legrand) Mazine","HUFABC003241","Splink","HUFABC","Barretto, E.H.P.","2967","Native","Prata","Parque Natural Municipal Varginha, Trilha SET","Não"
"PARQUE NATURAL MUNICIPAL VARGINHA","Angiosperms","Poaceae","Chusquea","kleinii","A.C.Mota, R.P.Oliveira & L.G.Clark","POACEAE Chusquea kleinii A.C.Mota, R.P.Oliveira & L.G.Clark","HUFABC003235","Splink","HUFABC","Barretto, E.H.P.","2861","Native","Bronze","Parque Natural Municipal Varginha, Trilha CAB","Não"
