"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","phylum","basisOfRecord","verbatimLatitude","verbatimLongitude","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","identifiedBy","coordinatePrecision","barcode","yearIdentified","recordNumber","occurrenceRemarks","monthIdentified","continentocean","class","order","preparationtype","individualcount","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","fieldNumber","typeStatus","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user","HUEFS","HUEFS178498","Clusia criuva Cambess.",,"Clusiaceae","Clusia","2007","12","12","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta (PEIA). Trilha do Sul, Borda entre floresta rala e campo antrópico.","HUEFS",,,"235º 9' 58"""" S","450º 19' 59"""" W",,,"Ziparro, V.B.","-450.333055555556","-235.166111111111",,"Cambess.","Sem determinador",,,,"2304",,,,,,,,,,,,,"não",,"REFLORA","Ubatuba",,,,,,,,,,,,,,"SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"criuva","CLUSIACEAE Clusia criuva Cambess.",,,,,,,,,,,"HUEFS",,,,,"12/12/2007",,,"METRO",,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Clusia criuva","Cambess.","name_w_authors","Clusiaceae","Clusia criuva","Cambess.","species","name accepted","bfo-6832",,,"Clusia criuva Cambess.","Clusia","Clusiaceae","high","Clusia criuva"
"gbif","SP","253895","Clusia criuva subsp. parviflora Vesque","Plantae","Clusiaceae","Clusia","1992","2","22","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta","IPA/SP","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/1","criuva","Guillaumon, JR",,,"2022-11-11 09:08:41","Vesque","Bittrich, V",,,,"s.n.",,,,"Magnoliopsida","Malpighiales",,,,,,"parviflora",,,,"GBIF","Ubatuba","2003-01-01","Clusia criuva Cambess.",,"BR",,,"1992-02-22",,,,,,"SYNONYM","SUBSPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","2598700950",,,,"https://specieslink.net/guid/1/253895",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clusia",,,,,,"17efa320-7312-4b55-bf0a-a4cfc4613169",,,FALSE,FALSE,"Clusia criuva","Clusia criuva parviflora","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Clusia criuva subsp. parviflora","Vesque","subspecies|name_w_authors","Clusiaceae","Clusia criuva subsp. parviflora","Vesque","subspecies","name accepted","bfo-111661",,,"Clusia criuva subsp. parviflora Vesque","Clusia","Clusiaceae","unknown","Clusia criuva"
"speciesLink","SPSF","46727","Coccocypselum lanceolatum","Plantae","Rubiaceae","Coccocypselum","2008","05","23","Brasil","SP","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA)","IF","Magnoliophyta","PreservedSpecimen",,,"13","lanceolatum","V.B.Zipparro","-45.058333","-23.541667","2024-08-06T09:16:30","(Ruiz & Pav.) Pers.",,,"SPSF00046727",,"2418","<nO>COLETA: Herbácea rasteira, presença de frutos maduros azuis.; GEOGRAFIA: Trilha do Saco Grande, floresta ombrófila aberta, ambiente iluminado.;</nO>",,"América do Sul","Magnoliopsida","Rubiales",,,,,,,,,,"SPLINK","Ubatuba",,,,,,,,,,,,,,,,,,,"SPSF",,"Zipparro, V.B.","2418","2008","s.n.","n.d.",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Coccocypselum lanceolatum","(Ruiz & Pav.) Pers.","possibly_ok","Rubiaceae","Coccocypselum lanceolatum","(Ruiz & Pav.) Pers.","species","name accepted","bfo-13886",,,"Coccocypselum lanceolatum (Ruiz & Pav.) Pers.","Coccocypselum","Rubiaceae","unknown","Coccocypselum lanceolatum"
"gbif","BHCB-SL","30025","Cochlidium serrulatum (Sw.) L.E.Bishop","Plantae","Polypodiaceae","Cochlidium","1993","1","4","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta, Floresta Atlântica de encosta.","UFMG","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/453","serrulatum","Salino, A",,,"2022-12-26 10:32:21","(Sw.) L.E.Bishop.","Salino, A",,,,"1637",,,,"Polypodiopsida","Polypodiales",,,,,,,,,,"GBIF","Ubatuba","1999-09-01","Cochlidium serrulatum (Sw.) L.E.Bishop",,"BR",,,"1993-01-04",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","1802848447",,,,"https://specieslink.net/guid/453/30025",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochlidium",,,,,,"ed8e1590-62b5-48a8-8654-4ecc13554f57",,,FALSE,FALSE,"Cochlidium serrulatum","Cochlidium serrulatum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Cochlidium serrulatum","(Sw.) L.E.Bishop","name_w_authors","Polypodiaceae","Cochlidium serrulatum","(Sw.) L.E.Bishop","species","name accepted","bfo-91599",,,"Cochlidium serrulatum (Sw.) L.E.Bishop","Cochlidium","Polypodiaceae","unknown","Cochlidium serrulatum"
"gbif","HUFABC","000267","Codium Stackhouse, 1797","Plantae","Codiaceae","Codium","2005","1","31","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta","UFABC","Chlorophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/634",,"Celestino, V; Ghilardi, N","-45.064611","-23.538861","2024-07-05 09:52:03",,,,,,"s.n.",,,,"Ulvophyceae","Bryopsidales",,,,,,,,,,"GBIF","Ubatuba",,"Codium Stackhouse, 1797",,"BR",,,"2005-01-31",,,,,,"ACCEPTED","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","4955155241",,,,"https://specieslink.net/guid/634/000267",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Codium",,,,,,"a5e26562-5429-4878-a0d4-5cef3d5cc923",,,TRUE,FALSE,,"Codium","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,"https://images.cria.org.br/viewer/HUFABC000267",,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Codium sp.",,"indet",,"Codium sp.",,"genus","not found",,,,"Codium sp.","Codium","Euphorbiaceae","unknown",
"speciesLink","SPSF","46659","Coffea arabica","Plantae","Rubiaceae","Coffea","2007","10","13","Brasil","SP","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA)","IF","Magnoliophyta","PreservedSpecimen",,,"13","arabica","V.B.Zipparro & L.L.C.Miller","-45.058333","-23.541667","2024-08-06T09:16:30","L.",,,"SPSF00046659",,"2260","<nO>COLETA: Arvoreta, 2,3m de altura, presença de flores brancas.; GEOGRAFIA: Trilha do Sul, floresta ombrófila aberta, ambiente sombreado.;</nO>",,"América do Sul","Magnoliopsida","Rubiales",,,,,,,,,,"SPLINK","Ubatuba",,,,,,,,,,,,,,,,,,,"SPSF",,"Zipparro, V.B.","2260","2007","s.n.","n.d.","Miller, L.L.C.","Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Coffea arabica","L.","possibly_ok","Rubiaceae","Coffea arabica","L.","species","name accepted","bfo-24410",,,"Coffea arabica L.","Coffea","Rubiaceae","unknown","Coffea arabica"
"gbif","ICN","207453","Cololejeunea obliqua (Nees & Mont.) Schiffn.","Plantae","Lejeuneaceae","Cololejeunea","2004","2","18","Brasil","Sp",,"Parque Estadual da Ilha Anchieta (PEIA)","UFRGS","Marchantiophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/259","obliqua","Peralta, DF; Yano, O; Prado, J","-45.041667","-23.260278","2023-05-24 13:31:18","(Nees & Mont.) Schiffn.","Peralta, DF",,,,"2171",,,,"Jungermanniopsida","Porellales",,,,,,,,,,"GBIF","Ubatuba",,"Cololejeunea obliqua (Nees & Mont.) Schiffn.",,"BR",,,"2004-02-18",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","4950915421",,,,"https://specieslink.net/guid/259/207453",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cololejeunea",,,,,,"2273e40d-26c2-4959-aea2-b6abcce16d09",,,TRUE,FALSE,"Cololejeunea obliqua","Cololejeunea obliqua","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Cololejeunea obliqua","(Nees & Mont.) Schiffn.","name_w_authors",,"Cololejeunea obliqua","(Nees & Mont.) Schiffn.","species","not found",,,,"Cololejeunea obliqua (Nees & Mont.) Schiffn.","Cololejeunea","Fabaceae","unknown","Cololejeunea obliqua"
"user","ESA","ESA123184","Combretaceae",,"Combretaceae",,"2007","12","12","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta (PEIA).","ESA",,,,,,,"Zipparro, V.B.","0","0",,,"Sem determinador",,,,"2308",,,,,,,,,,,,,"não",,"REFLORA","Ubatuba",,,,,,,,,,,,,,"FAMILY",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"COMBRETACEAE ",,,,,,,,,,,"ESA",,,,"Luize, B.G.","12/12/2007",,,"METRO",,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Combretaceae","R.Br.","family_as_genus","Combretaceae","Combretaceae","R.Br.","family","name accepted","bfo-90",,,"Combretaceae R.Br.",,"Combretaceae","high",
"user","ESA","ESA122897","communis",,"Sapindaceae","Serjania","2008","19","03","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta (PEIA).","ESA",,,,,,,"Zipparro, V.B.","0","0",,,"Somner, G.V.",,,,"2384",,,,,,,,,,,,,"não",,"REFLORA","Ubatuba","08/12/2014",,,,,,,,,,,,,"SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"communis","SAPINDACEAE ",,,,,,,,,,,"ESA",,,,,"03/19/2008",,,"METRO",,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Communis",,"name_w_wrong_case|indet",,"Communis",,"genus","not found",,,,"Communis","Communis","Sapindaceae","high",
"user","ESA","ESA122894","Cordia cf. taguahyensis Vell.",,"Boraginaceae","Cordia",,,,"Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta (PEIA).","ESA",,,,,,,"Carvalho, M.H.","0","0",,"Vell.","Sem determinador",,,,,,,,,,,,,,,,,"não",,"REFLORA","Ubatuba",,,,,,,,,,,,,,"SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"taguahyensis","BORAGINACEAE Cordia cf. taguahyensis Vell.",,,,,,,,,,,"ESA",,,"CF",,,,,"METRO",,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Cordia taguahyensis","Vell.","conferre|name_w_authors","Cordiaceae","Cordia taguahyensis","Vell.","species","name accepted","bfo-16531",,,"Cordia taguahyensis Vell.","Cordia","Cordiaceae","high","Cordia taguahyensis"
"speciesLink","SPSF","46726","Cordiera myrciifolia","Plantae","Rubiaceae","Cordiera","2008","04","15","Brasil","SP","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA)","IF","Magnoliophyta","PreservedSpecimen",,,"13","myrciifolia","V.B.Zipparro","-45.058333","-23.541667","2024-08-06T09:16:30","(K.Schum.) ((C.H.Perss.) & Delprete)","I.S. Marques",,"SPSF00046726","2019","2384","<nO>COLETA: Arvoreta com ca. de 3,5m de altura. Presença de frutos imaturos de coloração verde e maduros parecem ser vermelhos.; GEOGRAFIA: Floresta Ombrófila Densa. Trilha do Leste (início), floresta em estágio intermediário de regeneração, ambiente sombrea</nO>","09","América do Sul","Magnoliopsida","Rubiales",,,"26",,,,,,,"SPLINK","Ubatuba","2019-09-26",,,,,,,,,,,,,,,,,,"SPSF",,"Zipparro, V.B.","2384","2008","Marques, I.S.","2019",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Cordiera myrciifolia","(K.Schum.) C.H.Perss. & Delprete","possibly_ok","Rubiaceae","Cordiera myrciifolia","(K.Schum.) C.H.Perss. & Delprete","species","author misspelled","bfo-13892",,,"Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete","Cordiera","Rubiaceae","low","Cordiera myrciifolia"
"speciesLink","SPSF","46770","Coutarea hexandra","Plantae","Rubiaceae","Coutarea","2007","12","16","Brasil","SP","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA)","IF","Magnoliophyta","PreservedSpecimen",,,"13","hexandra","V.B.Zipparro & B.G.Luize","-45.058333","-23.541667","2024-08-06T09:16:30","(Jacq.) K.Schum.","M.Assis",,"SPSF00046770",,"2326","<nO>COLETA: Árvore com ca. De 7m de altura, presença de flores tubulares rosa.; GEOGRAFIA: Próximo à Casa dos Guardas, floresta ombrófila rala.;</nO>",,"América do Sul","Magnoliopsida","Rubiales",,,,,,,,,,"SPLINK","Ubatuba",,,,,,,,,,,,,,,,,,,"SPSF",,"Zipparro, V.B.","2326","2007","Assis, M.","n.d.","Luize, B.G.","Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Coutarea hexandra","(Jacq.) K.Schum.","possibly_ok","Rubiaceae","Coutarea hexandra","(Jacq.) K.Schum.","species","name accepted","bfo-13915",,,"Coutarea hexandra (Jacq.) K.Schum.","Coutarea","Rubiaceae","low","Coutarea hexandra"
"gbif","SJRP-PTERIDOPHYTA","24463","Crepidomanes pyxidiferum (L.) Dubuisson & Ebihara","Plantae","Hymenophyllaceae","Polyphlebium","2001","1","25","Brasil","São Paulo",,"parque estadual da Ilha Anchieta","UNESP-IBILCE","Tracheophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/92","pyxidiferum","Athayde, F.P.F.",,,"2023-03-07 15:50:18","(L.) Dubuisson & Ebihara","Athayde, F.P.F.",,,,"884",,,,"Polypodiopsida","Hymenophyllales",,,,,,,,,,"GBIF","Ubatuba",,"Polyphlebium pyxidiferum (L.) Ebihara & Dubuisson",,"BR",,,"2001-01-25",,,,,,"SYNONYM","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","1986492331",,,,"https://specieslink.net/guid/92/24463",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crepidomanes",,,,,,"fe7e89d1-8039-43dc-a833-df08f05f36b7",,,FALSE,FALSE,"Polyphlebium pyxidiferum","Crepidomanes pyxidiferum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Crepidomanes pyxidiferum","(L.) Dubuisson & Ebihara","name_w_authors","Hymenophyllaceae","Crepidomanes pyxidiferum","(L.) Dubuisson & Ebihara","species","name accepted","bfo-583385",,,"Crepidomanes pyxidiferum (L.) Dubuisson & Ebihara","Crepidomanes","Hymenophyllaceae","unknown","Crepidomanes pyxidiferum"
"gbif","ICN","207463","Crossomitrium epiphyllum (Mitt.) Müll.Hal.","Plantae","Hookeriaceae","Crossomitrium","2004","2","17","Brasil","Sp",,"Parque Estadual da Ilha Anchieta (PEIA)","UFRGS","Bryophyta","PRESERVED_SPECIMEN",,,"https://specieslink.net/col/259","epiphyllum","Peralta, DF; Yano, O; Prado, J","-45.041667","-23.260278","2023-05-24 13:29:48","(Mitt.) Müll. Hal.","Peralta, DF",,,,"2097",,,,"Bryopsida","Hookeriales",,,,,,,,,,"GBIF","Ubatuba",,"Crossomitrium epiphyllum (Mitt.) Müll.Hal.",,"BR",,,"2004-02-17",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality","4950921005",,,,"https://specieslink.net/guid/259/207463",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crossomitrium",,,,,,"2273e40d-26c2-4959-aea2-b6abcce16d09",,,TRUE,FALSE,"Crossomitrium epiphyllum","Crossomitrium epiphyllum","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE",,,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Crossomitrium epiphyllum","(Mitt.) Müll.Hal.","name_w_authors",,"Crossomitrium epiphyllum","(Mitt.) Müll.Hal.","species","not found",,,,"Crossomitrium epiphyllum (Mitt.) Müll.Hal.","Crossomitrium","Acanthaceae","unknown","Crossomitrium epiphyllum"
"gbif","NY","NY02423404","Crotalaria vitellina Ker Gawl.","Plantae","Fabaceae","Crotalaria","2014","1","31","Brazil","São Paulo",,"Parque Estadual da Ilha Anchieta, trilha da restinga da Praia das Palmas","NY","Tracheophyta","PRESERVED_SPECIMEN",,,,"vitellina","M. F. Devecchi","-45.071944","-23.541667",,"Ker Gawl.","M. F. Devecchi",,,,"272",,,,"Magnoliopsida","Fabales",,,,,,,,,,"GBIF",,"2014-01-01","Crotalaria vitellina Ker Gawl.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4643788","BR",,,"2014-01-31",,,,,,"ACCEPTED","SPECIES",,,"2014-01-31",,,,,,,,,,,,"brazil","sao paulo","parque estadual da ilha anchieta","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_parque estadual ilha anchieta","brazil_sao paulo",-22.2584562,-48.7420254,"state","2997649372",,,,"4643788",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crotalaria",,,,,,"a185d0c4-1a12-45c1-a729-2a7b058b528d",,,TRUE,FALSE,"Crotalaria vitellina","Crotalaria vitellina Ker Gawl.","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/2/42/34/4/ny_02423404.dzi",,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo","Brazil","São Paulo",,,"check_local.2state","Crotalaria vitellina","Ker Gawl.","name_w_authors","Fabaceae","Crotalaria vitellina","Ker Gawl.","species","name accepted","bfo-29584",,,"Crotalaria vitellina Ker Gawl.","Crotalaria","Fabaceae","unknown","Crotalaria vitellina"
"user","RB","RB00610061","Croton floribundus Spreng.","Plantae","Euphorbiaceae","Croton","2008","2","19","Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta. Trilha da Praia das Palmas, floresta ombrófila densa secundária, ambiente iluminado.","JBRJ",,"Preserved Specimen","23º31´","45º2´W",,"floribundus","V.B. Zipparro","-45.0333333","-23.5166667",,"Spreng.","V.B. Zipparro",,,,"2337",,,,,,,,,,,,,,,,"Ubatuba","2008-2-19",,,"BR",,,"2008-02-19",,,,,,,"sp.","Physical Object",,,,"RB",,"Zipparro, V.B.","2337","2008","Zipparro, V.B.","2008",,"Zipparro",,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,"urn:catalog:JBRJ:RB:610061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011-03-16 14:49:26+00","Angiospermas","brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Croton floribundus","Spreng.","name_w_authors","Euphorbiaceae","Croton floribundus","Spreng.","species","name accepted","bfo-17512",,,"Croton floribundus Spreng.","Croton","Euphorbiaceae","low","Croton floribundus"
"user","ESA","ESA123167","Ctenanthe",,"Marantaceae","Ctenanthe",,,,"Brasil","São Paulo",,"Parque Estadual da Ilha Anchieta (PEIA).","ESA",,,,,,,"Carvalho, M.H.","0","0",,,"Sem determinador",,,,,,,,,,,,,,,,,"não",,"REFLORA","Ubatuba",,,,,,,,,,,,,,"GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MARANTACEAE ",,,,,,,,,,,"ESA",,,,,,,,"METRO",,,,,,,,"brazil_sao paulo_ubatuba_pe ilha anchieta","Brazil","São Paulo","Ubatuba","PE da Ilha Anchieta","ok_same_resolution","Ctenanthe","Eichler","indet","Marantaceae","Ctenanthe","Eichler","genus","name accepted","bfo-9331",,,"Ctenanthe Eichler","Ctenanthe","Marantaceae","high",
