"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","SPSF00043999","Splink","SPSF","Arzolla, F.A.R.D.P.","1462","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Annonaceae","Annona","coriacea","Mart.","ANNONACEAE Annona coriacea Mart.","SPSF00044003","Splink","SPSF","Arzolla, F.A.R.D.P.","1466","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Apocynaceae","Mandevilla","illustris","(Vell.) Woodson","APOCYNACEAE Mandevilla illustris (Vell.) Woodson","SPSF00040946","Splink","SPSF","Durigan, G.",,"Native","Prata","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Apocynaceae","Tabernaemontana","catharinensis","A.DC.","APOCYNACEAE Tabernaemontana catharinensis A.DC.","SPSF00043941","Splink","SPSF","Arzolla, F.A.R.D.P.","1440","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Aquifoliaceae","Ilex","paraguariensis","A.St.-Hil.","AQUIFOLIACEAE Ilex paraguariensis A.St.-Hil.","SPSF00043942","Splink","SPSF","Arzolla, F.A.R.D.P.","1441","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Araliaceae","Didymopanax","vinosus","(Cham. & Schltdl.) Marchal","ARALIACEAE Didymopanax vinosus (Cham. & Schltdl.) Marchal","SPSF00044002","Splink","SPSF","Arzolla, F.A.R.D.P.","1465","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Asteraceae","Chromolaena","laevigata","(Lam.) R.M.King & H.Rob.","ASTERACEAE Chromolaena laevigata (Lam.) R.M.King & H.Rob.","SPSF00043928","Splink","SPSF","Arzolla, F.A.R.D.P.","1427","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Asteraceae","Piptocarpha","angustifolia","Dusén ex Malme","ASTERACEAE Piptocarpha angustifolia Dusén ex Malme","SPSF00043996","Splink","SPSF","Arzolla, F.A.R.D.P.","1459","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Asteraceae","Piptocarpha","axillaris","(Less.) Baker","ASTERACEAE Piptocarpha axillaris (Less.) Baker","SPSF00043997","Splink","SPSF","Arzolla, F.A.R.D.P.","1460","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","Angiosperms","Asteraceae","Vernonanthura","divaricata","(Spreng.) H.Rob.","ASTERACEAE Vernonanthura divaricata (Spreng.) H.Rob.","SPSF00044013","Splink","SPSF","Arzolla, F.A.R.D.P.","1476","Native","Bronze","Estação Ecológica Mogi-Guaçu","Não"
